,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5877902989552756,"[0.5713983267725695, 0.579141355538871, 0.6013198171337706, 0.5816793289015512, 0.6054126664296157]",0.5919542971054311,"[0.6102782105830887, 0.5731386198547216, 0.6252074121338064, 0.552204434279906, 0.5989428086756331]",0.5886512885316049,"[0.5887515012041071, 0.5757529385643613, 0.6117440868796407, 0.5657419769569302, 0.6012659390529853]",0.5167614162915095,"[0.5290963568257528, 0.5063751884837807, 0.5416735024775581, 0.46250086242134614, 0.5441611712491101]",0.7730396148930412,"[0.7771691811317568, 0.766609378231102, 0.7911015044719276, 0.7511277232275764, 0.7791902874028432]"
1,imdb,target3,gross,0.7468863622657681,"[0.7594609506677651, 0.7533115671641791, 0.7340297002768399, 0.7405352112676056, 0.7470943819524507]",0.7505046297572153,"[0.7664201286757573, 0.755913674488738, 0.7340297002768399, 0.74782331088925, 0.7483363344554921]",0.748506397740986,"[0.7624215521200062, 0.7545529122231337, 0.7340297002768399, 0.7438271604938271, 0.7477006635911233]",0.7473366176870799,"[0.765295027446228, 0.7531074693746291, 0.728996931996197, 0.7441436083006997, 0.7451400513176458]",0.7505046297572153,"[0.7664201286757573, 0.755913674488738, 0.7340297002768399, 0.74782331088925, 0.7483363344554921]"
2,imdb,target2,content_rating,0.45555435832212554,"[0.6106053863999834, 0.46735037165304677, 0.3301168421090697, 0.4492208032886554, 0.42047838815987254]",0.41895321942954994,"[0.46807944558294695, 0.4321025318306452, 0.3107766982187109, 0.45162561864398854, 0.432181802871458]",0.4293093548503747,"[0.5089981258440311, 0.4462099553471511, 0.3157510165084289, 0.449938410534737, 0.42564926601752534]",0.16923923705523652,"[0.44477512754705756, 0.4014210577291251, 0.0, 0.0, 0.0]",0.9096956699741918,"[0.9121132989506909, 0.9061902265760465, 0.9065671551714718, 0.9137573184556561, 0.9098503507170937]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.45805376049692936,"[0.4620537743179252, 0.4397162525897671, 0.45302641977782226, 0.48106400448201053, 0.45440835131712176]",0.45477482451830625,"[0.46094915444123363, 0.4452578488308301, 0.453389326792436, 0.47196234278960714, 0.4423154497374245]",0.4529231762478602,"[0.4586012301063442, 0.44010037553156334, 0.4513375351727366, 0.4708946555650122, 0.44368208486364485]",0.1924314998089493,"[0.0, 0.20303999980291917, 0.2624412557510514, 0.2520725219333982, 0.2446037215573777]",0.8974258897940024,"[0.8964480953718583, 0.8972213766864111, 0.897836023630577, 0.8985474110357293, 0.8970765422454363]"
5,mushroom,target2,population,0.30290753820919175,"[0.31008819665930976, 0.29899033378841694, 0.3239383567971031, 0.28811967541491396, 0.29340112838621507]",0.3158215478553234,"[0.3158000794579561, 0.31390551741648287, 0.33917389095221645, 0.3071075470708274, 0.30312070437913446]",0.3082393846092155,"[0.31279460233976847, 0.3054625357495407, 0.3307541731947658, 0.2952901351542028, 0.29689547660779986]",0.21167518899425392,"[0.2157258162691981, 0.21174306990469882, 0.23761078205579744, 0.20101584990452218, 0.1922804268370531]",0.8072278955173454,"[0.8102917721967712, 0.8061012579528688, 0.8091817939417671, 0.8058147928126208, 0.804749860682699]"
6,census,target1,income,0.7453816087357539,"[0.7420139123913021, 0.7419053370648598, 0.7459812383288672, 0.748481141197892, 0.7485264146958484]",0.7482563185976897,"[0.7435755871201271, 0.7468932589314587, 0.750141625594047, 0.7502914519987691, 0.7503796693440463]",0.746785115347065,"[0.7427863926948717, 0.7443186064871901, 0.7480032475438134, 0.7493758958515571, 0.7494414341578928]",0.7381467657021614,"[0.7328726400693594, 0.7366222100359258, 0.7407052675172483, 0.739851655795758, 0.7406820550925162]",0.7482563185976897,"[0.7435755871201271, 0.7468932589314587, 0.750141625594047, 0.7502914519987691, 0.7503796693440463]"
7,census,target3,workclass,0.21964412947207138,"[0.2212838684976369, 0.22268033840018125, 0.22219602554315906, 0.20928339933514964, 0.2227770155842299]",0.22451536829006297,"[0.22707270157790704, 0.2268992286631271, 0.22852897650403695, 0.21265446264001855, 0.22742147206522523]",0.22175259844194617,"[0.22382814320238395, 0.2245682743025044, 0.22506094358250653, 0.21085419634289115, 0.22445143477944485]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8815704076561728,"[0.8819976861418298, 0.8813307858175957, 0.8819951464081385, 0.8807065281577083, 0.8818218917555919]"
8,census,target2,marital-status,0.39447873432869296,"[0.38581738334867194, 0.3923790060949757, 0.395819918204207, 0.4118327578002515, 0.3865446061953587]",0.39505144952020377,"[0.3906096701667188, 0.3909167778826233, 0.39637639078832715, 0.4127358792566029, 0.38461852950674646]",0.39462104640271634,"[0.3879731820539755, 0.39159632001626477, 0.39586541431407346, 0.4121590302691906, 0.38551128536007745]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9618131781132989,"[0.9608644122385884, 0.9608784389822967, 0.9625679756848394, 0.9631553055308932, 0.9615997581298767]"
9,bank,target1,y,0.704754051155329,"[0.6979287537711766, 0.6806818181818182, 0.684198080400612, 0.7476185114288931, 0.7133430919941448]",0.7103053204845348,"[0.7068766865771202, 0.7061118179417625, 0.668421855921856, 0.7426994812934555, 0.7274167606884797]",0.7070043290076857,"[0.7022569766149057, 0.6919052447023633, 0.67573706687566, 0.7451177100053504, 0.7200046468401486]",0.6754296837666276,"[0.6676160326381969, 0.6773082231684241, 0.6133685688238363, 0.7180489574286141, 0.7008066367740662]",0.7103053204845348,"[0.7068766865771202, 0.7061118179417625, 0.668421855921856, 0.7426994812934555, 0.7274167606884797]"
