,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5180230742874112,"[0.48711177372504605, 0.5460014247582508, 0.5135794216676569, 0.5095670505256816, 0.5338557007604208]",0.6359646954094906,"[0.6430232616208226, 0.6304248818171336, 0.61900884103272, 0.6103328886347754, 0.677033603942001]",0.43822969001191314,"[0.4152419261212554, 0.45898673929789807, 0.4303416947793847, 0.42369164970185996, 0.46288644015916747]",0.5984291057160931,"[0.6014817753232704, 0.5984567743891716, 0.5831906239839273, 0.5698289876549899, 0.6391873672291066]",0.7481394755361274,"[0.7546158309779664, 0.7569876780069237, 0.7279301791753922, 0.7401541380983377, 0.761009551422017]"
1,imdb,target3,gross,0.13759262703510264,"[0.1986413599194043, 0.16087968277409273, 0.08540231304276248, 0.1176069667614342, 0.1254328126778195]",0.23824733955527524,"[0.267075230765707, 0.24780892634431298, 0.23575123902269368, 0.23175746348947954, 0.20884383815418298]",0.11036574244972071,"[0.14634933541316292, 0.11954689259145371, 0.08683168719201416, 0.09724220321860709, 0.10185859383336558]",0.030111753160863973,"[0.15055876580431987, 0.0, 0.0, 0.0, 0.0]",0.8614436912918684,"[0.8620587756863963, 0.8592751629365224, 0.8621755004143129, 0.8621075417238213, 0.8616014756982887]"
2,imdb,target2,content_rating,0.7151712974403948,"[0.733403511154878, 0.6623266078184111, 0.7337283217024805, 0.7113756211337592, 0.7350224253924444]",0.6593304271404238,"[0.6600336823152323, 0.6617503848207835, 0.5541317949784769, 0.7074073766957445, 0.7133288968918813]",0.6423136980255825,"[0.667022792022792, 0.6016014298480786, 0.5130102040816327, 0.709277703381319, 0.7206563607940902]",0.5972756849528693,"[0.607287468245106, 0.6305353627796311, 0.35238882163733926, 0.6974244587415426, 0.6987423133607278]",0.6593304271404238,"[0.6600336823152323, 0.6617503848207835, 0.5541317949784769, 0.7074073766957445, 0.7133288968918813]"
3,mushroom,target1,Class,0.9949637148408075,"[0.9941724941724941, 0.998123574814352, 0.9913367478774455, 0.9934329483509812, 0.9977528089887641]",0.9964403717943464,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.9952768904158211, 0.9985401459854015]",0.9956871206229693,"[0.9952898082130057, 0.998123574814352, 0.9925394339485492, 0.9943399064171122, 0.998142879721827]",0.9964367919014396,"[0.9964475909040272, 0.9981234761675846, 0.9937997189310885, 0.9952740946644141, 0.9985390788400837]",0.9964403717943464,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.9952768904158211, 0.9985401459854015]"
4,mushroom,target3,habitat,0.6356963579947398,"[0.6363025448731694, 0.6296680994149291, 0.6349145907869561, 0.6278584740644176, 0.6497380808342266]",0.7297056343457659,"[0.7296190774775712, 0.7230649267091865, 0.7295864166164948, 0.7305709824657193, 0.7356867684598573]",0.588278611748461,"[0.5954318149410714, 0.571210133051944, 0.5906840076894049, 0.5765826940341959, 0.6074844090256886]",0.5586035808596153,"[0.5732329682163022, 0.5304331162573909, 0.5728654534408351, 0.5545009889324308, 0.5619853774511172]",0.8914627933926891,"[0.8910913438927305, 0.8879861004879696, 0.8908007601868212, 0.890609101792719, 0.8968266606032053]"
5,mushroom,target2,population,0.6775231823189173,"[0.6826224306695955, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6731687019410001]",0.8439442903922583,"[0.8450990364025696, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8409895587898091]",0.6963358828964382,"[0.6960061685537484, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.692588771413888]",0.8032508558022509,"[0.8034038952084858, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.8002056990337731]",0.9327260508044948,"[0.9329562653552029, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9317981699774182]"
6,census,target1,income,0.731200296386806,"[0.737877210612865, 0.7197657176609792, 0.737281911504893, 0.7225214408233276, 0.7385552013319647]",0.6276410981433306,"[0.6291277984070273, 0.6244955450278513, 0.6265386639504509, 0.6274930760296613, 0.6305504073016621]",0.645183611469832,"[0.6469927956726023, 0.6417794268076018, 0.6439676501492472, 0.6449361678584766, 0.6482420168612323]",0.5404779347915705,"[0.5414204626087725, 0.5374452927140655, 0.5362245105070393, 0.5429979550946975, 0.5443014530332775]",0.6276410981433306,"[0.6291277984070273, 0.6244955450278513, 0.6265386639504509, 0.6274930760296613, 0.6305504073016621]"
7,census,target3,workclass,0.2271610704535496,"[0.21959954410526303, 0.19627355985119685, 0.3034729405836277, 0.20203005352791795, 0.21442925419974238]",0.23587410209080076,"[0.2190244800153373, 0.23082044482428543, 0.2541493916959812, 0.2451572156467063, 0.23021897827169344]",0.19595610118342982,"[0.12541780696132734, 0.2033255807981604, 0.2326614259736062, 0.21503180411047002, 0.20334388807358503]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8905007183813428,"[0.873210261098885, 0.8918374922946113, 0.8993404434387939, 0.8949509806299124, 0.8931644144445112]"
8,census,target2,marital-status,0.17019354124622993,"[0.1720357607362884, 0.1715308794673874, 0.1706652740942445, 0.1768293773811956, 0.15990641455203378]",0.17711609528211097,"[0.1573609774283686, 0.16257327054191364, 0.16272402211110992, 0.244428463544249, 0.15849374278491377]",0.14638053169334403,"[0.1449029897859258, 0.15110371245672424, 0.1492132647448053, 0.14025425762665264, 0.14642843385261214]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8625102510536609,"[0.862325222682486, 0.8627651520277778, 0.862785312430077, 0.8621742669111981, 0.8625013012167655]"
9,bank,target1,y,0.6818580292693384,"[0.649721269296741, 0.6852177491768932, 0.7252851711026616, 0.6782682359726754, 0.6707977207977208]",0.7235464622689248,"[0.7117279645856706, 0.7376791415608421, 0.7773199023199022, 0.7183092373910165, 0.672696065487193]",0.698055059257509,"[0.6718577238057758, 0.7054908224450787, 0.7469057153258098, 0.6942833963234858, 0.6717376383873952]",0.6998476737861198,"[0.6869115134474244, 0.721582149131423, 0.7648941659230282, 0.699014710108937, 0.6268358303197864]",0.7235464622689248,"[0.7117279645856706, 0.7376791415608421, 0.7773199023199022, 0.7183092373910165, 0.672696065487193]"
