,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds
0,imdb,target1,imdb_score,0.7187077283637257,"[0.7126577126577126, 0.7743251726302574, 0.7398354242546877, 0.7153652177629611, 0.6513551145130093]",0.5592208415444976,"[0.6040689772341148, 0.5349071417230058, 0.5320724345225253, 0.5565549271163839, 0.5685007271264582]",0.5734079652561571,"[0.6100244790624134, 0.546628685694882, 0.5659722222222222, 0.5597820308346625, 0.5846324084666054]",0.3110973535577525,"[0.34833369960159205, 0.28885409489833863, 0.30701317055989813, 0.3238764771201002, 0.2874093256088335]"
1,imdb,target3,gross,0.7701948362311357,"[0.766541762124801, 0.763196474540774, 0.7516610360360361, 0.7714585655150453, 0.7981163429390224]",0.7252628230079095,"[0.720980112836114, 0.7270817647944587, 0.719433761557974, 0.7213499829609074, 0.7374684928900936]",0.737853604009352,"[0.734379050793547, 0.735448741645103, 0.7304538735762107, 0.7357996746127182, 0.7531866794191809]",0.7029838638554978,"[0.6974141004262968, 0.7089039409329451, 0.7000882500159009, 0.6961962067325763, 0.7123168211697698]"
2,imdb,target2,content_rating,0.44088879731853525,"[0.37698907589273034, 0.4374724242205061, 0.4314428649637622, 0.6065354399419421, 0.3520041815737355]",0.4642074571709524,"[0.4647832992965736, 0.47023004899073173, 0.4373898046196785, 0.5865999103373261, 0.36203422261045237]",0.4257205483138183,"[0.37592296293493693, 0.43313240181061313, 0.41402366911136657, 0.5694505237381786, 0.33607318397399616]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,mushroom,target1,Class,0.9994250388516202,"[0.9992917847025495, 0.9985569985569985, 0.9992764109985528, 1.0, 1.0]",0.9990797395060282,"[0.9988207547169812, 0.9977168949771689, 0.998861047835991, 1.0, 1.0]",0.9992512865192434,"[0.9990553226169487, 0.9981332918876734, 0.9990678180915948, 1.0, 1.0]",0.9990789479603481,"[0.998820058586111, 0.9977142827254393, 0.9988603984901903, 1.0, 1.0]"
4,mushroom,target3,habitat,0.7397090990004603,"[0.7270677765039132, 0.7515108863316983, 0.7287941196169044, 0.74561012733415, 0.7455625852156357]",0.8613649189623663,"[0.8583310963970412, 0.8422662124400757, 0.8580054297584824, 0.8703693366305498, 0.8778525195856822]",0.7306221227570286,"[0.7174042186812358, 0.7313140585251637, 0.7180401309452998, 0.7396785799355388, 0.7466736256979054]",0.8254060764967257,"[0.8218965148057883, 0.8031352227618173, 0.8242893254717176, 0.8342706990820062, 0.8434386203622986]"
5,mushroom,target2,population,0.5742236099894702,"[0.5605204322460186, 0.5791466497061638, 0.5723189958512885, 0.5837723237840265, 0.5753596483598541]",0.6973252099468704,"[0.6630061889178298, 0.6999405252944273, 0.7011888171703414, 0.7172689593206093, 0.705221559031144]",0.5899995916309417,"[0.5554373360962668, 0.5992249035470331, 0.5789137601891837, 0.6061070740429931, 0.6103148842792318]",0.6012786644560142,"[0.569482634744046, 0.6256374048436175, 0.573348766531896, 0.6135616475572166, 0.6243628686032947]"
6,census,target1,income,0.7898936654251858,"[0.7845360756911821, 0.7923241703903154, 0.7925182954069482, 0.786834256056954, 0.7932555295805289]",0.7452893923277029,"[0.7392390182605849, 0.745583054125937, 0.7523618897209555, 0.7437868196064917, 0.7454761799245452]",0.7627664593505001,"[0.756835491550798, 0.7637839667460021, 0.768536079773716, 0.7606819572414516, 0.7639948014405331]",0.7232007859006332,"[0.7157213997794871, 0.7230171725189644, 0.7326744173682295, 0.7219334141880315, 0.7226575256484534]"
7,census,target3,workclass,0.3646011105789279,"[0.3909116777768166, 0.33399282769925925, 0.40024085905272383, 0.3204725622387448, 0.3773876261270952]",0.2520061156308973,"[0.2690084585529349, 0.22038797217388467, 0.2309278101925219, 0.24535932771741614, 0.29434700951772885]",0.245045727717954,"[0.2525785213241315, 0.23769844986229996, 0.252052485934515, 0.23504148188073248, 0.2478576995880911]",0.09063528053733597,"[0.1647712005511118, 0.0, 0.0, 0.12230756553610851, 0.1660976365994595]"
8,census,target2,marital-status,0.4568485536386673,"[0.463364834997155, 0.4591840754981896, 0.44191266605146406, 0.45528627138492794, 0.4644949202615996]",0.5132329524091204,"[0.5084891165476023, 0.5014767568648845, 0.5642455776709171, 0.4677548046397396, 0.5241985063224582]",0.4463376148484429,"[0.4500043601272118, 0.4468369799515153, 0.43063299723187837, 0.44967521960752294, 0.4545385173240863]",0.4026186530575357,"[0.4198201820478706, 0.39751469146884333, 0.41403113428692034, 0.3519254108559145, 0.4298018466281301]"
9,bank,target1,y,0.770535194793149,"[0.7446120689655172, 0.7310354721853592, 0.7705870764381402, 0.8216403162055337, 0.7848010401711949]",0.7225755075054083,"[0.7152125037245713, 0.6792043399638337, 0.7425464284663155, 0.7586469484604348, 0.7172673169118863]",0.7426520289764051,"[0.7285472547254724, 0.7004409419270101, 0.7555133227320328, 0.7849909970397047, 0.7437676284578056]",0.6820191326389562,"[0.674592393778337, 0.6191635260341706, 0.7098381964781735, 0.7302262168522785, 0.6762753300518216]"
10,bank,target3,housing,0.5352397220741449,"[0.5341858730419612, 0.5356394129979036, 0.5316742081447964, 0.5664899083323056, 0.5082092078537577]",0.5281034776631189,"[0.5286878288915294, 0.5273927879349566, 0.5260198316736538, 0.5512423836024373, 0.5071745562130178]",0.5138082122363643,"[0.5182676478451127, 0.5066464012272902, 0.5122007398814055, 0.5341708542713568, 0.49775541795665634]",0.4817218941200195,"[0.48779884876475604, 0.46927234145802194, 0.4810308160138945, 0.49718045104339303, 0.4733270133200318]"
11,bank,target2,loan,0.4178567051952207,"[0.41572123176661263, 0.4173419773095624, 0.42394822006472493, 0.41019417475728154, 0.42207792207792205]",0.4992285072587526,"[0.4990272373540856, 0.499031007751938, 0.5, 0.5, 0.49808429118773945]",0.45491583193672974,"[0.453580901856764, 0.4545454545454546, 0.4588441330998249, 0.45066666666666666, 0.45694200351493847]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
12,intention,target1,Revenue,0.8180650161471956,"[0.7933429840963468, 0.8197229929428795, 0.8409281215166109, 0.8231926048565121, 0.8131383773236287]",0.6543666199405707,"[0.6501994595290181, 0.6669433384862093, 0.6617574864997545, 0.6491278329513623, 0.6438049822365082]",0.6941422737674992,"[0.6866323659115232, 0.7078680091079688, 0.7045148202676993, 0.6888938614156783, 0.6828023121346257]",0.5676925353250868,"[0.5637895932378629, 0.5899154350096326, 0.5783837236704821, 0.5576561594359581, 0.5487177652714986]"
13,intention,target3,SpecialDay,0.2733396396636688,"[0.296807071954318, 0.2564772917714094, 0.2523672899204814, 0.27629263265542797, 0.28475391201670736]",0.22676227055742432,"[0.2243333468356836, 0.20236289406505406, 0.2475638278544093, 0.22399775752622184, 0.2355535265057527]",0.23371997132327457,"[0.23973168888156282, 0.21295531254547648, 0.24324604268239822, 0.23263960382170742, 0.24002720868522778]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
14,intention,target2,VisitorType,0.6850399614507614,"[0.6061850311850312, 0.7767097343295973, 0.669302620641379, 0.747552157866988, 0.6254502632308119]",0.5100749936755596,"[0.5072405111382665, 0.5152714656769675, 0.5110818535096235, 0.5090945439653789, 0.5076865940875618]",0.4854008827053432,"[0.48126277876995477, 0.49498412698412697, 0.48824869711693225, 0.4810884536017252, 0.48142035705397723]",0.1546979344293677,"[0.14346098929297393, 0.18126052970274092, 0.16375970413366087, 0.14169052217483924, 0.14331792684262348]"
15,anuran,target1,Family,0.6979959000118247,"[0.6734670324929681, 0.7222185727542161, 0.6449649505705259, 0.6962699769166961, 0.7530589673247171]",0.7303999941723632,"[0.700919704603334, 0.7699884143936564, 0.6955476054768344, 0.7281165310945346, 0.7574277152934566]",0.7086895122422894,"[0.6856397506765997, 0.7425799911417938, 0.6633658896710827, 0.7080654333211275, 0.7437964964008432]",0.3895193425922601,"[0.0, 0.7108286496878813, 0.0, 0.5975143993635633, 0.6392536639098559]"
16,anuran,target3,Species,0.869019312163398,"[0.8830738121481433, 0.836766715969679, 0.861350341368181, 0.8647792320510419, 0.8991264592799448]",0.8666277780214177,"[0.8754579198359312, 0.84500552074532, 0.8707810578550056, 0.8570367867548134, 0.884857604916018]",0.8615417504455675,"[0.876127456157012, 0.8342413944741581, 0.8551425664181315, 0.8519084201929246, 0.8902889149856108]",0.8543732276884276,"[0.8653020923182978, 0.832320961387059, 0.8558471246655709, 0.8402496079801163, 0.8781463520910942]"
17,anuran,target2,Genus,0.8121352954423307,"[0.8200609430976078, 0.776480131199647, 0.7852587157069523, 0.8155032621290677, 0.8633734250783789]",0.8355559293747815,"[0.8379990935025188, 0.8064694487698751, 0.8392340934730264, 0.8353861949184038, 0.858690816210083]",0.8188956228342704,"[0.8242560281270268, 0.7858688200067012, 0.8051021749360711, 0.8198340420998652, 0.8594170490016872]",0.8178257130532531,"[0.8234253746132876, 0.7881189681761319, 0.8154214861388066, 0.8147623020855049, 0.847400434252534]"
