,dataset,target,avg_fit_time,fit_time_folds,avg_score_time,score_time_folds,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_accuracy,accuracy_folds
0,imdb,imdb_score,0.14696474075317384,[0.1494472  0.14370799 0.14303589 0.15402579 0.14460683],0.07187800407409668,[0.07109094 0.07486391 0.06928015 0.07215691 0.07199812],0.28837751481266716,[0.28832442 0.28832442 0.2887104  0.28826417 0.28826417],0.3333333333333333,[0.33333333 0.33333333 0.33333333 0.33333333 0.33333333],0.3092300235341586,[0.30919952 0.30919952 0.30942133 0.30916487 0.30916487],0.8651325444380016,[0.86497326 0.86497326 0.86613119 0.8647925  0.8647925 ]
1,imdb,content_rating,0.5481234550476074,[0.53878689 0.56166625 0.53940606 0.58816481 0.51259327],0.2212073802947998,[0.20248294 0.23639703 0.23221302 0.2242229  0.21072102],0.12694062581071788,[0.09641873 0.15165785 0.09345399 0.14669057 0.14648199],0.1508258122670259,[0.145807   0.17222062 0.1425659  0.14422062 0.14931493],0.10194758156998988,[0.08066707 0.14081991 0.09015322 0.09353252 0.10456519],0.45143783690913386,[0.35561497 0.52406417 0.45247657 0.45649264 0.46854083]
2,imdb,gross,0.34011187553405764,[0.30431628 0.38586307 0.37799811 0.34140587 0.29097605],0.15468850135803222,[0.15193701 0.16969776 0.16541386 0.14897609 0.13741779],0.8162505184225214,[0.83041723 0.83862069 0.96780829 0.77475087 0.66965552],0.6695537203208131,[0.50972763 0.54474708 0.95783769 0.795565   0.53989121],0.589519763729536,[0.416977   0.48592575 0.96253558 0.73898055 0.34317994],0.6909370100723751,[0.6631016  0.68716578 0.9665328  0.74029451 0.39759036]
3,mushroom,Class,0.09058194160461426,[0.0730021  0.08860016 0.10450006 0.09958029 0.08722711],0.04365096092224121,[0.03724527 0.04229975 0.04807711 0.04874969 0.04188299],0.9538088338529794,[0.8656873  1.         1.         0.99644381 0.90691305],0.9253432966066161,[0.7037037  1.         1.         0.99419954 0.92881324],0.9236497592544378,[0.71189793 1.         1.         0.99529841 0.91105246],0.9363885067435564,[0.77325066 1.         1.         0.9955713  0.91312057]
4,mushroom,population,0.5450544357299805,[0.53173208 0.54760504 0.55019498 0.5410459  0.55469418],0.38002986907958985,[0.38845086 0.3883059  0.37469792 0.37797999 0.37071466],0.34964393619510686,[0.3696033  0.39172669 0.37568465 0.3718111  0.23939394],0.4337758191719986,[0.32370401 0.53772512 0.47688879 0.49722784 0.33333333],0.34000336104192747,[0.2387368  0.40863771 0.39794504 0.38676477 0.26793249],0.3570224701455503,[0.255093   0.39769708 0.36138175 0.37909655 0.39184397]
5,mushroom,habitat,0.40947389602661133,[0.42131901 0.44781899 0.45009708 0.39323115 0.33490324],0.24597253799438476,[0.24848604 0.26107073 0.26236987 0.2329011  0.22503495],0.4866180057706691,[0.55132569 0.54242243 0.59675704 0.37425994 0.36832492],0.5265695558220005,[0.70623864 0.59991646 0.50414941 0.388337   0.43420626],0.4619240529343748,[0.58151121 0.56703491 0.47947948 0.36741312 0.31418154],0.5959711412220694,[0.63241807 0.7829938  0.75996457 0.54738707 0.2570922 ]
6,census,income,30.919776964187623,[30.62676978 30.56459498 31.54674697 31.06567502 30.79509807],16.12640380859375,[15.94889903 16.40176702 16.1884532  16.07532787 16.01757193],0.8739227857845957,[0.87232317 0.8734904  0.87767989 0.86871302 0.87740745],0.5796555682308353,[0.58122605 0.57802643 0.5821896  0.57881189 0.57802386],0.5769375404878523,[0.57951532 0.57432702 0.58094262 0.57567868 0.57422407],0.7905695319789163,[0.79123797 0.78979976 0.79201239 0.78979976 0.78999779]
7,census,marital-status,75.8731423854828,[74.98009181 74.70062518 77.00781703 75.42469406 77.25248384],32.880200958251955,[33.44490719 33.21128678 33.48153496 32.5874548  31.67582107],0.0808175006632941,[0.13796456 0.06654443 0.06653707 0.06652126 0.06652018],0.14285336627748396,[0.1428722  0.14285714 0.14285714 0.14285714 0.1428232 ],0.09080044612690026,[0.09087858 0.09079538 0.09078852 0.09077381 0.09076595],0.46570340944202326,[0.46575949 0.46575949 0.46575949 0.46564885 0.46558973]
8,census,workclass,31.67296576499939,[31.92146778 31.71465874 31.24476123 31.81486416 31.66907692],17.781109428405763,[17.18843722 17.95675421 18.04141688 17.92138386 17.79755497],0.10520043761514833,[0.10519495 0.10521075 0.10519495 0.10519495 0.10520659],0.14285714285714285,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],0.12117052743031964,[0.12116689 0.12117737 0.12116689 0.12116689 0.12117461],0.7364030633060381,[0.73636464 0.73647527 0.73636464 0.73636464 0.73644612]
9,bank,y,0.049926042556762695,[0.04954529 0.05369282 0.05136609 0.04771781 0.04730821],0.03067021369934082,[0.03375077 0.0313642  0.02919388 0.03070021 0.02834201],0.7635731261705647,[0.81054569 0.70849784 0.81138015 0.77878119 0.70866077],0.6103437996820349,[0.64037659 0.58264607 0.62778219 0.60659281 0.59432134],0.6437625393892977,[0.68255652 0.60645527 0.66874157 0.6409507  0.62010863],0.8915857605177994,[0.9012945  0.88187702 0.89967638 0.89320388 0.88187702]
