,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5423860386145891,"[0.5156831472620946, 0.5681831078684704, 0.550893439829975, 0.5612681949760602, 0.5159023031363457]",0.5585498750437882,"[0.5551709414514293, 0.5857342831200277, 0.56010131229295, 0.5481576774029604, 0.5435851609515732]",0.5455319327504152,"[0.5320165658781749, 0.5743118452714134, 0.5455318363401283, 0.552537946693405, 0.5232614695689546]",0.503945692916165,"[0.4929187012792818, 0.519230299305652, 0.5241393501662928, 0.48671283139879806, 0.49672728243080044]",0.771176833031098,"[0.7555466608851309, 0.7868370523713736, 0.78629564924925, 0.7609200751638343, 0.7662847274859012]"
1,imdb,target3,gross,0.7235189488059239,"[0.7003716519287453, 0.7313774890723652, 0.7139765264117148, 0.7260688997821351, 0.7458001768346596]",0.7345295387785514,"[0.7062808980915942, 0.7394527691389439, 0.7179313821190252, 0.7478067265912633, 0.76117591795193]",0.7271662224553627,"[0.7027458712581486, 0.7346597262386736, 0.715793979169639, 0.7325214448729046, 0.7501100907374474]",0.7328500530694246,"[0.7040792735047252, 0.737853079397664, 0.7137235836056887, 0.7474458149436821, 0.7611485138953634]",0.7345295387785514,"[0.7062808980915942, 0.7394527691389439, 0.7179313821190252, 0.7478067265912633, 0.76117591795193]"
2,imdb,target2,content_rating,0.354137640190464,"[0.458567317013148, 0.32212621195999175, 0.2557486570028472, 0.39454578998321216, 0.3397002249931207]",0.35423543214134234,"[0.3963188663512543, 0.35141694774186033, 0.2775237522663577, 0.4156823761809868, 0.3302352181662526]",0.34373387483873985,"[0.4047539344962767, 0.3204082876329144, 0.2629947759366119, 0.4021634246069894, 0.32834895152090693]",0.13484741530732314,"[0.3624892449278595, 0.31174783160875624, 0.0, 0.0, 0.0]",0.8984929372620117,"[0.9018524184614541, 0.8982177619984592, 0.8911375015653411, 0.9027546127752846, 0.8985023915095196]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5942874387209439,"[0.6002092094866877, 0.5913438390710329, 0.5906642807749366, 0.5945943704709508, 0.594625493801112]",0.6182051150687832,"[0.6222102473303592, 0.6235943849116435, 0.6150149412809103, 0.6168770968247143, 0.6133289049962882]",0.5971224339673956,"[0.6012614352247262, 0.5976903816963725, 0.593409547853318, 0.5987735935733147, 0.5944772114892469]",0.5849396332300207,"[0.589993898585364, 0.5903014176664603, 0.581337330585235, 0.5828319579654234, 0.5802335613476209]",0.9229822599670173,"[0.9219588916683543, 0.9235896284068693, 0.9230870729703192, 0.9225375074536943, 0.9237381993358493]"
5,mushroom,target2,population,0.3876031652752977,"[0.394375576158464, 0.3737979119055834, 0.41331636490466767, 0.3580458471954411, 0.3984801262123323]",0.43258165490568723,"[0.4278036397686746, 0.4275776134171012, 0.4687547056912688, 0.3919607686021394, 0.4468115470492524]",0.4039142354879752,"[0.4076431716294852, 0.39260068191145603, 0.4339998468295944, 0.3696564224759899, 0.41567105459335035]",0.3443257907269657,"[0.347883527355914, 0.32971593877078664, 0.38100350162346375, 0.31207291601417414, 0.35095306987048963]",0.8270417959099173,"[0.8292371711202566, 0.8246886341931269, 0.8322871089521297, 0.8235562515466888, 0.825439813737385]"
6,census,target1,income,0.7084975825500789,"[0.7030963526435221, 0.7077181208053691, 0.7071406012662987, 0.7117189129935342, 0.7128139250416702]",0.7072642037996786,"[0.6985321686873878, 0.7078477759348654, 0.7068956283702614, 0.7150405511381122, 0.7080048948677662]",0.707834439111629,"[0.700723296414737, 0.7077828808682199, 0.7070178575349513, 0.7133351411972348, 0.7103130195430017]",0.691175207919788,"[0.6802078736294509, 0.6915945035560216, 0.6914192687320537, 0.7012785673520912, 0.6913758263293229]",0.7072642037996786,"[0.6985321686873878, 0.7078477759348654, 0.7068956283702614, 0.7150405511381122, 0.7080048948677662]"
7,census,target3,workclass,0.18834650855163576,"[0.19331737358150178, 0.19029043435734957, 0.18496898818899973, 0.18523904289916943, 0.18791670373115843]",0.2035331327702939,"[0.20951503201487923, 0.20645378497791694, 0.20031165417847405, 0.19856723332716802, 0.20281795935303104]",0.19212439106030535,"[0.1972781336132874, 0.19427294529888714, 0.1887391228434583, 0.1886074844148928, 0.19172426913100102]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8758720022972545,"[0.8782677004360112, 0.8762899661829289, 0.8743566014476187, 0.8736449430741688, 0.8768008003455446]"
8,census,target2,marital-status,0.35398160400851547,"[0.34878653772475693, 0.34948932874096733, 0.34647763571836104, 0.3653566490516537, 0.3597978688068385]",0.36529876954246754,"[0.35576810255454994, 0.372508289173281, 0.3458419285155507, 0.3972478920683867, 0.3551276354005692]",0.35061421444761565,"[0.3458540825191524, 0.346350449886339, 0.3418166509562746, 0.364987683635738, 0.35406220524057425]",0.11843535417080568,"[0.0, 0.27793813052998356, 0.0, 0.3142386403240448, 0.0]",0.9412060513591806,"[0.9395752595055759, 0.938628800937822, 0.9412010242193034, 0.9438061379721042, 0.9428190341610975]"
9,bank,target1,y,0.7053999301006654,"[0.7430618231046932, 0.6791166380789022, 0.7178308823529411, 0.6959604066345639, 0.6910299003322259]",0.7177466288099298,"[0.7613019617355448, 0.700542525866001, 0.7230616605616605, 0.6940183202737005, 0.7098086756127422]",0.7111001765134229,"[0.7517147678215326, 0.6887530769883711, 0.7203971345984668, 0.6949806735690954, 0.6996552295896489]",0.6874012834377429,"[0.7384742982231469, 0.6692502610022275, 0.6921451557042905, 0.6570695747038856, 0.6800671275551639]",0.7177466288099298,"[0.7613019617355448, 0.700542525866001, 0.7230616605616605, 0.6940183202737005, 0.7098086756127422]"
