,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4244121289652815,"[0.39087947951484586, 0.4339202069265762, 0.4525745853115293, 0.4320993576847765, 0.4125870153886797]",0.590733131384041,"[0.5071562693513912, 0.678040146143203, 0.5110374289419478, 0.6367575122292103, 0.6206743002544529]",0.35097391041524273,"[0.3060588838531895, 0.3743432235052347, 0.3119234725281017, 0.390157761448084, 0.3723862107416036]",0.5035964765704537,"[0.41270517572755544, 0.6300331512479357, 0.2943199669235802, 0.6135621254252527, 0.5673619635279444]",0.724473745435214,"[0.6978803417988888, 0.7623628090197583, 0.680575897303083, 0.7543811178172412, 0.7271685612370987]"
1,imdb,target3,gross,0.6087698987840388,"[0.7017101990049751, 0.6808030375508252, 0.6680375273101143, 0.6706749014063547, 0.32262382864792505]",0.649787364886845,"[0.7013798883982274, 0.6899758112650394, 0.6673841033108767, 0.6901970214600817, 0.5]",0.580439480504009,"[0.6457212919323042, 0.6409694312507612, 0.5970519977419557, 0.6262659102361949, 0.39218877135882835]",0.5288896502103242,"[0.6727788149654005, 0.6708882920653564, 0.630778324696138, 0.6700028193247259, 0.0]",0.649787364886845,"[0.7013798883982274, 0.6899758112650394, 0.6673841033108767, 0.6901970214600817, 0.5]"
2,imdb,target2,content_rating,0.1512427085952738,"[0.12114003511574613, 0.195922927838383, 0.06375444434776145, 0.19140998180437555, 0.18398615387010286]",0.1848781719272027,"[0.2195893172083648, 0.2487501764508321, 0.11688311688311688, 0.2138542272279537, 0.125314021865746]",0.08589046007472152,"[0.07548191321897853, 0.10687921802589627, 0.074434171659705, 0.08454838277145485, 0.08810861469757295]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8636350484278605,"[0.8633125787731736, 0.8651915222653832, 0.8621440540985107, 0.8654895568811639, 0.8620375301210709]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.7375640954702091,"[0.7364893040143211, 0.7359317939744369, 0.736846797703253, 0.7373126394161993, 0.7412399422428352]",0.8684114708182739,"[0.8698906207771149, 0.8766431036611221, 0.858635507800507, 0.868456265692983, 0.8684318561596426]",0.7352633123203327,"[0.7309181005438719, 0.7367897854196331, 0.7336464665313333, 0.7395714956197189, 0.7353907134871062]",0.8320479782062037,"[0.8310615876210733, 0.8401240505361001, 0.8222005709238551, 0.8346436643075748, 0.8322100176424156]",0.9500862820840595,"[0.9483618537597761, 0.9515006535843105, 0.950365912714653, 0.9501101295204611, 0.9500928608410969]"
5,mushroom,target2,population,0.5889341234522483,"[0.5941968200596137, 0.5796838104193861, 0.5849985312846994, 0.5794959806517256, 0.6062954748458163]",0.7222356062000198,"[0.7184676573596365, 0.7213192531964112, 0.7201208783106945, 0.7221621238463344, 0.7291081182870225]",0.6248015395036786,"[0.629647337909938, 0.6159999543255882, 0.6231906435193756, 0.6128596071112237, 0.6423101546522676]",0.663802032640217,"[0.6602993952363455, 0.6583573476363269, 0.658724911902947, 0.6656764819700187, 0.6759520264554467]",0.889915680129908,"[0.890916680084787, 0.890058074638301, 0.8878296125920344, 0.8884034456585063, 0.8923705876759113]"
6,census,target1,income,0.7367043479475623,"[0.7186546477193538, 0.7606348880740532, 0.7503954066922582, 0.7354522470294333, 0.7183845502227131]",0.6008384421766685,"[0.5964754586899443, 0.5964383608139912, 0.5913195429996464, 0.6159403198427589, 0.6040185285370014]",0.6113043391676736,"[0.6055339126571512, 0.6065237429711133, 0.5976324227917972, 0.6317728081417071, 0.615058809276599]",0.4794066113691022,"[0.4750266352818899, 0.4621666308680475, 0.45262375440649794, 0.513916634326168, 0.49329940196290756]",0.6008384421766685,"[0.5964754586899443, 0.5964383608139912, 0.5913195429996464, 0.6159403198427589, 0.6040185285370014]"
7,census,target3,workclass,0.1284114976969688,"[0.12013224091608025, 0.13124886160135013, 0.11411422880222201, 0.1472776259754211, 0.12928453118977057]",0.15418753146942485,"[0.1669115213691911, 0.14689869709577244, 0.147558585964976, 0.15775951200992372, 0.1518093409072609]",0.04050784968055089,"[0.02458789995421317, 0.045436487131137744, 0.03849310196950818, 0.04336869831656857, 0.050653061031326815]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8563501989995256,"[0.8564298814572157, 0.8567549890885147, 0.8558523441261687, 0.8576496859086149, 0.8550640944171143]"
8,census,target2,marital-status,0.06687322960472783,"[0.06792791166496016, 0.0655259761984419, 0.06874152886961236, 0.06545815902934718, 0.06671257226127757]",0.14107838076235618,"[0.14252135553935588, 0.14103970921061657, 0.14215318583985967, 0.13970990695128627, 0.13996774627066255]",0.09056917227885486,"[0.09160116343969489, 0.08948015359345596, 0.09225863966680717, 0.08914792137345427, 0.09035798332086195]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8564217193742122,"[0.856694942992605, 0.8565588164462268, 0.8565061184296987, 0.8561304925807425, 0.8562182264217878]"
9,bank,target1,y,0.7453801327974297,"[0.7231258496795494, 0.7431029185867896, 0.777019796682718, 0.7457025117739403, 0.7379495872641509]",0.7932151160381375,"[0.7786756011036657, 0.7849341047122933, 0.8160866910866911, 0.776371261450171, 0.8100079218378664]",0.7655193035527423,"[0.7463719850640831, 0.7612846264209249, 0.7945868945868946, 0.7594694316005791, 0.7658835800912305]",0.7823335419284188,"[0.7637841190599494, 0.7731356125368217, 0.8069700435584032, 0.7634458560383217, 0.8043320784485981]",0.7932151160381375,"[0.7786756011036657, 0.7849341047122933, 0.8160866910866911, 0.776371261450171, 0.8100079218378664]"
10,bank,target3,housing,0.5394648262340562,"[0.557084902926688, 0.5349582525090664, 0.5411992521367521, 0.5325581395348837, 0.5315235840628909]",0.5384293394604578,"[0.5560177774033195, 0.534861227922624, 0.5391166525781911, 0.5323574730354391, 0.5297935663627154]",0.5373998283473018,"[0.5556233632188239, 0.5348589955472278, 0.537051208812529, 0.5324060658746257, 0.527059508283303]",0.5305874720758631,"[0.5511383451005948, 0.5334875022478669, 0.5261143227877706, 0.5266400752650643, 0.5155571149780187]",0.5384293394604578,"[0.5560177774033195, 0.534861227922624, 0.5391166525781911, 0.5323574730354391, 0.5297935663627154]"
11,bank,target2,loan,0.5095288205175121,"[0.5281310963714397, 0.5116446860632907, 0.49893410852713177, 0.5111981150038081, 0.4977360966218905]",0.5157806340940596,"[0.5475728155339805, 0.5204277864992151, 0.49785700370153907, 0.5168396564065856, 0.4962059083289775]",0.48028430000520217,"[0.5054365079365079, 0.48431483597685016, 0.4511491728883033, 0.49837662337662336, 0.46214435984772595]",0.50372965351157,"[0.5399140772925863, 0.5081749287811809, 0.49070852530691134, 0.4906972819129283, 0.4891534542642428]",0.5157806340940596,"[0.5475728155339805, 0.5204277864992151, 0.49785700370153907, 0.5168396564065856, 0.4962059083289775]"
12,intention,target1,Revenue,0.7990996553135891,"[0.7911719526520286, 0.7958316630520066, 0.8246830331906646, 0.7916996529343582, 0.7921119747388876]",0.7282841258997561,"[0.710968475192349, 0.721744970234885, 0.7598039975910029, 0.7371151726122916, 0.7117880138682516]",0.7557011543856841,"[0.7408151835037187, 0.7501549087061614, 0.7864564987671715, 0.7599032327364773, 0.7411759482148916]",0.6906450609214451,"[0.6660876660668567, 0.6820076943659834, 0.7325697028847175, 0.7043105111493628, 0.668249730140305]",0.7282841258997561,"[0.710968475192349, 0.721744970234885, 0.7598039975910029, 0.7371151726122916, 0.7117880138682516]"
13,intention,target3,SpecialDay,0.17309789797104344,"[0.16993631375882587, 0.16766136243769666, 0.16684820080690635, 0.17826883474815478, 0.18277477810363355]",0.2056405034973272,"[0.19117425666993504, 0.188245565878679, 0.19906412857002512, 0.21804652640226976, 0.23167203996572705]",0.09805956659259926,"[0.08852286093560963, 0.09014867529118824, 0.09106359758092764, 0.1061214152606582, 0.1144412838946126]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8567378885904928,"[0.8550525105169856, 0.8540265650835311, 0.8517677060689536, 0.8577146149699498, 0.8651280463130439]"
14,intention,target2,VisitorType,0.5738791544234882,"[0.5794976085968885, 0.5789827964163172, 0.5816183664325946, 0.5684075050786721, 0.560889495592969]",0.5848856183530946,"[0.561054378315709, 0.6106163614741467, 0.5990360105732346, 0.5948303758057041, 0.5588909655966792]",0.5753816810613802,"[0.567160284175627, 0.587350459491856, 0.5878602473838248, 0.5747017391770555, 0.5598356750785376]",0.5123815230323147,"[0.4383175174735488, 0.5685194374184869, 0.5455384005374271, 0.5494578727821368, 0.46007438694997405]",0.5848856183530946,"[0.561054378315709, 0.6106163614741467, 0.5990360105732346, 0.5948303758057041, 0.5588909655966792]"
15,anuran,target1,Family,0.7855692023199146,"[0.8118227642475607, 0.7835158087852145, 0.8036934641384461, 0.7522368218281805, 0.7765771526001705]",0.9022463305288166,"[0.9108552863329568, 0.8883491749965553, 0.8682923667666876, 0.9310302169620825, 0.9127046075858006]",0.8183819546650121,"[0.8467677453874176, 0.8195635936706273, 0.831015013109796, 0.7834704140702213, 0.8110930070869979]",0.9008184349397638,"[0.9106159627202072, 0.8876294455483733, 0.8631987096356771, 0.9300430747827559, 0.9126049820118052]",0.9690730362160824,"[0.9699077673118321, 0.9661805317415801, 0.9706714193078738, 0.9687832188466363, 0.9698222438724904]"
16,anuran,target3,Species,0.8976739264109781,"[0.9193542408171531, 0.8758383810255269, 0.9101446661761405, 0.8620183865771862, 0.9210139574588837]",0.9344724320469489,"[0.9433931967373889, 0.9282180914552398, 0.9194458450860404, 0.9288203780483476, 0.9524846489077273]",0.9123728190750068,"[0.9307560420138404, 0.8982435645980317, 0.9142792315103755, 0.8833592078065304, 0.9352260494462558]",0.9327072801140869,"[0.9404727650316407, 0.9269229896825237, 0.9169373915229944, 0.9272513577019198, 0.9519518966313563]",0.9959231242267272,"[0.9969384362127027, 0.9945880733130572, 0.9957713034286388, 0.9956136824074002, 0.996704125771837]"
