,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.414321842475903,"[0.3879399757254773, 0.43219006409738925, 0.40384332745443857, 0.43620706034351725, 0.4114287847586922]",0.6235187959224526,"[0.5226231497572961, 0.683200918079096, 0.6141120526208205, 0.6518613811066641, 0.6457964780483865]",0.35213919704362906,"[0.29511116624436456, 0.36698570074017606, 0.3714513532295556, 0.37885235073564977, 0.3482954142683991]",0.5731797761349988,"[0.4455689886383951, 0.626988020020001, 0.5663656808827245, 0.6162903319535711, 0.6106858591803019]",0.7371595607472297,"[0.7087217802682856, 0.7564880816291186, 0.7257686785550833, 0.755690797541018, 0.7391284657426427]"
1,imdb,target3,gross,0.15045509794479445,"[0.14240530602656848, 0.2111237051156017, 0.0645410741914094, 0.15618590176912012, 0.17801950262127253]",0.18898816315239678,"[0.26592192432528566, 0.2657662137735422, 0.12772308336824464, 0.1578683028405165, 0.1276612914543949]",0.09510942542507164,"[0.07679340372165787, 0.14555074715391147, 0.07378147283149082, 0.0851532820611089, 0.09426822135718915]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.864805092115645,"[0.8648127543402714, 0.8704299460679978, 0.8608447332354114, 0.865436003744767, 0.8625020231897776]"
2,imdb,target2,content_rating,0.678783031217318,"[0.6724893162393162, 0.6482954545454546, 0.6545597784568373, 0.6573684210526316, 0.7612021857923497]",0.6197516068142879,"[0.6503597178135987, 0.635284139100933, 0.6295026483813669, 0.661157915685429, 0.522453613090112]",0.5367990637334658,"[0.5733658640152721, 0.5601104457273999, 0.531820472389746, 0.5768828151887118, 0.4418157213461991]",0.5158427436475683,"[0.5943051874346644, 0.5855555636027701, 0.5579720709209356, 0.6203536368722196, 0.22102725940725143]",0.6197516068142879,"[0.6503597178135987, 0.635284139100933, 0.6295026483813669, 0.661157915685429, 0.522453613090112]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.6126264421452569,"[0.6218713413634787, 0.5946498015627502, 0.6276553353637634, 0.5991671252624243, 0.6197886071738677]",0.7362300163472444,"[0.736350505034452, 0.7294620307001619, 0.7398585300775772, 0.736308384939964, 0.739170630984067]",0.6114282760296972,"[0.6155919591053954, 0.5977158346634438, 0.6114764716286557, 0.6028116017308333, 0.629545513020158]",0.6197791983323617,"[0.6206748575175878, 0.6105049585213956, 0.6146338477604885, 0.6279489339880444, 0.6251333938742921]",0.8941638835122664,"[0.8940550086382516, 0.8912664878991716, 0.89495187257689, 0.8929517164788696, 0.8975943319681488]"
5,mushroom,target2,population,0.7350037081808158,"[0.7348975749655517, 0.7359317939744369, 0.732519607992642, 0.7334007677144933, 0.7382687962569553]",0.8658396829135576,"[0.8666543748224221, 0.8766431036611221, 0.8559508407899973, 0.8642895990263163, 0.8656604962679298]",0.7338370888949941,"[0.7293264067110291, 0.7367897854196331, 0.7315151800030982, 0.737305652604583, 0.7342484197366269]",0.8297861663706232,"[0.8283232418302346, 0.8401240505361001, 0.8195860281980862, 0.8309746937221649, 0.8299228175665307]",0.9496166225400782,"[0.9478583290870671, 0.9515006535843105, 0.9495627344669287, 0.949447877864832, 0.9497135176972518]"
6,census,target1,income,0.7819938873616831,"[0.772705910141314, 0.7656222945953746, 0.8061490895681127, 0.7671345513365352, 0.7983575911670788]",0.5941195084254303,"[0.595377094168257, 0.5947108530914872, 0.582306218503245, 0.6056208741574596, 0.5925825022067026]",0.6010703687781837,"[0.6029356793000333, 0.6039903559499082, 0.5824035076707806, 0.6185584008240664, 0.5974639001461295]",0.45163169022977073,"[0.4568776143944345, 0.4568191487462277, 0.417813622533428, 0.48199317485842424, 0.4446548906163393]",0.5941195084254303,"[0.595377094168257, 0.5947108530914872, 0.582306218503245, 0.6056208741574596, 0.5925825022067026]"
7,census,target3,workclass,0.11668253776397433,"[0.14586902710341215, 0.14003787179993815, 0.11079400089408582, 0.09364658499820636, 0.09306520402422912]",0.1545284484050114,"[0.17130074969569092, 0.1464374338782635, 0.15353031706090192, 0.15511723784804987, 0.14625650354215064]",0.05529848846719537,"[0.08991246849535371, 0.09227318219338822, 0.03905700232930659, 0.03384246205063448, 0.02140732726729386]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8617293201787508,"[0.8639158688315766, 0.862784710470657, 0.8606777420459348, 0.8617289303554053, 0.8595393491901799]"
8,census,target2,marital-status,0.12866101488579648,"[0.1270702093070514, 0.12927675161717714, 0.1254037465509011, 0.1332687902517316, 0.1282855767021213]",0.151836870484585,"[0.15088299702831304, 0.15136370980812378, 0.1496734409121703, 0.15579944667202952, 0.15146475800228829]",0.1355112984248067,"[0.1344270740619377, 0.13554838591409873, 0.1326690185363357, 0.14007123075976075, 0.13484078285190057]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8590222935313955,"[0.8582705375901679, 0.8591490655830498, 0.858674897718241, 0.8598553185766374, 0.8591616481888816]"
9,bank,target1,y,0.7453801327974297,"[0.7231258496795494, 0.7431029185867896, 0.777019796682718, 0.7457025117739403, 0.7379495872641509]",0.7932151160381375,"[0.7786756011036657, 0.7849341047122933, 0.8160866910866911, 0.776371261450171, 0.8100079218378664]",0.7655193035527423,"[0.7463719850640831, 0.7612846264209249, 0.7945868945868946, 0.7594694316005791, 0.7658835800912305]",0.7823335419284188,"[0.7637841190599494, 0.7731356125368217, 0.8069700435584032, 0.7634458560383217, 0.8043320784485981]",0.7932151160381375,"[0.7786756011036657, 0.7849341047122933, 0.8160866910866911, 0.776371261450171, 0.8100079218378664]"
