,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.44641070518707676,"[0.4346655458809716, 0.4714017053151646, 0.4406276722066196, 0.4300593394796293, 0.45529926305299856]",0.6300362281494617,"[0.649921595653303, 0.6362183644644298, 0.6093832628649315, 0.5912203798996253, 0.6634375378650188]",0.33727780493783116,"[0.32610386577242995, 0.361247995843222, 0.3321291006505053, 0.31706651860943086, 0.3498415438135676]",0.548488115267167,"[0.5677398356568524, 0.5592799709858092, 0.5288009168993197, 0.5052285757955537, 0.5813912769983003]",0.7264933758774993,"[0.7351411353887963, 0.7435448325938784, 0.7088813425972496, 0.7073916229569681, 0.7375079458506044]"
1,imdb,target3,gross,0.1249380170246281,"[0.1599643011778844, 0.15256334259580084, 0.07484195941460035, 0.09826421320447568, 0.1390562687303792]",0.19714358670680138,"[0.1478354536258948, 0.2470403327036867, 0.13162985827319365, 0.2161172613534454, 0.2430950275777862]",0.0838867953246982,"[0.08203675170855743, 0.08993293244476039, 0.06527501383120153, 0.08804592520874688, 0.09414335343022474]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8594711830532719,"[0.8603226847017271, 0.8603348946149868, 0.8576011424230302, 0.8552980221330365, 0.8637991713935789]"
2,imdb,target2,content_rating,0.6216150286090179,"[0.6345485319306354, 0.617957195276202, 0.6177693614196748, 0.6189458689458689, 0.6188541854727087]",0.5919565610279648,"[0.6030298561904837, 0.5739719787641755, 0.596533900881727, 0.5934732495273475, 0.5927738197760902]",0.48645025205905706,"[0.5103109656301146, 0.45192362706827977, 0.49868945868945874, 0.4713854195134046, 0.49994178939402756]",0.5032221500358598,"[0.5229296190254683, 0.45514748957837853, 0.5219417869312325, 0.5013746071879721, 0.5147172474562476]",0.5919565610279648,"[0.6030298561904837, 0.5739719787641755, 0.596533900881727, 0.5934732495273475, 0.5927738197760902]"
3,mushroom,target1,Class,0.9940659316656941,"[0.9941724941724941, 0.9969678250704075, 0.9913367478774455, 0.9934329483509812, 0.9944196428571428]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]",0.9949436837926889,"[0.9952898082130057, 0.9971866083554493, 0.9925394339485492, 0.9943399064171122, 0.9953626620293287]",0.9958544580638373,"[0.9964475909040272, 0.9974072051918286, 0.9937997189310885, 0.9952740946644141, 0.996343680627828]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]"
4,mushroom,target3,habitat,0.6365066554642056,"[0.6427337042934592, 0.6296680994149291, 0.6349145907869561, 0.6247369645519306, 0.6504799182737534]",0.7299938916078009,"[0.7303446556533663, 0.7230649267091865, 0.7295864166164948, 0.7308679301310881, 0.7361055289288689]",0.5886854389723436,"[0.5953562139153262, 0.571210133051944, 0.5906840076894049, 0.5778696627012306, 0.6083071775038125]",0.5599421576704906,"[0.5717274872389684, 0.5304331162573909, 0.5728654534408351, 0.5598097467621831, 0.564874984653076]",0.8916012183674111,"[0.8913768977019237, 0.8879861004879696, 0.8908007601868212, 0.8907934506349139, 0.8970488828254274]"
5,mushroom,target2,population,0.6771728967763615,"[0.6817250875138899, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6723146173839262]",0.8433120238214803,"[0.8434809134252234, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8394463489132659]",0.6960294688531719,"[0.6952197622375594, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.691843107513745]",0.8027418611345819,"[0.8020985985623789, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.7989660223415361]",0.9326200500344971,"[0.9327045030188484, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9315199284637844]"
6,census,target1,income,0.7382302269411104,"[0.7426298574297479, 0.7261065107341504, 0.7452015022389138, 0.7311493630503163, 0.7460639012524239]",0.6280427803985358,"[0.6292761502109813, 0.625256737513971, 0.6274963102891696, 0.626511013828087, 0.6316736901504699]",0.6460103415639432,"[0.6473878981091363, 0.6430217263776863, 0.6454319321370845, 0.6443057233455666, 0.6499044278502427]",0.5389525038678155,"[0.5401898086634936, 0.5367889171344514, 0.5356877881647535, 0.5379206511369521, 0.5441753542394269]",0.6280427803985358,"[0.6292761502109813, 0.625256737513971, 0.6274963102891696, 0.626511013828087, 0.6316736901504699]"
7,census,target3,workclass,0.23010241682551405,"[0.21701389614160546, 0.20900308775992668, 0.25472282761961984, 0.23322842425429133, 0.23654384835212688]",0.22821708372494412,"[0.23746462534182952, 0.2198253405526569, 0.22509983300993364, 0.23458552635357388, 0.22411009336672658]",0.21075331975272307,"[0.2103482793153826, 0.20021845676630373, 0.21234565254503732, 0.22395250625181634, 0.20690170388507537]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9030095624005309,"[0.9036199761446102, 0.9020149739485472, 0.9036483068649112, 0.9030048709635546, 0.9027596840810311]"
8,census,target2,marital-status,0.1999068309293905,"[0.20287143123343324, 0.1993128883777671, 0.224153307601725, 0.1966514389205257, 0.1765450885135014]",0.1552336043623546,"[0.14864965647523773, 0.1768684523953791, 0.19493191352635958, 0.15776261197422242, 0.09795538744057415]",0.05545585107328438,"[0.05975910491886197, 0.053244420686998105, 0.059574720841297495, 0.042030041288989586, 0.06267096763027473]",0.04848530479726519,"[0.07109615348665722, 0.06918969072342339, 0.05757203513436487, 0.04456864464188046, 0.0]",0.8587736654159841,"[0.8588888768437943, 0.8586117830018151, 0.859193566410705, 0.8583951235027512, 0.8587789773208542]"
9,bank,target1,y,0.6895411650648927,"[0.6724544247907468, 0.682784911717496, 0.74477729601892, 0.6775622605363985, 0.6701269322609024]",0.6908196096723831,"[0.6930353840089749, 0.6968216626257292, 0.7053571428571428, 0.6964021631166538, 0.6624816957534148]",0.6891844220432993,"[0.6818532818532819, 0.6893485483172035, 0.7224966322406825, 0.686072634913985, 0.6661510128913444]",0.6501341870304816,"[0.6518289592265388, 0.6624000268120169, 0.6606874726434099, 0.6663759804770907, 0.6093784959933523]",0.6908196096723831,"[0.6930353840089749, 0.6968216626257292, 0.7053571428571428, 0.6964021631166538, 0.6624816957534148]"
