,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5915775781514169,"[0.6106026162558825, 0.5751128431218181, 0.5842526017790217, 0.584981684981685, 0.6029381446186771]",0.6361598155918037,"[0.6748384470945447, 0.6195810633575464, 0.6367190441786811, 0.6107362937551617, 0.6389242295730845]",0.6023253180821113,"[0.6282180042821066, 0.5845126916746081, 0.6006106486111715, 0.5878804277024522, 0.6104048181402183]",0.611969928029221,"[0.65580976556083, 0.600891531771898, 0.6106761836742676, 0.5881894704030887, 0.604282688736021]",0.7885939099548149,"[0.8076117201048406, 0.7838247472968233, 0.7900900803070149, 0.7761996719412285, 0.7852433301241669]"
1,imdb,target3,gross,0.34784662963055857,"[0.3460107719608154, 0.384134573639821, 0.30647304060557234, 0.3329920544406044, 0.36962270750597975]",0.4198633620142302,"[0.395963619033472, 0.4490022608277347, 0.38139612343581814, 0.40656391796944436, 0.46639088880468194]",0.3556152685554629,"[0.3381557001765101, 0.39838656688817803, 0.3115235108192186, 0.3451501882096659, 0.38486037668374184]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.90533014643168,"[0.9069725959217078, 0.9051532768468633, 0.9002783266977061, 0.9101124304922259, 0.9041341021998963]"
2,imdb,target2,content_rating,0.7321313355156475,"[0.7581248414315762, 0.7160540810397178, 0.7092191179172025, 0.7131405416289137, 0.7641180955608269]",0.7214654917538488,"[0.74477497264282, 0.7073241604624132, 0.7004808692451713, 0.7106661912501244, 0.7440812651687152]",0.7257219313097683,"[0.7501014198782961, 0.7109708316065341, 0.7041813639035861, 0.7118590351724008, 0.7514970059880239]",0.7118245270802117,"[0.7367426510516858, 0.6977937326762359, 0.6895248102880827, 0.7015912316963824, 0.7334702096886715]",0.7214654917538488,"[0.74477497264282, 0.7073241604624132, 0.7004808692451713, 0.7106661912501244, 0.7440812651687152]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5956978149482421,"[0.601472853223891, 0.5915011802322553, 0.5978858927983887, 0.5835104168218309, 0.6041187316648449]",0.727735575805421,"[0.7266313308698447, 0.7293634808740549, 0.7320997737996676, 0.720070788491841, 0.730512504991697]",0.6149917453575012,"[0.6198030176209275, 0.6034953854207386, 0.6215271525303305, 0.5982765452086827, 0.6318566260068266]",0.6379685425933617,"[0.6396862714247116, 0.6255012418860976, 0.6489995387736908, 0.6305249807249689, 0.6451306801573399]",0.8912132765782683,"[0.8915399864601463, 0.891802581361016, 0.8915051288285568, 0.8884378594257306, 0.8927808268158922]"
5,mushroom,target2,population,0.7406772194407194,"[0.7372848290282351, 0.7359317939744369, 0.7443566305449442, 0.7438271604938271, 0.7419856831621537]",0.8728017364461256,"[0.8715087437544611, 0.8766431036611221, 0.8709266914400052, 0.8749550773388535, 0.8699750660361859]",0.7371714860314007,"[0.7317099750897259, 0.7367897854196331, 0.7385560405336543, 0.7426589070935296, 0.7361427220204608]",0.835485920154295,"[0.8324140172412899, 0.8401240505361001, 0.8316830922003916, 0.8397071650338257, 0.8335012757598684]",0.9505330684865545,"[0.9486136160961306, 0.9515006535843105, 0.9511312681640082, 0.9510487022335926, 0.9503711023547307]"
6,census,target1,income,0.7816235260897463,"[0.7835348900758459, 0.7866833442347265, 0.7738822330144886, 0.7819101969669965, 0.782106966156674]",0.7249893303287978,"[0.7329080907883024, 0.7246156587634052, 0.7223599545909878, 0.71877244706513, 0.7262905004361635]",0.7452954005612689,"[0.7517986451819798, 0.746626935798656, 0.7411671588514415, 0.7406374915656742, 0.7462467714085934]",0.6955448834882767,"[0.7069513165445999, 0.6934621178584736, 0.6936739054312069, 0.6859552174090214, 0.697681860198082]",0.7249893303287978,"[0.7329080907883024, 0.7246156587634052, 0.7223599545909878, 0.71877244706513, 0.7262905004361635]"
7,census,target3,workclass,0.3392884648334082,"[0.35067902530599787, 0.31517803137381717, 0.34281174831973343, 0.34770232610016605, 0.3400711930673267]",0.36786350993868466,"[0.36909866551011483, 0.35526568184395474, 0.3738721129984371, 0.38034994903627145, 0.3607311403046454]",0.302405562827453,"[0.3023459247442948, 0.28819787750326037, 0.3038174697163973, 0.31392446886859926, 0.3037420733047134]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9572943394996785,"[0.9572153726379398, 0.9549427581707031, 0.9595367461863648, 0.9579834558510091, 0.9567933646523761]"
8,census,target2,marital-status,0.3040982115422308,"[0.28580540492472195, 0.3197886437808121, 0.2949967391724315, 0.300786290078778, 0.3191139797544105]",0.24762454311251095,"[0.25774204190465705, 0.2413001187051726, 0.2207142993604519, 0.25270303745712036, 0.2656632181351529]",0.20422130700184704,"[0.19719313305692526, 0.2054784251358525, 0.20572988718602442, 0.19755500778972473, 0.2151500818407081]",0.13503220590290718,"[0.12851199204957606, 0.13668762164028045, 0.11961327934594722, 0.1318347151591757, 0.1585134213195565]",0.879438563065557,"[0.8785079864644988, 0.880357078856987, 0.8806707246971103, 0.8782262826028375, 0.8794307427063516]"
9,bank,target1,y,0.7487318792723104,"[0.7322381799694967, 0.7387435677530017, 0.7661890794223827, 0.7706439393939394, 0.7358446298227319]",0.7460096319883641,"[0.721612443528092, 0.7673020140672636, 0.7400793650793651, 0.7838759518816907, 0.7171783853854095]",0.7466986486503228,"[0.7267501842299191, 0.7517018928783635, 0.7521390374331551, 0.7769974417665275, 0.7259046869436478]",0.7190163579613533,"[0.6839477187435237, 0.7510864653046149, 0.7089749661627712, 0.7696654769923743, 0.6814071626034829]",0.7460096319883641,"[0.721612443528092, 0.7673020140672636, 0.7400793650793651, 0.7838759518816907, 0.7171783853854095]"
