,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5590981604172715,"[0.5347905507872878, 0.5811524200686312, 0.5685496420790538, 0.6091132523390588, 0.5018849368123258]",0.6101178186702394,"[0.5804296258564551, 0.6223441283292978, 0.6417486591141753, 0.6417254304046757, 0.5643412496465933]",0.5795460363286234,"[0.5529287441336659, 0.5980973157122113, 0.5984182979329553, 0.6240839504667867, 0.5242018733974979]",0.5755639705446404,"[0.5366151831894478, 0.5954355008418114, 0.6063639436029966, 0.6083389562390925, 0.5310662688498534]",0.7844048402980499,"[0.7772736140925464, 0.7907489231550558, 0.7979441562625058, 0.796897032579852, 0.7591604754002895]"
1,imdb,target3,gross,0.3793101684913642,"[0.49134989130056556, 0.3786809759789084, 0.3157560231539424, 0.2977732664385358, 0.4129906855848689]",0.35108613257339094,"[0.3874986463440595, 0.3744940189882263, 0.32435460766501034, 0.31119670439676617, 0.3578866854728924]",0.35343780085556153,"[0.39990422832040423, 0.3742328532438003, 0.31814248390168265, 0.30326964415634367, 0.3716397946555768]",0.12592328598511907,"[0.32903542996607094, 0.30058099995952436, 0.0, 0.0, 0.0]",0.9027896538880894,"[0.9013643303872053, 0.9090759557650318, 0.8946520623163362, 0.9063403277482825, 0.9025155932235917]"
2,imdb,target2,content_rating,0.7347964805063584,"[0.727484378755107, 0.7548360766164501, 0.7204507629372696, 0.7232211048879837, 0.7479900793349817]",0.7406130794785344,"[0.7350777254348045, 0.7525445292620865, 0.7268006592949385, 0.7326611164549405, 0.7559813669459015]",0.7371763589152694,"[0.7304812834224599, 0.7536479687928324, 0.7232155527174684, 0.7272528114502702, 0.7512841781933166]",0.7379258111966764,"[0.733781893879422, 0.7481954541822833, 0.7237315976170006, 0.7291497958969376, 0.7547703144077385]",0.7406130794785344,"[0.7350777254348045, 0.7525445292620865, 0.7268006592949385, 0.7326611164549405, 0.7559813669459015]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.3198688890608132,"[0.3258058471448087, 0.31533456177750335, 0.3459223140635641, 0.3030472901338383, 0.30923443218435137]",0.3327870166165614,"[0.331164922523322, 0.33439260693528405, 0.3599551672690922, 0.32017549540193363, 0.3182468909531752]",0.3249890669854615,"[0.32829264076100023, 0.32328380774096194, 0.3520510073687754, 0.30927530744127035, 0.3120425716152995]",0.2400690502211707,"[0.244051209545153, 0.23728217879859395, 0.2755933030641779, 0.22444938622872115, 0.21896917346920736]",0.8144433637744557,"[0.8167050264536325, 0.8126364287351385, 0.8189101944822443, 0.8125755966883489, 0.811389572512914]"
5,mushroom,target2,population,0.47372511621712843,"[0.4878694238453292, 0.458956921832339, 0.4636327724563019, 0.4915542549704255, 0.4666122079812463]",0.4694913045259076,"[0.4817193571681524, 0.46105945236249496, 0.46446789255008425, 0.4864785651019181, 0.4537312554468884]",0.47004883494193495,"[0.4839634768029329, 0.4588389095722474, 0.46317017688841483, 0.4871009083319397, 0.4571707031141398]",0.2762189442729802,"[0.30807680296300477, 0.2393709008610815, 0.2722662149651933, 0.2987842843757062, 0.2625965181999154]",0.9034890413881737,"[0.9028767754553472, 0.9024709346286744, 0.9033502756961043, 0.9048483960382252, 0.9038988251225168]"
6,census,target1,income,0.7382831736501817,"[0.7333429878909907, 0.7386330882816841, 0.7386483179728771, 0.7422160422688335, 0.7385754318365227]",0.7471532265346619,"[0.7415071447037916, 0.7507003906285495, 0.7480800049740398, 0.7505039856259368, 0.7449746067409914]",0.7424313126318517,"[0.7371789693242377, 0.7441757570483407, 0.7430462114177098, 0.7461297988982023, 0.7416258264707678]",0.7385047824950955,"[0.7324284791373873, 0.7425534239866041, 0.7398305131394506, 0.741710395056123, 0.7360011011559128]",0.7471532265346619,"[0.7415071447037916, 0.7507003906285495, 0.7480800049740398, 0.7505039856259368, 0.7449746067409914]"
7,census,target3,workclass,0.38993683796263817,"[0.383206626286115, 0.3897205292018212, 0.3892400199915596, 0.3977793044981474, 0.38973770983554756]",0.3910197604914487,"[0.3900230839484003, 0.39083091248203683, 0.38825018663213623, 0.4009899411370039, 0.3850046782576663]",0.3900749166244907,"[0.3858221773181857, 0.39018265084787945, 0.38825449355843483, 0.3990728799108868, 0.3870423814870665]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9605562870375968,"[0.9596983622935532, 0.9600372965983663, 0.9613777752153545, 0.9610550764616772, 0.9606129246190329]"
8,census,target2,marital-status,0.21775571930946555,"[0.20959633832976207, 0.21785976508536595, 0.214176192233623, 0.22663393267021184, 0.2205123682283649]",0.22456875412457805,"[0.2163402655308376, 0.2266105047649248, 0.21947115720875468, 0.2321128160816446, 0.22830902703672842]",0.22051365408985654,"[0.21245399307504947, 0.22124173652093077, 0.2161243522110523, 0.22882600952593096, 0.22392217911631934]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8814400119912044,"[0.8805348038944343, 0.88165413829271, 0.881654403053845, 0.8815886866816974, 0.8817680280333351]"
9,bank,target1,y,0.7110778081079658,"[0.7301655219006868, 0.7294871794871796, 0.6901812858912284, 0.7172587299989936, 0.6882963232617401]",0.7387362508979101,"[0.8098905430399321, 0.7320378327772044, 0.7148199023199022, 0.7382628848912923, 0.698670091461219]",0.7226884859880482,"[0.7613100908927053, 0.7307510966548297, 0.7012443675211124, 0.7268939393939393, 0.6932429354776545]",0.7146614738369429,"[0.8016878286903605, 0.7043089406300714, 0.685998703055786, 0.7175723336904206, 0.6637395631180759]",0.7387362508979101,"[0.8098905430399321, 0.7320378327772044, 0.7148199023199022, 0.7382628848912923, 0.698670091461219]"
10,bank,target3,housing,0.5044164018669646,"[0.4855675971999662, 0.5001259763164525, 0.5243968924628595, 0.5269466779517562, 0.48504486540378866]",0.5045020927808876,"[0.4855821888954419, 0.5001261564339782, 0.524587912087912, 0.5272534668721109, 0.4849607396149949]",0.5042562057727148,"[0.48556978030662235, 0.5001050508446088, 0.5239942902658496, 0.5268245477843827, 0.4847873596621108]",0.5034678249956605,"[0.48380330007350997, 0.4995372122362326, 0.5244044240850757, 0.5252260826907867, 0.48436810589269713]",0.5045020927808876,"[0.4855821888954419, 0.5001261564339782, 0.524587912087912, 0.5272534668721109, 0.4849607396149949]"
11,bank,target2,loan,0.5041863343151067,"[0.5016814679378346, 0.5085176535238357, 0.5085489036708549, 0.48950847457627117, 0.5126751718667372]",0.5051378162020569,"[0.5019417475728155, 0.5097331240188383, 0.5112669653873628, 0.4889226914817466, 0.5138245525495215]",0.5035521973957435,"[0.5008360875468798, 0.5083307423596759, 0.5066555277081592, 0.4890873015873015, 0.5128513277767008]",0.4050854967268922,"[0.4038648240643209, 0.40792771853341947, 0.419067374460851, 0.37291534616376154, 0.42165222041210826]",0.5051378162020569,"[0.5019417475728155, 0.5097331240188383, 0.5112669653873628, 0.4889226914817466, 0.5138245525495215]"
