,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.45644207419148525,"[0.42052822609864676, 0.47443819677080623, 0.48888127213618754, 0.4624721990090673, 0.4358904769427187]",0.5492711253037426,"[0.5225662192125607, 0.5530414072408624, 0.607722310635308, 0.5317673591258497, 0.5312583303041318]",0.4657253031163552,"[0.4300966837645131, 0.48041868212880273, 0.5004119964119963, 0.46879777560796265, 0.44890137766850097]",0.5339886800840143,"[0.5052091201042933, 0.5426459998068244, 0.6038699066061993, 0.5179852341122834, 0.5002331397904713]",0.7319805837738803,"[0.7204851142660719, 0.7297111692339376, 0.7630184825449163, 0.7280267955745195, 0.7186613572499564]"
1,imdb,target3,gross,0.19872512267084266,"[0.18522073739465045, 0.2274920030302106, 0.19616516696070738, 0.18827333051519515, 0.19647437545344967]",0.19650028102640837,"[0.18343951006328457, 0.2143277093182184, 0.19516046057663922, 0.1856244177763165, 0.20394930739758324]",0.19407432488771198,"[0.18124753949244404, 0.21670592720078083, 0.19070488939341193, 0.18497029684137714, 0.19674297151054612]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8763430226589058,"[0.8767229357516308, 0.8766599867233932, 0.8823721989295817, 0.872907512305296, 0.873052479584627]"
2,imdb,target2,content_rating,0.7186312349974151,"[0.7407467532467533, 0.7053243847874721, 0.6803518630205498, 0.7150782997762863, 0.7516548741560142]",0.7345354224807968,"[0.7532071928040915, 0.7162378663650928, 0.6961962522603254, 0.7391621612657135, 0.7678736397087607]",0.722677329168422,"[0.7446776410950793, 0.7088827838827838, 0.6830704953682301, 0.7206867541208363, 0.7560689713751805]",0.7342533252645559,"[0.7530119728278623, 0.7152893577626, 0.6960041355717432, 0.739089715179972, 0.767871444980602]",0.7345354224807968,"[0.7532071928040915, 0.7162378663650928, 0.6961962522603254, 0.7391621612657135, 0.7678736397087607]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.426461261338605,"[0.41640628918406697, 0.4111874195556922, 0.46563418491046443, 0.4092227922798948, 0.42985562076290657]",0.4279612223661643,"[0.41075318702660063, 0.42148812729680674, 0.46221186328763514, 0.42143595626337366, 0.42391697795640554]",0.4260523248577682,"[0.41279191874894566, 0.41531917509459065, 0.4630479695506943, 0.4135767287645274, 0.42552583213008316]",0.3747751670548247,"[0.3526051969413612, 0.36361338300009155, 0.4186013374917063, 0.3672337023378606, 0.37182221550310396]",0.8428011106093962,"[0.8459410660416302, 0.8382246033838849, 0.8465629397689377, 0.8426924775586238, 0.840584466293904]"
5,mushroom,target2,population,0.547810264703155,"[0.5531014878479246, 0.542115865850043, 0.5385699596765171, 0.5609180093786355, 0.5443460007626546]",0.5491628983426591,"[0.552245569863057, 0.5677946296736279, 0.5274308725709372, 0.5651315802159669, 0.5332118393897063]",0.5460248439366506,"[0.552339365684795, 0.5502301518254249, 0.5310668461235486, 0.5596786520524601, 0.5368092039970249]",0.4546168930358265,"[0.46139768723530766, 0.4708450038467807, 0.4267585418572406, 0.4767858046882946, 0.43729742755150885]",0.9112530201442176,"[0.9112853582167291, 0.910564712846205, 0.9104768886690863, 0.9114368700011254, 0.9125012709879418]"
6,census,target1,income,0.6028312315448627,"[0.6045257760543256, 0.6071943680741579, 0.5929131963102274, 0.607266054581366, 0.6022567627042363]",0.630278872505956,"[0.6327858922295759, 0.6363809718782723, 0.6170849514528233, 0.6374012527671065, 0.627741294202002]",0.6020209304586434,"[0.6027809030694576, 0.6080105242105978, 0.5913457068841795, 0.6062698006366481, 0.6016977174923338]",0.6281006146413799,"[0.6313973667600532, 0.6335790527060989, 0.6142513244486097, 0.6358559699780423, 0.6254193593140953]",0.630278872505956,"[0.6327858922295759, 0.6363809718782723, 0.6170849514528233, 0.6374012527671065, 0.627741294202002]"
7,census,target3,workclass,0.195580889981669,"[0.1887471635808439, 0.22167918930044647, 0.18399425735889502, 0.1957339856358785, 0.18774985403228103]",0.17756600541173614,"[0.17706092079165642, 0.18023129507402014, 0.1789553213041463, 0.17681807202999936, 0.17476441785885857]",0.17237971077319741,"[0.17150706107577895, 0.17674469535380877, 0.17369748422200582, 0.17062535702326945, 0.16932395619112417]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8766737165183196,"[0.8768722335842469, 0.8761795160224575, 0.8773438340674552, 0.8766614550033891, 0.8763115439140491]"
8,census,target2,marital-status,0.1638189570145084,"[0.16676788643260765, 0.16658549625152538, 0.1541363454726629, 0.16291816796424374, 0.16868688895150247]",0.14984232113914353,"[0.14917379509382125, 0.15267928080316603, 0.14492903307658994, 0.15282474319071818, 0.1496047535314222]",0.14428062528870247,"[0.14399919453573728, 0.14702744278289184, 0.1389232922363942, 0.14793075745418524, 0.1435224394343038]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8596955301925476,"[0.8599057301643082, 0.8600686329095917, 0.8592215927492332, 0.8599065673440015, 0.8593751277956033]"
9,bank,target1,y,0.6947658654755993,"[0.6723259762308998, 0.7073639626920594, 0.7212881355932204, 0.6923770409696484, 0.6804742118921678]",0.8171696842306971,"[0.8200630666141111, 0.831432892431044, 0.832112332112332, 0.7967332524003974, 0.8055068775956022]",0.7275487433714696,"[0.7081562436753694, 0.7419389978213509, 0.7574519472677871, 0.7206100619274272, 0.7095864661654134]",0.8162058390579409,"[0.8190672180031443, 0.831018782816872, 0.8303364917060368, 0.7955288364140379, 0.8050778663496131]",0.8171696842306971,"[0.8200630666141111, 0.831432892431044, 0.832112332112332, 0.7967332524003974, 0.8055068775956022]"
10,bank,target3,housing,0.4933489521533814,"[0.5051130134098001, 0.5013197586726998, 0.5029326434638708, 0.494737954353339, 0.46264139086719736]",0.4932833424401558,"[0.5051078439632657, 0.5013246425567703, 0.5029585798816568, 0.49467128916281455, 0.46235435663627156]",0.4928241022418437,"[0.5051051051051051, 0.5009857382550336, 0.5019831322201893, 0.49436841210472626, 0.4616781235241644]",0.4924923624820659,"[0.5035157379939742, 0.501301921484888, 0.502949878100847, 0.4923659639173309, 0.4623283109132894]",0.4932833424401558,"[0.5051078439632657, 0.5013246425567703, 0.5029585798816568, 0.49467128916281455, 0.46235435663627156]"
11,bank,target2,loan,0.5129643500232515,"[0.48428920073215376, 0.5475589225589226, 0.49771201952410005, 0.4724326599326599, 0.562828947368421]",0.5017247953833541,"[0.4961165048543689, 0.5133045525902669, 0.4993506071822845, 0.4929670722977809, 0.5068852399920694]",0.47820394754384593,"[0.47044464446444645, 0.49980869411660833, 0.48182639629445717, 0.46431183465612047, 0.4746281681875974]",0.18387909467102803,"[0.16748628079881808, 0.24311557032356437, 0.1823428426536954, 0.1616951186076186, 0.16475566097144373]",0.5017247953833541,"[0.4961165048543689, 0.5133045525902669, 0.4993506071822845, 0.4929670722977809, 0.5068852399920694]"
12,intention,target1,Revenue,0.6344075680138772,"[0.6198009784997806, 0.6322909277534969, 0.6534465171983315, 0.6353178937980289, 0.631181522819748]",0.7055749841094092,"[0.6851290270205155, 0.7078639998767278, 0.7344681725482898, 0.7125796264818808, 0.687834094619632]",0.6476560970920697,"[0.6306720509557213, 0.6436457640329547, 0.6702811108467317, 0.6502255539767193, 0.6434560056482217]",0.7008698123737187,"[0.6786871518009169, 0.7051264145891396, 0.7320243701595295, 0.7080114892601369, 0.6804996360588701]",0.7055749841094092,"[0.6851290270205155, 0.7078639998767278, 0.7344681725482898, 0.7125796264818808, 0.687834094619632]"
13,intention,target3,SpecialDay,0.5935626757855041,"[0.6017007480823271, 0.5847777025502143, 0.6118878570187846, 0.5963034420642017, 0.5731436292119934]",0.5846831102184826,"[0.5882950489990026, 0.5854713495212786, 0.600051174233704, 0.5866538103858925, 0.5629441679525351]",0.588420202776917,"[0.5938882718987432, 0.5851211241243272, 0.6052293191012856, 0.5908968216478845, 0.5669654771123449]",0.49220219507410173,"[0.49698876480275284, 0.4987561433079884, 0.5178014230560352, 0.4932855381468939, 0.4541791060568382]",0.5846831102184826,"[0.5882950489990026, 0.5854713495212786, 0.600051174233704, 0.5866538103858925, 0.5629441679525351]"
14,intention,target2,VisitorType,0.18861654955687368,"[0.14830978110279855, 0.18172757475083057, 0.1870509143614889, 0.23399558498896247, 0.19199889258028793]",0.16869400021113273,"[0.16535372258263825, 0.16796637097841915, 0.1727904908785239, 0.16898237076877107, 0.16837704584731117]",0.16271995407948164,"[0.1563686824423021, 0.16096364432763904, 0.16982641619218963, 0.1636358286252354, 0.1628051988100421]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.833815688209126,"[0.8332412290397467, 0.8340800542953165, 0.8345897851748411, 0.8334866558029885, 0.8336807167327374]"
15,anuran,target1,Family,0.9589996845933169,"[0.9779807082718617, 0.9534497425020658, 0.9457337773652326, 0.9448439986122577, 0.9729901962151664]",0.9872355248714525,"[0.995047287339504, 0.990490304761189, 0.9600207293081834, 0.9950808802992455, 0.9955384226491405]",0.9720984002245185,"[0.9862924796661555, 0.970589450790658, 0.9526303070278559, 0.9671739743347562, 0.9838057893031671]",0.9868330881689019,"[0.9950302419572066, 0.9904668308791488, 0.9580828318474313, 0.9950580709521746, 0.995527465208549]",0.9962406109973957,"[0.9966309509519982, 0.995073652055133, 0.9959767315229261, 0.9968885479764771, 0.9966331724804446]"
16,anuran,target3,Species,0.9642627111108973,"[0.9819431010295967, 0.9573812219109155, 0.955331684728999, 0.95455499417441, 0.9721025537105655]",0.9670040560629267,"[0.9591775852623545, 0.9813609251355094, 0.9531198495011391, 0.9721383444549255, 0.9692235759607044]",0.9645796819736802,"[0.968444558526415, 0.9684497203497395, 0.9539367395564995, 0.9619319198921025, 0.9701354715436443]",0.9657258001371968,"[0.9558760050677045, 0.9812070942493555, 0.9515514634981787, 0.9715901221840998, 0.968404315686646]",0.9984052555845923,"[0.9986616402744877, 0.9981703015902645, 0.9983432352872699, 0.9983198400629434, 0.9985312607079955]"
