,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4068518557127544,"[0.39165488188051895, 0.39967320261437905, 0.39663292269629696, 0.44355744079399373, 0.4027408305785835]",0.564730607251067,"[0.5557826951119634, 0.5542740401245244, 0.5114110811251441, 0.6288704656629185, 0.5733147542307848]",0.3764285074871524,"[0.36545635195406695, 0.3863131201003731, 0.30567897819181766, 0.4509769090406163, 0.3737171781488878]",0.44333998024194293,"[0.5262022294077007, 0.3469602184555007, 0.20876062259867936, 0.6049324352530578, 0.5298443954947759]",0.7193811990714571,"[0.7253446883331307, 0.7211011776293715, 0.6792220064713294, 0.7606568502310059, 0.7105812726924482]"
1,imdb,target3,gross,0.14845346835526407,"[0.1370439084724799, 0.14805194805194805, 0.1513815402704292, 0.1605438070578731, 0.14524613792359026]",0.15922281006286182,"[0.15404606286959227, 0.16282903200905724, 0.1469071499567569, 0.16722998520466875, 0.16510182027423406]",0.11154867066092841,"[0.09992270512961206, 0.11576211270534416, 0.08184510406004777, 0.12913115939750322, 0.13108227201213482]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8679384302990496,"[0.8639292411824847, 0.869974454108631, 0.8598919450622857, 0.8733883608559176, 0.8725081502859281]"
2,imdb,target2,content_rating,0.6574103929000229,"[0.6169630642954856, 0.32486631016042783, 0.8310991957104558, 0.6880070208560725, 0.8261163734776725]",0.547948569947328,"[0.5112804712419772, 0.5, 0.5019762845849802, 0.711391754287041, 0.5150943396226415]",0.4587344285413337,"[0.4250476795931341, 0.3938411669367909, 0.4023241046482093, 0.6483967674661105, 0.42406242406242406]",0.22416633333517638,"[0.191393463944521, 0.0, 0.06286946134619315, 0.6928198442799401, 0.17374889710522776]",0.547948569947328,"[0.5112804712419772, 0.5, 0.5019762845849802, 0.711391754287041, 0.5150943396226415]"
3,mushroom,target1,Class,0.9997130535914616,"[1.0, 0.9992846924177397, 0.9992805755395684, 1.0, 1.0]",0.9995380963810439,"[1.0, 0.9988399071925754, 0.9988505747126437, 1.0, 1.0]",0.9996252049809915,"[1.0, 0.9990613701003561, 0.9990646548046006, 1.0, 1.0]",0.9995378293732304,"[1.0, 0.9988392335031453, 0.9988499133630073, 1.0, 1.0]",0.9995380963810439,"[1.0, 0.9988399071925754, 0.9988505747126437, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5262302700496573,"[0.5337896820228513, 0.5048457597470428, 0.5488015645003834, 0.5222236323897967, 0.521490711588212]",0.5216982556474088,"[0.5142652930074597, 0.49782684925756143, 0.5299251241332279, 0.550825469510904, 0.5156485423278909]",0.515612131492019,"[0.5191583713756681, 0.49371236974474014, 0.5333127288150373, 0.5311413119475304, 0.500735875577119]",0.4729747506331977,"[0.46927562634197967, 0.45054479331194347, 0.4963789321108044, 0.5158706556162636, 0.43280374578499714]",0.873052164395918,"[0.8755528415029606, 0.8693864010171599, 0.876952672528129, 0.874187588751894, 0.8691813181794469]"
5,mushroom,target2,population,0.6254855965672033,"[0.6374010907359126, 0.6318116436752818, 0.6154614942692168, 0.6219752935213021, 0.6207784606343031]",0.616517635315991,"[0.655720393004961, 0.6275207309574179, 0.6036684208340357, 0.606089800306834, 0.5895888314767067]",0.6144042918824786,"[0.639817135014825, 0.6138896687159002, 0.6079526313801957, 0.6105535672342082, 0.5998084570672635]",0.5497917625308817,"[0.6049821138948565, 0.5382186310711807, 0.5441933917923849, 0.5295594757228037, 0.5320052001731829]",0.9258609861155348,"[0.9311648302465212, 0.9226498915558426, 0.9252018208586481, 0.9260145120903345, 0.9242738758263275]"
6,census,target1,income,0.6343786033838229,"[0.7004495081315516, 0.589937697246708, 0.5967352150136069, 0.689142311687052, 0.595628284840196]",0.6163328402659758,"[0.6204226763774727, 0.6099954712638394, 0.6158825544045397, 0.6192389092389092, 0.6161245900451177]",0.6114524851479674,"[0.6350502808172516, 0.5920701189743901, 0.5994870344596755, 0.6335132674235501, 0.5971417240649693]",0.5790211254056367,"[0.5372027278082149, 0.6010177750198495, 0.607425921466203, 0.5392428000905196, 0.610216402643396]",0.6163328402659758,"[0.6204226763774727, 0.6099954712638394, 0.6158825544045397, 0.6192389092389092, 0.6161245900451177]"
7,census,target3,workclass,0.06653223478597804,"[0.06631580611003114, 0.06584167022268582, 0.06729568694387812, 0.06599971551846759, 0.06720829513482755]",0.14285714285714285,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.090782380902154,"[0.09058233040099305, 0.09013901660626386, 0.09149217331514091, 0.09028701151289119, 0.09141137267548102]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8571428571428571,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]"
8,census,target2,marital-status,0.14703183651498744,"[0.17667757903559964, 0.141683137006878, 0.16242765425851546, 0.11810442548147466, 0.1362663867924694]",0.14357009671989324,"[0.14412788694729048, 0.14325111283042302, 0.14372650926957384, 0.1431461399727147, 0.14359883457946412]",0.12270237163610065,"[0.1238007980633187, 0.12249195101811874, 0.12304068585781178, 0.1219437142813431, 0.12223470895991098]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8572724834856643,"[0.8572736941682363, 0.8572770315283431, 0.8572139311901689, 0.857158667829763, 0.8574390927118107]"
9,bank,target1,y,0.7166765799536055,"[0.6936343748008751, 0.7060428849902534, 0.7188858695652174, 0.7358306308962264, 0.7289891395154553]",0.7980530721659422,"[0.7764167247809344, 0.7664258107881028, 0.8688186813186813, 0.7825074495088842, 0.7960966944331085]",0.7445331510659241,"[0.723668521462639, 0.7293825718873157, 0.7590643274853801, 0.7553946742152859, 0.7551556602789999]",0.7901193373323918,"[0.7650533914254631, 0.7553094426962902, 0.8687966921597321, 0.7726708202373818, 0.7887663401430918]",0.7980530721659422,"[0.7764167247809344, 0.7664258107881028, 0.8688186813186813, 0.7825074495088842, 0.7960966944331085]"
