,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5481337848160561,"[0.5339527489472166, 0.5630178857129212, 0.5366750625317032, 0.5926874981248503, 0.5143357287635895]",0.6169130330171173,"[0.6016232696110745, 0.6332659546869596, 0.6026811095856061, 0.6454640747093577, 0.6015307564925886]",0.5747702488202443,"[0.5596543389822751, 0.5895906936402834, 0.5632911225536334, 0.6156951740867425, 0.5456199148382871]",0.580341460544332,"[0.5717276034773677, 0.6113481577869806, 0.5483241762326136, 0.6126965162437871, 0.557610848980911]",0.7850539874123973,"[0.7857868858144036, 0.7923021015039261, 0.7785603646540271, 0.799045798311584, 0.7695747867780455]"
1,imdb,target3,gross,0.7355745917225337,"[0.7253457618127392, 0.7722970335675253, 0.7240446841294299, 0.7013153986838198, 0.7548700804191544]",0.7404080374715717,"[0.7307743052052371, 0.7629818113278672, 0.7326815061368837, 0.7135850276957776, 0.7620175369920927]",0.7372467646187184,"[0.7276705986954555, 0.7670619235836627, 0.7275903444381706, 0.7059905539133787, 0.7579204024629249]",0.7375112941934403,"[0.7287620011861762, 0.7570390316045312, 0.730477130336511, 0.7105927953476777, 0.7606855124923055]",0.7404080374715717,"[0.7307743052052371, 0.7629818113278672, 0.7326815061368837, 0.7135850276957776, 0.7620175369920927]"
2,imdb,target2,content_rating,0.3708058125723049,"[0.4503921307295164, 0.30502948409419295, 0.31310940479629995, 0.375525598485814, 0.4099724447557011]",0.34812927960607204,"[0.3554330886394962, 0.3266358781681943, 0.3232015514112468, 0.3662966831460193, 0.36907919666540356]",0.3465719697028321,"[0.3634088995176366, 0.3132675570663241, 0.3165649321436278, 0.36728142359793975, 0.37233703618863256]",0.05826106808368636,"[0.2913053404184318, 0.0, 0.0, 0.0, 0.0]",0.9028708476862285,"[0.8996178410371484, 0.9082425796121033, 0.898143159658889, 0.9051210344514599, 0.9032296236715424]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.47372511621712843,"[0.4878694238453292, 0.458956921832339, 0.4636327724563019, 0.4915542549704255, 0.4666122079812463]",0.4694913045259076,"[0.4817193571681524, 0.46105945236249496, 0.46446789255008425, 0.4864785651019181, 0.4537312554468884]",0.47004883494193495,"[0.4839634768029329, 0.4588389095722474, 0.46317017688841483, 0.4871009083319397, 0.4571707031141398]",0.2762189442729802,"[0.30807680296300477, 0.2393709008610815, 0.2722662149651933, 0.2987842843757062, 0.2625965181999154]",0.9034890413881737,"[0.9028767754553472, 0.9024709346286744, 0.9033502756961043, 0.9048483960382252, 0.9038988251225168]"
5,mushroom,target2,population,0.32000959417794944,"[0.3254747900241057, 0.3154286160427994, 0.34739895505569773, 0.3032514186222583, 0.3084941911448861]",0.33390561893197535,"[0.33098939935302746, 0.33604291592671304, 0.3627356735517177, 0.3215575281523874, 0.31820257767603105]",0.32554802077508904,"[0.3280369051189508, 0.3240716771729443, 0.3541143020320532, 0.3099328294755385, 0.31158439007595856]",0.23988145865546304,"[0.24292887092202514, 0.23542503158802952, 0.27923730106579947, 0.22497955270624376, 0.21683653699521738]",0.8144314166608041,"[0.8166631373617882, 0.8126447640461781, 0.8189146205180046, 0.8125571654252574, 0.8113773959527921]"
6,census,target1,income,0.7381885115254221,"[0.7333114463691681, 0.7352753692519285, 0.73949889429456, 0.7435488519401929, 0.7393079957712614]",0.7468414309955435,"[0.7423176147196311, 0.7497409239530455, 0.7475622568085761, 0.7503211332479625, 0.7442652262485019]",0.7422155951713396,"[0.7375141470385149, 0.7417823049773153, 0.7433004469287825, 0.7467831636572541, 0.7416979132548313]",0.7381099925541055,"[0.73353739868595, 0.7421254440153674, 0.7389153921552827, 0.7411305644096429, 0.7348411635042844]",0.7468414309955435,"[0.7423176147196311, 0.7497409239530455, 0.7475622568085761, 0.7503211332479625, 0.7442652262485019]"
7,census,target3,workclass,0.21740202898510574,"[0.21325374867220454, 0.21434595288454303, 0.21692187474239408, 0.22127247702063566, 0.22121609160575137]",0.22404674306916048,"[0.2188045824964123, 0.22315436079073234, 0.2229863263545996, 0.22541686800987723, 0.22987157769418085]",0.22002293132277964,"[0.21558118961981385, 0.21754373849969158, 0.21930236830037275, 0.22278891858920913, 0.22489844160481082]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8811714169398229,"[0.880316839251358, 0.8812149625098618, 0.8818865642098804, 0.8806445166234186, 0.8817942021045961]"
8,census,target2,marital-status,0.39152115357909345,"[0.3836140348613401, 0.3928607589664434, 0.3920316860165363, 0.39862649576962406, 0.39047279228152343]",0.39135514193549464,"[0.3899241474223057, 0.3936490545930321, 0.39159516203479977, 0.3964800615683423, 0.38512728405899316]",0.39105797886377597,"[0.38614678117575796, 0.3930297614210997, 0.3914676327374561, 0.39716840059095, 0.3874773183936161]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9604988243694089,"[0.9594022191286228, 0.96002272339802, 0.9613938685106457, 0.9614346729808637, 0.9602406378288926]"
9,bank,target1,y,0.7100805662105285,"[0.7150148286088696, 0.7477716390423573, 0.6822215422276622, 0.7129277566539924, 0.6924670645197613]",0.7340946139250981,"[0.7835723598435462, 0.7422281969416904, 0.7120726495726495, 0.7274362653128794, 0.7051635979547255]",0.7201238982795545,"[0.7422314911366006, 0.7449504758205476, 0.6952161762288345, 0.7197548054608601, 0.6984665427509293]",0.7092992818735653,"[0.7710539021027316, 0.7156694952390582, 0.6839376106565973, 0.7031861837106039, 0.6726492176588358]",0.7340946139250981,"[0.7835723598435462, 0.7422281969416904, 0.7120726495726495, 0.7274362653128794, 0.7051635979547255]"
