,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds
0,imdb,target1,imdb_score,0.44914291375527976,"[0.44364731337580743, 0.4562650682503612, 0.44364178184041014, 0.4395716360002075, 0.4625887693096127]",0.6302038456875673,"[0.6262455059065228, 0.6334754915843427, 0.6230147535761302, 0.6229131070004704, 0.6453703703703704]",0.342152222098245,"[0.340691870951279, 0.3511542038610876, 0.3375624609283152, 0.3298455485824117, 0.3515070261681315]",0.5518176960327805,"[0.5526672551433908, 0.5502588594023918, 0.5548436031629556, 0.5386529494017503, 0.5626658130534138]"
1,imdb,target3,gross,0.6227473576017102,"[0.6349191109404253, 0.6270046462829736, 0.6213090971155487, 0.6140559440559441, 0.6164479896136597]",0.6010936883233453,"[0.6122090469916557, 0.6064775547387931, 0.6029657947686117, 0.591887323943662, 0.5919287211740042]",0.5071032595464475,"[0.5147058823529411, 0.5198592148632177, 0.5067510030886471, 0.48882299270072993, 0.5053772047267013]",0.5288902982155401,"[0.5397150825609321, 0.540443313076357, 0.5334674546314006, 0.5124918412267103, 0.5183337995823007]"
2,imdb,target2,content_rating,0.18279159986671684,"[0.1736863661447196, 0.16062119752852513, 0.11945929445929446, 0.28093145294472727, 0.17925968825631777]",0.18549677779478507,"[0.180115995838866, 0.22719034471852967, 0.17635385116588126, 0.14770711914202456, 0.196116578108624]",0.09545910136821087,"[0.0890810038696522, 0.10915935969913558, 0.08384434846054592, 0.09293458113362026, 0.10227621367810034]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,mushroom,target1,Class,0.997744620817746,"[0.9965277777777778, 0.9970297257047636, 0.9988317757009346, 0.997732426303855, 0.9986013986013986]",0.9981401546303669,"[0.9978571428571428, 0.997414794923478, 0.9992877492877492, 0.9985507246376812, 0.9975903614457831]",0.9979388481656262,"[0.9971841103010683, 0.9972213676580978, 0.9990588254909071, 0.9981379469587016, 0.9980919904193561]",0.9981388395107869,"[0.9978548420057326, 0.9974147359284152, 0.999287495456387, 0.9985496729133521, 0.9975874512500477]"
4,mushroom,target3,habitat,0.6779719638422284,"[0.6730010346727573, 0.6741229085210132, 0.6614737116600027, 0.6984802335931151, 0.6827819307642536]",0.8438204610374624,"[0.8331771028621423, 0.8476912861375013, 0.8407856826241135, 0.8516551993687456, 0.84579303419481]",0.696195092237228,"[0.6875247100753428, 0.6920802020265104, 0.67778607672842, 0.7188062154832764, 0.7047782568725904]",0.8029444603475644,"[0.7858194453111806, 0.8099461447888016, 0.7973416019768104, 0.8157823520390235, 0.8058327576220053]"
5,mushroom,target2,population,0.6340457720723429,"[0.6263105583521141, 0.6503808412806892, 0.6240487136169717, 0.633657263534324, 0.6358314835776158]",0.7302704018230056,"[0.7305891164097792, 0.7339375826715013, 0.7278135662361708, 0.7339183416912803, 0.7250934021062966]",0.589237966804047,"[0.5900023098568822, 0.5910275586276267, 0.5785185056588691, 0.5957093783748056, 0.590932081502052]",0.5626939345785045,"[0.5673518377903273, 0.5606061759058231, 0.5527269185776579, 0.5606396905819583, 0.5721450500367559]"
6,census,target1,income,0.7251992869958912,"[0.7216832032670428, 0.7312658481678541, 0.7264757116587912, 0.7230544998339545, 0.7235171720518129]",0.6267316491496757,"[0.622014311874062, 0.6295627511375376, 0.6267120262529096, 0.6275771352550306, 0.6277920212288385]",0.6438424495334786,"[0.6377522515030363, 0.6473719234050682, 0.6447766114582265, 0.6443526087284638, 0.6449588525725984]",0.5406417030932668,"[0.532200074265575, 0.5444442461943533, 0.5396685192376801, 0.543406363385075, 0.54348931238365]"
7,census,target3,workclass,0.17147642639852953,"[0.1681179579825771, 0.17022996155379225, 0.17294945424879965, 0.1791100166934476, 0.16697474151403116]",0.15928698789375656,"[0.1590175263976992, 0.15784208860277046, 0.15746781888258934, 0.1611767355722002, 0.16093077001352357]",0.14800331756924437,"[0.147657152411512, 0.14553804120932642, 0.14662918801923808, 0.1508328225878063, 0.14935938361833903]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
8,census,target2,marital-status,0.21881185450632232,"[0.2065910688530827, 0.20891576907505452, 0.2214108111220536, 0.22199082847990587, 0.23515079500151484]",0.25461907405208956,"[0.2493754163441738, 0.27763244488148403, 0.2432637448346536, 0.2493197356827106, 0.25350402851742565]",0.22551896575842506,"[0.22415758653586584, 0.23196718217442366, 0.2186959692625943, 0.22542626111687253, 0.22734782970236903]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
9,bank,target1,y,0.6442134340275489,"[0.6543699491170308, 0.6440860215053763, 0.6239790505380509, 0.6300970873786408, 0.6685350615986454]",0.6915148133673542,"[0.6937953547356803, 0.6881016042780749, 0.6641252006420546, 0.7124692118226601, 0.6990826953583006]",0.660596199769506,"[0.669671352731462, 0.660782897587751, 0.6375090009966667, 0.6536414849053878, 0.6813762626262626]",0.6657083101516716,"[0.667988325353643, 0.6575355056394069, 0.6369794513743426, 0.6940989835857551, 0.6719392848052105]"
10,bank,target3,housing,0.5279233926810448,"[0.4839638070559249, 0.48505653311568286, 0.512895752895753, 0.5813046502384738, 0.5763962200993897]",0.5116388353921707,"[0.49188869789428447, 0.4933906673037108, 0.5069962295768747, 0.5346052589843626, 0.5313133232016211]",0.45163355220440166,"[0.44301483058375835, 0.43002902289584005, 0.4438761011651038, 0.4745892672097119, 0.46665853916759437]",0.35662735482232294,"[0.3380980194187061, 0.31926017360265524, 0.3777427279194401, 0.37914351076765634, 0.3688923424031569]"
11,bank,target2,loan,0.5025228980734486,"[0.5175660346783342, 0.48505291005291007, 0.49920872164585894, 0.5109846435786755, 0.49980218041146474]",0.50449926262548,"[0.5313899613899614, 0.4742362061103511, 0.49859870380101595, 0.5186134390900928, 0.49965800273597805]",0.3995755786355195,"[0.42154071400031845, 0.38009259259259254, 0.39307006017013624, 0.40697664827233504, 0.3961978781422152]",0.4925551552881623,"[0.5201722316494323, 0.4647475358491139, 0.48688048532961714, 0.5031701358121144, 0.4878053878005337]"
12,intention,target1,Revenue,0.6161298723365769,"[0.6244871210394347, 0.6179214639455531, 0.6139444605828559, 0.6071404163160916, 0.6171558997989495]",0.6950219686064499,"[0.7064354564354565, 0.7104477632442917, 0.6867479674796748, 0.682738286430703, 0.6887403694421238]",0.6189736955977578,"[0.6278040141676505, 0.6204347826086956, 0.6195973395915125, 0.6064657781223544, 0.6205665634985758]",0.6939230619675152,"[0.7060983915680156, 0.7101376507976743, 0.6841147623974221, 0.6818135034704057, 0.6874510016040586]"
13,intention,target3,SpecialDay,0.2737196564285696,"[0.2595444235476918, 0.2760445794656212, 0.26925519738259496, 0.2822886366675082, 0.2814654450794318]",0.4749025495334709,"[0.44702004688802516, 0.48288549104967915, 0.48513166723323103, 0.47234042117961544, 0.4871351213168036]",0.30292163928423965,"[0.2844384803244004, 0.3077450892738406, 0.29677161591203044, 0.3132670162276925, 0.3123859946832344]",0.30366137392293185,"[0.25517623414870066, 0.35247922115504854, 0.2964079476664729, 0.321380139704747, 0.2928633269396902]"
14,intention,target2,VisitorType,0.5548307272885926,"[0.5446310908026556, 0.5537395473948892, 0.5631021494229042, 0.5592940065729182, 0.5533868422495961]",0.612022080637282,"[0.5930751428364793, 0.6068019192137201, 0.6248297822306321, 0.6281927343034497, 0.6072108246021289]",0.45817150977641957,"[0.4450903203211274, 0.45562598581024, 0.4727061672888817, 0.4599431833613071, 0.45749189210054164]",0.5934701676955612,"[0.5769806166172119, 0.5875028766764462, 0.6062162264809657, 0.6073562814277988, 0.5892948372753827]"
15,anuran,target1,Family,0.6709091947662493,"[0.6823284709643593, 0.6768453477967795, 0.6837033802518926, 0.6766713837276204, 0.634997391090595]",0.8606212683857268,"[0.8832715572276596, 0.8633527930402931, 0.8630559835907518, 0.8606944921150587, 0.8327315159548718]",0.7124910848717299,"[0.7274597105234553, 0.7156538114119996, 0.7218661716584972, 0.7206572034109755, 0.6768185273537223]",0.8563276342518611,"[0.8786938666741465, 0.8593620607699886, 0.8590750674326461, 0.8569360807704294, 0.8275710956120949]"
16,anuran,target3,Species,0.8230734090115442,"[0.8289357501717921, 0.803680420061281, 0.8201562621708449, 0.8255129041752701, 0.8370817084785334]",0.8301066535091385,"[0.8246399690194878, 0.815912405043932, 0.8358067661111228, 0.8209764765811276, 0.8531976507900225]",0.8155135246528997,"[0.8123995789014955, 0.7942500414674918, 0.8175858250071155, 0.8155859709133905, 0.8377462069750058]",0.8149711393956686,"[0.8047892961332518, 0.7996840453866498, 0.8252833375740544, 0.8017010235567757, 0.8433979943276114]"
17,anuran,target2,Genus,0.7620304614044044,"[0.7622438159044261, 0.7433994218599262, 0.7600667818116851, 0.773800000745893, 0.7706422867000928]",0.8066489957315586,"[0.8023236433190291, 0.8007445153649511, 0.8001449047287019, 0.7916442838547617, 0.8383876313903488]",0.7637082491220746,"[0.760798925773549, 0.7470927111193372, 0.7593582677697197, 0.7671087822255298, 0.7841825587222366]",0.785237729710313,"[0.777511156383932, 0.7775245037453345, 0.782754247589354, 0.7604106073276827, 0.8279881335052619]"
18,telco,target1,Churn,0.6731271159233535,"[0.68430499479031, 0.6782223172382902, 0.6732175428310859, 0.6637450345141964, 0.666145690242885]",0.7223059438188619,"[0.7347631786321596, 0.7325037186570336, 0.7155923786358569, 0.7122048863852143, 0.7164655567840448]",0.6523979914957642,"[0.6656741428203146, 0.6542595801265262, 0.6533844842284741, 0.6440778670814968, 0.6445938832220094]",0.7139597607682898,"[0.7263332808283468, 0.7219576905382523, 0.7078588512112187, 0.7052525528948974, 0.7083964283687337]"
19,telco,target3,PaymentMethod,0.4147569118438694,"[0.42949638226315495, 0.39848627574319934, 0.4083798705844959, 0.4203730147250042, 0.41704901590349297]",0.39355664910767096,"[0.39023755579916247, 0.3910974055203329, 0.3954121368277431, 0.4017127014794666, 0.3893234459116497]",0.35857642615116997,"[0.35206475150239425, 0.35716150767158833, 0.35636858693813805, 0.3701856226826472, 0.3571016619610818]",0.2743104105404134,"[0.2801865939256445, 0.26180161942290925, 0.2739396080821972, 0.27830838256104684, 0.27731584871026943]"
20,telco,target2,Contract,0.5720770893086153,"[0.5565968517940444, 0.5647799327781768, 0.5817518199306565, 0.5743711577110322, 0.5828856843291672]",0.5768745433491694,"[0.5616832997405894, 0.5665659080132764, 0.5895733585177646, 0.5809553419974383, 0.5855948084767784]",0.5710221960521015,"[0.5533656554169605, 0.5637038588651492, 0.5829319783098531, 0.5745613356781755, 0.580548151990369]",0.5631324766242338,"[0.5471125570408945, 0.5509841737764186, 0.5759368284044282, 0.5691737329366164, 0.5724550909628111]"
21,paris,target1,category,0.4971928415794764,"[0.4950252064267321, 0.5104628771998245, 0.5011217948717949, 0.49497017948686967, 0.4843841499121609]",0.4933866584195988,"[0.4880506432035311, 0.5219865587898216, 0.5025086009174312, 0.4883397438291198, 0.4660477453580902]",0.4313195785468829,"[0.42335227800284414, 0.45666639469427706, 0.4281231094978827, 0.42506358869485794, 0.42339252184455256]",0.49012688394535153,"[0.4852560904296492, 0.5199582303289746, 0.5021813084073934, 0.48579229704515114, 0.4574464935155894]"
22,paris,target3,hasStorageRoom,0.34852463731865935,"[0.24875, 0.2505, 0.7463731865932967, 0.24625, 0.25075]",0.5000985221674876,"[0.5, 0.5, 0.5004926108374385, 0.5, 0.5]",0.3322117036573834,"[0.332220367278798, 0.33377748167888077, 0.3310780857486648, 0.32998324958123953, 0.33399933399933396]",0.006277648205743445,"[0.0, 0.0, 0.03138824102871723, 0.0, 0.0]"
23,paris,target2,isNewBuilt,0.24955,"[0.24225, 0.2575, 0.248, 0.25125, 0.24875]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.332904054897941,"[0.32637251599865275, 0.33993399339933994, 0.3315508021390374, 0.33444259567387685, 0.332220367278798]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
24,smoking,target1,smoking,0.7219733330136003,"[0.7199826630893675, 0.7193723513082801, 0.7259266478711237, 0.7224109056663272, 0.7221740971329027]",0.7348185715090043,"[0.7347445428849413, 0.7328562958593678, 0.7390757545119602, 0.735343707090092, 0.7320725571986599]",0.6995781115336274,"[0.7005146183365134, 0.6967028300415048, 0.7050489454575533, 0.6985570266803021, 0.6970671371522634]",0.7236919072435082,"[0.7251293391130104, 0.7216570203879838, 0.7286169740564689, 0.723466560022372, 0.7195896426377055]"
25,smoking,target3,dental caries,0.5455603117400022,"[0.549650720343906, 0.5378900456020933, 0.5335539301056542, 0.5580990845962603, 0.5486077780520972]",0.5092431730545262,"[0.5096421968436905, 0.5081367216466455, 0.506414938039679, 0.5116145630888259, 0.5104074456537897]",0.4777906620620693,"[0.4769613657315994, 0.4763813912413387, 0.4721389332700859, 0.4822078076390271, 0.4812638124282955]",0.21960546377336163,"[0.21851577953383833, 0.22119928313030335, 0.20514033139728105, 0.2259604991923673, 0.2272114256130182]"
26,smoking,target2,tartar,0.5425200058330382,"[0.53811180966658, 0.5351322373123659, 0.5540164071272426, 0.5407719130817794, 0.5445676619772227]",0.5295720473280385,"[0.526661235680347, 0.5240111784308218, 0.5379127383230449, 0.528407369021746, 0.5308677151842331]",0.504535805610917,"[0.5013698358867468, 0.49695632062907225, 0.5129974152252015, 0.5045383862509174, 0.506817070062647]",0.45141474508257173,"[0.4492610464896178, 0.44144539889387696, 0.46388627277743705, 0.45025819386694904, 0.4522228133849779]"
27,flight,target1,satisfaction,0.8408896292436369,"[0.8386469730158135, 0.8417742360538285, 0.8390928593929614, 0.8416531954325559, 0.8432808823230251]",0.8431184398923008,"[0.8406240241433673, 0.8441856370841471, 0.8421123047374048, 0.8437110011971987, 0.8449592322993857]",0.8418339096549541,"[0.8395174506931682, 0.8428019996495324, 0.840299417406881, 0.8425318830380444, 0.8440187974871445]",0.8430871460502978,"[0.8405659671706205, 0.8441573913928846, 0.842107678040747, 0.8436854722077295, 0.8449192214395069]"
28,flight,target3,Class,0.5014385141559339,"[0.4988777625462791, 0.5055605654949035, 0.4982804079468886, 0.5020780643242367, 0.5023957704673613]",0.5403878260550032,"[0.5385672153749939, 0.5446722511981811, 0.5373135774477324, 0.5390727605764857, 0.5423133256776228]",0.5200395220244494,"[0.5177415768652199, 0.5242195088490221, 0.5169628701949093, 0.5198390532627369, 0.5214346009503581]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
29,flight,target2,Customer Type,0.766518445030959,"[0.7651960614760241, 0.770464776787989, 0.7673721701309739, 0.7681286745951551, 0.7614305421646532]",0.840348983177418,"[0.8382680052783565, 0.8443019149125983, 0.8409556796507921, 0.8400877864053156, 0.8381315296400278]",0.7925565830659348,"[0.7910652295112692, 0.7967964071291853, 0.7932327558675117, 0.793736169690366, 0.7879523531313419]",0.8399097515817402,"[0.8377498466478043, 0.8438851780155483, 0.8405780509682675, 0.8396160656161317, 0.8377196166609491]"
