,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5932087453317003,"[0.6218975404241874, 0.5701305463254854, 0.582036289380725, 0.5913881288842505, 0.6005912216438533]",0.6289191251989054,"[0.6707734064441381, 0.5988747405741958, 0.635171056562582, 0.6056857887046566, 0.6340906337089542]",0.5982692045503882,"[0.6287971031424451, 0.5710432199793902, 0.5979533191879841, 0.5882306262781857, 0.6053217541639363]",0.6048890140649398,"[0.6526548892748076, 0.5767936675925792, 0.6095556743979572, 0.5811021602042223, 0.6043386788551321]",0.7842924206302253,"[0.8037271845747355, 0.772132680924216, 0.7886387014971454, 0.7731673840337571, 0.7837961521212726]"
1,imdb,target3,gross,0.7393611570416712,"[0.7521529703692892, 0.7464912280701754, 0.7172220704725485, 0.7141698895267165, 0.7667696267696268]",0.7218530451124691,"[0.7279182932224042, 0.7295102566519021, 0.7036133203181258, 0.7048036419118379, 0.7434197134580756]",0.7283025731286135,"[0.7359678662717573, 0.7359678662717573, 0.7089664384705293, 0.7088952897322942, 0.7517154048967291]",0.7094218131436565,"[0.7142188565284177, 0.7184663435728793, 0.6906494679090134, 0.6921852128114174, 0.7315891848965551]",0.7218530451124691,"[0.7279182932224042, 0.7295102566519021, 0.7036133203181258, 0.7048036419118379, 0.7434197134580756]"
2,imdb,target2,content_rating,0.3539977298497637,"[0.35109962818855506, 0.3881603705311911, 0.31016678483592564, 0.33047773794101437, 0.39008412775213214]",0.42675697581730987,"[0.4116343317630083, 0.4517842408747968, 0.38251954906900515, 0.4081897604813628, 0.4796569968983762]",0.3615134369569141,"[0.3476349781042863, 0.40309950271765027, 0.31387605829639786, 0.3425600649605549, 0.40039658070568135]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9059103965366229,"[0.9072647670390512, 0.9059941388973932, 0.9001570319182817, 0.9111321559565058, 0.9050038888718827]"
3,mushroom,target1,Class,0.9994258382810092,"[1.0, 0.9992846924177397, 0.9992805755395684, 0.9992927864214993, 0.999271137026239]",0.9990759561273469,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 0.9988713318284425]",0.9992501565668436,"[1.0, 0.9990613701003561, 0.9990646548046006, 0.9990544269819135, 0.9990703309473477]",0.9990754217007435,"[1.0, 0.9988392335031453, 0.9988499133630073, 0.9988172674749604, 0.9988706941626053]",0.9990759561273469,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 0.9988713318284425]"
4,mushroom,target3,habitat,0.7399616380638837,"[0.7348975749655517, 0.7355282427234281, 0.7439616858372032, 0.7438271604938271, 0.7415935262994086]",0.8624657832946385,"[0.8666543748224221, 0.8647383417563602, 0.8598155803288942, 0.8749550773388535, 0.846165542226662]",0.7316495119663211,"[0.7293264067110291, 0.7304479622843645, 0.7326475290528579, 0.7426589070935296, 0.7231667546898239]",0.8264752028566138,"[0.8283232418302346, 0.8298112219197002, 0.8221744982879479, 0.8397071650338257, 0.8123598872113602]",0.9502203420161036,"[0.9478583290870671, 0.9512402369176439, 0.9508615810011172, 0.9510487022335926, 0.9500928608410969]"
5,mushroom,target2,population,0.5825721353066671,"[0.5976647273087224, 0.5603517035222415, 0.585674330785189, 0.5716830434105653, 0.5974868715066172]",0.7060597880036396,"[0.7249291381786653, 0.6870247343650452, 0.7090762706572926, 0.6988678726573463, 0.7104009241598482]",0.6072568314687607,"[0.6205372524216096, 0.5886716860973399, 0.6112714872577497, 0.5882353194746538, 0.627568412092451]",0.6374127190417138,"[0.6443377408912351, 0.6229980157417201, 0.6406815625279566, 0.624867735913614, 0.6541785401340436]",0.8865717867272045,"[0.8905690843244493, 0.8813351331353294, 0.8875118725749451, 0.8848245183949704, 0.8886183252063279]"
6,census,target1,income,0.7562251839388054,"[0.7596730099169124, 0.7561313635227702, 0.750045853505046, 0.7600599416928924, 0.7552157510564063]",0.7491404207378481,"[0.7560383131992061, 0.7524164729470486, 0.7416458206767228, 0.7495364166095874, 0.7460650802566764]",0.7525047583223502,"[0.7578153521015123, 0.7542334964707403, 0.745621523250251, 0.7544775069843179, 0.7503759128049294]",0.736573021443719,"[0.7452759229208351, 0.7405530755564856, 0.7280110364747364, 0.7359550629202742, 0.7330700093462634]",0.7491404207378481,"[0.7560383131992061, 0.7524164729470486, 0.7416458206767228, 0.7495364166095874, 0.7460650802566764]"
7,census,target3,workclass,0.44451979528907903,"[0.42068088658082914, 0.434098015004363, 0.45626119550900857, 0.4597484003716659, 0.45181047897952853]",0.24258094833935545,"[0.26570728586627107, 0.20975400050790854, 0.22283993168916144, 0.24091272964497465, 0.27369079398846174]",0.21050243958335435,"[0.2098266177674629, 0.19697623842491388, 0.21124115861320608, 0.2116333776110436, 0.2228348055001453]",0.10418030458901932,"[0.10550712511984944, 0.07487239790545586, 0.10221002710865269, 0.1081116906964529, 0.1302002821146857]",0.8772286972930141,"[0.8765438100938923, 0.8761051159738747, 0.877202171474783, 0.8774314591155493, 0.8788609298069716]"
8,census,target2,marital-status,0.4565537861404779,"[0.4283384730395508, 0.5639111196752608, 0.4365481722623246, 0.42750016623696113, 0.42647099948829253]",0.433507010263562,"[0.43820521919577876, 0.42628296471443683, 0.44251982695974984, 0.43593613809276005, 0.4245909023550846]",0.4305621810309355,"[0.43263021148828246, 0.42491822587713596, 0.43920946014962314, 0.4309776431077403, 0.4250753645318955]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9685934147519111,"[0.9687499192526678, 0.9677988532138747, 0.9697068470130455, 0.9682330849192186, 0.9684783693607496]"
9,bank,target1,y,0.7253831148377415,"[0.7236400404448938, 0.7054666852135207, 0.7317474048442907, 0.7544562274368232, 0.711605216249179]",0.668563476340946,"[0.6676571359267457, 0.6772931320066256, 0.6362942612942613, 0.6991391678622668, 0.6624336846148307]",0.6898771427118148,"[0.690113082269945, 0.689703118160517, 0.6661794611082867, 0.721454900193254, 0.6819351518270715]",0.6034095524736587,"[0.599060339767635, 0.6246875494292996, 0.5435828322181409, 0.6521127786205175, 0.5976042623327005]",0.668563476340946,"[0.6676571359267457, 0.6772931320066256, 0.6362942612942613, 0.6991391678622668, 0.6624336846148307]"
10,bank,target3,housing,0.526406399252439,"[0.5177431294531323, 0.5351517437217144, 0.523038197579917, 0.5375192241968558, 0.5185797013105761]",0.5249422503938788,"[0.5161555312157722, 0.533315811606392, 0.5215659340659341, 0.5375898818695428, 0.5160840932117527]",0.5202559431657232,"[0.5096304347826088, 0.5300380228136882, 0.5181547457902431, 0.5375487733176545, 0.5059077391244208]",0.5066381265823974,"[0.49310692139283574, 0.5205309607281156, 0.5045126034431321, 0.5337540873691332, 0.4812860599787703]",0.5249422503938788,"[0.5161555312157722, 0.533315811606392, 0.5215659340659341, 0.5375898818695428, 0.5160840932117527]"
11,bank,target2,loan,0.43039166534033635,"[0.4166666666666667, 0.42071197411003236, 0.42961165048543687, 0.47315573770491803, 0.41181229773462785]",0.4995311381531854,"[0.5, 0.5, 0.5, 0.497655690765927, 0.5]",0.45637323969408666,"[0.45454545454545453, 0.45694200351493847, 0.46214099216710186, 0.4565962220672508, 0.45164152617568765]",0.01893741340157524,"[0.0, 0.0, 0.0, 0.0946870670078762, 0.0]",0.4995311381531854,"[0.5, 0.5, 0.5, 0.497655690765927, 0.5]"
12,intention,target1,Revenue,0.6721906227545283,"[0.6868548227003151, 0.6590875877207084, 0.6918481753909876, 0.643441926500899, 0.6797206014597319]",0.6541772805627032,"[0.6577562863682311, 0.6397849669476248, 0.6735957640940543, 0.6421044199825134, 0.6576449654210922]",0.6619806660578291,"[0.6699772896743152, 0.6481428943556402, 0.6818384767708778, 0.6427665338123727, 0.6671781356759394]",0.6014414445810772,"[0.601887176292841, 0.5801580432630374, 0.6284773303617056, 0.5895304689801062, 0.6071542040076954]",0.6541772805627032,"[0.6577562863682311, 0.6397849669476248, 0.6735957640940543, 0.6421044199825134, 0.6576449654210922]"
13,intention,target3,SpecialDay,0.2705985917804098,"[0.28727971638139105, 0.29539735166527964, 0.25432402767993334, 0.2639404594467885, 0.2520514037286565]",0.3707932574842322,"[0.390705846425464, 0.37959212053654334, 0.34711568154037636, 0.3716156266578856, 0.3649370122608915]",0.2867027485866003,"[0.3033700670621634, 0.2971136843405482, 0.26882747920703776, 0.28497929344151457, 0.2792232188817374]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.889511090853367,"[0.888628316553075, 0.8903568557474456, 0.8857414505069313, 0.8905826702232126, 0.8922461612361703]"
14,intention,target2,VisitorType,0.6615347031175719,"[0.7480611357015852, 0.6179770708339147, 0.61537606685633, 0.6562786792415989, 0.669980562954431]",0.5188741777114048,"[0.5180143796344374, 0.5153908345164853, 0.5215971908258051, 0.5233322546884611, 0.516036228891835]",0.5045066057705815,"[0.49900324626135006, 0.5015944382317948, 0.5112694467827349, 0.5142977799227799, 0.4963681176542481]",0.2166913419869314,"[0.19932934615227133, 0.2030101600871148, 0.24386529944533236, 0.2396649683899883, 0.19758693585995019]",0.5188741777114048,"[0.5180143796344374, 0.5153908345164853, 0.5215971908258051, 0.5233322546884611, 0.516036228891835]"
15,anuran,target1,Family,0.6477614502610634,"[0.6598802112808904, 0.6406265746313307, 0.6413986195587207, 0.6455447564881616, 0.6513570893462133]",0.8839564693128604,"[0.9067421617703926, 0.8565453626633097, 0.8575843930977621, 0.8861070923290969, 0.9128033367037411]",0.676628504924665,"[0.6975830127999535, 0.6722619430941842, 0.6702591105529627, 0.664235185732858, 0.6788032724433662]",0.8808997044678334,"[0.9040992130753984, 0.8540779926252667, 0.8547228187230889, 0.8835862535945831, 0.9080122443208296]",0.9540370007353085,"[0.9550458997171927, 0.9496870357966078, 0.9557110117389782, 0.9559646217376265, 0.9537764346861369]"
16,anuran,target3,Species,0.833462129484111,"[0.8297891302957092, 0.8400109850578928, 0.8282449948181501, 0.8110196009877362, 0.8582459362610673]",0.8467619985028441,"[0.8317180673538562, 0.8577116800218132, 0.8391381688916404, 0.8318798684559836, 0.8733622077909271]",0.8177845649271644,"[0.8084382935415639, 0.8280014410124336, 0.8172962927703209, 0.7960624063709199, 0.8391243909405842]",0.8219356186482933,"[0.7861013906170794, 0.8382872392747132, 0.8230517320865018, 0.8074719011959104, 0.854765830067262]",0.99209121671304,"[0.9919269934259054, 0.9916733478893777, 0.9917759789393898, 0.9923362118631063, 0.9927435514474203]"
17,anuran,target2,Genus,0.7306328965586247,"[0.7096671256415386, 0.7351530368093806, 0.7387938089683757, 0.718430701472774, 0.7511198099010552]",0.8337618981920751,"[0.818245262106313, 0.8571523301943398, 0.8349472235103921, 0.7926059014021797, 0.8658587737471518]",0.7389122925274024,"[0.7175122151853346, 0.7600286399806752, 0.7481569325224433, 0.7060573217150411, 0.7628063532335174]",0.8105585392792234,"[0.7712446830589187, 0.8515825348898137, 0.8229501344814774, 0.7519795570010285, 0.8550357869648788]",0.9823208971804401,"[0.981385349096576, 0.9818356305608162, 0.9824159551353212, 0.981627667617639, 0.9843398834918482]"
18,telco,target1,Churn,0.7140675706257027,"[0.694672131147541, 0.739377115616618, 0.7252858662411914, 0.7006520726595249, 0.7103506674636382]",0.7394487359925124,"[0.7332558119429051, 0.7474243403768999, 0.7534071152156439, 0.7189959128896479, 0.7441604995374653]",0.7228570059067038,"[0.7071143104259527, 0.7430351906158359, 0.7357789319133083, 0.7076617204926776, 0.7206948760857439]",0.7361677802494425,"[0.7299351895643338, 0.7428748687023043, 0.7505645242885435, 0.7145514577426986, 0.7429128609493325]",0.7394487359925124,"[0.7332558119429051, 0.7474243403768999, 0.7534071152156439, 0.7189959128896479, 0.7441604995374653]"
19,telco,target3,PaymentMethod,0.4265284693466441,"[0.4300857562967431, 0.4285971621666045, 0.4269101017194639, 0.44256117299911424, 0.40448815355129486]",0.4287926362357669,"[0.43196109529325744, 0.42673252892459446, 0.435228150614007, 0.44242810103630203, 0.4076133053106737]",0.4149697937400062,"[0.421974350947534, 0.4049083766973064, 0.4164768373217147, 0.4333855409948405, 0.39810386273863535]",0.3591455218138452,"[0.3785981138610712, 0.33368807130754674, 0.3558388102490653, 0.3847532878154082, 0.34284932583613453]",0.8166673230767094,"[0.8165319504287836, 0.8160379403005366, 0.8168620364848107, 0.822226377997838, 0.8116783101715782]"
20,telco,target2,Contract,0.6479849776810971,"[0.6535600543011464, 0.6266467768482885, 0.6427090591290622, 0.6701398510081445, 0.6468691471188439]",0.6391434408371471,"[0.6443931144475609, 0.6156741665891882, 0.63573996894155, 0.6579252300358367, 0.6419847241716]",0.6424586550034592,"[0.6481588479547663, 0.6202352628322947, 0.6385186488365011, 0.6622127444881579, 0.643167770905576]",0.5990588568382871,"[0.6065767157675774, 0.5659889067335789, 0.5969074731775169, 0.618280797111518, 0.6075403914012435]",0.8512833452379909,"[0.8519056690562102, 0.8424224914393844, 0.8519613674782427, 0.8612546212803389, 0.8488725769357783]"
21,paris,target1,category,0.7465521848824147,"[0.7461538461538462, 0.7418111753371869, 0.7520491803278688, 0.7523992322456814, 0.7403474903474904]",0.9255264631567777,"[0.9243119266055047, 0.9233847913093196, 0.9310148232611175, 0.92573402417962, 0.9231867504283267]",0.7899859800311335,"[0.7889539791767926, 0.7844879578625709, 0.798101486540377, 0.795347243374962, 0.7830392332009657]",0.9225200078779263,"[0.9212078230296403, 0.9202008381970966, 0.9284555167170019, 0.9227502632669579, 0.9199855981789352]",0.9255264631567777,"[0.9243119266055047, 0.9233847913093196, 0.9310148232611175, 0.92573402417962, 0.9231867504283267]"
22,paris,target3,hasStorageRoom,0.497187951574048,"[0.48544196211753277, 0.49665590783550995, 0.5186562948856576, 0.47131223911747167, 0.513873353914068]",0.49735989741466835,"[0.48799846652633183, 0.4972429007444268, 0.5150318481531272, 0.4753631711815516, 0.5111631004679043]",0.47347665200037004,"[0.46111380034552113, 0.47478317787596136, 0.4883979708721977, 0.4573663556745237, 0.48572195523364586]",0.45086369480196326,"[0.4406797305056227, 0.45094713738923536, 0.4653293801669995, 0.43645886092747305, 0.46090336502048557]",0.49735989741466835,"[0.48799846652633183, 0.4972429007444268, 0.5150318481531272, 0.4753631711815516, 0.5111631004679043]"
23,paris,target2,isNewBuilt,0.4998220005330677,"[0.4982763751318805, 0.5130158754877953, 0.5015179431869816, 0.5054450054450055, 0.4808548034136755]",0.4998295530633466,"[0.4986618073002512, 0.5100339249609077, 0.501216077828981, 0.5041816726690677, 0.4850542825575251]",0.47035853690296736,"[0.47035347397918864, 0.4776050884430415, 0.4759987390231224, 0.47598663392383556, 0.45184874914564876]",0.4411613270190955,"[0.4390031346360977, 0.45019260207173706, 0.44887960027752977, 0.4428978024164877, 0.42483349569362533]",0.4998295530633466,"[0.4986618073002512, 0.5100339249609077, 0.501216077828981, 0.5041816726690677, 0.4850542825575251]"
24,smoking,target1,smoking,0.7532137765281253,"[0.7566751351163659, 0.7507971186114422, 0.7503491713337438, 0.7536999128524118, 0.7545475447266627]",0.7560267563996338,"[0.761450435305267, 0.7545818820900339, 0.7545543908915664, 0.7570446725503143, 0.7525024011609877]",0.7052123422968787,"[0.7116185044242599, 0.7027843863960878, 0.7028498532976144, 0.7054577515181251, 0.7033512158483066]",0.7315067161608256,"[0.7383395546420919, 0.7300289090449149, 0.730252063182916, 0.7323762512860209, 0.7265368026481847]",0.7560267563996338,"[0.761450435305267, 0.7545818820900339, 0.7545543908915664, 0.7570446725503143, 0.7525024011609877]"
25,smoking,target3,dental caries,0.39323469989612964,"[0.3941196274267759, 0.392648709315376, 0.3915824915824916, 0.3915263748597082, 0.3962962962962963]",0.49998571020291516,"[0.5, 0.4999285510145756, 0.5, 0.5, 0.5]",0.4402289107876295,"[0.4407907122685911, 0.4398415891375409, 0.43919939577039274, 0.43916409643104426, 0.4421487603305785]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.49998571020291516,"[0.5, 0.4999285510145756, 0.5, 0.5, 0.5]"
26,smoking,target2,tartar,0.5421497978868122,"[0.5452819507184461, 0.5428986497702067, 0.5480061943476577, 0.5299624064929661, 0.5445997881047843]",0.5337683723878893,"[0.5376098430204601, 0.5337469053762292, 0.5368246012256943, 0.525041343949736, 0.5356191683673269]",0.5202347749519125,"[0.526962063020697, 0.5186341214679591, 0.5192855364181492, 0.5142989654911443, 0.5219931883616133]",0.4847790466998399,"[0.4957827488069213, 0.4804916182949856, 0.47934629120237365, 0.4826777909322192, 0.4855967842626997]",0.5337683723878893,"[0.5376098430204601, 0.5337469053762292, 0.5368246012256943, 0.525041343949736, 0.5356191683673269]"
27,flight,target1,satisfaction,0.8366174516358619,"[0.8370883545779166, 0.8339069231371157, 0.8392398014977305, 0.8352421835189634, 0.8376099954475835]",0.8412243207446345,"[0.8419378109639997, 0.8385808108459891, 0.8436650322996879, 0.8401375669566803, 0.8418003826568152]",0.8378627774564109,"[0.8383460338112412, 0.8352234022243585, 0.8405313754607197, 0.8365316356042722, 0.8386814401814624]",0.8411023633051989,"[0.8417885328077713, 0.838482682371752, 0.8435765098713083, 0.8399992117063982, 0.8416648797687649]",0.8412243207446345,"[0.8419378109639997, 0.8385808108459891, 0.8436650322996879, 0.8401375669566803, 0.8418003826568152]"
28,flight,target3,Class,0.5119720277652807,"[0.5123468266171094, 0.5117143161590193, 0.5120404207637108, 0.5116543642673016, 0.5121042110192623]",0.5506045345681692,"[0.5500807395419022, 0.5511685629912293, 0.550559660567818, 0.5517304478773357, 0.5494832618625604]",0.529762489682408,"[0.5297477686763714, 0.529739974765519, 0.5298605415994614, 0.5302019166955843, 0.5292622466751036]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8552602660546136,"[0.8554275576499405, 0.8551242462712035, 0.8553561964957118, 0.8553760420332063, 0.8550172878230055]"
29,flight,target2,Customer Type,0.8211243644670206,"[0.8241972405211805, 0.823142450286381, 0.8232087165485271, 0.8108924632373813, 0.8241809517416339]",0.7387964887140213,"[0.7407040352808076, 0.7387898982260453, 0.7386497409563713, 0.7336059348020947, 0.7422328343047873]",0.769336933297245,"[0.7717029171633449, 0.769904104536473, 0.7696206321428869, 0.7625724266372397, 0.7728845860062799]",0.7049109141472997,"[0.7071699331805598, 0.704607538791964, 0.7046052329507331, 0.6988334389137097, 0.7093384268995314]",0.7387964887140213,"[0.7407040352808076, 0.7387898982260453, 0.7386497409563713, 0.7336059348020947, 0.7422328343047873]"
