,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds
0,imdb,target1,imdb_score,0.3936587946997264,"[0.41926904458182057, 0.39819310698193106, 0.39040432072410547, 0.3742113754161947, 0.38621612579458015]",0.5355087990883445,"[0.5577498157515984, 0.5069719996095446, 0.5383961809661454, 0.5360964365201654, 0.5383295625942685]",0.3651886197328419,"[0.3764449037962107, 0.37223621874827967, 0.36608090122436915, 0.3598228534917392, 0.35135822140361056]",0.29171143863174603,"[0.3374997802737236, 0.3243163521221898, 0.3118103395332268, 0.22292247925664319, 0.2620082419729468]"
1,imdb,target3,gross,0.3280759401241329,"[0.3161764705882353, 0.3201871657754011, 0.3326639892904953, 0.34069611780455156, 0.33065595716198126]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.3961217946350074,"[0.38738738738738737, 0.3903830480847596, 0.3995176848874598, 0.4052547770700637, 0.3980660757453666]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2,imdb,target2,content_rating,0.15173274874384934,"[0.1528194239450357, 0.14543712221730795, 0.14654527313544527, 0.15985461283540606, 0.15400731158605177]",0.16661852860198717,"[0.16897521083567593, 0.160815096339353, 0.16411945403299869, 0.172049615866247, 0.16713326593566116]",0.12690664741471563,"[0.13276855555658043, 0.11546845172018393, 0.12331076919233053, 0.13484037235424584, 0.12814508825023746]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.685029311211231,"[0.6844421901757336, 0.6829142886609582, 0.6864860428342233, 0.6952168596051423, 0.6760871747800977]",0.6594237898570372,"[0.6606609965740234, 0.6446139961821521, 0.6644752577991214, 0.669114179574183, 0.6582545191557062]",0.6682800830007436,"[0.6685783959985426, 0.6583879149948136, 0.6710771551289398, 0.678252517095642, 0.66510443178578]",0.6199969805274028,"[0.6168414618814891, 0.5968644775234264, 0.6323255794158583, 0.6317772066928576, 0.6221761771233829]"
5,mushroom,target2,population,0.5918513350556637,"[0.5905642761483738, 0.5797211241268644, 0.5734427176003446, 0.5993711397322319, 0.6161574176705037]",0.5893368963194178,"[0.5805486614095864, 0.5911066009335562, 0.5561556203170972, 0.6065246348605985, 0.6123489640762504]",0.5825728984724042,"[0.5753810891312623, 0.5785814875431028, 0.5546706393493331, 0.5981646487846778, 0.6060666275536454]",0.5474554401710319,"[0.5325413652967697, 0.5493858981280928, 0.5061170088165174, 0.5762980663515236, 0.5729348622622558]"
6,census,target1,income,0.5936318974045915,"[0.5919938063133556, 0.5989953431176979, 0.5898200769482234, 0.5970357591513797, 0.5903145014923009]",0.6131166091365239,"[0.6137258415417011, 0.6200041748491392, 0.6075637059949919, 0.6161166543266462, 0.6081726689701409]",0.595929742000288,"[0.5936362750607368, 0.6015825180295885, 0.5921220282080024, 0.5998443489057033, 0.5924635397974095]",0.6048259813434921,"[0.6065438356783506, 0.6128163579818531, 0.5979663084112615, 0.6075858178376476, 0.5992175868083474]"
7,census,target3,workclass,0.14527776947006027,"[0.12558973988178088, 0.14187200303850353, 0.15847991837638611, 0.147915447051564, 0.1525317390020667]",0.14382634092849228,"[0.14317202110777422, 0.14411971638679086, 0.14404915084324885, 0.14417959066753552, 0.14361122563711207]",0.12320624619149056,"[0.12198011019482602, 0.12436952462367037, 0.12337568340139785, 0.12373998359106876, 0.12256592914648987]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
8,census,target2,marital-status,0.06653220400928844,"[0.06607873816635848, 0.06745373223965988, 0.06677413746779827, 0.06653706952412561, 0.06581734264849999]",0.14285714285714285,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.09078255066574573,"[0.09036092500540306, 0.09163812816025937, 0.09100896088230226, 0.09078852312303894, 0.09011621615772501]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
9,bank,target1,y,0.7227951128178927,"[0.7213032581453633, 0.7418339768339768, 0.6883495145631068, 0.7123255678168973, 0.7501632467301185]",0.7880308482811869,"[0.7799488034569408, 0.800717766521833, 0.7817858754512635, 0.7742113862008295, 0.8034904097750678]",0.7478564377217347,"[0.744585881963961, 0.7659128375026008, 0.7195991552909149, 0.7366016786151425, 0.7725826352360543]",0.7791098305452515,"[0.7703922020900883, 0.7927886321114397, 0.7740211589566757, 0.7631549182058991, 0.7951922413621549]"
