,dataset,t1 Complexity,t2 Complexity,t3 Complexity
0,imdb,0.18785121755418788,0.5675675675675675,0.2435108375702435
1,mushroom,0.0,0.7863217576187101,0.3465627214741318
2,census,0.26423861574545293,0.5098464397928928,0.41598442271097935
3,bank,0.12653721682847896,0.27022653721682843,0.5029126213592233
4,intention,0.17304519960409104,0.20719234576047507,0.18599472121412075
5,anuran,0.007366226546212662,0.010145934676858981,0.011813759555246661
6,telco,0.2861626248216833,0.35634807417974323,0.6370898716119828
7,paris,0.22319999999999995,0.49629999999999996,0.4988
8,smoking,0.34799784521458077,0.4846247082061411,0.3284252109894057
9,flight,0.27003482975124915,0.19452918053549773,0.36332604817472025
