,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5547207466612161,"[0.5590643274853802, 0.5651323130878367, 0.5521263606369989, 0.5666302730795998, 0.5306504590162644]",0.5708659979977642,"[0.5983842212500748, 0.573281844517468, 0.5754748444771063, 0.5364875166761959, 0.5707015630679753]",0.5581478111665878,"[0.5756732843863221, 0.5668835159552702, 0.5583324918126192, 0.5477688321793953, 0.5420809314993326]",0.5176182231651493,"[0.5424412521714455, 0.5019095662714351, 0.5354102423840391, 0.4738646902063891, 0.5344653647924371]",0.7790569623420326,"[0.7774497206252847, 0.7780546648336214, 0.79301345410303, 0.7628486953009714, 0.7839182768472552]"
1,imdb,target3,gross,0.7268153492482892,"[0.724230072463768, 0.7385045443673762, 0.7205266955266956, 0.7174140485390925, 0.7334013853445134]",0.7375875369425716,"[0.7305453585924828, 0.7506047183740143, 0.7200996943559873, 0.736073335765697, 0.7506145776246771]",0.730011542408369,"[0.726841840607392, 0.742760850127244, 0.7203115458158557, 0.723447810274614, 0.7366956652167391]",0.7357630632804943,"[0.7288152464062158, 0.7500353398515922, 0.7142446786265728, 0.7351467953004255, 0.7505732562176658]",0.7375875369425716,"[0.7305453585924828, 0.7506047183740143, 0.7200996943559873, 0.736073335765697, 0.7506145776246771]"
2,imdb,target2,content_rating,0.3677743783038966,"[0.3756280804329842, 0.38293977779199456, 0.2565914654792754, 0.4340751182388193, 0.38963744957640933]",0.34972131299460535,"[0.3715688274468037, 0.4063930042667757, 0.2696726341729078, 0.40152856688438654, 0.2994435322021528]",0.34096750605111403,"[0.35707065531312304, 0.37225520018842134, 0.26121249299337157, 0.4082571548300672, 0.30604202693058696]",0.14199001514677623,"[0.33301450869253524, 0.3769355670413459, 0.0, 0.0, 0.0]",0.8979664136498118,"[0.90127226144252, 0.895633149601041, 0.8933206033161517, 0.9020967628168137, 0.8975092910725315]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5942874387209439,"[0.6002092094866877, 0.5913438390710329, 0.5906642807749366, 0.5945943704709508, 0.594625493801112]",0.6182051150687832,"[0.6222102473303592, 0.6235943849116435, 0.6150149412809103, 0.6168770968247143, 0.6133289049962882]",0.5971224339673956,"[0.6012614352247262, 0.5976903816963725, 0.593409547853318, 0.5987735935733147, 0.5944772114892469]",0.5849396332300207,"[0.589993898585364, 0.5903014176664603, 0.581337330585235, 0.5828319579654234, 0.5802335613476209]",0.9229822599670173,"[0.9219588916683543, 0.9235896284068693, 0.9230870729703192, 0.9225375074536943, 0.9237381993358493]"
5,mushroom,target2,population,0.3874468229523348,"[0.39394323869864273, 0.3733430555940748, 0.4128556042162219, 0.3580458471954411, 0.3990463690572931]",0.4324003507787407,"[0.42745259342808545, 0.4271996844677437, 0.46851069043076654, 0.3919607686021394, 0.4468780169649686]",0.40376915870039626,"[0.4072760201520018, 0.3921751469910672, 0.43362498924390785, 0.3696564224759899, 0.41611321463901435]",0.34402142258763996,"[0.3464799326903116, 0.329248585301934, 0.3796302114231088, 0.31207291601417414, 0.35267546750867107]",0.8269773242730476,"[0.8291533929365676, 0.8245044721305117, 0.832214426173903, 0.8235562515466888, 0.8254580785775677]"
6,census,target1,income,0.7076005978674273,"[0.7039174965514585, 0.7020143508408627, 0.7073512244042512, 0.7109740874979321, 0.7137458300426321]",0.7065649679309864,"[0.7004483441432978, 0.7022664326708292, 0.707412462190179, 0.7135269066976384, 0.7091706939529876]",0.7070496122367089,"[0.7021305058097338, 0.7021401256277547, 0.707381827228347, 0.7122240808505516, 0.7113715216671578]",0.6904742474341653,"[0.6828559140484127, 0.6852896628600836, 0.6921197484123747, 0.6993129382643736, 0.6927929735855819]",0.7065649679309864,"[0.7004483441432978, 0.7022664326708292, 0.707412462190179, 0.7135269066976384, 0.7091706939529876]"
7,census,target3,workclass,0.1894831497505805,"[0.1911169895746423, 0.19282155050716368, 0.18844281157608503, 0.18379152684248506, 0.1912428702525264]",0.2053503842304055,"[0.20656280717362813, 0.21009412623833418, 0.2048161510802205, 0.19701298845178591, 0.2082658482080589]",0.1934622689026059,"[0.1949381272299604, 0.19693684131507933, 0.19260610255906305, 0.18704945237857878, 0.19578082103034797]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.876622091562292,"[0.8782837906718718, 0.8776240765927233, 0.8757336601599065, 0.8738822835890205, 0.8775866467979375]"
8,census,target2,marital-status,0.3552573182936421,"[0.350107347980368, 0.35111137500890205, 0.35052001465957644, 0.3667694122268829, 0.3577784415924809]",0.36633769350698636,"[0.35414622855765154, 0.3754473758175937, 0.3487089713324169, 0.39670925294774906, 0.3566766388795207]",0.3517159178766874,"[0.3457210997116301, 0.3483956488228835, 0.3453788245718621, 0.36579310698434225, 0.3532909092927188]",0.1194972848760977,"[0.0, 0.28501341906495165, 0.0, 0.3124730053155368, 0.0]",0.9413558689902508,"[0.9395793872471928, 0.9389824826478745, 0.9416525032143197, 0.9441599735707865, 0.9424049982710806]"
9,bank,target1,y,0.6961246507886889,"[0.7343467960288809, 0.6801236066659309, 0.672266139657444, 0.6948944302875865, 0.698992281303602]",0.7038692062343289,"[0.7519329310815317, 0.6958974482079843, 0.6596459096459096, 0.6890740536364639, 0.7227956885997551]",0.699462424949149,"[0.7426862139241339, 0.6874267190840747, 0.6655579314168053, 0.6919052447023633, 0.7097360156183685]",0.6673692342014947,"[0.7268453584712061, 0.6617292418026831, 0.6015175490568516, 0.6494672797679953, 0.6972867419087375]",0.7038692062343289,"[0.7519329310815317, 0.6958974482079843, 0.6596459096459096, 0.6890740536364639, 0.7227956885997551]"
