,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4321411853947115,"[0.4286134804521519, 0.44292872839927827, 0.4259627435342372, 0.430738629380447, 0.43246234520744326]",0.5812364577035487,"[0.5770624837698008, 0.5785647627695146, 0.5763715269588188, 0.561990978972111, 0.6121925360474979]",0.258469876157048,"[0.24049870821786576, 0.2625325199352141, 0.24421505194754933, 0.2858908780890953, 0.25921222259551535]",0.436606863552361,"[0.4204404449448556, 0.43156201285517015, 0.4217229636193441, 0.4554143851178846, 0.4538945112245505]",0.7074215755952127,"[0.7063265064090601, 0.7127335246818606, 0.7053047217820475, 0.705815948106697, 0.7069271769963978]"
1,imdb,target3,gross,0.6146715736574837,"[0.6323438046052887, 0.5974781266083375, 0.6149275503257804, 0.6050322418719591, 0.6235761448760522]",0.5915486209789127,"[0.6058043787009801, 0.5669352558665536, 0.5945576162967467, 0.5902227271219609, 0.6002231269083222]",0.4933469762175081,"[0.518892623225561, 0.4559401995181518, 0.4974682079252326, 0.48209542503669156, 0.5123384253819037]",0.5127075495043389,"[0.5338354860002352, 0.4636946437541741, 0.5207754351116702, 0.515803839120157, 0.5294283435354579]",0.5915486209789127,"[0.6058043787009801, 0.5669352558665536, 0.5945576162967467, 0.5902227271219609, 0.6002231269083222]"
2,imdb,target2,content_rating,0.1308147726174805,"[0.1518928746448087, 0.16033446380976699, 0.1212942897084743, 0.10042910377551238, 0.12012313114884023]",0.2448948242980143,"[0.2751180691131671, 0.289655115563213, 0.21755518729375226, 0.21473427210846166, 0.2274114774114774]",0.05772413308080987,"[0.05981005029195531, 0.06480386811210218, 0.05682755212361413, 0.05715381619612347, 0.05002537868025426]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8589677983122721,"[0.859872625354681, 0.8604218840296509, 0.8598569432114509, 0.8570318881711066, 0.8576556507944708]"
3,mushroom,target1,Class,0.99360608549802,"[0.9930232558139536, 0.998123574814352, 0.9913367478774455, 0.9911272061272061, 0.9944196428571428]",0.9955772854993554,"[0.9957446808510638, 0.998123574814352, 0.9938073470469376, 0.9938604598209203, 0.9963503649635037]",0.9945672504398587,"[0.994350367301187, 0.998123574814352, 0.9925394339485492, 0.9924602141058775, 0.9953626620293287]",0.9955711505278945,"[0.9957355882472654, 0.9981234761675846, 0.9937997189310885, 0.9938532886657054, 0.996343680627828]",0.9955772854993554,"[0.9957446808510638, 0.998123574814352, 0.9938073470469376, 0.9938604598209203, 0.9963503649635037]"
4,mushroom,target3,habitat,0.6771728967763615,"[0.6817250875138899, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6723146173839262]",0.8433120238214803,"[0.8434809134252234, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8394463489132659]",0.6960294688531719,"[0.6952197622375594, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.691843107513745]",0.8027418611345819,"[0.8020985985623789, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.7989660223415361]",0.9326200500344971,"[0.9327045030188484, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9315199284637844]"
5,mushroom,target2,population,0.6356963579947398,"[0.6363025448731694, 0.6296680994149291, 0.6349145907869561, 0.6278584740644176, 0.6497380808342266]",0.7297056343457659,"[0.7296190774775712, 0.7230649267091865, 0.7295864166164948, 0.7305709824657193, 0.7356867684598573]",0.588278611748461,"[0.5954318149410714, 0.571210133051944, 0.5906840076894049, 0.5765826940341959, 0.6074844090256886]",0.5586035808596153,"[0.5732329682163022, 0.5304331162573909, 0.5728654534408351, 0.5545009889324308, 0.5619853774511172]",0.8914627933926891,"[0.8910913438927305, 0.8879861004879696, 0.8908007601868212, 0.890609101792719, 0.8968266606032053]"
6,census,target1,income,0.7550458859961309,"[0.7430645185282516, 0.7454515891793427, 0.7725386483251208, 0.753062119838189, 0.7611125541097501]",0.6271134484418333,"[0.6279496299459356, 0.6253228177745611, 0.6252013682789235, 0.6266587251953106, 0.6304347010144361]",0.6455623937211673,"[0.6458368332356548, 0.644060609717573, 0.6434417372990364, 0.6454642100404793, 0.6490085783130928]",0.5319534985854869,"[0.5373124016569595, 0.5306761407696902, 0.523231049335971, 0.5313801255334945, 0.5371677756313192]",0.6271134484418333,"[0.6279496299459356, 0.6253228177745611, 0.6252013682789235, 0.6266587251953106, 0.6304347010144361]"
7,census,target3,workclass,0.19378447016081896,"[0.19860939797320215, 0.20744752304442993, 0.20455589626666418, 0.1733160385321352, 0.18499349498766335]",0.16222033627424906,"[0.1470270864727859, 0.16760661916578612, 0.17885285964774936, 0.1559145004042659, 0.1617006156806579]",0.05067107644927269,"[0.05460451366002008, 0.0523303745122715, 0.04701374321172099, 0.04258748667222629, 0.05681926419012456]",0.045089394175689676,"[0.05311457578815871, 0.07105099388354716, 0.0, 0.0437260086320402, 0.05755539257470229]",0.8583839540499645,"[0.8587747488571154, 0.8584372045415417, 0.8583986749161484, 0.857880596327148, 0.858428545607869]"
8,census,target2,marital-status,0.23445673877862036,"[0.22526435499999375, 0.22940947499918948, 0.23232783422176556, 0.24289441897331707, 0.24238761069883577]",0.3009974462224278,"[0.3265408577715564, 0.29855310789131556, 0.2921303569146389, 0.30313761245242815, 0.2846252960822001]",0.19277560463874926,"[0.1886909324608128, 0.20261447834633456, 0.18282113538850744, 0.19560374444389336, 0.19414773255419812]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.892640291566348,"[0.8917577616703193, 0.8944639300754839, 0.8905423827797379, 0.8941392864115524, 0.8922980968946473]"
9,bank,target1,y,0.6895024550094211,"[0.6746653995406668, 0.6825579483807331, 0.7532818532818533, 0.6698270261490986, 0.6671800476947536]",0.6917384925267964,"[0.7006155058973348, 0.6866072928919509, 0.7252747252747253, 0.6846374572343008, 0.6615574813356699]",0.6899553439956623,"[0.686259025270758, 0.6845441595441595, 0.7380563124432333, 0.6766330343599203, 0.6642841883602405]",0.6515675766430452,"[0.6631503234373725, 0.6462018862829617, 0.6894017154567613, 0.650316367958743, 0.6087675900793879]",0.6917384925267964,"[0.7006155058973348, 0.6866072928919509, 0.7252747252747253, 0.6846374572343008, 0.6615574813356699]"
