,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.470917466564056,"[0.45671038997301827, 0.48111232123640235, 0.48504633297102123, 0.47859378094672217, 0.4531245076931156]",0.5398747896366537,"[0.5490524060646012, 0.5351457108267036, 0.5779306868993324, 0.5021154945683248, 0.5351296498243063]",0.4828178022876428,"[0.4766075626777018, 0.49140562000675, 0.49941498880707363, 0.4757854109976935, 0.470875428948995]",0.5130041431648353,"[0.528983947131409, 0.5076087504555281, 0.5654301846860932, 0.4727279399621216, 0.49026989358902456]",0.7327165276387427,"[0.7365763937035262, 0.7303260999714154, 0.7506149131785457, 0.7198182029312719, 0.7262470284089547]"
1,imdb,target3,gross,0.710412428590004,"[0.727484378755107, 0.7061810154525386, 0.67276660177374, 0.7162679641392982, 0.7293621828293361]",0.7259990764641782,"[0.7350777254348045, 0.7163870825872523, 0.6917156070474149, 0.7388387674549737, 0.7479761997964456]",0.7129438153889862,"[0.7304812834224599, 0.7096800714308931, 0.6709791567128524, 0.7222069991388085, 0.7313715662399174]",0.7253158828447777,"[0.733781893879422, 0.7152234780150265, 0.6913094957180302, 0.7386071230846515, 0.747657423526758]",0.7259990764641782,"[0.7350777254348045, 0.7163870825872523, 0.6917156070474149, 0.7388387674549737, 0.7479761997964456]"
2,imdb,target2,content_rating,0.19067829575466208,"[0.2018612322384936, 0.1861627606905251, 0.1849970838341881, 0.17577437028320403, 0.20459603172689952]",0.22397232377654896,"[0.22335967004646978, 0.21748479248175837, 0.18777577705126203, 0.1977905772317628, 0.29345080207149177]",0.18565318162474725,"[0.19549307043303932, 0.18052731393993074, 0.17413216052119515, 0.17138637759184752, 0.2067269856377236]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.872869522268149,"[0.8770729713872312, 0.8724332943782626, 0.8740667234834377, 0.8655696405785767, 0.8752049815132363]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.6321773939433786,"[0.6387575338527459, 0.6312146204057566, 0.6316166746758005, 0.6292111887800614, 0.6300869520025286]",0.6992196457139566,"[0.714301715478666, 0.702142304516931, 0.6914594292614917, 0.6960418470322057, 0.6921529322804885]",0.6453918539167475,"[0.6523436456549566, 0.6443287625859689, 0.6424184160552724, 0.6447865717875688, 0.6430818734999705]",0.6711446063575359,"[0.6829390630290102, 0.6757435645919149, 0.6643532028104092, 0.6676696183560142, 0.6650175830003315]",0.9285646170975685,"[0.9287378196132954, 0.9285787208262589, 0.9288343600677763, 0.9274685441749079, 0.9292036408056042]"
5,mushroom,target2,population,0.45843338132512546,"[0.45963219909108705, 0.4544580435218744, 0.46544352914661985, 0.4403349252127616, 0.4722982096532847]",0.528199391785966,"[0.5174057462930067, 0.532231022657358, 0.5264978775287367, 0.5277588918617071, 0.5371034205890212]",0.4818737758191955,"[0.4809866087557775, 0.4804740348262471, 0.48831236548813334, 0.4641414182265499, 0.49545445179926967]",0.4606718348046119,"[0.4530794878387147, 0.4690983463229942, 0.4671325135139041, 0.4476695190963114, 0.46637930725113524]",0.8462107452066651,"[0.846140369441632, 0.847440211651699, 0.8479772700651748, 0.8443775620666091, 0.8451183128082107]"
6,census,target1,income,0.6632601641055762,"[0.6554346918209526, 0.671390953793811, 0.6541640994043951, 0.6775173767574858, 0.6577936987512368]",0.6279970393688261,"[0.6231313773820628, 0.6340139756076311, 0.6211863790205243, 0.6381752484191509, 0.6234782164147618]",0.6387763174567903,"[0.6329804750819457, 0.6458060298155484, 0.6310482142027785, 0.6504684263710417, 0.6335784418126372]",0.5727360355338944,"[0.5677005682916072, 0.5793824144249055, 0.5642464658074091, 0.5849461508530266, 0.5674045782925233]",0.6279970393688261,"[0.6231313773820628, 0.6340139756076311, 0.6211863790205243, 0.6381752484191509, 0.6234782164147618]"
7,census,target3,workclass,0.15836908301730182,"[0.1612339779667659, 0.1601366702441889, 0.15852694532556108, 0.15973871613117943, 0.15220910541881377]",0.1713541209857678,"[0.1666366198463522, 0.16729341492349808, 0.18638267353635363, 0.1838958796136521, 0.1525620170089829]",0.13779755344815728,"[0.14140678903346832, 0.14110887463812022, 0.13699806592634006, 0.13646461817818062, 0.13300941946467715]",0.06959340402448447,"[0.0, 0.0, 0.17362340924376465, 0.17434361087865763, 0.0]",0.8637440308891057,"[0.8646851447026472, 0.8654087900842161, 0.8640459520299404, 0.8629647984526215, 0.8616154691761027]"
8,census,target2,marital-status,0.21871776343837546,"[0.2181440355464343, 0.21507343642815438, 0.21695503161832244, 0.21839925530488533, 0.22501705829408092]",0.20136868628036036,"[0.20573701687228438, 0.18829203496464725, 0.19216020554636612, 0.18903218264136715, 0.23162199137713682]",0.1875623055202596,"[0.18618783240180642, 0.1851796017024702, 0.18564566997106993, 0.18810241766679817, 0.1926960058591533]",0.0723497033250878,"[0.17171457273610344, 0.0, 0.0, 0.0, 0.19003394388933556]",0.8793050379985978,"[0.8796222316296173, 0.8786951566855018, 0.8791087772728071, 0.8785087524503871, 0.8805902719546762]"
9,bank,target1,y,0.7023009946852122,"[0.6737043373251485, 0.7074392998306042, 0.7162211981566821, 0.7339629783169013, 0.680177159796725]",0.7688137788710255,"[0.7616809678299628, 0.7822094725976427, 0.768543956043956, 0.7865136298421808, 0.7451208680413857]",0.7268561572312937,"[0.7032911635499436, 0.7345401070329438, 0.7377132671250317, 0.7554267170587885, 0.7033095313897606]",0.7580710069771338,"[0.7497005253953839, 0.7748724405561208, 0.755019830901775, 0.7779235134808555, 0.7328387245515339]",0.7688137788710255,"[0.7616809678299628, 0.7822094725976427, 0.768543956043956, 0.7865136298421808, 0.7451208680413857]"
