,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5391945644414182,"[0.4819776870176282, 0.5591251527834364, 0.5517176633532865, 0.5587211524402913, 0.5444311666124488]",0.612579231209345,"[0.6211879007610714, 0.6320933140205235, 0.6073962442783216, 0.581815005399911, 0.6204036915868977]",0.5576715658743432,"[0.5127085833382949, 0.5701704136323001, 0.5744328215891715, 0.561718097923846, 0.5693279128881037]",0.5829912008681498,"[0.6051225058019012, 0.623360397517744, 0.5582029409661519, 0.5484138919612402, 0.5798562680937122]",0.7723907186439873,"[0.7663477953791658, 0.7857314074821566, 0.7751981860921942, 0.7628146614930755, 0.7718615427733445]"
1,imdb,target3,gross,0.7341905964254232,"[0.731518817204301, 0.7558881064162755, 0.7141210116351073, 0.7126240582439873, 0.7568009886274445]",0.7151598577197474,"[0.7245849857587445, 0.7054628844281092, 0.7102662783440815, 0.6947038044379581, 0.7407813356298442]",0.72113246639571,"[0.7275850189477828, 0.7174135162749964, 0.7120597204087111, 0.7016161245398309, 0.7469879518072289]",0.7010631947207953,"[0.7176443862841754, 0.6771568878006181, 0.7023838276882244, 0.6768306812908882, 0.73130019054007]",0.7151598577197474,"[0.7245849857587445, 0.7054628844281092, 0.7102662783440815, 0.6947038044379581, 0.7407813356298442]"
2,imdb,target2,content_rating,0.3193645937370639,"[0.34957882502933596, 0.3506634977223212, 0.2790522777255401, 0.2916037599216457, 0.3259246082864765]",0.42551135923727124,"[0.46752505505569225, 0.43620713917676884, 0.3497061166080995, 0.41554130263068206, 0.4585771827151137]",0.3407153039954111,"[0.36805763414509934, 0.3757589098356525, 0.2944525026403853, 0.31466112543427227, 0.3506463479216463]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9031451011329807,"[0.9047898256345975, 0.903735240745374, 0.8990552220286883, 0.9046869156767949, 0.9034583015794491]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.7397383266422206,"[0.7372848290282351, 0.7359317939744369, 0.7396621665524507, 0.7438271604938271, 0.7419856831621537]",0.8713080678176255,"[0.8715087437544611, 0.8766431036611221, 0.8634583482975048, 0.8749550773388535, 0.8699750660361859]",0.7365476457323825,"[0.7317099750897259, 0.7367897854196331, 0.735436839038563, 0.7426589070935296, 0.7361427220204608]",0.8343305437906127,"[0.8324140172412899, 0.8401240505361001, 0.8259062103819796, 0.8397071650338257, 0.8335012757598684]",0.9504349719239389,"[0.9486136160961306, 0.9515006535843105, 0.9506407853509304, 0.9510487022335926, 0.9503711023547307]"
5,mushroom,target2,population,0.5982114551131106,"[0.6032530896136019, 0.5869658198676315, 0.6041608785601809, 0.588432958915409, 0.6082445286087299]",0.7320997095434975,"[0.7292346570130528, 0.7292522287531998, 0.7356252638459667, 0.7317432073221547, 0.7346431907831136]",0.6200247178139424,"[0.6238203082218791, 0.6063506779652026, 0.6225092122123327, 0.6107712313087136, 0.6366721593615843]",0.6484693421055228,"[0.6491642711652168, 0.6351176847563297, 0.6488669842232818, 0.6548634352426582, 0.6543343351401271]",0.8924448209101346,"[0.8919292531878814, 0.8908307808481272, 0.8933881171885193, 0.8913868931349885, 0.8946890601911569]"
6,census,target1,income,0.7662905263497704,"[0.7651688421646121, 0.7737298757050655, 0.7603189663399026, 0.7552532064095505, 0.7769817411297215]",0.7103761278196791,"[0.7180150965823424, 0.7071560044707406, 0.7073777170594282, 0.7015526569185105, 0.7177791640673736]",0.7298847681570628,"[0.7354653517249659, 0.7294208032013927, 0.7259901267492017, 0.7203070212625182, 0.7382405378472358]",0.6772167268584942,"[0.6894399188451975, 0.6698588610410001, 0.674364677083671, 0.6662907802009587, 0.6861293971216438]",0.7103761278196791,"[0.7180150965823424, 0.7071560044707406, 0.7073777170594282, 0.7015526569185105, 0.7177791640673736]"
7,census,target3,workclass,0.30431426471875805,"[0.2512440890511295, 0.1823798581622734, 0.37810770685812256, 0.32372770918550514, 0.3861119603367595]",0.2635385650802309,"[0.31985307491454457, 0.21804489506501018, 0.2124572859058754, 0.24738205671796237, 0.31995551279776174]",0.1512229794726761,"[0.1533601331545275, 0.14248843770173536, 0.1573277370781631, 0.15455744752863798, 0.1483811419003165]",0.009876532422500436,"[0.0, 0.0, 0.04938266211250218, 0.0, 0.0]",0.8808909771203333,"[0.8826278386465763, 0.879625251891374, 0.882524117966881, 0.8795681540206554, 0.8801095230761797]"
8,census,target2,marital-status,0.3677612099867404,"[0.37458576653554765, 0.34962488425960725, 0.3719541751471815, 0.3729217937180537, 0.3697194302733119]",0.42050506783341923,"[0.4310432787254569, 0.4012205780587599, 0.4217881060056552, 0.4265401318986122, 0.4219332444786121]",0.36088982063378267,"[0.3629372786983613, 0.3439422901692488, 0.3638955740225632, 0.3674998407029126, 0.36617411957582746]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9528950974760635,"[0.9527706744265749, 0.9495378273616487, 0.9544240518309589, 0.9538572345764847, 0.9538856991846503]"
9,bank,target1,y,0.7435145830343037,"[0.7289637107455043, 0.7422527134088062, 0.7524396838066791, 0.7576538898814358, 0.7362629173290938]",0.7535007658150237,"[0.7358782329219854, 0.7737955205607701, 0.7493894993894994, 0.780123606665931, 0.7283169695369325]",0.7479933320397011,"[0.7323476702508961, 0.7564463461321923, 0.7509005175976814, 0.7680903579752965, 0.7321817682424391]",0.7304721128628456,"[0.7051423086078868, 0.7590346915720113, 0.723887438772786, 0.7665619745252125, 0.6977341508363314]",0.7535007658150237,"[0.7358782329219854, 0.7737955205607701, 0.7493894993894994, 0.780123606665931, 0.7283169695369325]"
10,bank,target3,housing,0.5339430931435288,"[0.49314107385413275, 0.5306644695919771, 0.5461165048543689, 0.5282744370414101, 0.5715189803757552]",0.5323481091740071,"[0.49356516976998904, 0.5295416316232128, 0.5413567202028741, 0.5286979969183359, 0.5685790273556232]",0.5294674466623328,"[0.4890429958391123, 0.5274813980067296, 0.535440329218107, 0.5279239517908674, 0.5674485584568476]",0.5198377803993378,"[0.47615657314245796, 0.5202986462069101, 0.5163022829092258, 0.5274521653006677, 0.5589792344374277]",0.5323481091740071,"[0.49356516976998904, 0.5295416316232128, 0.5413567202028741, 0.5286979969183359, 0.5685790273556232]"
11,bank,target2,loan,0.4754281052293211,"[0.5015615051090021, 0.47305411979325024, 0.462797619047619, 0.47374169575498254, 0.4659855864417518]",0.4846971815698657,"[0.5009708737864078, 0.48608712715855573, 0.4805182154685369, 0.47913385826771654, 0.4767758331681116]",0.4760183155067188,"[0.49562038761293886, 0.47336691086691085, 0.4677002583979328, 0.47501974674489195, 0.4683842739109195]",0.2478110162626995,"[0.2963949033490048, 0.2167894029050565, 0.17874598353976925, 0.29296206521244916, 0.25416272630721787]",0.4846971815698657,"[0.5009708737864078, 0.48608712715855573, 0.4805182154685369, 0.47913385826771654, 0.4767758331681116]"
