,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5458736471316227,"[0.5254965110037574, 0.5564748510294849, 0.5693755665760145, 0.5509966340449974, 0.5270246730038594]",0.5848218298703332,"[0.5772170452048502, 0.6140147584457512, 0.5796739832977887, 0.562712025919573, 0.5904913364837029]",0.5595172006088326,"[0.5462425037567932, 0.578334053669451, 0.5672866326539092, 0.5562186688080254, 0.5495041441559843]",0.5383716308160051,"[0.5194490008846464, 0.5730382378793848, 0.5432189838005356, 0.5043643104742127, 0.5517876210412466]",0.7779093023490633,"[0.7613500362537237, 0.7939163788017947, 0.7835550245880901, 0.7739988944100545, 0.7767261776916533]"
1,imdb,target3,gross,0.7176384001276324,"[0.7103635402055692, 0.7189982389442735, 0.7011590827380301, 0.7017951825480988, 0.75587595620219]",0.7269023197294915,"[0.7130018393338041, 0.7275547387930763, 0.7059296538701574, 0.7209111413313873, 0.7671142253190323]",0.7209074477191024,"[0.71158665895508, 0.7223251260331255, 0.7032814584259671, 0.7072797553526455, 0.7600642398286936]",0.7247803477261962,"[0.7095692534955308, 0.7259586694132298, 0.7016658009516044, 0.7200865648316916, 0.7666214499389244]",0.7269023197294915,"[0.7130018393338041, 0.7275547387930763, 0.7059296538701574, 0.7209111413313873, 0.7671142253190323]"
2,imdb,target2,content_rating,0.3674480696551198,"[0.44988123808320857, 0.364233461923992, 0.24161984037218895, 0.3809961266411868, 0.4005096812550229]",0.35586878029495517,"[0.42024116885811563, 0.3622047078823187, 0.26222170935546246, 0.40879529984269103, 0.3258810155361879]",0.3422386744161463,"[0.40682750590948435, 0.3423279662805689, 0.24910735844456214, 0.3898215639786865, 0.3231089774674296]",0.1438508474356921,"[0.39129559009238707, 0.3279586470860735, 0.0, 0.0, 0.0]",0.8970291443623978,"[0.8976626060495285, 0.8991700004733312, 0.8872549832523396, 0.900755418524542, 0.9003027135122482]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5104212030604902,"[0.5220266221499491, 0.49667123215079717, 0.5116904187777545, 0.5213790694384416, 0.5003386727855086]",0.5040635077690285,"[0.5139545508942455, 0.4963419468125934, 0.5087655736609099, 0.513627663523934, 0.4876278039534598]",0.5059221166496635,"[0.5173292464869613, 0.49533285021904644, 0.5093603274462679, 0.5158066837237744, 0.4917814753722669]",0.3824446937338507,"[0.39936100007612396, 0.3752933397825478, 0.38900010739042223, 0.3859181488244839, 0.3626508725956756]",0.9074195063655524,"[0.906744616740789, 0.9061208194957141, 0.9086982063549156, 0.9083570836849982, 0.9071768055513441]"
5,mushroom,target2,population,0.37775475449260276,"[0.38635014121532524, 0.36205026576067006, 0.4000783417188021, 0.3537220413022102, 0.3865729824660062]",0.4233820963933847,"[0.4183086233173065, 0.42025491965703193, 0.454043191097617, 0.3937907436756886, 0.43051300421927946]",0.39418594076607616,"[0.39909435094143153, 0.3820927444910793, 0.42017374554451914, 0.36705346563518765, 0.40251539721816326]",0.3312461567360926,"[0.33681552915432567, 0.3119256536140434, 0.3613075722868385, 0.3111132537639671, 0.33506877486128817]",0.8222816210530499,"[0.8260915143737743, 0.8182906045565272, 0.8263122483126462, 0.8195194237123767, 0.8211943143099254]"
6,census,target1,income,0.729338591140641,"[0.7269308846920164, 0.7328056298931245, 0.7296482602843366, 0.7319581920896726, 0.7253499887440551]",0.7337482368640303,"[0.728461451826153, 0.7408207903332797, 0.7299193717035394, 0.7399623772794505, 0.7295771931777295]",0.7314372762362306,"[0.7276873375655012, 0.736590940579286, 0.7297835454886055, 0.7357313908945025, 0.7273931666532577]",0.7226320211769994,"[0.716189401900353, 0.7307911615243765, 0.7173824376968594, 0.730197236647412, 0.7185998681159967]",0.7337482368640303,"[0.728461451826153, 0.7408207903332797, 0.7299193717035394, 0.7399623772794505, 0.7295771931777295]"
7,census,target3,workclass,0.20277736890622505,"[0.20865670007351783, 0.20278943857635245, 0.20147381572396014, 0.20531298772050102, 0.19565390243679395]",0.21020420842519724,"[0.21558046892026966, 0.21412625688031175, 0.206341720279612, 0.21292315099691583, 0.202049445048877]",0.20373796572612232,"[0.20945323878102134, 0.2051442305543183, 0.20148428207882674, 0.20547226809241198, 0.1971358091240334]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8786627988390021,"[0.8815426560214222, 0.8788995142861974, 0.8778885687138642, 0.8791963550970431, 0.8757869000764836]"
8,census,target2,marital-status,0.37473001163471864,"[0.3697745844026617, 0.37317473559355235, 0.37303635089423276, 0.38051143761906514, 0.37715294966408125]",0.3876813669259751,"[0.3844308919725388, 0.38755109700892537, 0.3849278081227463, 0.39533614894265146, 0.38616088858301373]",0.3790337123037906,"[0.3743321568127597, 0.378046510313641, 0.3767806900347038, 0.3855597939362463, 0.380449410421602]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9547350539621254,"[0.9530029396521683, 0.9541113293759296, 0.9542222873089348, 0.9569644554173119, 0.9553742580562824]"
9,bank,target1,y,0.7138492570830787,"[0.7606753307031795, 0.7387435677530017, 0.691542750929368, 0.6970187095646092, 0.6812659264652348]",0.7279367664780677,"[0.7724599011552106, 0.7673020140672636, 0.7097069597069596, 0.6989625869109369, 0.6912523705499676]",0.7204074077670847,"[0.7663862431901568, 0.7517018928783635, 0.699941736259468, 0.6979820443126595, 0.6860251221947758]",0.6998161000279521,"[0.7513770546437056, 0.7510864653046149, 0.6780169317258675, 0.6645516979709089, 0.6540483504946634]",0.7279367664780677,"[0.7724599011552106, 0.7673020140672636, 0.7097069597069596, 0.6989625869109369, 0.6912523705499676]"
