,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4304368803428519,"[0.43042399157520855, 0.44398746713293913, 0.4252064902384731, 0.4251748212501824, 0.4273916315174558]",0.5821873046509449,"[0.5745218333632968, 0.5873713680387409, 0.5810274897111168, 0.5598945429134109, 0.6081212892281594]",0.2516479218081168,"[0.2345840556947042, 0.2560777272737386, 0.24076045639370738, 0.27834779264339043, 0.24846957703504333]",0.42804460325381016,"[0.4112575710362428, 0.42541369103923693, 0.4148287795381112, 0.44972110846929775, 0.4390018661861619]",0.7060083670967304,"[0.7070880463835886, 0.7129656353210218, 0.7029063732752084, 0.7039458977784969, 0.7031358827253366]"
1,imdb,target3,gross,0.6139225248053438,"[0.6302966841186737, 0.596828007518797, 0.6172331871345029, 0.6018181818181818, 0.6234365634365635]",0.5879533361689729,"[0.6014000667437582, 0.5647284264756699, 0.5923893040597845, 0.584513582540051, 0.5967353010256009]",0.4853344135056755,"[0.5109939201115736, 0.45062612463736185, 0.4891589649636757, 0.47171145685997173, 0.5041816009557945]",0.5028434727687184,"[0.5243524384062269, 0.4566719875153233, 0.5102837407633488, 0.5035282987282376, 0.5193808984304557]",0.5879533361689729,"[0.6014000667437582, 0.5647284264756699, 0.5923893040597845, 0.584513582540051, 0.5967353010256009]"
2,imdb,target2,content_rating,0.13261092411173098,"[0.15201734535413405, 0.15909139216783968, 0.13176396523595726, 0.09682549709802749, 0.12335642070269638]",0.24516557709490394,"[0.27579760018485505, 0.2899013235564967, 0.21795534735777786, 0.21421479158898116, 0.22795882278640897]",0.05827320405491421,"[0.06035891541573576, 0.06536943289339285, 0.05792928884051245, 0.05680984058702781, 0.05089854253790214]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8590184243374506,"[0.8601904635541463, 0.8606776099193256, 0.8600303434953785, 0.8562230096902285, 0.8579706950281736]"
3,mushroom,target1,Class,0.9817921084945478,"[0.9796380090497738, 0.9875565610859729, 0.9782890526013297, 0.9777313057005748, 0.9857456140350878]",0.988077805091017,"[0.9872340425531915, 0.9921203438395416, 0.9851618139057272, 0.9853618762515153, 0.9905109489051095]",0.9847084398178809,"[0.9831418730588516, 0.9897287663188887, 0.981439468665746, 0.9812523247781497, 0.9879797662677683]",0.9880146971031893,"[0.9871515005845775, 0.9920890522927279, 0.9850820090950553, 0.985285428026342, 0.9904654955172436]",0.988077805091017,"[0.9872340425531915, 0.9921203438395416, 0.9851618139057272, 0.9853618762515153, 0.9905109489051095]"
4,mushroom,target3,habitat,0.6775231823189173,"[0.6826224306695955, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6731687019410001]",0.8439442903922583,"[0.8450990364025696, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8409895587898091]",0.6963358828964382,"[0.6960061685537484, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.692588771413888]",0.8032508558022509,"[0.8034038952084858, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.8002056990337731]",0.9327260508044948,"[0.9329562653552029, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9317981699774182]"
5,mushroom,target2,population,0.6333521378028761,"[0.6363025448731694, 0.6241596904159576, 0.6349145907869561, 0.6247369645519306, 0.6466468983863667]",0.7296598876165834,"[0.7296190774775712, 0.7225614020364776, 0.7295864166164948, 0.7308679301310881, 0.7356646118212851]",0.5885862698186909,"[0.5954318149410714, 0.5709177265571622, 0.5906840076894049, 0.5778696627012306, 0.6080281372045849]",0.5601263735270432,"[0.5732329682163022, 0.5301267728369841, 0.5728654534408351, 0.5598097467621831, 0.5645969263789112]",0.8914499958927127,"[0.8910913438927305, 0.8877438524259539, 0.8908007601868212, 0.8907934506349139, 0.8968205723231443]"
6,census,target1,income,0.7374909101919319,"[0.7403119100607543, 0.7292182686623853, 0.7480934597484157, 0.7267648331587397, 0.7430660793293647]",0.627258842142089,"[0.6300126890221232, 0.6245183290206331, 0.6252068543521999, 0.6269257571696596, 0.6296305811458287]",0.6450331965939409,"[0.648144006529298, 0.6423387132719824, 0.6427758534881368, 0.6445442604377921, 0.6473631492424949]",0.5375777790442553,"[0.5424482554610766, 0.5341670446569213, 0.530033529777359, 0.5402989246893696, 0.5409411406365504]",0.627258842142089,"[0.6300126890221232, 0.6245183290206331, 0.6252068543521999, 0.6269257571696596, 0.6296305811458287]"
7,census,target3,workclass,0.18806064022145993,"[0.17812607426828914, 0.20131498147561913, 0.18819952253066394, 0.20301928828572666, 0.16964333454700076]",0.16299451457228634,"[0.15242089089707747, 0.16547593673047264, 0.15262566175072848, 0.1933340368026967, 0.15111604668045636]",0.1426955220210326,"[0.14138009633641235, 0.15757896251046374, 0.14151175553372244, 0.13498496590013234, 0.13802182982443226]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8616668191118635,"[0.8607068735829191, 0.867211763023157, 0.8596548043531579, 0.8607770706476819, 0.8599835839524009]"
8,census,target2,marital-status,0.22697025955585612,"[0.23336609678150233, 0.21588732351932402, 0.23072121538678728, 0.2249120658406801, 0.22996459625098678]",0.2972307038676054,"[0.3174454845865754, 0.29050284373173973, 0.28923232740557403, 0.2964271194396189, 0.29254574417451906]",0.1652026396001378,"[0.16707479568146394, 0.16186324028088678, 0.16529779319880306, 0.16398140943965314, 0.16779595939988207]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8883719850588925,"[0.8888669089605366, 0.8874124911420489, 0.888308534282638, 0.8886663217478848, 0.8886056691613542]"
9,bank,target1,y,0.6895411650648927,"[0.6724544247907468, 0.682784911717496, 0.74477729601892, 0.6775622605363985, 0.6701269322609024]",0.6908196096723831,"[0.6930353840089749, 0.6968216626257292, 0.7053571428571428, 0.6964021631166538, 0.6624816957534148]",0.6891844220432993,"[0.6818532818532819, 0.6893485483172035, 0.7224966322406825, 0.686072634913985, 0.6661510128913444]",0.6501341870304816,"[0.6518289592265388, 0.6624000268120169, 0.6606874726434099, 0.6663759804770907, 0.6093784959933523]",0.6908196096723831,"[0.6930353840089749, 0.6968216626257292, 0.7053571428571428, 0.6964021631166538, 0.6624816957534148]"
