,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4665576818124938,"[0.44959334739592843, 0.4767746913580247, 0.48563520077231725, 0.4644846965899598, 0.45630047294623893]",0.5437139572765721,"[0.540451149597491, 0.5388234319151389, 0.588849771960445, 0.5006130487262562, 0.5498323841835292]",0.48007647781863805,"[0.4678653491346621, 0.4891302725504119, 0.5015265170547148, 0.4651223586155093, 0.4767378917378917]",0.51871881928539,"[0.5190989677591846, 0.5121545769335413, 0.5783262227349555, 0.4755982796061334, 0.5084160493931349]",0.7333347937819239,"[0.7337147452722577, 0.7305305257501117, 0.7548172247377133, 0.7145733217686229, 0.7330381513809135]"
1,imdb,target3,gross,0.7105571445882413,"[0.7355501546619532, 0.7045454545454546, 0.6779328406400229, 0.7044183363514224, 0.7303389367423534]",0.7294570558987038,"[0.7482169327362613, 0.7176986146451796, 0.698416571986366, 0.7321428571428572, 0.7508103029828546]",0.7113008603847633,"[0.73936938616763, 0.708067144102156, 0.6725047864813118, 0.7070111830713746, 0.7295518021013434]",0.7286919778761154,"[0.7480485045636657, 0.7173286289341909, 0.696722255101492, 0.7319250547113999, 0.7494354460698285]",0.7294570558987038,"[0.7482169327362613, 0.7176986146451796, 0.698416571986366, 0.7321428571428572, 0.7508103029828546]"
2,imdb,target2,content_rating,0.19030102609912813,"[0.19358664938495998, 0.1917301713947625, 0.18782399851810178, 0.1734249419944996, 0.20493936920331693]",0.2224963962175924,"[0.2167374841350682, 0.2220052065551687, 0.190928651104109, 0.1897036823935558, 0.29310695690006033]",0.18621700323372067,"[0.18896889999160596, 0.18694568727769975, 0.17785178330939286, 0.16972934396646064, 0.20758930162344416]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8730529045620203,"[0.8742309095110851, 0.8749707425932927, 0.8753786979699898, 0.8651245995970037, 0.8755595731387303]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5492219576831153,"[0.5431542822269179, 0.534693329225194, 0.5550485795896203, 0.5596733610362743, 0.5535402363375704]",0.5536487548233542,"[0.5439244051023692, 0.5458084939207314, 0.5571946839647317, 0.5682536590076946, 0.5530625321212437]",0.5500958240614617,"[0.5430631243784084, 0.5381947757827833, 0.5547768009250073, 0.5615978475713249, 0.552846571649785]",0.46072514187246727,"[0.44104548399079885, 0.4447264974260282, 0.47746092045765304, 0.4775103382451864, 0.4628824692426697]",0.9119604755268537,"[0.9097096141849085, 0.9118296453481533, 0.9119691760894102, 0.9126947640273829, 0.9135991779844131]"
5,mushroom,target2,population,0.46092500632674954,"[0.4505465583552877, 0.44819305862419956, 0.4892487816149473, 0.4529959247617458, 0.4636407082775671]",0.5352772635515307,"[0.5002850246569578, 0.5264917756819657, 0.5777389855483245, 0.5394598544243587, 0.5324106774460468]",0.4850574355508684,"[0.46779052134231636, 0.47402356491214886, 0.5189222559014224, 0.4763840588988852, 0.48816677669956876]",0.4673892260659639,"[0.4424765115625072, 0.4592284504349246, 0.509118910281882, 0.46831408346564324, 0.45780817458486245]",0.8485727895750491,"[0.8467498152855649, 0.8450482367092441, 0.8537462673320649, 0.8502666080078106, 0.847053020540561]"
6,census,target1,income,0.6345276722853667,"[0.6323761439953335, 0.6356637022397892, 0.6327779623579097, 0.6397009618803271, 0.6321195909534738]",0.6360353275066055,"[0.6344578924268998, 0.636716985660383, 0.6320691482962673, 0.644318969197018, 0.6326136419524595]",0.6352376176683802,"[0.6333790034214046, 0.6361816914740073, 0.6324192522810006, 0.6418437114449472, 0.6323644297205411]",0.6101782754048177,"[0.6093565436634869, 0.6092346651161428, 0.6040517133277246, 0.621716598858159, 0.6065318560585758]",0.6360353275066055,"[0.6344578924268998, 0.636716985660383, 0.6320691482962673, 0.644318969197018, 0.6326136419524595]"
7,census,target3,workclass,0.15389880556442598,"[0.1639424706242791, 0.14798554611848763, 0.16522875972050205, 0.14402077929604704, 0.14831647206281412]",0.15338794393389055,"[0.15753642610098392, 0.15307236187241355, 0.15625941206060906, 0.15124562912003683, 0.14882589051540945]",0.14571127226667713,"[0.15045085307472908, 0.14494709827871527, 0.14849970693352918, 0.14266184704607296, 0.1419968560003391]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8612770981494136,"[0.8616928610523245, 0.8615707688033604, 0.8625876255178021, 0.8606809249795073, 0.8598533103940731]"
8,census,target2,marital-status,0.2221412586901459,"[0.219923415908044, 0.22085720346255927, 0.2228803457331119, 0.22271826717378324, 0.2243270611732311]",0.21184289300386014,"[0.22015818949049915, 0.21224128196634393, 0.21163703036574638, 0.20315950925341084, 0.2120184539433004]",0.19308294640368784,"[0.19115496496897544, 0.19395027188120495, 0.19279661795416272, 0.1918389581507336, 0.19567391906336257]",0.03847490671160568,"[0.19237453355802842, 0.0, 0.0, 0.0, 0.0]",0.8820084309877195,"[0.8812338603928228, 0.8820551276472187, 0.8824434207396488, 0.8819696005411595, 0.8823401456177482]"
9,bank,target1,y,0.6970241832207836,"[0.6717966256269949, 0.7005762711864407, 0.7203305436926671, 0.7093875502008031, 0.6830299253970125]",0.7775995391938249,"[0.7741578484582032, 0.7840819070024245, 0.7926587301587302, 0.7761946804988411, 0.7609045298509254]",0.7247006858616669,"[0.7036313736819299, 0.7290475134855539, 0.7479594777568122, 0.7339168697215585, 0.7089481946624804]",0.7700815841484466,"[0.7658456184073528, 0.7782110909647121, 0.7846914939903075, 0.7689768922184332, 0.7526828251614275]",0.7775995391938249,"[0.7741578484582032, 0.7840819070024245, 0.7926587301587302, 0.7761946804988411, 0.7609045298509254]"
