,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5358478126156185,"[0.4742396772072024, 0.5490480709210801, 0.55782212002077, 0.5542535081665516, 0.5438756867624882]",0.6114314555611647,"[0.6191553804358683, 0.6151441614781505, 0.6131433707151033, 0.589819579442221, 0.6198947857344804]",0.5550732948106737,"[0.5048529512815227, 0.5598585888739628, 0.5801860894720433, 0.5618950133039728, 0.5685738311218665]",0.5835252382542053,"[0.6034814875601234, 0.6038674853696651, 0.568354302827023, 0.5624234821371384, 0.5794994333770768]",0.7715446309069459,"[0.7644846795919994, 0.7764790694380134, 0.7784882080370591, 0.7668920473619446, 0.7713791501057131]"
1,imdb,target3,gross,0.7264950556651377,"[0.7357973990417522, 0.7333397000372907, 0.717795315682281, 0.7041223404255319, 0.741420523138833]",0.7183249589364689,"[0.7326058781072712, 0.7014811673420664, 0.719039541694004, 0.7036551792762612, 0.7348430282627417]",0.7209633444863275,"[0.7340989882417281, 0.7106709682005692, 0.7184027604639335, 0.7038870313988457, 0.7377569741265607]",0.7090073994738357,"[0.7275682870331646, 0.6803330171083039, 0.7138020523403314, 0.6949350742132104, 0.7283985666741689]",0.7183249589364689,"[0.7326058781072712, 0.7014811673420664, 0.719039541694004, 0.7036551792762612, 0.7348430282627417]"
2,imdb,target2,content_rating,0.32507231896457817,"[0.3496038236167416, 0.3564791770366683, 0.284214772638418, 0.3078405529539028, 0.32722326857716]",0.4314098570829625,"[0.4621423001018589, 0.43966615967257516, 0.3545495634207869, 0.44038432777472597, 0.4603069344448655]",0.34745469052115097,"[0.368431364346731, 0.38182588902817177, 0.29973021150199897, 0.3350160565226107, 0.3522699312062426]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.904434575318645,"[0.9049522962868937, 0.905059099222963, 0.9006496282956818, 0.9075660331055426, 0.9039458196821434]"
3,mushroom,target1,Class,0.9915578913524282,"[0.9840182648401826, 0.9886621315192744, 1.0, 0.9895833333333333, 0.9955257270693512]",0.994722790499466,"[0.9900709219858156, 0.9928366762177651, 1.0, 0.9936260623229463, 0.997080291970803]",0.9930683369404842,"[0.9868650237004634, 0.9906585514383679, 1.0, 0.9915294294181641, 0.9962886801454258]",0.9947027205310928,"[0.9900211330934462, 0.992810834165064, 1.0, 0.9936056182640537, 0.9970760171328994]",0.994722790499466,"[0.9900709219858156, 0.9928366762177651, 1.0, 0.9936260623229463, 0.997080291970803]"
4,mushroom,target3,habitat,0.7381805945868848,"[0.7348975749655517, 0.7359317939744369, 0.7342607603384547, 0.7438271604938271, 0.7419856831621537]",0.8687498924439161,"[0.8666543748224221, 0.8766431036611221, 0.8555218403609969, 0.8749550773388535, 0.8699750660361859]",0.7352023173707439,"[0.7293264067110291, 0.7367897854196331, 0.7310937656090669, 0.7426589070935296, 0.7361427220204608]",0.8321062925344755,"[0.8283232418302346, 0.8401240505361001, 0.8188757295123484, 0.8397071650338257, 0.8335012757598684]",0.9501545484160461,"[0.9478583290870671, 0.9515006535843105, 0.9499939548205294, 0.9510487022335926, 0.9503711023547307]"
5,mushroom,target2,population,0.5562059864799307,"[0.5006839152110715, 0.5426546275673282, 0.6266557682673805, 0.5147880670788205, 0.5962475542750532]",0.7363467015950207,"[0.7338563551379215, 0.7338981287379, 0.7428067390561383, 0.7315216939427466, 0.7396505911003968]",0.5732006504415813,"[0.5246773497453076, 0.5528658674731467, 0.618909750375432, 0.5480043782911405, 0.6215459063228801]",0.617263432513744,"[0.6161530048275147, 0.5924737446576298, 0.632860939691722, 0.6110340465081492, 0.6337954268837045]",0.8939870899370795,"[0.8932173623320225, 0.8923179046654224, 0.8963564186488743, 0.8907619928417435, 0.8972817711973352]"
6,census,target1,income,0.7698775776514789,"[0.773732131224111, 0.7681991893047599, 0.7650988392576789, 0.7737818850630163, 0.7685758434078283]",0.7503491527290327,"[0.7615718974766686, 0.7535354609796395, 0.7385347599562107, 0.7487813812204056, 0.7493222640122386]",0.75897393529278,"[0.7672410411536021, 0.760288346997678, 0.7498210857590475, 0.7596363232953278, 0.7578828792582448]",0.7348366086993944,"[0.7494568526905399, 0.7392335554411743, 0.7196592366055736, 0.7316289901195948, 0.7342044086400894]",0.7503491527290327,"[0.7615718974766686, 0.7535354609796395, 0.7385347599562107, 0.7487813812204056, 0.7493222640122386]"
7,census,target3,workclass,0.31964452481837635,"[0.2374435605812382, 0.3523790268710821, 0.3871022676396248, 0.3103403106491969, 0.3109574583507397]",0.2601635339940407,"[0.3227194965434362, 0.2035335659064396, 0.21230803131199097, 0.2333855426460044, 0.3288710335623322]",0.1666733676242102,"[0.16616287542006786, 0.16139960074521506, 0.1661608993531917, 0.16910830110891778, 0.1705351614936588]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8802858034078728,"[0.8805438243827043, 0.8791714332279563, 0.8796058213219252, 0.8809250790888197, 0.8811828590179577]"
8,census,target2,marital-status,0.43321057557026305,"[0.402599840000343, 0.41422362167385623, 0.4043580405502116, 0.5404096732306852, 0.40446170239621937]",0.42721820645403863,"[0.4327489829886729, 0.4192248724749011, 0.4353288912600645, 0.4267652869161721, 0.42202299863038234]",0.40260330291549284,"[0.4040138239276493, 0.39616384212836353, 0.407493048484096, 0.40054950280292567, 0.4047962972344297]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9573108026967556,"[0.957370017171188, 0.955356943130396, 0.9589407193999363, 0.9576153847055144, 0.9572709490767435]"
9,bank,target1,y,0.7487318792723104,"[0.7322381799694967, 0.7387435677530017, 0.7661890794223827, 0.7706439393939394, 0.7358446298227319]",0.7460096319883641,"[0.721612443528092, 0.7673020140672636, 0.7400793650793651, 0.7838759518816907, 0.7171783853854095]",0.7466986486503228,"[0.7267501842299191, 0.7517018928783635, 0.7521390374331551, 0.7769974417665275, 0.7259046869436478]",0.7190163579613533,"[0.6839477187435237, 0.7510864653046149, 0.7089749661627712, 0.7696654769923743, 0.6814071626034829]",0.7460096319883641,"[0.721612443528092, 0.7673020140672636, 0.7400793650793651, 0.7838759518816907, 0.7171783853854095]"
