,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.42823868295733236,"[0.3871720298964881, 0.4286991581851299, 0.4671376856308363, 0.4390347850660148, 0.41914975600819265]",0.6030669866053128,"[0.5221150196759953, 0.674235414504785, 0.5184037148392467, 0.659459373610317, 0.6411214103962196]",0.34583418940552074,"[0.294096529716793, 0.3535860333255519, 0.3251090306866598, 0.3872610833065731, 0.3691182699920261]",0.5255352813447753,"[0.44495185628538975, 0.6135728124527684, 0.3460767969068247, 0.6261165058534217, 0.5969584352254719]",0.7283211016404612,"[0.7082407797872851, 0.7519030265473972, 0.6861949075894528, 0.7606002025972658, 0.734666591680905]"
1,imdb,target3,gross,0.6967054378186032,"[0.6898833911125118, 0.6482738404881634, 0.6580814474864166, 0.6642322097378277, 0.8230563002680965]",0.6287342991260869,"[0.6823617977353688, 0.6410250369113812, 0.6438647165191788, 0.6745331520116753, 0.5018867924528302]",0.5490636049442065,"[0.6199921290830381, 0.5730524854217103, 0.5583051316567489, 0.5977007367408194, 0.3962675418187162]",0.5075252048673925,"[0.6455878924983178, 0.6000947579076626, 0.5884707867794565, 0.6420430754681306, 0.061429511683395124]",0.6287342991260869,"[0.6823617977353688, 0.6410250369113812, 0.6438647165191788, 0.6745331520116753, 0.5018867924528302]"
2,imdb,target2,content_rating,0.15462457761786644,"[0.138452574210651, 0.20111957728682464, 0.06421563221697472, 0.19551930718261815, 0.1738157971922636]",0.18501856757775442,"[0.21529945311457918, 0.2637363487598892, 0.12814201927105154, 0.1628338271793042, 0.15508118956394817]",0.08968407123397015,"[0.07145476717178559, 0.1313878043729158, 0.0754137626515777, 0.08386986348554916, 0.0862941584880225]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8645515718793604,"[0.8643080550040647, 0.8664629860881892, 0.8622059345332264, 0.8664224602727545, 0.8633584234985671]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.6313624212414002,"[0.638778553811957, 0.6116626982054478, 0.6321890678654268, 0.6446458293742712, 0.6295359569498981]",0.6207424524255732,"[0.6698299125131467, 0.5932950646725689, 0.6119331418315564, 0.632826173301091, 0.5958279698095031]",0.6160592782589034,"[0.6470286038612798, 0.5854719029114809, 0.6059779582471317, 0.6346746922985229, 0.6071432339761017]",0.5440508321325057,"[0.6279373776767978, 0.47241108864519976, 0.5099209522318402, 0.5720401865729529, 0.5379445555357381]",0.925096449899369,"[0.9289379934461003, 0.9205072993284235, 0.9230928458635105, 0.9268243598658441, 0.9261197509929667]"
5,mushroom,target2,population,0.6024537527674311,"[0.6054649309785737, 0.5959493178675216, 0.6080805124928732, 0.5925893371931107, 0.6101846653050761]",0.7336734995025347,"[0.7300897666010582, 0.7326038148559189, 0.7359151632105333, 0.7336377142692933, 0.7361210385758693]",0.6164403830063391,"[0.6182889088335711, 0.6076441233437803, 0.6189357137083523, 0.601316667929355, 0.6360165012166364]",0.6367031968801011,"[0.6349538750002369, 0.6334859420048838, 0.6380211327863838, 0.6267819478045368, 0.6502730868044644]",0.8933366838095658,"[0.8921378603133858, 0.8931965796012952, 0.8943923833191777, 0.8915399861555381, 0.8954166096584322]"
6,census,target1,income,0.6793324724444615,"[0.7232855340523707, 0.6368068232215933, 0.6615891362813526, 0.6442887709823614, 0.7306920976846294]",0.6155988292432466,"[0.6254397210111701, 0.6034236924660752, 0.6118749125657071, 0.6088463027487417, 0.6284095174245385]",0.6282368413155937,"[0.6419933127083816, 0.6123768318232489, 0.6230505980551548, 0.6183874943253198, 0.6453759696658632]",0.5392492089562884,"[0.5387929935516226, 0.534279607516596, 0.5383582243693166, 0.542252653639799, 0.5425625657041078]",0.6155988292432466,"[0.6254397210111701, 0.6034236924660752, 0.6118749125657071, 0.6088463027487417, 0.6284095174245385]"
7,census,target3,workclass,0.13377417898485305,"[0.10522655793150316, 0.10593776176252113, 0.24814276230518764, 0.10511592622445594, 0.10444788670059747]",0.14295051353874882,"[0.14285714285714285, 0.14285714285714285, 0.14332399626517273, 0.14285714285714285, 0.14285714285714285]",0.12135759302394673,"[0.12118785209184649, 0.12165816650634335, 0.12215767715537093, 0.12111444960393336, 0.12066981976223955]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8571548720413313,"[0.8571428571428571, 0.8571428571428571, 0.8572029316352278, 0.8571428571428571, 0.8571428571428571]"
8,census,target2,marital-status,0.12974132199181948,"[0.10492519039218513, 0.15052888916844517, 0.1420909485716592, 0.1481155969769598, 0.10304598484984807]",0.1523197657002871,"[0.17393913237363584, 0.14669470308150084, 0.14936166742530618, 0.1449687846926741, 0.14663454092831865]",0.06371451282711064,"[0.03262792863055503, 0.08259391475211038, 0.09095084540705688, 0.09040279772947175, 0.02199707761635921]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8610982303069757,"[0.8597111788239415, 0.861085833813451, 0.8635036288330635, 0.8623227976678199, 0.8588677123966028]"
9,bank,target1,y,0.7438053813743385,"[0.7121177648343647, 0.7401940880298847, 0.766659309127028, 0.7512398743593982, 0.7488158705210171]",0.7847141365643224,"[0.7826779054607198, 0.7840098902945483, 0.8073107448107448, 0.768358900783578, 0.7812132414720214]",0.7612746288496641,"[0.7398231808024871, 0.7590643274853801, 0.7847617810782572, 0.7593188329252093, 0.7634050219569868]",0.7719725353033886,"[0.7703063945085865, 0.7723589818912464, 0.7972977867044162, 0.7522324498029751, 0.7676670636097187]",0.7847141365643224,"[0.7826779054607198, 0.7840098902945483, 0.8073107448107448, 0.768358900783578, 0.7812132414720214]"
