,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5609803220810659,"[0.5265151515151515, 0.5873709703448028, 0.5700500836671273, 0.5906233882204415, 0.5303420166578062]",0.6176174329667717,"[0.5804930484808534, 0.6400367880202928, 0.6462742780816374, 0.6401499269423797, 0.5811331233086957]",0.5839765250979106,"[0.5467885053838932, 0.608560031254498, 0.6010039890636906, 0.6119674473275518, 0.5515626524599199]",0.5804625060908132,"[0.5444601947760748, 0.6161973695543589, 0.6009623651271037, 0.6013114626476939, 0.5393811383488347]",0.7875263432594172,"[0.7780351540670748, 0.7985568036044457, 0.801234178207371, 0.7910379599072698, 0.7687676205109244]"
1,imdb,target3,gross,0.730658299420604,"[0.7342047930283224, 0.741528260384456, 0.7128235655580306, 0.7175444756554308, 0.7471904024767801]",0.7364071937756924,"[0.7411118268387518, 0.7380077278296108, 0.7216919236370037, 0.7311892600086238, 0.750035230564472]",0.7328722431608415,"[0.7370444245745161, 0.7396614459737383, 0.7163587254364676, 0.7227633191767657, 0.7485333006427208]",0.7335932650916323,"[0.7396863112630472, 0.7326030239162346, 0.7193848219772093, 0.7289280012770849, 0.7473641670245855]",0.7364071937756924,"[0.7411118268387518, 0.7380077278296108, 0.7216919236370037, 0.7311892600086238, 0.750035230564472]"
2,imdb,target2,content_rating,0.3957585571634618,"[0.47706442785919645, 0.4122174938228804, 0.3213792372615239, 0.3520274929124317, 0.4161041339612768]",0.36419180013999514,"[0.38008187281646666, 0.39601801493386674, 0.34041744014598035, 0.32987849651634765, 0.3745631762873142]",0.3666812076906531,"[0.3895720009262536, 0.40051696819632465, 0.3261319528086015, 0.3383166793731633, 0.3788684371489225]",0.13196729111889477,"[0.3290836850684769, 0.3307527705259969, 0.0, 0.0, 0.0]",0.9025701264905874,"[0.9024786563714448, 0.9069995477588514, 0.8971513566613284, 0.9017193939262136, 0.9045016777350988]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.47372511621712843,"[0.4878694238453292, 0.458956921832339, 0.4636327724563019, 0.4915542549704255, 0.4666122079812463]",0.4694913045259076,"[0.4817193571681524, 0.46105945236249496, 0.46446789255008425, 0.4864785651019181, 0.4537312554468884]",0.47004883494193495,"[0.4839634768029329, 0.4588389095722474, 0.46317017688841483, 0.4871009083319397, 0.4571707031141398]",0.2762189442729802,"[0.30807680296300477, 0.2393709008610815, 0.2722662149651933, 0.2987842843757062, 0.2625965181999154]",0.9034890413881737,"[0.9028767754553472, 0.9024709346286744, 0.9033502756961043, 0.9048483960382252, 0.9038988251225168]"
5,mushroom,target2,population,0.31985949315309303,"[0.3262803535824782, 0.31143821626718377, 0.34945822443955393, 0.3032514186222583, 0.3088692528539912]",0.3331125575282312,"[0.33230041895672996, 0.32759790349233897, 0.3658822027250966, 0.3215575281523874, 0.31822473431460313]",0.3251741705524487,"[0.32907284247848173, 0.31841287943436863, 0.35663668866309606, 0.3099328294755385, 0.3118156127107586]",0.23969135638036318,"[0.24472914410353977, 0.22648314549812465, 0.2843386916972065, 0.22497955270624376, 0.21792624789670118]",0.8144382628882898,"[0.8166895500132, 0.8125330440490345, 0.8190280707211044, 0.8125571654252574, 0.8113834842328531]"
6,census,target1,income,0.7373390006536285,"[0.7331957781103573, 0.7337332458791992, 0.7355629267003454, 0.7464141435788323, 0.7377889089994082]",0.7458817533646449,"[0.7423912196612894, 0.7464306302921002, 0.7440206699566561, 0.7549171605269166, 0.7416490863862624]",0.7413252136370656,"[0.7374799209568597, 0.7395200656534742, 0.7395318784940944, 0.7504293113119385, 0.7396648917689612]",0.737042129893637,"[0.7336689973943207, 0.7381212156245752, 0.7351948387584526, 0.7465343479024159, 0.7316912497884213]",0.7458817533646449,"[0.7423912196612894, 0.7464306302921002, 0.7440206699566561, 0.7549171605269166, 0.7416490863862624]"
7,census,target3,workclass,0.21650575068964195,"[0.20949292841342912, 0.21783530785745123, 0.21348163939794748, 0.21944727996158586, 0.22227159781779599]",0.22257948564401692,"[0.215950451113389, 0.22425085408657308, 0.21941390488234555, 0.22328210076443103, 0.230000117373346]",0.21890226907710328,"[0.21215806871986903, 0.22009646085510193, 0.2157166172732348, 0.22093677665654185, 0.22560342188076873]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8808938085656951,"[0.8805983722049081, 0.8807999414281796, 0.8812136994551256, 0.8803945409334474, 0.8814624888068154]"
8,census,target2,marital-status,0.38995789061131625,"[0.3816743573689728, 0.3929464664574551, 0.3905514961410278, 0.39714369662550597, 0.3874734364636193]",0.39063321513569554,"[0.3868498828825788, 0.3944165390589824, 0.390607828345248, 0.39895683767199486, 0.38233498771967334]",0.3899115282195794,"[0.3836749456090574, 0.39355770032247694, 0.3901327786725347, 0.397748912949399, 0.3844433035444293]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9603782384152627,"[0.9597313764290044, 0.9594363695215958, 0.9612651742950421, 0.9613100695880776, 0.9601482022425936]"
9,bank,target1,y,0.7190606544956617,"[0.7159734133790737, 0.73377474308573, 0.7100144837575005, 0.7384691684575964, 0.6970714637984078]",0.7476102908703732,"[0.8054182711257998, 0.7441006313464724, 0.7323717948717949, 0.7547180222933452, 0.7014427347144537]",0.7306895327235103,"[0.7490676711455933, 0.7387567224818581, 0.7202759220031503, 0.7461308237704263, 0.6992165242165242]",0.7254692041948068,"[0.7978017765847665, 0.7205667618051131, 0.7071067811865476, 0.7361268874274018, 0.6657438139702049]",0.7476102908703732,"[0.8054182711257998, 0.7441006313464724, 0.7323717948717949, 0.7547180222933452, 0.7014427347144537]"
