,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.45017362280533624,"[0.4382654319403421, 0.47921113477300176, 0.4447351621808144, 0.4335152299913676, 0.4551411551411551]",0.6322884531133559,"[0.6509378558159046, 0.6409058644644299, 0.6114472463530637, 0.5952226669207801, 0.6629286320126014]",0.34217814456345247,"[0.33104106988433685, 0.3747227152830221, 0.33799605774997715, 0.31804415089821814, 0.3490867290017082]",0.5516112910891806,"[0.5699068026000262, 0.5689803958959172, 0.5333111638391576, 0.5055891958864428, 0.5802688972243596]",0.7276975351424343,"[0.7360422502139619, 0.7452478937012098, 0.7107855900793272, 0.7093863885346998, 0.7370255531829729]"
1,imdb,target3,gross,0.6176873710273669,"[0.6352103376721373, 0.6097577185668539, 0.6090140067750163, 0.6225637329436623, 0.6118910591791652]",0.5935197805891735,"[0.611252531994319, 0.5713332076775673, 0.5916651997887696, 0.6029345915287406, 0.5904133719564707]",0.49442684567195216,"[0.5281593021763609, 0.4534971244536462, 0.4982086878638603, 0.4895599888216787, 0.5027091250442148]",0.5135880379876231,"[0.5447723353351815, 0.45849983267876576, 0.5223402041367249, 0.5232258585113055, 0.5191019592761376]",0.5935197805891735,"[0.611252531994319, 0.5713332076775673, 0.5916651997887696, 0.6029345915287406, 0.5904133719564707]"
2,imdb,target2,content_rating,0.12346402245713795,"[0.15821561680393872, 0.14722926834250027, 0.07398153374519054, 0.09963795056241949, 0.13825574283164074]",0.20516239779859044,"[0.14839130096483039, 0.29161194732519125, 0.12778236675071733, 0.2161172613534454, 0.2419091125987678]",0.08340730880200045,"[0.08156399860908252, 0.09196482022991578, 0.06429231792771542, 0.0885334386561271, 0.0906819685871614]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8591614348901795,"[0.8602039720331224, 0.8585534651674829, 0.857644221088172, 0.8560281468035221, 0.8633773693585984]"
3,mushroom,target1,Class,0.9954291973631244,"[0.9941724941724941, 0.998123574814352, 0.9913367478774455, 0.9957603609625668, 0.9977528089887641]",0.9967236579133265,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.996693321010722, 0.9985401459854015]",0.9960637532830766,"[0.9952898082130057, 0.998123574814352, 0.9925394339485492, 0.9962230697176502, 0.998142879721827]",0.9967205480240138,"[0.9964475909040272, 0.9981234761675846, 0.9937997189310885, 0.9966928752772842, 0.9985390788400837]",0.9967236579133265,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.996693321010722, 0.9985401459854015]"
4,mushroom,target3,habitat,0.6775231823189173,"[0.6826224306695955, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6731687019410001]",0.8439442903922583,"[0.8450990364025696, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8409895587898091]",0.6963358828964382,"[0.6960061685537484, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.692588771413888]",0.8032508558022509,"[0.8034038952084858, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.8002056990337731]",0.9327260508044948,"[0.9329562653552029, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9317981699774182]"
5,mushroom,target2,population,0.6333521378028761,"[0.6363025448731694, 0.6241596904159576, 0.6349145907869561, 0.6247369645519306, 0.6466468983863667]",0.7296598876165834,"[0.7296190774775712, 0.7225614020364776, 0.7295864166164948, 0.7308679301310881, 0.7356646118212851]",0.5885862698186909,"[0.5954318149410714, 0.5709177265571622, 0.5906840076894049, 0.5778696627012306, 0.6080281372045849]",0.5601263735270432,"[0.5732329682163022, 0.5301267728369841, 0.5728654534408351, 0.5598097467621831, 0.5645969263789112]",0.8914499958927127,"[0.8910913438927305, 0.8877438524259539, 0.8908007601868212, 0.8907934506349139, 0.8968205723231443]"
6,census,target1,income,0.7254691105658605,"[0.731079029863059, 0.714311304561715, 0.7318751203079885, 0.716761138196792, 0.7333189598997478]",0.6267629425831152,"[0.6279471829731411, 0.6231828262413869, 0.6258757307743501, 0.6269372723031259, 0.6298717006235715]",0.643866483206961,"[0.6452853478507494, 0.6399571599599743, 0.6429505601312064, 0.6439401186309497, 0.6471992294619254]",0.5406533872679476,"[0.5412681024583331, 0.5366962396772846, 0.536650021277917, 0.5439776322303601, 0.5446749406958433]",0.6267629425831152,"[0.6279471829731411, 0.6231828262413869, 0.6258757307743501, 0.6269372723031259, 0.6298717006235715]"
7,census,target3,workclass,0.17661793107379342,"[0.20496706858983132, 0.17816707102421386, 0.18248589011300878, 0.1549705324691862, 0.1624990931727269]",0.1746197092357794,"[0.15695289113844474, 0.16247540186868228, 0.16278425924190412, 0.23415188474155796, 0.15673410918830796]",0.14581275356028556,"[0.14667895128911046, 0.15347391662337354, 0.15203471527276244, 0.1316932188633158, 0.14518296575286554]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8620178669055859,"[0.8621550681647863, 0.8625660518394207, 0.8625947389167562, 0.8604371045537886, 0.8623363710531774]"
8,census,target2,marital-status,0.22496308892936984,"[0.20896142588533073, 0.23114294840824234, 0.2394032936064817, 0.22051896394482923, 0.22478881280196525]",0.25548405927582857,"[0.26673333926694415, 0.24490289303936727, 0.26128577845247164, 0.2593588286364437, 0.2451394569839161]",0.22784712782037442,"[0.23116072663349727, 0.2202009775524512, 0.23611921123717525, 0.2308843917610823, 0.22087033191766597]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9011729952908528,"[0.9006599625118928, 0.8988077260704903, 0.9038671582625198, 0.9019201339951793, 0.9006099956141818]"
9,bank,target1,y,0.6484127954258956,"[0.6488441936658172, 0.6504012103337993, 0.691542750929368, 0.6186274509803922, 0.6326483712201008]",0.6814176790834238,"[0.6983566295746035, 0.688527738435317, 0.7097069597069596, 0.6442224919986757, 0.6662745757015628]",0.6614214399472562,"[0.6677742154862528, 0.6652789872772455, 0.699941736259468, 0.6285227447727013, 0.645589515940613]",0.6484705146237011,"[0.6670253626056333, 0.6603310992383019, 0.6780169317258675, 0.6052414258242956, 0.631737753724407]",0.6814176790834238,"[0.6983566295746035, 0.688527738435317, 0.7097069597069596, 0.6442224919986757, 0.6662745757015628]"
