,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5904923894908524,"[0.5695294437644499, 0.5422220538333851, 0.6051443713450292, 0.5851256614264705, 0.6504404170849273]",0.5855818290497379,"[0.5997817662451809, 0.5233288654444829, 0.6331488658435559, 0.556730830315736, 0.6149188173997335]",0.5866116160224458,"[0.5834428863569968, 0.5320127319517812, 0.6179072356161255, 0.5698213047569523, 0.6298739214303734]",0.5112994514457124,"[0.5110693258607076, 0.43376778690792867, 0.5706367927384861, 0.4737931642901006, 0.567230187431339]",0.7711589260124473,"[0.774263985876534, 0.74452756823799, 0.7962610938162031, 0.753641249970178, 0.7871007321613313]"
1,imdb,target3,gross,0.7483448719186303,"[0.7533192389006342, 0.7430020283975659, 0.7340985174557628, 0.7583872023565993, 0.7529173724825898]",0.7489933232638452,"[0.7557256055443885, 0.7399161247761756, 0.7349938391128322, 0.7618453348369763, 0.7524857120488531]",0.7486258988062454,"[0.7544642857142858, 0.7413774368113358, 0.7345394579227291, 0.7600484301387012, 0.7526998834441756]",0.744989352317684,"[0.753295347681843, 0.7347545792798359, 0.7303128120057094, 0.7576710861636805, 0.7489129364573515]",0.7489933232638452,"[0.7557256055443885, 0.7399161247761756, 0.7349938391128322, 0.7618453348369763, 0.7524857120488531]"
2,imdb,target2,content_rating,0.4670143302866442,"[0.5526131913604465, 0.5029484585675366, 0.33412077863566153, 0.5066019474833933, 0.4387872753861831]",0.418326597276686,"[0.4372129554683826, 0.4785856129669371, 0.31623371973699566, 0.43933769174121134, 0.420263006469903]",0.43416295032513846,"[0.4707696525057531, 0.48907291541705356, 0.32133544442951684, 0.46466234279682705, 0.42497439647654156]",0.17120082006053686,"[0.3946766842368673, 0.46132741606581695, 0.0, 0.0, 0.0]",0.908637332148236,"[0.91051178356306, 0.9066654295274275, 0.9100352365595118, 0.9105137216620125, 0.9054604894291686]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.45935475005797677,"[0.4620537743179252, 0.4397162525897671, 0.4558584189178683, 0.4847369531472017, 0.45440835131712176]",0.4557164036241286,"[0.46094915444123363, 0.4452578488308301, 0.45556666464393114, 0.4744929004672236, 0.4423154497374245]",0.45404965696690114,"[0.4586012301063442, 0.44010037553156334, 0.45388331209756916, 0.4739812822353844, 0.44368208486364485]",0.2004947413737878,"[0.0, 0.20303999980291917, 0.2721268154928017, 0.2827031700158405, 0.2446037215573777]",0.897450826847966,"[0.8964480953718583, 0.8972213766864111, 0.8978952860900541, 0.8986128338460709, 0.8970765422454363]"
5,mushroom,target2,population,0.30320121360939906,"[0.3097256477752141, 0.300971343335096, 0.3260466996423292, 0.28626262950275855, 0.29299974779159726]",0.3167375162579913,"[0.31562455628766156, 0.3175935910697593, 0.3423204201255953, 0.3050504660663779, 0.3030985477405624]",0.30880573128823496,"[0.31252230095614014, 0.30817542127658615, 0.33330738694527384, 0.29336078020567063, 0.2966627670575039]",0.21147800645244316,"[0.2140747080117957, 0.2146802838260701, 0.24249060973599268, 0.19541201685946594, 0.19073241382889147]",0.8072474788104543,"[0.8102498831049266, 0.8062601981155608, 0.8092952441448672, 0.8056882962842788, 0.8047437724026381]"
6,census,target1,income,0.7443900382047796,"[0.7339514934599753, 0.7443651304903456, 0.7470227833991563, 0.7498110608459178, 0.7467997228285028]",0.7486104751380853,"[0.7400339039499884, 0.7510262819036033, 0.7518393693419154, 0.7509507926581098, 0.7492020278368101]",0.746424461877695,"[0.7368575561283186, 0.7475533430168972, 0.7493534306957985, 0.7503768427709303, 0.7479811367765303]",0.7388942631236042,"[0.7302473187546479, 0.7415596456989608, 0.7427170299443707, 0.7404089362783516, 0.7395383849416898]",0.7486104751380853,"[0.7400339039499884, 0.7510262819036033, 0.7518393693419154, 0.7509507926581098, 0.7492020278368101]"
7,census,target3,workclass,0.22102930569583196,"[0.22172320630259687, 0.22576268234429975, 0.22574544401058885, 0.21251648953337596, 0.2193987062882983]",0.22588203715893052,"[0.2275162013355893, 0.23014950152897054, 0.23204688746909016, 0.2154131264547678, 0.2242844690062347]",0.22317236459267792,"[0.22433111441783898, 0.2277754900232299, 0.22861981009727814, 0.21385967805835773, 0.22127573036668488]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8818118140424744,"[0.8822379567601593, 0.8815099885453535, 0.8830300793140065, 0.8811986717043517, 0.8810823738885015]"
8,census,target2,marital-status,0.39481078342127157,"[0.3870379027595405, 0.39292613042678354, 0.39780249345270474, 0.4081140534349884, 0.38817333703234064]",0.3950426320779347,"[0.3912182215674993, 0.39193920003375055, 0.39877075002258183, 0.4080348669235588, 0.38525012184228336]",0.39477301424144445,"[0.38893381319121606, 0.3923656325084671, 0.3980476406146335, 0.40790587032597864, 0.38661211456692735]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9617957290656834,"[0.9609574085184803, 0.96105934529234, 0.9629313896032308, 0.9625825637370967, 0.9614479381772695]"
9,bank,target1,y,0.7096220257656967,"[0.6907716606498195, 0.6852250957854407, 0.7116071428571429, 0.7440883190883191, 0.7164179104477613]",0.7116018308993315,"[0.7050877778114673, 0.7228196941690472, 0.6748321123321124, 0.7269285950778059, 0.7283409751062246]",0.7092173298874356,"[0.6975434444371398, 0.7009119136047504, 0.6905271943246627, 0.7349899084614548, 0.7221141886091694]",0.6764574850731835,"[0.666343169645021, 0.7007209960462991, 0.6175636152533752, 0.6961511480453385, 0.7015084963758836]",0.7116018308993315,"[0.7050877778114673, 0.7228196941690472, 0.6748321123321124, 0.7269285950778059, 0.7283409751062246]"
