,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.6689526128105778,"[0.5723498172287744, 0.692150669708136, 0.5427506213753107, 0.7444387697196686, 0.7930731860209997]",0.5476549516284023,"[0.5264502307185234, 0.5478119955609363, 0.5209398324813401, 0.5426465917031955, 0.6004261076780161]",0.5615004121103426,"[0.5430636540330418, 0.5738577951269833, 0.5281512980628026, 0.5606928611816027, 0.6017364521472824]",0.1791329076120831,"[0.0, 0.38346371206956426, 0.0, 0.21058543907679889, 0.3016153869140523]",0.7540161976177715,"[0.7416276929210336, 0.7625028482722763, 0.7434621750455163, 0.7508901084525167, 0.7715981633975146]"
1,imdb,target3,gross,0.7690498232673686,"[0.7527737226277372, 0.7879842542364746, 0.7491555145362252, 0.7581847997969662, 0.7971508251394399]",0.7257300207777704,"[0.7150080325337017, 0.7355652938774229, 0.7159991038709574, 0.7193273408736608, 0.7427503327331089]",0.7380865881616276,"[0.7251273193083131, 0.7495516130201769, 0.7265134099616859, 0.7322097753552034, 0.7570308231627596]",0.7041335326012312,"[0.6939481082881386, 0.7126604375986627, 0.6963489253692607, 0.6972223049968785, 0.7204878867532158]",0.7257300207777704,"[0.7150080325337017, 0.7355652938774229, 0.7159991038709574, 0.7193273408736608, 0.7427503327331089]"
2,imdb,target2,content_rating,0.3942800483720754,"[0.43744445354318684, 0.42118535532441903, 0.33955828582223807, 0.36146873188514866, 0.41174341528538455]",0.4317958253538297,"[0.48421149815144915, 0.4240929431457097, 0.377696696450948, 0.4101553710260101, 0.4628226179950317]",0.3870208338467761,"[0.42782279378834925, 0.41073095156112427, 0.33095761398775003, 0.35446077172843676, 0.4111320381682203]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9109070207323837,"[0.9156210840825633, 0.9108833819797137, 0.9040665460514917, 0.9135738693293698, 0.9103902222187799]"
3,mushroom,target1,Class,0.9994258382810092,"[1.0, 0.9992846924177397, 0.9992805755395684, 0.9992927864214993, 0.999271137026239]",0.9990759561273469,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 0.9988713318284425]",0.9992501565668436,"[1.0, 0.9990613701003561, 0.9990646548046006, 0.9990544269819135, 0.9990703309473477]",0.9990754217007435,"[1.0, 0.9988392335031453, 0.9988499133630073, 0.9988172674749604, 0.9988706941626053]",0.9990759561273469,"[1.0, 0.9988399071925754, 0.9988505747126437, 0.9988179669030732, 0.9988713318284425]"
4,mushroom,target3,habitat,0.7389398245480353,"[0.7348975749655517, 0.735713974246193, 0.7392672218447097, 0.74362623624227, 0.7411941154414522]",0.8581943368883606,"[0.8666543748224221, 0.8647383417563602, 0.8523472371863937, 0.8610661884499645, 0.846165542226662]",0.729431456951908,"[0.7293264067110291, 0.730396510501036, 0.7295283275577668, 0.7352016265594846, 0.7227044134302232]",0.8229151410378946,"[0.8283232418302346, 0.8298112219197002, 0.8164636632893001, 0.8276176909388777, 0.8123598872113602]",0.9501320217697884,"[0.9478583290870671, 0.9513344854221303, 0.9503710981880394, 0.9508835221873423, 0.9502126739643632]"
5,mushroom,target2,population,0.5810926155021977,"[0.5969982455847335, 0.5637410976519724, 0.5921997859677273, 0.5632966218244596, 0.5892273264820959]",0.7038796505657052,"[0.7226980964549105, 0.6945498092657675, 0.7136149105260153, 0.6903485207695734, 0.6981869158122594]",0.592301878640162,"[0.5975641243706328, 0.5823239142492159, 0.5990332573274436, 0.568508186484431, 0.6140799107690865]",0.600003391754939,"[0.5849860455072976, 0.6024953385872365, 0.6067313179449116, 0.5797538452904566, 0.6260504114447925]",0.8859370732454529,"[0.8897747762666515, 0.8832385107654512, 0.8881293601777913, 0.882415774800685, 0.8861269442166853]"
6,census,target1,income,0.7891761670223494,"[0.7927341310476479, 0.7910831689276292, 0.7807907449287494, 0.7912613610592607, 0.7900114291484597]",0.7447743984858568,"[0.753841421024312, 0.7467883590233431, 0.7348347300832355, 0.7430827799120483, 0.7453247023863452]",0.7621634106019859,"[0.7696101967327751, 0.7643752845116134, 0.7524330534847126, 0.7617014933735992, 0.7626970249072289]",0.7226012600472338,"[0.7347220486591393, 0.7247368682103704, 0.7104077903869177, 0.7196161922781669, 0.7235234007015748]",0.7447743984858568,"[0.753841421024312, 0.7467883590233431, 0.7348347300832355, 0.7430827799120483, 0.7453247023863452]"
7,census,target3,workclass,0.3546557287690241,"[0.354945037085618, 0.3346114771898846, 0.36443731578689537, 0.3471605907504452, 0.37212422303227755]",0.23152099608793514,"[0.22400083304990684, 0.23666593890494217, 0.21961952221778994, 0.2454155184015263, 0.23190316786551057]",0.2422430763519238,"[0.24266545831267614, 0.23078772858761212, 0.2388809964606402, 0.24458455045066033, 0.25429664794803014]",0.049568856140845864,"[0.0, 0.11818346281599283, 0.0, 0.12966081788823647, 0.0]",0.8817753800214122,"[0.8806321186331586, 0.8804180657301057, 0.881742920381938, 0.8818277876858254, 0.8842560076760336]"
8,census,target2,marital-status,0.4567885777168682,"[0.4600354059346162, 0.45077346356595654, 0.4648855481557355, 0.4606360484962722, 0.4476124224317604]",0.4809055634762049,"[0.4609551348411827, 0.4893705855956946, 0.5018579800648479, 0.4888674043140286, 0.4634767125652706]",0.44636371567873645,"[0.4531413270438545, 0.441007717158538, 0.45418719291820137, 0.4547982814618818, 0.42868405981120655]",0.375114800911708,"[0.33965890877168914, 0.38267041837871685, 0.4140209615048614, 0.3960603376233486, 0.34316337827992394]",0.9653071674352842,"[0.9668632175426437, 0.9651745588536308, 0.9648285153741002, 0.9658135473855799, 0.9638559980204668]"
9,bank,target1,y,0.7689182630581286,"[0.7523443870617015, 0.7817204301075269, 0.8065492957746478, 0.7514245014245013, 0.7525527009222661]",0.7255388328921331,"[0.7251902610593979, 0.7264205295628586, 0.7214590964590964, 0.7337490343229225, 0.7208752430563891]",0.7437837057267511,"[0.7377057057057057, 0.7496197604989274, 0.7544515407481531, 0.7420568442358161, 0.7350846774451532]",0.6880850093627247,"[0.6865141357107435, 0.6880681925349538, 0.6770407730589114, 0.7047225877004896, 0.6840793578085257]",0.7255388328921331,"[0.7251902610593979, 0.7264205295628586, 0.7214590964590964, 0.7337490343229225, 0.7208752430563891]"
