,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.39308802685652056,"[0.39615027442988465, 0.31150372129290077, 0.4146466258271535, 0.4318898160426025, 0.41124969669006134]",0.3949697588027802,"[0.42864184183774523, 0.34941259749387393, 0.369215381056423, 0.42936416161794355, 0.3982148120079154]",0.37675558528349357,"[0.4056924942346278, 0.31063947252541185, 0.3742054822226023, 0.41603501879449517, 0.37720545864033067]",0.1472005137255606,"[0.41201621797219257, 0.3239863506556103, 0.0, 0.0, 0.0]",0.9001716664822664,"[0.9050895588084134, 0.8959946026831316, 0.9030464636121571, 0.8983634681763654, 0.8983642391312643]"
1,imdb,target3,gross,0.5326136784098727,"[0.5130779903024277, 0.5532288336901375, 0.5544408059015739, 0.5383404672730515, 0.5039802948821727]",0.5817967783145545,"[0.5833410738898545, 0.5895948633690765, 0.6152785260476538, 0.5312464265294454, 0.5895230017367422]",0.5500944092789116,"[0.539382769575552, 0.56729696142028, 0.5770472182647199, 0.533086431289487, 0.5336586658445195]",0.5300595039058393,"[0.5415793990965309, 0.5569781908770527, 0.5757188750402166, 0.47104232016193137, 0.5049787343534649]",0.7709662130317673,"[0.7720678493931108, 0.7899788418453898, 0.7868515988028411, 0.7479730379877223, 0.7579597371297723]"
2,imdb,target2,content_rating,0.7267235001826409,"[0.7474752193853318, 0.7251874243347094, 0.7043280726924916, 0.7214821046191495, 0.735144679881522]",0.7339011376593084,"[0.746660871859745, 0.735188326579336, 0.7051095357731514, 0.7401489269959203, 0.7423980270883895]",0.7292917758050763,"[0.7470615671641792, 0.7289018349732204, 0.7047124307230358, 0.7276358967042375, 0.7381471494607087]",0.7312345028634912,"[0.743004879538902, 0.7340701912245565, 0.6990210030980751, 0.7392355530943021, 0.7408408873616205]",0.7339011376593084,"[0.746660871859745, 0.735188326579336, 0.7051095357731514, 0.7401489269959203, 0.7423980270883895]"
3,mushroom,target1,Class,0.38303367024717727,"[0.3869495293109148, 0.36868203759078244, 0.40382902941412374, 0.3597579989236263, 0.39594975599643895]",0.4236554216301246,"[0.41762938340881894, 0.4151988870806595, 0.45355235514501874, 0.3944829654401258, 0.437413517076]",0.3979733654492169,"[0.399247910826576, 0.3854747080500509, 0.4227774834678108, 0.37165831072000327, 0.41070841418164344]",0.33531053293022234,"[0.3305982380632515, 0.322766346757898, 0.3617388923955526, 0.31731956860959837, 0.3441296188248111]",0.8263110188696821,"[0.828940357738705, 0.8234137103457622, 0.8297910363813324, 0.8241212793739218, 0.8252887105086896]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.6090643480966323,"[0.6185013337477695, 0.5965961087876771, 0.5977640263132856, 0.6102691184862016, 0.6221911531482284]",0.6422409586932342,"[0.6542774647345498, 0.6335856918703158, 0.6246831084256049, 0.6401634547572557, 0.6584950736784446]",0.6128181365958327,"[0.6199346411547401, 0.6046746495980629, 0.6008354810370691, 0.6146831037115138, 0.6239628074777777]",0.6137207679716089,"[0.6273070410137949, 0.6015207691596888, 0.5931530237395962, 0.6126517160623862, 0.6339712898825782]",0.9262525118511797,"[0.9264141119717242, 0.9245651022112544, 0.9245823194315043, 0.9263478692788895, 0.9293531563625265]"
6,census,target1,income,0.35904459075154155,"[0.3508804471303985, 0.35236935340077447, 0.36900579347411405, 0.36432104099106954, 0.3586463187613513]",0.36206107055883685,"[0.3549326048790178, 0.3447963647005274, 0.37507951148905755, 0.38287888759024724, 0.3526179841353341]",0.35220107947474183,"[0.3437628536995945, 0.3445177475050434, 0.36407293267435764, 0.3577815405491002, 0.3508703229456134]",0.059564823749542514,"[0.0, 0.0, 0.0, 0.2978241187477126, 0.0]",0.9427844793127951,"[0.9406358806827309, 0.9419604255325117, 0.9452068285331447, 0.9431633902268327, 0.9429558715887555]"
7,census,target3,workclass,0.7116944287011748,"[0.7103778784268615, 0.7160262675114328, 0.7097610360019646, 0.7096609394746041, 0.7126460220910109]",0.7158429532272732,"[0.7086308906628608, 0.7291236822032562, 0.7115464469903598, 0.7136364990023527, 0.7162772472775372]",0.7136041282232212,"[0.7094916307727146, 0.7218999983814686, 0.710640241590109, 0.7115837622105181, 0.7144050081612959]",0.7027106443679322,"[0.6928532000075476, 0.7195806437220517, 0.6974099419710474, 0.699946605749939, 0.7037628303890756]",0.7158429532272732,"[0.7086308906628608, 0.7291236822032562, 0.7115464469903598, 0.7136364990023527, 0.7162772472775372]"
8,census,target2,marital-status,0.18323663051739073,"[0.1833293095577764, 0.18810871663408774, 0.1804932911005684, 0.18122155733596795, 0.18303027795855323]",0.19819634060520724,"[0.19646482292658765, 0.20518233593175933, 0.19526080924827724, 0.19592607822207606, 0.19814765669733583]",0.18633186021284737,"[0.18646084921353517, 0.19178597084402624, 0.18304031394151607, 0.18423198358797163, 0.1861401834771877]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8740028932177548,"[0.8740360212069574, 0.8748861055367615, 0.8721982744660409, 0.8739116072664986, 0.874982457612516]"
9,bank,target1,y,0.5146313990177076,"[0.5358410926191648, 0.5141443167305236, 0.532698436070298, 0.5240299823633157, 0.4664431673052363]",0.5148156714095256,"[0.5360392619428764, 0.5139718250630783, 0.5328508030431107, 0.5244928094504366, 0.4667236575481256]",0.5141310056862134,"[0.5350618507246718, 0.5135143702451395, 0.5326607346590325, 0.5230120214419387, 0.4664060513602847]",0.5128712477656293,"[0.5360065842761595, 0.5101884577343775, 0.5320457654509009, 0.5240839751523325, 0.46203145621437636]",0.5148156714095256,"[0.5360392619428764, 0.5139718250630783, 0.5328508030431107, 0.5244928094504366, 0.4667236575481256]"
