,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.1367779079012696,"[0.1468203635296375, 0.1435316572211471, 0.1572884756636706, 0.10566021254171432, 0.13058883055017853]",0.22299649415957085,"[0.3020658873818887, 0.2536148993857364, 0.16255107421156922, 0.18042638487374515, 0.21632422494491463]",0.06426326349997571,"[0.07735489277780323, 0.06498091989024622, 0.05034344466884218, 0.06093612084219114, 0.06770093932079577]",0.05982401990505872,"[0.1680331527018026, 0.13108694682349104, 0.0, 0.0, 0.0]",0.8579497840776231,"[0.8582764253636908, 0.857658660502038, 0.8586844566927384, 0.8560245934536374, 0.8591047843760107]"
1,imdb,target3,gross,0.416543093528312,"[0.4163413022989259, 0.40922234011528696, 0.42198072672756215, 0.4134681998065506, 0.4217028986932346]",0.5234550734327384,"[0.5236009568326642, 0.47673436959529575, 0.5302455511390392, 0.5273584905660377, 0.5593359990306555]",0.26388358898596964,"[0.270831474544413, 0.263300167838509, 0.24511212250739145, 0.2862536270285615, 0.2539205530109733]",0.4334374382044611,"[0.4464213423023289, 0.41321941549128066, 0.40509184578821383, 0.4574675688329233, 0.4449870186075589]",0.7045268332286189,"[0.7052881992342641, 0.7027315036870466, 0.6999286625868683, 0.7061433397703588, 0.7085424608645563]"
2,imdb,target2,content_rating,0.6159990914526653,"[0.631030632452703, 0.6032703710495751, 0.6225906829671104, 0.6062682748538012, 0.616835495940137]",0.587799314733098,"[0.5965378615610278, 0.5663383909779159, 0.5974020258917284, 0.5867939235132177, 0.5919243717216003]",0.48259088914774717,"[0.49910866610103, 0.4474701720323543, 0.49487589941425897, 0.47123066032965916, 0.5002690478614331]",0.49906331375478635,"[0.509344123663125, 0.45137026668269914, 0.5167111829874731, 0.5024897380514286, 0.5154012573892061]",0.587799314733098,"[0.5965378615610278, 0.5663383909779159, 0.5974020258917284, 0.5867939235132177, 0.5919243717216003]"
3,mushroom,target1,Class,0.6382822665031038,"[0.6363025448731694, 0.6354157212951177, 0.6379710392315435, 0.6278584740644176, 0.653863553051271]",0.729843338438003,"[0.7296190774775712, 0.7231905224325379, 0.7297084242467459, 0.7305709824657193, 0.7361276855674409]",0.588153153252456,"[0.5954318149410714, 0.5707160924403222, 0.5902735006374099, 0.5765826940341959, 0.6077616642092807]",0.557730986911026,"[0.5732329682163022, 0.5275313553936339, 0.5711282878847105, 0.5545009889324308, 0.5622613341280523]",0.8915224022889688,"[0.8910913438927305, 0.8880194930779716, 0.8908371015759345, 0.890609101792719, 0.8970549711054883]"
4,mushroom,target3,habitat,0.9940659316656941,"[0.9941724941724941, 0.9969678250704075, 0.9913367478774455, 0.9934329483509812, 0.9944196428571428]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]",0.9949436837926889,"[0.9952898082130057, 0.9971866083554493, 0.9925394339485492, 0.9943399064171122, 0.9953626620293287]",0.9958544580638373,"[0.9964475909040272, 0.9974072051918286, 0.9937997189310885, 0.9952740946644141, 0.996343680627828]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]"
5,mushroom,target2,population,0.6771728967763615,"[0.6817250875138899, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6723146173839262]",0.8433120238214803,"[0.8434809134252234, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8394463489132659]",0.6960294688531719,"[0.6952197622375594, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.691843107513745]",0.8027418611345819,"[0.8020985985623789, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.7989660223415361]",0.9326200500344971,"[0.9327045030188484, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9315199284637844]"
6,census,target1,income,0.26318213984105204,"[0.27621829990301533, 0.25833107752264356, 0.25315332919420447, 0.262724975672946, 0.2654830169124509]",0.2777898554090408,"[0.3144857003241404, 0.2602560325459021, 0.27643047233217816, 0.27875871034744665, 0.25901836149553636]",0.1859648343660066,"[0.20448049089383905, 0.19293554872268562, 0.1728413423162039, 0.1732042205537588, 0.18636256934354564]",0.023509121574835527,"[0.11754560787417763, 0.0, 0.0, 0.0, 0.0]",0.8840042300796715,"[0.8877826176196614, 0.8856597093088137, 0.8818683130374173, 0.8805972423153314, 0.8841132681171343]"
7,census,target3,workclass,0.7595320971494349,"[0.7460962225660678, 0.7579328595070394, 0.770307134209188, 0.753949485514474, 0.7693747839504053]",0.6200305075840491,"[0.6275080002959859, 0.616403820013673, 0.6176716673966192, 0.6167346655151533, 0.6218343846988142]",0.6368373430050487,"[0.6454319321370845, 0.6334059876984698, 0.6337345290015262, 0.6331634673504805, 0.6384507988376825]",0.515739225882972,"[0.5354507406460634, 0.5081682564497931, 0.5078987832378183, 0.5101035364797966, 0.5170748126013891]",0.6200305075840491,"[0.6275080002959859, 0.616403820013673, 0.6176716673966192, 0.6167346655151533, 0.6218343846988142]"
8,census,target2,marital-status,0.17917283358595157,"[0.17376746298582005, 0.17044984271986416, 0.19462868468698868, 0.18026906323425332, 0.17674911430283163]",0.17008129109471737,"[0.15730862179701463, 0.15654730023914867, 0.17114370248791747, 0.15210716160414833, 0.21329966934535768]",0.04572216410617702,"[0.042351340668876136, 0.04143111365002938, 0.05123027958602251, 0.04193679644600922, 0.05166129017994785]",0.009217066275161213,"[0.0, 0.0, 0.04608533137580607, 0.0, 0.0]",0.8583844784875774,"[0.8587270235547207, 0.857854562140426, 0.8583885415881054, 0.857806314625673, 0.8591459505289618]"
9,bank,target1,y,0.5141435752151757,"[0.468327309311771, 0.5141389061314574, 0.5681751179245282, 0.5195752895752895, 0.5005012531328321]",0.5095488251423894,"[0.491048108517988, 0.5064655172413793, 0.5390955198647506, 0.5108500256805342, 0.5002849544072948]",0.4510708668808615,"[0.393712649526603, 0.43960861910474736, 0.4989698262724779, 0.4704103236213328, 0.45265291587914647]",0.35690398911317217,"[0.2466388767601951, 0.34740416688982556, 0.43025872418575584, 0.38426952961675864, 0.37594864811332557]",0.5095488251423894,"[0.491048108517988, 0.5064655172413793, 0.5390955198647506, 0.5108500256805342, 0.5002849544072948]"
10,bank,target3,housing,0.6744121477275546,"[0.680893798644238, 0.6781339031339031, 0.7403088459583121, 0.641767955801105, 0.6309562351002148]",0.6519336432272388,"[0.652921378975774, 0.6801137863984444, 0.6923840048840049, 0.6274362653128793, 0.6068127805650911]",0.6614349945241444,"[0.6651891252955082, 0.6791143206708246, 0.712404106498195, 0.6338522304832714, 0.6166151896729231]",0.5865129037989204,"[0.5814669007849096, 0.6369035326464253, 0.640969167231524, 0.5583292907899232, 0.5148956275418201]",0.6519336432272388,"[0.652921378975774, 0.6801137863984444, 0.6923840048840049, 0.6274362653128793, 0.6068127805650911]"
11,bank,target2,loan,0.5001004514378528,"[0.5140023754668651, 0.5062869390140937, 0.49758040125012604, 0.47483026621404323, 0.5078022752441357]",0.49920471387069243,"[0.5184466019417475, 0.5094976452119309, 0.4958438859666212, 0.459663564781675, 0.5125718714514879]",0.48375337053585216,"[0.5115176151761518, 0.496648375810183, 0.4796999880825609, 0.4461713568036422, 0.48472951680672266]",0.4603167696877926,"[0.4560420609891938, 0.4625707973307125, 0.44988231222692476, 0.43430227738986954, 0.4987864005022626]",0.49920471387069243,"[0.5184466019417475, 0.5094976452119309, 0.4958438859666212, 0.459663564781675, 0.5125718714514879]"
12,intention,target1,Revenue,0.5127282541031695,"[0.5380224799638682, 0.5176917916279619, 0.5019843753451487, 0.5056914562214916, 0.5002511673573768]",0.5192114930781135,"[0.5571284139268711, 0.5291207057652869, 0.5022425131680041, 0.5072968867976783, 0.5002689457327277]",0.5106047685388319,"[0.5365991902834009, 0.5105382845404105, 0.5015934959349593, 0.5041907412901295, 0.5001021306452591]",0.4266661615261299,"[0.5150521381459311, 0.47444300923795707, 0.3766717444553132, 0.400336279235218, 0.36682763655623]",0.5192114930781135,"[0.5571284139268711, 0.5291207057652869, 0.5022425131680041, 0.5072968867976783, 0.5002689457327277]"
13,intention,target3,SpecialDay,0.6028429447398131,"[0.5955220838891359, 0.604374499866631, 0.6146182584538749, 0.5970134895354555, 0.6026863919539682]",0.6756453830914884,"[0.6687767442347679, 0.6758620069751555, 0.6948379742712913, 0.6725091098668955, 0.6662410801093317]",0.6006250396038191,"[0.5881720124556947, 0.6038038672971207, 0.6156727707579928, 0.594007872433832, 0.6014686750744551]",0.67454592930584,"[0.6682592707107513, 0.6744725124868416, 0.6942666547640591, 0.6711139929705049, 0.6646172155970432]",0.6756453830914884,"[0.6687767442347679, 0.6758620069751555, 0.6948379742712913, 0.6725091098668955, 0.6662410801093317]"
14,intention,target2,VisitorType,0.2586997166646469,"[0.2444523869414382, 0.27388291162847994, 0.25240748207344077, 0.25243355784580196, 0.2703222448340738]",0.4581920940773595,"[0.44201821090069227, 0.48206005749729036, 0.4431958237615328, 0.4514039275276309, 0.4722824506996511]",0.2836235703639991,"[0.2668887224262158, 0.3052166089164602, 0.2773575536495056, 0.2733213515145672, 0.2953336153132467]",0.3093935290879101,"[0.21887724422099655, 0.3911940239800919, 0.290287342223004, 0.28779507724253206, 0.35881395777292613]",0.9475856659701964,"[0.9498921807214201, 0.9482498611281042, 0.9443237361247072, 0.944749576070878, 0.9507129758058724]"
