,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.20471200691888716,"[0.20969334363731498, 0.21793730634590777, 0.21338416578110525, 0.19309694198132332, 0.18944827684878437]",0.2980516617129269,"[0.2803160531889523, 0.3298686397811058, 0.2991891383898217, 0.34976438401569615, 0.23112009318905868]",0.19688408251026998,"[0.19857233878316147, 0.2177054607711111, 0.204539496905132, 0.18727960393045326, 0.17632351216149209]",0.06395838991225629,"[0.0, 0.31979194956128143, 0.0, 0.0, 0.0]",0.8711456699405826,"[0.8725625247978711, 0.8699393565401415, 0.8741382227624322, 0.8678749006723561, 0.871213344930112]"
1,imdb,target3,gross,0.4720393210907826,"[0.4514830422542317, 0.491311184724685, 0.5123603476565389, 0.46672580376478434, 0.4383162270536733]",0.5419791509998045,"[0.5414039871356945, 0.5285337757984551, 0.5921178837465851, 0.49699193189759233, 0.5508481764206955]",0.48592232581225475,"[0.4709575389884697, 0.4961276858261783, 0.5332688855996087, 0.46981292652698664, 0.45944459212003075]",0.5056470442278788,"[0.5139421323034916, 0.4931099764496869, 0.5633426097226346, 0.4609986613536194, 0.49684184130996156]",0.7436149122591444,"[0.7465204896410179, 0.7388832980851228, 0.7727213192110213, 0.7289004242014521, 0.7310490301571081]"
2,imdb,target2,content_rating,0.7131558494196104,"[0.7357099834362295, 0.7073964609147058, 0.6792658730158729, 0.7106590980763166, 0.7327478316549275]",0.727230443430903,"[0.7429705628982313, 0.7149263343071656, 0.6951841065113376, 0.7326445321569538, 0.7504266812808268]",0.7166030069377973,"[0.7386627668328296, 0.7103696183609034, 0.6818665774343686, 0.7163587254364675, 0.7357573466244176]",0.7264392119012625,"[0.7416614451162415, 0.7128367350595615, 0.695014790173873, 0.7323497776942284, 0.7503333114624082]",0.727230443430903,"[0.7429705628982313, 0.7149263343071656, 0.6951841065113376, 0.7326445321569538, 0.7504266812808268]"
3,mushroom,target1,Class,0.4459591737967578,"[0.443454638981628, 0.4416587588194398, 0.4655930707384095, 0.4298808016987919, 0.4492085987455199]",0.5107765711474892,"[0.4892156833729097, 0.5192051283030654, 0.5425330590228823, 0.4977929760181903, 0.505136009020398]",0.46813917668042404,"[0.4609004587200638, 0.4676979604140914, 0.4926171279598212, 0.4501152136935119, 0.46936512261463165]",0.4430619936089286,"[0.4295589450354819, 0.44875541186997736, 0.4719450554012527, 0.43218376099491057, 0.4328667947430205]",0.8428747268835639,"[0.8430929012320648, 0.8423165235984661, 0.8472930988762793, 0.841626399889206, 0.840044710821803]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.6459781011473528,"[0.6551974392137162, 0.6394896388489691, 0.6334283300979138, 0.6625417703706834, 0.6392333272054814]",0.7246450387042261,"[0.7347121470456485, 0.7245289854397764, 0.698119723650738, 0.7548151307939639, 0.711049206591004]",0.6582003903001671,"[0.6638063778556088, 0.655170676855422, 0.6437366513579073, 0.6780081920959199, 0.6502800533359777]",0.6942308689018475,"[0.7090261049749883, 0.6898680223034227, 0.6647362237187799, 0.7271187333544998, 0.6804052601575465]",0.9318036944265374,"[0.9321904267141892, 0.930411140837478, 0.9293657453428592, 0.934709361821494, 0.9323417974166671]"
6,census,target1,income,0.22066678835916895,"[0.21724884404608222, 0.21736902382400855, 0.21904299507676014, 0.22175813914690345, 0.2279149397020904]",0.21395087353462533,"[0.2027196235836876, 0.18959615869109436, 0.2279576003716878, 0.22780464578122123, 0.22167633924543578]",0.17335362853459396,"[0.1655993498346939, 0.17197698577229265, 0.1748681856682461, 0.1739182080086134, 0.18040541338912378]",0.16582998152858258,"[0.15834966454132368, 0.146265904186892, 0.17234390254935997, 0.17302779416048203, 0.17916264220485528]",0.8773746281324712,"[0.8771746014464784, 0.877514520415808, 0.8777674974126553, 0.8763155456818436, 0.8781009757055702]"
7,census,target3,workclass,0.6215102448300194,"[0.6216927892224983, 0.6335661210140218, 0.6130340642750989, 0.6219582487973502, 0.6173000008411278]",0.6367494170607343,"[0.6394504673326522, 0.6488540052522114, 0.6256740522710449, 0.6398150629857946, 0.6299534974619684]",0.6265089079810982,"[0.626914389879007, 0.6391724073632018, 0.6173594172562779, 0.6274152191076683, 0.621683106299336]",0.6229880464721168,"[0.6285516163810392, 0.6341885635526113, 0.6095389910473314, 0.6277718545893679, 0.6148892067902338]",0.6367494170607343,"[0.6394504673326522, 0.6488540052522114, 0.6256740522710449, 0.6398150629857946, 0.6299534974619684]"
8,census,target2,marital-status,0.15647316399077196,"[0.15838741482717844, 0.1576943844576535, 0.15258662309707033, 0.15790593782713963, 0.15579145974481787]",0.15870498265430336,"[0.16024776273974664, 0.16535852403721107, 0.15203968956865857, 0.15841557436288398, 0.15746336256301646]",0.13942880180135797,"[0.14120132507824473, 0.1431472668538453, 0.1344518936943173, 0.13989081577099077, 0.13845270760939163]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8638964157351172,"[0.8650553897643795, 0.8640538350961603, 0.8625581341585955, 0.8642587780782792, 0.8635559415781714]"
9,bank,target1,y,0.4829152740815033,"[0.47881838905775076, 0.4828235319794406, 0.49229497354497354, 0.4763869132290185, 0.48425256259633315]",0.4831062407664922,"[0.4788630044654141, 0.48345248107653493, 0.49261411665257815, 0.47602080123266566, 0.4845808004052685]",0.47545676653618985,"[0.4757061910198267, 0.4748036571729264, 0.48002229677853625, 0.47026210866539275, 0.47648957904426714]",0.47645364625111586,"[0.47700735654564996, 0.4731433103132674, 0.47995535506663833, 0.474706948770601, 0.4774552605594228]",0.4831062407664922,"[0.4788630044654141, 0.48345248107653493, 0.49261411665257815, 0.47602080123266566, 0.4845808004052685]"
10,bank,target3,housing,0.679425257790575,"[0.6673454469507101, 0.6857849431683074, 0.689864406779661, 0.687102506546951, 0.6670289855072463]",0.7776702361190108,"[0.7915314878263242, 0.7813332693184819, 0.7849511599511599, 0.7649376448515617, 0.7655976186475262]",0.7081755073190429,"[0.7009119136047505, 0.7145631067961166, 0.720136862232062, 0.7121330662120178, 0.6931325877502676]",0.7730469354616055,"[0.7875120649349182, 0.7772233563563273, 0.7797158828424992, 0.7590966930682912, 0.7616866801059915]",0.7776702361190108,"[0.7915314878263242, 0.7813332693184819, 0.7849511599511599, 0.7649376448515617, 0.7655976186475262]"
11,bank,target2,loan,0.5054273647107996,"[0.5175743925743925, 0.482104648900992, 0.5092247097844113, 0.4830023923444976, 0.535230679949705]",0.5089345189836588,"[0.529126213592233, 0.4711145996860283, 0.5173387882330021, 0.4745705082319256, 0.5525224851751049]",0.4869187783922408,"[0.4969585409102424, 0.4619224518226144, 0.48190124478685803, 0.4660907127429805, 0.5277209416985086]",0.4806292524722272,"[0.5150208625194115, 0.4237827706911808, 0.4985855700092702, 0.43366312726077794, 0.5320939318804958]",0.5089345189836588,"[0.529126213592233, 0.4711145996860283, 0.5173387882330021, 0.4745705082319256, 0.5525224851751049]"
12,intention,target1,Revenue,0.5751985923839451,"[0.5753631237183869, 0.5649410329537371, 0.5748809752398958, 0.5767742165623273, 0.5840336134453782]",0.6285715719819512,"[0.6211650416086288, 0.61854120402393, 0.6265542960006435, 0.6380359334505266, 0.6385613848260274]",0.5750010220529383,"[0.5779191773563516, 0.56167939152062, 0.5744697821700048, 0.574831782276256, 0.5861049769414595]",0.6171585679489034,"[0.6052557409449788, 0.6057890339142308, 0.6156342485004457, 0.6301808386356338, 0.6289329777492279]",0.6285715719819512,"[0.6211650416086288, 0.61854120402393, 0.6265542960006435, 0.6380359334505266, 0.6385613848260274]"
13,intention,target3,SpecialDay,0.6442814125078314,"[0.6286838437744315, 0.6404135338345864, 0.6539584572146887, 0.6465728103470102, 0.6517784173684398]",0.6823443414260643,"[0.6685384357536047, 0.6798523044208515, 0.7054542329334708, 0.6854903307791311, 0.6723864032432632]",0.6574247152686545,"[0.6415700225425534, 0.6538878739438228, 0.6704628468221541, 0.6607556990626469, 0.6604471339720962]",0.6621229369799858,"[0.6476398151032742, 0.6607159775822722, 0.6931124934827184, 0.6637043565339869, 0.6454420421976772]",0.6823443414260643,"[0.6685384357536047, 0.6798523044208515, 0.7054542329334708, 0.6854903307791311, 0.6723864032432632]"
14,intention,target2,VisitorType,0.17798747098722967,"[0.1785839556229792, 0.17739406565636226, 0.1795876201216516, 0.17549722874616402, 0.17887448478899123]",0.20472206870131632,"[0.20678156970783237, 0.2089976280026805, 0.20388099216464342, 0.19370315570373198, 0.21024699792769327]",0.15093646512096676,"[0.1515978125005443, 0.15322543062815788, 0.15309744350384888, 0.14779751309006606, 0.14896412588221672]",0.1350816080315288,"[0.1693320255889256, 0.16183362425502898, 0.1679279524917249, 0.0, 0.17631443782196457]",0.8544492026967248,"[0.8560611150620089, 0.8464354445435659, 0.8613863548637015, 0.8532358048252183, 0.8551272941891294]"
