,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.32785872636875096,"[0.37840416302604335, 0.3911707772539911, 0.2625663598632996, 0.29377484239590024, 0.3133774893045202]",0.4697310348992806,"[0.5386967644802029, 0.49497148392005064, 0.3406022869503027, 0.47302329295691453, 0.5013613461889324]",0.346142590282295,"[0.4066369869019727, 0.39379505970940726, 0.2738040129937091, 0.3169364399971973, 0.3395404518091887]",0.1696680123552315,"[0.43408909715923344, 0.41425096461692407, 0.0, 0.0, 0.0]",0.8990787312208329,"[0.9019704133872707, 0.9010761491526299, 0.8916260475737144, 0.9004720876076651, 0.9002489583828848]"
1,imdb,target3,gross,0.44203668197396234,"[0.4216082643057149, 0.49955577766672227, 0.42140637140637144, 0.41804441709243906, 0.44956857939856393]",0.5006105982119801,"[0.494527925930365, 0.4897007955724663, 0.5287277701778386, 0.47311479575630516, 0.5169817036229251]",0.4610477674599105,"[0.4416890282901249, 0.4933038370070939, 0.46044321820459927, 0.4391515412110378, 0.4706512125866964]",0.2247992818220957,"[0.3472544754291416, 0.25197331430680386, 0.0, 0.19052597916150746, 0.33424264021302547]",0.7305097544909511,"[0.7112712548871052, 0.742532124243194, 0.7381216736514, 0.7136245587053223, 0.746999160967734]"
2,imdb,target2,content_rating,0.6982268942732457,"[0.7284369561778199, 0.6954022988505747, 0.6690042826552463, 0.6749125945198796, 0.7233783391627082]",0.7002505722645745,"[0.7241270925332361, 0.6929208682813432, 0.6768174617144869, 0.6783848552190785, 0.7290025835747279]",0.6988712862677172,"[0.726089417091115, 0.694086453828266, 0.6718650249017499, 0.6765191799742638, 0.725796355543191]",0.6947672959331392,"[0.7182389326673888, 0.6854735808873716, 0.6733804983414345, 0.6699966311512977, 0.726746836618203]",0.7002505722645745,"[0.7241270925332361, 0.6929208682813432, 0.6768174617144869, 0.6783848552190785, 0.7290025835747279]"
3,mushroom,target1,Class,0.5926264118445023,"[0.5996232988357927, 0.5807066292985753, 0.5978327189903885, 0.5807071466560375, 0.6042622654417172]",0.7279727544314377,"[0.7265752257408726, 0.7253530524327892, 0.7320955300560067, 0.7252115560536613, 0.7306284078738584]",0.6197986226229859,"[0.6221458960538687, 0.6066849996997599, 0.6232624257223226, 0.6089201623741526, 0.6379796292648257]",0.6520523933925813,"[0.6469323252496015, 0.6397597882030682, 0.6535454844936137, 0.6564361352515735, 0.6635882337650494]",0.8907689333160883,"[0.8912743673858055, 0.8892522220480261, 0.8919221371528985, 0.8886673059821592, 0.8927286340115524]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.7403126847379494,"[0.7372848290282351, 0.7359317939744369, 0.7425339570310943, 0.7438271604938271, 0.7419856831621537]",0.8722726359170251,"[0.8715087437544611, 0.8766431036611221, 0.8682811887945027, 0.8749550773388535, 0.8699750660361859]",0.7368930793170534,"[0.7317099750897259, 0.7367897854196331, 0.7371640069619171, 0.7426589070935296, 0.7361427220204608]",0.8350429372943198,"[0.8324140172412899, 0.8401240505361001, 0.8294681779005152, 0.8397071650338257, 0.8335012757598684]",0.9504899464511946,"[0.9486136160961306, 0.9515006535843105, 0.9509156579872079, 0.9510487022335926, 0.9503711023547307]"
6,census,target1,income,0.37331910220711895,"[0.3753891624577932, 0.37342270834953484, 0.3763180520062394, 0.3705404998908358, 0.3709250883311917]",0.4872633919477323,"[0.5091267389380506, 0.47973959961924656, 0.47074965797255125, 0.523100187985717, 0.45360077522309605]",0.3639837082847751,"[0.3571035695759779, 0.3634320703660791, 0.3675538153012227, 0.36508161231694436, 0.36674747386365125]",0.3673254448393327,"[0.36570944391174526, 0.36258860968417866, 0.35474959206259404, 0.4119938238784384, 0.3415857546597073]",0.9474404613525824,"[0.9466576790835897, 0.9472229435416045, 0.948969921552224, 0.946200045258654, 0.9481517173268401]"
7,census,target3,workclass,0.7235137214326841,"[0.7413032194028133, 0.7187337004045471, 0.7136406177746731, 0.7287054637157524, 0.7151856058656341]",0.739051923373182,"[0.7625113066456257, 0.7281368546918454, 0.7269062765772494, 0.746937272303126, 0.7307679066480639]",0.7302670516361005,"[0.7502528546336062, 0.7230979200818131, 0.7195172149035205, 0.7365662422154673, 0.7219010263460952]",0.7314767618399467,"[0.7579623529283294, 0.7173552765665309, 0.7181944178746718, 0.7404357055806349, 0.7234360562495664]",0.739051923373182,"[0.7625113066456257, 0.7281368546918454, 0.7269062765772494, 0.746937272303126, 0.7307679066480639]"
8,census,target2,marital-status,0.25395764879212684,"[0.2847127888033347, 0.235986257976127, 0.2559438977163176, 0.23420018219712507, 0.25894511726773]",0.2675788376049768,"[0.2428559243870478, 0.22681660742842338, 0.25394331528441266, 0.28152864590484744, 0.3327496950201526]",0.18060403514960577,"[0.17667429077197944, 0.16379125457161228, 0.19582042838949823, 0.17900252156126295, 0.18773168045367594]",0.13520073118437592,"[0.12018624381508625, 0.09202952936302805, 0.16459393392556335, 0.1260510710136977, 0.17314287780450427]",0.8818596488309204,"[0.8788536293646615, 0.8804520599583994, 0.8840040371205627, 0.8818808680119313, 0.884107649699047]"
9,bank,target1,y,0.538699159577509,"[0.5124513024215109, 0.5532871083718541, 0.5349537037037038, 0.547027478171546, 0.5457762052189297]",0.5377195844821493,"[0.5120165978599713, 0.5523549201009251, 0.5335059171597633, 0.547027478171546, 0.543693009118541]",0.5365605684764735,"[0.5101508143870146, 0.5518278158315424, 0.5319187795444779, 0.547027478171546, 0.5418779544477869]",0.5295680754200621,"[0.5022696821431041, 0.5479528381785757, 0.5223552714253, 0.5430353889560238, 0.532227196397307]",0.5377195844821493,"[0.5120165978599713, 0.5523549201009251, 0.5335059171597633, 0.547027478171546, 0.543693009118541]"
10,bank,target3,housing,0.7318145615707984,"[0.7107749359861082, 0.7481364711181173, 0.755385112223478, 0.7446338383838385, 0.7001424501424501]",0.7283533264104143,"[0.7171401716139596, 0.7645053652447368, 0.7011599511599511, 0.756594194901225, 0.7023669491321987]",0.7289939100863414,"[0.7138888888888889, 0.7559014869888476, 0.7235645363986851, 0.7503702706341726, 0.7012443675211125]",0.6966509699684975,"[0.6807260912284921, 0.7460195161438368, 0.652474080498548, 0.7376246039044374, 0.6664105580671735]",0.7283533264104143,"[0.7171401716139596, 0.7645053652447368, 0.7011599511599511, 0.756594194901225, 0.7023669491321987]"
11,bank,target2,loan,0.4931441520772929,"[0.5249394673123486, 0.5165111270638909, 0.45178272313950707, 0.4775894836870447, 0.49489795918367346]",0.4973985419883088,"[0.5077669902912622, 0.5040620094191522, 0.486914734723034, 0.4898711524695777, 0.49837782303851774]",0.47773438424154246,"[0.4919553728714034, 0.48392678467985223, 0.46227344365642237, 0.4733418153011499, 0.47717450469888445]",0.1947025497960404,"[0.23614396876556662, 0.19870064575839647, 0.10517283075214623, 0.22464479239178306, 0.20885051131230972]",0.4973985419883088,"[0.5077669902912622, 0.5040620094191522, 0.486914734723034, 0.4898711524695777, 0.49837782303851774]"
12,intention,target1,Revenue,0.6078520605489601,"[0.6272509257987298, 0.5892879872052419, 0.606771589698906, 0.6135766885158656, 0.6023731115260567]",0.6038497118187502,"[0.6196121015310987, 0.5978936862159767, 0.5978856304415963, 0.6219400739892077, 0.5819170669158716]",0.6050232116760224,"[0.6231754321319335, 0.5931149200838939, 0.6018839950820858, 0.6174273847257666, 0.5895143263564315]",0.5276451477123306,"[0.5524432930888363, 0.5262503767471706, 0.5165585321297556, 0.5630617262982256, 0.47991181029766516]",0.6038497118187502,"[0.6196121015310987, 0.5978936862159767, 0.5978856304415963, 0.6219400739892077, 0.5819170669158716]"
13,intention,target3,SpecialDay,0.650272665513355,"[0.6359984128558674, 0.649846294888879, 0.6539359561416052, 0.6457710965162442, 0.6658115671641791]",0.7148282584061324,"[0.704649372279748, 0.7258335002645218, 0.7281813881716177, 0.7102709336866857, 0.7052060976280887]",0.6663728714550341,"[0.6506387119531113, 0.6661043742189163, 0.6714777507172406, 0.6634161729207813, 0.6802273474651208]",0.7073680988727752,"[0.6986511164104322, 0.7224825155348437, 0.7240575061299089, 0.7009377444183853, 0.690711611870306]",0.7148282584061324,"[0.704649372279748, 0.7258335002645218, 0.7281813881716177, 0.7102709336866857, 0.7052060976280887]"
14,intention,target2,VisitorType,0.24305392450345228,"[0.2475260754732617, 0.24038356626661908, 0.23482300786517651, 0.24109966888310727, 0.25143730402909686]",0.4489518790567679,"[0.4544529660820913, 0.4393151025681146, 0.45146874553046423, 0.44327160945726063, 0.4562509716459091]",0.23359446794486538,"[0.23721447848725305, 0.23254223087308337, 0.2281166042092453, 0.22866322534791614, 0.24143580080682903]",0.16953623153552347,"[0.0, 0.0, 0.24608068734283367, 0.29393882886123396, 0.30766164147354974]",0.9251959680414515,"[0.9264362255518245, 0.9244501263526406, 0.9224906313887455, 0.9224406805472002, 0.9301621763668466]"
15,anuran,target1,Family,0.8175640268092266,"[0.8308757994577787, 0.8295684725147312, 0.8143382674407794, 0.8193751546937612, 0.7936624399390821]",0.8583962518466508,"[0.8623722434637461, 0.8675943013384032, 0.8441934274775935, 0.8619945198435623, 0.855826767109949]",0.8066028589522833,"[0.8179544522814762, 0.8194717985060713, 0.8047915425166094, 0.8046811536765782, 0.7861153477806819]",0.8430416793111611,"[0.8476546177351246, 0.8501042567280598, 0.8324383489594864, 0.8434799458296391, 0.841531227303496]",0.990620203203885,"[0.9908767218882222, 0.9905530998729093, 0.9904030037678921, 0.9919586559965134, 0.989309534493888]"
16,anuran,target3,Species,0.6644785809399801,"[0.6574150331280901, 0.6710809860540263, 0.6639468309412664, 0.6661305382521974, 0.6638195163243203]",0.8590669671190646,"[0.8588607489252393, 0.8495975191963223, 0.8339396548005896, 0.8898634326760322, 0.8630734799971402]",0.6701519369897209,"[0.6689160106306387, 0.6871372742487608, 0.6689542395761496, 0.6635477971736085, 0.6622043633194473]",0.8492523064111606,"[0.8489643906591232, 0.8424981449730988, 0.8252678202654867, 0.8784504120908494, 0.8510807640672442]",0.9486886514812036,"[0.9461776652031005, 0.9519479562889313, 0.9476700917047718, 0.9496197020042478, 0.9480278422049672]"
17,anuran,target2,Genus,0.7199813237036451,"[0.7314443118635442, 0.7153170792288917, 0.7076495382354191, 0.7183407548878432, 0.727154934302527]",0.8196865112405837,"[0.8232494728959467, 0.8568406209961243, 0.7904644733185673, 0.7967706920286955, 0.8311072969635842]",0.7160639667202247,"[0.720005654050756, 0.7350559628345458, 0.7014436018106902, 0.7017968674855994, 0.7220177474195313]",0.8035590424749497,"[0.8050985106585538, 0.8476825514682008, 0.7741149741685046, 0.7743351296523775, 0.816564046427112]",0.9784817413815823,"[0.9779875163861614, 0.9805477055406687, 0.9754428198748901, 0.9793278761737871, 0.9791027889324035]"
18,telco,target1,Churn,0.42417582331922593,"[0.43165189613415456, 0.4271646290381833, 0.43105639990274514, 0.42203535542897386, 0.40897083609207235]",0.4224438976555569,"[0.42432736743494776, 0.42481213876567714, 0.4347342204054463, 0.42255756534075406, 0.40578819633095947]",0.41342714042634865,"[0.41949711317973487, 0.4099973937531046, 0.4258482237483485, 0.4136332569408996, 0.3981597145096557]",0.3664366408672339,"[0.38476309748121057, 0.3540462031334455, 0.38587985030770183, 0.3597159290518944, 0.34777812436191713]",0.8141153301566302,"[0.8129301003887528, 0.815129972119237, 0.8161218558594379, 0.8160553195480038, 0.8103394028677193]"
19,telco,target3,PaymentMethod,0.7089204356447556,"[0.6986023232687495, 0.7333564133633373, 0.7135013846170686, 0.7013745410167749, 0.6977675159578476]",0.7527911175412887,"[0.7618710032535929, 0.7611325396306546, 0.760467047861189, 0.7390629130319852, 0.741422083929022]",0.7176831453106056,"[0.7089640839376805, 0.7414316057798107, 0.7240582871912831, 0.708459289786056, 0.7055024598581981]",0.7527274522689528,"[0.7617956560127018, 0.7609275291212464, 0.7604464846319727, 0.7390490492683318, 0.7414185423105113]",0.7527911175412887,"[0.7618710032535929, 0.7611325396306546, 0.760467047861189, 0.7390629130319852, 0.741422083929022]"
20,telco,target2,Contract,0.6479305834479634,"[0.6405988551197042, 0.6464312011332906, 0.658646885121629, 0.6603352283437173, 0.6336407475214761]",0.6553068887894866,"[0.6468157069790464, 0.6528869241315394, 0.6638304893245605, 0.6663785665368699, 0.6466227569754175]",0.6480822420487331,"[0.6396744690125984, 0.6482873208415421, 0.657125865443386, 0.6590398216542616, 0.6362837332918775]",0.6066681449130246,"[0.5926567328792725, 0.6080385308536047, 0.6175157493321363, 0.6141723720122684, 0.600957339487841]",0.8588053121048447,"[0.8555488159539125, 0.8566925964873047, 0.8629805304018762, 0.8675292922274508, 0.851275325453679]"
21,paris,target1,category,0.49903197504254876,"[0.4842672711827575, 0.49834093943681623, 0.5216148050064631, 0.47429470993484835, 0.5166421496518584]",0.49903333147709084,"[0.48724574315917596, 0.4986679520462737, 0.5171443889635746, 0.4793809586678989, 0.5127276145485309]",0.47122686652381673,"[0.458286354838079, 0.4733377221856484, 0.48887381250494116, 0.4537277014682586, 0.48190874162215647]",0.4445919637022312,"[0.4359548651354889, 0.446522314961301, 0.4642813615026512, 0.42446591568400543, 0.4517353612277096]",0.49903333147709084,"[0.48724574315917596, 0.4986679520462737, 0.5171443889635746, 0.4793809586678989, 0.5127276145485309]"
22,paris,target3,hasStorageRoom,0.7465521848824147,"[0.7461538461538462, 0.7418111753371869, 0.7520491803278688, 0.7523992322456814, 0.7403474903474904]",0.9255264631567777,"[0.9243119266055047, 0.9233847913093196, 0.9310148232611175, 0.92573402417962, 0.9231867504283267]",0.7899859800311335,"[0.7889539791767926, 0.7844879578625709, 0.798101486540377, 0.795347243374962, 0.7830392332009657]",0.9225200078779263,"[0.9212078230296403, 0.9202008381970966, 0.9284555167170019, 0.9227502632669579, 0.9199855981789352]",0.9255264631567777,"[0.9243119266055047, 0.9233847913093196, 0.9310148232611175, 0.92573402417962, 0.9231867504283267]"
23,paris,target2,isNewBuilt,0.4995633198359012,"[0.49825665859564167, 0.5130757091430438, 0.5008817646314687, 0.5041110022990192, 0.4814914645103324]",0.4996237454418374,"[0.49864980557200234, 0.5100549342259937, 0.5007040450588838, 0.503141256502601, 0.4855686858497062]",0.4698252663156449,"[0.4700798414810551, 0.47735191637630664, 0.47509344787374597, 0.47435392006974425, 0.45224720577737265]",0.44028602581668086,"[0.4384491786128018, 0.44968230613602667, 0.44755649882049164, 0.4406048718083182, 0.4251372737057659]",0.4996237454418374,"[0.49864980557200234, 0.5100549342259937, 0.5007040450588838, 0.503141256502601, 0.4855686858497062]"
24,smoking,target1,smoking,0.5310997752271513,"[0.5261619661072052, 0.5433107855647282, 0.5411479723099317, 0.5187753623696141, 0.5261027897842772]",0.5240699848150674,"[0.5197092116897017, 0.531336470429332, 0.5339736745408534, 0.514235344447779, 0.5210952229676704]",0.4784037506554505,"[0.47038112883920136, 0.4778375844431981, 0.4984064834795149, 0.4648638917647461, 0.4805296647505918]",0.46287261510824995,"[0.4526570847886131, 0.4572481079320375, 0.48771328638292577, 0.4478466759616969, 0.46889792047597656]",0.5240699848150674,"[0.5197092116897017, 0.531336470429332, 0.5339736745408534, 0.514235344447779, 0.5210952229676704]"
25,smoking,target3,dental caries,0.5330138301401275,"[0.5311975267825728, 0.5377155645500495, 0.5350394738819376, 0.5271317719504969, 0.5339848135355801]",0.5489664228721566,"[0.5465611204464548, 0.5557009642214257, 0.5513684089658892, 0.5397137783513208, 0.5514878423756928]",0.5006005856477428,"[0.4973988523849359, 0.5060371834668178, 0.5038116282264066, 0.4962287692371323, 0.4995264949234215]",0.5489261082134801,"[0.5465537370673708, 0.5557009634519151, 0.5513589376381482, 0.5395294113450557, 0.5514874915649103]",0.5489664228721566,"[0.5465611204464548, 0.5557009642214257, 0.5513684089658892, 0.5397137783513208, 0.5514878423756928]"
