,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.1705060284184295,"[0.1571730305025236, 0.23028551885839968, 0.15421894667177685, 0.1543121479505171, 0.1565404981089302]",0.18418952484543594,"[0.1854082373690217, 0.23202573773707877, 0.14000160181374602, 0.1652186421173763, 0.19829340518995694]",0.08523194992850944,"[0.06938200803987646, 0.13654433412683534, 0.026971401943146966, 0.06873643648195173, 0.12452556905073668]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8646792223889854,"[0.8639295616887848, 0.8698398816107467, 0.8598541517447973, 0.8618870370607633, 0.8678854798398354]"
1,imdb,target3,gross,0.39494174795625586,"[0.3916434970651838, 0.39976924603546377, 0.4002313632951937, 0.3959459120443542, 0.3871187213410838]",0.5274613564256058,"[0.5492878688000639, 0.5131080292286406, 0.4919919261335564, 0.5134775427228258, 0.569441415242942]",0.3862288947749616,"[0.37733440103940546, 0.39656811905604034, 0.3936790037581273, 0.4112141907992362, 0.3523487592219987]",0.42324892319648155,"[0.5074725133591867, 0.4032973576363003, 0.3443581027692577, 0.34366657872420314, 0.5174500634934601]",0.710145299072219,"[0.7186936058702708, 0.7196796753980871, 0.6990878015595463, 0.714729922512595, 0.6985354900205957]"
2,imdb,target2,content_rating,0.5979074837235545,"[0.7016806722689075, 0.6707056117263147, 0.6528288740245262, 0.6416984319500996, 0.32262382864792505]",0.6127900635406248,"[0.7026526763470986, 0.6754233028618101, 0.6316229537053335, 0.5542513847888819, 0.5]",0.5466835224080332,"[0.6483900660416984, 0.6214622283021736, 0.5380450558465324, 0.5333314904909332, 0.39218877135882835]",0.457390561506717,"[0.6755531723643887, 0.6511240700371346, 0.565464449816553, 0.3948111153155086, 0.0]",0.6127900635406248,"[0.7026526763470986, 0.6754233028618101, 0.6316229537053335, 0.5542513847888819, 0.5]"
3,mushroom,target1,Class,0.5839830279018561,"[0.5931868287970383, 0.5651241425329725, 0.5784989085661413, 0.5751006281930063, 0.6080046314201216]",0.7134977903679431,"[0.7162910512560083, 0.7060818159086394, 0.7085940294748446, 0.7119141438088806, 0.7246079113913431]",0.6177716393758421,"[0.628852386640741, 0.6036285245614129, 0.6143268893287357, 0.6040219361704456, 0.6380284601778757]",0.6486353177556471,"[0.6544489984837019, 0.6409544423899626, 0.6357123858452004, 0.6459993353044345, 0.6660614267549357]",0.8872835703413097,"[0.890810730733662, 0.8830757789970606, 0.8849949842412004, 0.886121907368579, 0.8914144503660463]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.7390432472553901,"[0.7372848290282351, 0.7359317939744369, 0.7396621665524507, 0.7410975044789927, 0.7412399422428352]",0.8704438702867613,"[0.8715087437544611, 0.8766431036611221, 0.8634583482975048, 0.8721772995610757, 0.8684318561596426]",0.7360999152977105,"[0.7317099750897259, 0.7367897854196331, 0.735436839038563, 0.7411722634535242, 0.7353907134871062]",0.8336025151849521,"[0.8324140172412899, 0.8401240505361001, 0.8259062103819796, 0.8373582801229755, 0.8322100176424156]",0.9502910234004617,"[0.9486136160961306, 0.9515006535843105, 0.9506407853509304, 0.9506072011298398, 0.9500928608410969]"
6,census,target1,income,0.07186125309651165,"[0.06631580611003114, 0.06518411086939005, 0.06678515387325071, 0.0945602327714349, 0.06646096185845139]",0.14051830452534403,"[0.14285714285714285, 0.13870790755092244, 0.13993826746292692, 0.1428675354908441, 0.13822066926488374]",0.08998668041202815,"[0.09058233040099305, 0.08868960829669907, 0.09041838283112939, 0.09048144850164598, 0.08976163202967327]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8564331139198919,"[0.8571428571428571, 0.8559444886839633, 0.8561891091683606, 0.8571281141872517, 0.8557610004170265]"
7,census,target3,workclass,0.6046180848354135,"[0.7064668013707673, 0.6080573195121812, 0.5581697132562128, 0.5916659258412602, 0.5587306641966457]",0.5859439241025026,"[0.6220455739873871, 0.594154916986088, 0.5608696484171568, 0.5859807220782831, 0.5666687590435983]",0.5887894174950503,"[0.6372225789860907, 0.5990757400138407, 0.5592519568205025, 0.5883503678854095, 0.5600464437694079]",0.5364848351398618,"[0.538138547664909, 0.5380832354179583, 0.5233459347587691, 0.5377636453828294, 0.5450928124748434]",0.5859439241025026,"[0.6220455739873871, 0.594154916986088, 0.5608696484171568, 0.5859807220782831, 0.5666687590435983]"
8,census,target2,marital-status,0.13108280157988825,"[0.12254815820653116, 0.1263758605640985, 0.13651348715411815, 0.13713212352046658, 0.1328443784542269]",0.1525679186874366,"[0.1514456777789765, 0.1521838779227869, 0.1536643158233304, 0.154450146785037, 0.15109557512705213]",0.11528623307402212,"[0.1340933128502582, 0.027895561683156902, 0.13917928609552982, 0.13928955351454383, 0.13597345122662188]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8593099074220039,"[0.8587801747062099, 0.8570547798171325, 0.8612345608574942, 0.8594709550896719, 0.8600090666395109]"
9,bank,target1,y,0.5194124985991392,"[0.5159491327374539, 0.5377186127651143, 0.5093253968253968, 0.539376150004381, 0.4946932006633499]",0.5159145755477098,"[0.5110687505265818, 0.5360281749369218, 0.5089391377852917, 0.5240434001027221, 0.49949341438703143]",0.4517883137959527,"[0.4588336025219405, 0.5261472954208308, 0.496271600004207, 0.444162584963926, 0.333526486068859]",0.40309301053387775,"[0.4281022631677845, 0.5241437408380587, 0.49635186439485673, 0.4144909812018698, 0.15237620306681898]",0.5159145755477098,"[0.5110687505265818, 0.5360281749369218, 0.5089391377852917, 0.5240434001027221, 0.49949341438703143]"
10,bank,target3,housing,0.7248485283804513,"[0.7071828812733474, 0.7218409586056644, 0.7281258702311334, 0.7291433445279599, 0.7379495872641509]",0.8019932636622414,"[0.8094205754828537, 0.7933240511798738, 0.8125763125763126, 0.7846374572343009, 0.8100079218378664]",0.7536305486619185,"[0.7426538482428982, 0.7489032324427187, 0.7593188329252093, 0.7513932496075354, 0.7658835800912305]",0.7956073962659476,"[0.8035200445309054, 0.7863430891317654, 0.8075372450335663, 0.7763045241849026, 0.8043320784485981]",0.8019932636622414,"[0.8094205754828537, 0.7933240511798738, 0.8125763125763126, 0.7846374572343009, 0.8100079218378664]"
11,bank,target2,loan,0.5170424000111858,"[0.5474654377880184, 0.5153614457831325, 0.5173454422382672, 0.5179312190552656, 0.487108455191246]",0.516971040888677,"[0.5436893203883495, 0.5180141287284145, 0.5133125527631665, 0.5215819613457409, 0.4882572412177142]",0.5158069839022676,"[0.5452315541601256, 0.5154557416052341, 0.5134006775109103, 0.5175683054583695, 0.487378640776699]",0.3993123201808956,"[0.43926003983936385, 0.42682795551682773, 0.33736762517802266, 0.4533341052950043, 0.33977187507525936]",0.516971040888677,"[0.5436893203883495, 0.5180141287284145, 0.5133125527631665, 0.5215819613457409, 0.4882572412177142]"
12,intention,target1,Revenue,0.560617038884757,"[0.5615112454929638, 0.5738373760877188, 0.5661350345560872, 0.5569880763850608, 0.5446134619019543]",0.6102497320661922,"[0.6013312288625693, 0.6475799992719065, 0.6121395267562193, 0.6042765353926705, 0.5859213700475951]",0.5489735371188955,"[0.5596684313424758, 0.5614915622988821, 0.5635687680593091, 0.5485399022464406, 0.5115990216473697]",0.6014349589754275,"[0.5841682738794098, 0.6455348218589608, 0.59921851771601, 0.593236676193837, 0.5850165052289201]",0.6102497320661922,"[0.6013312288625693, 0.6475799992719065, 0.6121395267562193, 0.6042765353926705, 0.5859213700475951]"
