,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4050627486856822,"[0.4228335290904181, 0.36893781397317993, 0.3134713372605716, 0.47169840243789823, 0.44837266066634307]",0.436891018303213,"[0.4740942947044137, 0.4297162092976884, 0.37906728563167646, 0.42102560581334897, 0.48055169606893744]",0.4051474922225429,"[0.4372439276841163, 0.39055617373919077, 0.3361015101707518, 0.4140754853620336, 0.447760364156622]",0.17191332501149456,"[0.46063732276648284, 0.39892930229099, 0.0, 0.0, 0.0]",0.9043739184483239,"[0.9034071407563226, 0.905226513354856, 0.8963440242701576, 0.9067098224364879, 0.9101820914237962]"
1,imdb,target3,gross,0.5680568957972219,"[0.5565298473632748, 0.5715466594675203, 0.5559345334154524, 0.5695991180356903, 0.5866743207041715]",0.5365537418115834,"[0.5066164279578914, 0.5292767424766517, 0.5706293659995548, 0.5210056540245219, 0.5552405185992972]",0.5489984015113003,"[0.5273581738838536, 0.5459745852513076, 0.5616681297248561, 0.5412428000743218, 0.5687483186221622]",0.4554846337900157,"[0.40283044655201244, 0.4579655620940192, 0.5174812670368589, 0.4442244678834315, 0.4549214253837567]",0.75919763743652,"[0.7490412418865914, 0.7578062270480009, 0.7738677078883506, 0.7571337292335825, 0.7581392811260749]"
2,imdb,target2,content_rating,0.7324086493733212,"[0.7511971734633927, 0.7268400716237866, 0.7040782830256515, 0.7469474732077586, 0.7329802455460168]",0.7356803203951792,"[0.7422293967450777, 0.7268400716237866, 0.7089180842041254, 0.7633006069853063, 0.7371134424175996]",0.7334376933147025,"[0.7460422736496356, 0.7268400716237866, 0.7062338817252113, 0.7532160698375197, 0.7348561697373601]",0.731840995154765,"[0.7355829901586007, 0.7222222222222222, 0.7047776432746786, 0.7620906215753158, 0.7345314985430073]",0.7356803203951792,"[0.7422293967450777, 0.7268400716237866, 0.7089180842041254, 0.7633006069853063, 0.7371134424175996]"
3,mushroom,target1,Class,0.383715921470488,"[0.38914602412855975, 0.36934319734685533, 0.4025473861408529, 0.36092671278383365, 0.39661628695233847]",0.4265882005252385,"[0.42135935610072056, 0.41811586597537914, 0.4551032806785143, 0.3974879704451308, 0.4408745294264474]",0.3994708044880712,"[0.4021323340470318, 0.38682949130437433, 0.42246809852153316, 0.37334070206402564, 0.4125833965033911]",0.33755055795052186,"[0.3364469816397796, 0.3229058180784633, 0.36115011520311596, 0.32081808618717045, 0.34643178864407975]",0.8261756459102326,"[0.8287333403230256, 0.8233222317563597, 0.8295318309522884, 0.8241647715871028, 0.8251260549323871]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.6080209353552442,"[0.6168087521583673, 0.5945009349593774, 0.5963347180240465, 0.6102691184862016, 0.6221911531482284]",0.6403773297730516,"[0.6517133621704473, 0.6301843313260981, 0.6213304269330127, 0.6401634547572557, 0.6584950736784446]",0.611573950552697,"[0.6179914613367735, 0.602220704407328, 0.5990116758300917, 0.6146831037115138, 0.6239628074777777]",0.611128740035513,"[0.6237725886906288, 0.5966492201303376, 0.5885988854116341, 0.6126517160623862, 0.6339712898825782]",0.9261291778521367,"[0.9261854882863104, 0.9243422858119675, 0.9244170895209894, 0.9263478692788895, 0.9293531563625265]"
6,census,target1,income,0.36501471665945795,"[0.3622194989710371, 0.3600593259028325, 0.37152546360798905, 0.36166062688026585, 0.3696086679351652]",0.3693908448665749,"[0.3701687137000934, 0.365554807232978, 0.3803014834890037, 0.3659177208036151, 0.3650114991071845]",0.36043426708571163,"[0.3570147181274073, 0.356578905721451, 0.3686803808048588, 0.3569429431250944, 0.3629543876497468]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9458368096574116,"[0.9447596539301244, 0.9438517445845491, 0.9476297280861354, 0.945157035823971, 0.9477858858622774]"
7,census,target3,workclass,0.7275247108954239,"[0.7219907160809472, 0.7346908694286542, 0.7280233991842748, 0.7256644409042134, 0.72725412887903]",0.724272487497636,"[0.7202797209641882, 0.7364404842019402, 0.7196550592241203, 0.7198460347240836, 0.7251411383738477]",0.7258157055199046,"[0.7211239257946067, 0.7355553773053629, 0.7235848075350222, 0.7226338043051366, 0.7261806126593945]",0.7097110328957446,"[0.7060107855781006, 0.7242206374198443, 0.7030574060015213, 0.7035945679302291, 0.7116717675490267]",0.724272487497636,"[0.7202797209641882, 0.7364404842019402, 0.7196550592241203, 0.7198460347240836, 0.7251411383738477]"
8,census,target2,marital-status,0.19511125375759772,"[0.18858318744975813, 0.19506189329991888, 0.20239146822837648, 0.19699032746361378, 0.19252939234632133]",0.2105444385296633,"[0.20338735954201567, 0.213602998931246, 0.21744592020765932, 0.21231685035691608, 0.20596906361047956]",0.1997714377290897,"[0.19243919426310474, 0.20041282878027028, 0.20758148875842158, 0.20212633802944932, 0.19629733881420258]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8768546252279042,"[0.8769702610798306, 0.8759045989705123, 0.8773882360862606, 0.8767717379086568, 0.8772382920942612]"
9,bank,target1,y,0.49269254724394457,"[0.524481575883445, 0.45559141587727386, 0.4800537379484748, 0.5017941077723687, 0.5015418987381604]",0.4926811273612429,"[0.5245808408459011, 0.4554457527333894, 0.47999788672865595, 0.5018297380585517, 0.5015514184397163]",0.4922819168716187,"[0.5243643928668056, 0.45534665099882493, 0.47999419701146084, 0.5004543533389688, 0.5012499901420336]",0.4920726059219023,"[0.5242859207369158, 0.45522847986633364, 0.4782682200177551, 0.5013997698004721, 0.5011806391880345]",0.4926811273612429,"[0.5245808408459011, 0.4554457527333894, 0.47999788672865595, 0.5018297380585517, 0.5015514184397163]"
