,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.129938832109236,"[0.16748272801521588, 0.14947279456830453, 0.08894075031706102, 0.12669667400759838, 0.11710121363800016]",0.22383709670807636,"[0.31395356122246876, 0.22586990558964373, 0.16888847610089242, 0.192047649787693, 0.21842589083968392]",0.07603551731761163,"[0.0908003908586118, 0.07589608866941457, 0.06614386282953988, 0.07849044196860411, 0.06884680226188784]",0.03379063044433467,"[0.16895315222167334, 0.0, 0.0, 0.0, 0.0]",0.8600661594972279,"[0.8623226526498579, 0.8587281101797428, 0.8597257048234397, 0.8605466484050284, 0.8590076814280705]"
1,imdb,target3,gross,0.4028489165104152,"[0.39044107218834206, 0.3880256841276332, 0.4226412957299807, 0.3978273299028016, 0.4153092006033183]",0.4502681466971821,"[0.4278180619644034, 0.4245642006802721, 0.4579283365733074, 0.4278127183787561, 0.5132174158891716]",0.42142975455508014,"[0.4047635010559485, 0.40311928065568553, 0.4384826856991806, 0.4119425547996976, 0.44884075056488854]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7326716355218469,"[0.7207277984658281, 0.7371851010539704, 0.7439114784119921, 0.7140115378000841, 0.7475222618773597]"
2,imdb,target2,content_rating,0.6386288906909188,"[0.6646672771672771, 0.6320511122881356, 0.6170980874107074, 0.621282702804442, 0.6580452737840319]",0.640957003561893,"[0.667464746102087, 0.625310212672384, 0.6219775647693268, 0.6282380841818966, 0.6617944100837705]",0.5824485999258434,"[0.6189015397321692, 0.558289849470678, 0.5671569498038329, 0.556270806227287, 0.6116238543952498]",0.6129249178830257,"[0.6447398232934549, 0.5845689486414469, 0.5987082904327055, 0.5976004290869197, 0.639007097960602]",0.640957003561893,"[0.667464746102087, 0.625310212672384, 0.6219775647693268, 0.6282380841818966, 0.6617944100837705]"
3,mushroom,target1,Class,0.6382822665031038,"[0.6363025448731694, 0.6354157212951177, 0.6379710392315435, 0.6278584740644176, 0.653863553051271]",0.729843338438003,"[0.7296190774775712, 0.7231905224325379, 0.7297084242467459, 0.7305709824657193, 0.7361276855674409]",0.588153153252456,"[0.5954318149410714, 0.5707160924403222, 0.5902735006374099, 0.5765826940341959, 0.6077616642092807]",0.557730986911026,"[0.5732329682163022, 0.5275313553936339, 0.5711282878847105, 0.5545009889324308, 0.5622613341280523]",0.8915224022889688,"[0.8910913438927305, 0.8880194930779716, 0.8908371015759345, 0.890609101792719, 0.8970549711054883]"
4,mushroom,target3,habitat,0.9940659316656941,"[0.9941724941724941, 0.9969678250704075, 0.9913367478774455, 0.9934329483509812, 0.9944196428571428]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]",0.9949436837926889,"[0.9952898082130057, 0.9971866083554493, 0.9925394339485492, 0.9943399064171122, 0.9953626620293287]",0.9958544580638373,"[0.9964475909040272, 0.9974072051918286, 0.9937997189310885, 0.9952740946644141, 0.996343680627828]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]"
5,mushroom,target2,population,0.6771728967763615,"[0.6817250875138899, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6723146173839262]",0.8433120238214803,"[0.8434809134252234, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8394463489132659]",0.6960294688531719,"[0.6952197622375594, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.691843107513745]",0.8027418611345819,"[0.8020985985623789, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.7989660223415361]",0.9326200500344971,"[0.9327045030188484, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9315199284637844]"
6,census,target1,income,0.2749883907656422,"[0.28811703743314837, 0.2673172646442638, 0.27355689180971055, 0.2714245397925059, 0.2745262201485823]",0.2724543901386718,"[0.274466312128861, 0.2681711761665536, 0.24219494331991273, 0.3064031284160335, 0.27103639066199814]",0.17189702254813571,"[0.15013670612012855, 0.19253552811714666, 0.15667686584114454, 0.1766510585488829, 0.18348495411337581]",0.06601384597780333,"[0.16756922604407035, 0.0, 0.0, 0.16250000384494626, 0.0]",0.8833074818587361,"[0.8789140574209802, 0.8880092127725898, 0.879350928388658, 0.8848774539323403, 0.8853857567791122]"
7,census,target3,workclass,0.7429686598999137,"[0.7604981265765184, 0.7344016051663738, 0.7559291319638186, 0.7174746267070514, 0.7465398090858064]",0.5923397790109257,"[0.6261101589305567, 0.584308223190657, 0.5848958736761093, 0.5812542561323049, 0.5851303831250017]",0.5989018515229345,"[0.6442128171019159, 0.5895683888793762, 0.5879608891568413, 0.5849325155857243, 0.5878346468908149]",0.45543383569120766,"[0.5283332658572608, 0.4390972921893531, 0.4350696431543886, 0.4364599655801344, 0.4382090116749009]",0.5923397790109257,"[0.6261101589305567, 0.584308223190657, 0.5848958736761093, 0.5812542561323049, 0.5851303831250017]"
8,census,target2,marital-status,0.17671640088130863,"[0.1651497666764595, 0.18147835358971748, 0.19800755708643727, 0.15495828166876416, 0.18398804538516494]",0.15547630622937741,"[0.17570222546021816, 0.16724581927264076, 0.18672702553552162, 0.15206264842579031, 0.0956438124527162]",0.04806906486911322,"[0.052590410754583414, 0.04331764980553947, 0.05270057232153807, 0.036032157314111815, 0.0557045341497933]",0.04069190621175319,"[0.06943021896920248, 0.05683720944923546, 0.04572244421555086, 0.03146965842477718, 0.0]",0.8582859358271158,"[0.8586357008651884, 0.8580623086895139, 0.8585215465511045, 0.8575412754886242, 0.8586688475411481]"
9,bank,target1,y,0.5275248898487762,"[0.5031627854903717, 0.5377122877122877, 0.551984126984127, 0.5424242424242425, 0.5023410066328521]",0.524150443564757,"[0.5023801499705114, 0.5285744322960471, 0.5498309382924768, 0.5377503852080123, 0.5022163120567376]",0.512800467743409,"[0.4777067153951577, 0.5053754895839246, 0.5485174043833262, 0.533373603141045, 0.4990291262135922]",0.4876831902240985,"[0.4353957586815706, 0.46793751424883573, 0.539324269613138, 0.5087826493538405, 0.48697575922310754]",0.524150443564757,"[0.5023801499705114, 0.5285744322960471, 0.5498309382924768, 0.5377503852080123, 0.5022163120567376]"
