,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.20533462274588693,"[0.21225970340371694, 0.21027620493428165, 0.21843914743091647, 0.19901419223423655, 0.1866838657262831]",0.29725338150350616,"[0.286871615228583, 0.30240523613510323, 0.32552278090453796, 0.34273304651507797, 0.22873422873422872]",0.19947024221692394,"[0.2086952786753673, 0.20593310580239493, 0.21707860200672086, 0.19179122527646073, 0.17385299932367596]",0.05743445517260989,"[0.0, 0.28717227586304944, 0.0, 0.0, 0.0]",0.8729072510315227,"[0.8753533074145405, 0.8721753202557773, 0.8734773186495105, 0.8719608461515789, 0.871569462686206]"
1,imdb,target3,gross,0.5363828663690707,"[0.5430008491736887, 0.605058411907727, 0.5868582375478928, 0.36190613026819923, 0.5850907029478458]",0.36808233529086565,"[0.3674002716685643, 0.3761535440447365, 0.3959360049257537, 0.33792961057112, 0.36299224524415363]",0.37648190035495094,"[0.37789338096982106, 0.3889815780326729, 0.41941605179291486, 0.3253900737131588, 0.37072841726618705]",0.11983664935495504,"[0.14266096973876438, 0.12708929335049704, 0.14671438984840843, 0.06901751925259071, 0.11370107458451466]",0.6886310702137924,"[0.6925657100395681, 0.695302482862879, 0.7000019350628822, 0.6779713747408315, 0.6773138483628016]"
2,imdb,target2,content_rating,0.7374342028695997,"[0.7550639593410101, 0.7364395224317404, 0.7081446862372816, 0.7371060522113222, 0.7504167941266442]",0.7336252420638365,"[0.7418723952472235, 0.7233374171457293, 0.7052535565121377, 0.7413056817804902, 0.7563571596336021]",0.7348817517275541,"[0.7471264367816093, 0.7285483870967742, 0.7066192686881301, 0.7390902366863905, 0.7530244293848667]",0.7271108373264347,"[0.7336866984939693, 0.7132662775638329, 0.6974740509061559, 0.7364709537068783, 0.7546562059613372]",0.7336252420638365,"[0.7418723952472235, 0.7233374171457293, 0.7052535565121377, 0.7413056817804902, 0.7563571596336021]"
3,mushroom,target1,Class,0.4499168258402291,"[0.4423348559934801, 0.43326841319405324, 0.47733783224506393, 0.42706026167166283, 0.46958276609688565]",0.5087766226053515,"[0.48850281998268, 0.4990972924018969, 0.5387145819701759, 0.48579334803814617, 0.5317750706338585]",0.47062778042210524,"[0.46012947905963747, 0.4561095236884913, 0.5003917466261109, 0.4445042990045632, 0.49200385373172356]",0.4462120744642708,"[0.42387075124421003, 0.43464157183358976, 0.48436834946198737, 0.4266429740471653, 0.46153672573440147]",0.8443490372741378,"[0.8420427309200704, 0.8412326929923428, 0.8510411900606029, 0.8424790720586733, 0.8449495003389997]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.6489914670279617,"[0.6605828547910084, 0.6396253532641246, 0.6388790634568691, 0.6557497596085112, 0.6501203040192954]",0.7310087620864498,"[0.7485024637439347, 0.7248263701188681, 0.7112884834525591, 0.7402630122926044, 0.7301634808242832]",0.6621957272981974,"[0.6707949176639286, 0.6545684630727108, 0.6514180262265338, 0.669949037232469, 0.6642481922953446]",0.7015694955806098,"[0.7225636795656049, 0.69151070656088, 0.6766029465564468, 0.7119894456524588, 0.7051806995676583]",0.9325047363688105,"[0.9339768533878381, 0.9315587598141618, 0.930401434644431, 0.9335859044526805, 0.9330007295449415]"
6,census,target1,income,0.21482863953832138,"[0.21274305654321157, 0.2125911373759597, 0.2127812218766704, 0.21334323803477764, 0.22268454386098777]",0.21694060975472432,"[0.21158815269025696, 0.19424240910558926, 0.23391866412308085, 0.21408577551941105, 0.23086804733528354]",0.17493411571803202,"[0.16914343109505894, 0.17267767341020404, 0.17458277506414754, 0.17447742298030072, 0.18378927604044873]",0.18484671126043403,"[0.1791723054456498, 0.16688756855089856, 0.1928383002263614, 0.1835184227571753, 0.20181695932208515]",0.8768117609818628,"[0.876866587786466, 0.8761121273358115, 0.8768705147661686, 0.8756619886631986, 0.8785475863576694]"
7,census,target3,workclass,0.7631458015078537,"[0.7744573329889735, 0.7650279865096261, 0.7419616694385047, 0.7797966590450659, 0.7544853595570981]",0.5883459615585125,"[0.5925027494186319, 0.587715365524732, 0.5826093893621643, 0.5912842351866742, 0.58761806830036]",0.5933482960185333,"[0.5986923010591103, 0.59379469812438, 0.5850042555723797, 0.5979701858336958, 0.591280039503101]",0.442000324090195,"[0.44955169101737225, 0.43982692569614007, 0.43285574644379554, 0.4453607398391679, 0.44240651745449966]",0.5883459615585125,"[0.5925027494186319, 0.587715365524732, 0.5826093893621643, 0.5912842351866742, 0.58761806830036]"
8,census,target2,marital-status,0.15902739069796462,"[0.16281619243275913, 0.1625395708349159, 0.15402183493913685, 0.1558840983459345, 0.15987525693707688]",0.16210487286280323,"[0.16614169566058673, 0.17301924742441768, 0.15403283434036288, 0.1526847659167821, 0.16464582097186667]",0.13527817441264625,"[0.13842264247946295, 0.14173443261110708, 0.1303296082570177, 0.12949011555805223, 0.13641407315759121]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8655626793631581,"[0.8671841221599043, 0.8677965002502186, 0.8632195480779518, 0.8640051820574606, 0.8656080442702555]"
9,bank,target1,y,0.49906173592727987,"[0.4937681326392744, 0.4705050975576188, 0.5190031583312951, 0.5125083808246731, 0.4995239102835378]",0.49912551567926944,"[0.49373367596259166, 0.47071068124474347, 0.5188820794590026, 0.5127760657421674, 0.4995250759878419]",0.495516214838793,"[0.4929420183861404, 0.4674018676900106, 0.512841665291756, 0.5092710425847435, 0.49512448024131467]",0.4972941731579765,"[0.49372590662603943, 0.46804983452943105, 0.5150113458852461, 0.5126794974226638, 0.49700428132650193]",0.49912551567926944,"[0.49373367596259166, 0.47071068124474347, 0.5188820794590026, 0.5127760657421674, 0.4995250759878419]"
10,bank,target3,housing,0.7611898889998849,"[0.7715970961887477, 0.7759047379936157, 0.7830162348234637, 0.7493891797556719, 0.7260421962379258]",0.6667273561841521,"[0.681498438494891, 0.6846628417792928, 0.6547619047619048, 0.6419379759408455, 0.670775619943827]",0.6981710697379822,"[0.7147253423603632, 0.7172029172029173, 0.6931204871258436, 0.6733342606760329, 0.6924723413247534]",0.5946468253542015,"[0.6159301423608359, 0.6238607977204725, 0.5704356452719495, 0.5540033989338328, 0.6090041424839165]",0.6667273561841521,"[0.681498438494891, 0.6846628417792928, 0.6547619047619048, 0.6419379759408455, 0.670775619943827]"
11,bank,target2,loan,0.5026261180010948,"[0.5134009888108249, 0.4775885253249664, 0.506546511248245, 0.4816784608580274, 0.5339161037634104]",0.5042538529181188,"[0.5233009708737864, 0.46075353218210363, 0.5130203259951945, 0.4703471725125269, 0.5538472630269822]",0.47179464388362524,"[0.4803152627455996, 0.44388632212313306, 0.46456349206349207, 0.4520425598011805, 0.5181655826847211]",0.49038810511872144,"[0.5176496547362354, 0.4340311573215714, 0.5054629372332948, 0.4508601498597627, 0.5439366264427432]",0.5042538529181188,"[0.5233009708737864, 0.46075353218210363, 0.5130203259951945, 0.4703471725125269, 0.5538472630269822]"
12,intention,target1,Revenue,0.5801120305276835,"[0.5748340480576871, 0.5712696205380385, 0.5834320361209719, 0.5848991910647559, 0.5861252568569641]",0.6353080873242106,"[0.6195214389524901, 0.6287375465676459, 0.6361789350766781, 0.6506859598335972, 0.6414165561906418]",0.582049363712563,"[0.5776426635675949, 0.5704145070161288, 0.5872315030905085, 0.586028966022699, 0.5889291788658843]",0.6236220023535334,"[0.6026161392344109, 0.6167227387948758, 0.6235577952259004, 0.6433897547407524, 0.6318235837717276]",0.6353080873242106,"[0.6195214389524901, 0.6287375465676459, 0.6361789350766781, 0.6506859598335972, 0.6414165561906418]"
13,intention,target3,SpecialDay,0.7918876357894475,"[0.8151685278981307, 0.7735460191981931, 0.8006133670364892, 0.7699039704371458, 0.8002062943772787]",0.5948028794887934,"[0.5811505847723499, 0.5933113240981863, 0.6192692622834294, 0.5884519199960899, 0.5918313062939116]",0.6205194202596369,"[0.6030272540705428, 0.6182135077866848, 0.6528002895919779, 0.6133257403189066, 0.6152303095300727]",0.4481880452898041,"[0.41275536951200437, 0.44835090840370595, 0.501971516539073, 0.4365105808911102, 0.4413518511031267]",0.5948028794887934,"[0.5811505847723499, 0.5933113240981863, 0.6192692622834294, 0.5884519199960899, 0.5918313062939116]"
14,intention,target2,VisitorType,0.17563114565504373,"[0.17622654051825515, 0.17445987439957797, 0.17677154548738805, 0.17387485318452658, 0.17682291468547096]",0.19748748447164136,"[0.1977701574188, 0.19876438734775306, 0.19760656584207403, 0.18896139503131437, 0.20433491671826529]",0.13743424664207998,"[0.13664876170602017, 0.13781424336499373, 0.13972800225556645, 0.1361329540488396, 0.13684727183497994]",0.13784485654070688,"[0.17215049154561735, 0.16836178404121838, 0.1718908681075173, 0.0, 0.17682113900918142]",0.8505485750285635,"[0.8526215755004817, 0.844784728062796, 0.8551362573635967, 0.847894670517193, 0.8523056436987501]"
15,anuran,target1,Family,0.962408126231144,"[0.9637482913551111, 0.9532198411192085, 0.9716495226775133, 0.9536687912462207, 0.9697541847576657]",0.9770635987549732,"[0.9680959792131926, 0.981516810144235, 0.9686961933141809, 0.9880503184399219, 0.9789586926633348]",0.9689922139637778,"[0.9656441492856483, 0.9666411807037816, 0.969324657520421, 0.9692778901745808, 0.9740731921344572]",0.9765332705520541,"[0.9669981672374199, 0.9814222726443416, 0.9677323281034553, 0.9879102617478084, 0.9786033230272445]",0.9985386051294773,"[0.9986759382388325, 0.998335953543798, 0.9987054041494874, 0.9983603303149794, 0.9986153994002891]"
16,anuran,target3,Species,0.976880122829108,"[0.9803062969969174, 0.9657424842846838, 0.9954648526077098, 0.9684820915566872, 0.9744048886995419]",0.9874277480159032,"[0.9947345123360581, 0.9914113289617075, 0.9611577569795196, 0.9953836756748291, 0.9944514661274014]",0.9814488719653806,"[0.9873105954160719, 0.9779105607216458, 0.9769347162713626, 0.9811144634466812, 0.983974023971141]",0.9870176007035548,"[0.9947112583375394, 0.9913968864628896, 0.9591809444802352, 0.9953672431658618, 0.9944316710712483]",0.9960230674200797,"[0.9961468876883405, 0.9951940269727038, 0.9967029373504194, 0.99654582069583, 0.9955256643931051]"
17,anuran,target2,Genus,0.9578996651882499,"[0.9595315938226276, 0.9466678582817065, 0.9669724106627586, 0.9490353397841251, 0.967291123390031]",0.9766668677712389,"[0.9651168663481133, 0.9821818727910765, 0.9662999764139426, 0.9912401039302687, 0.9784955193727924]",0.9663853341038209,"[0.9619770284849782, 0.9635647020766687, 0.9655966855091798, 0.9682419460745952, 0.9725463083736829]",0.9760364791860272,"[0.963778467985067, 0.9820727125540503, 0.9651196318520521, 0.9911442867831127, 0.9780672967558546]",0.9981399739363497,"[0.998024862404301, 0.9980067199244214, 0.9983766475431506, 0.9981745413640136, 0.9981170984458614]"
18,telco,target1,Churn,0.37321470667631085,"[0.3666769208216071, 0.3741921108094277, 0.3691046909150226, 0.3830357647771799, 0.37306404605831706]",0.35878059677091195,"[0.34438509200040623, 0.3609871260998584, 0.3561872468330377, 0.37143302651405447, 0.36091049240720285]",0.3596893819580126,"[0.34889886772153783, 0.36201859869007696, 0.35822090349123314, 0.37169777779309016, 0.3576107620941248]",0.35574500965330424,"[0.34212795585188827, 0.3575399312607851, 0.3541828063475379, 0.37001309701179363, 0.35486125779451644]",0.7889843819562785,"[0.7842689458418914, 0.7899561463562081, 0.7878526360133671, 0.7928010753326729, 0.790043106237253]"
19,telco,target3,PaymentMethod,0.7090433382492808,"[0.7012111021572032, 0.729090959915022, 0.7195458404074703, 0.6849541021227769, 0.7104146866439314]",0.6504993042096232,"[0.6496681565759176, 0.658750220943775, 0.6547176160475594, 0.6311027064397405, 0.6582578210411235]",0.665443724778137,"[0.6658172480310607, 0.673135127755432, 0.6719247043850104, 0.6429667010116149, 0.6733748427075666]",0.5956337671083325,"[0.5938873239900807, 0.6053987009803534, 0.5988029661263257, 0.5702985605441828, 0.6097812839007196]",0.6504993042096232,"[0.6496681565759176, 0.658750220943775, 0.6547176160475594, 0.6311027064397405, 0.6582578210411235]"
20,telco,target2,Contract,0.6027385386036114,"[0.5849566323091936, 0.5976596881620928, 0.6244030443082096, 0.611938711871907, 0.5947346163666539]",0.5954581171344243,"[0.5742503299785514, 0.5913108557024942, 0.612301650443943, 0.6025947879997332, 0.5968329615473997]",0.5959410525981055,"[0.5747964590755011, 0.5913256388252796, 0.6131956367441475, 0.6048929514452712, 0.595494576900328]",0.5790429968211803,"[0.5600848671974141, 0.5765023344623528, 0.6019252953836798, 0.5837241647920742, 0.5729783222703811]",0.8229730616694072,"[0.8149576200188048, 0.8214490324876693, 0.8279450608530462, 0.8299777733237468, 0.8205358216637687]"
