,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.3702705463855901,"[0.39790059474304723, 0.402172012625488, 0.3147226370222886, 0.3684395452231269, 0.3681179423139997]",0.5044243481675116,"[0.522128146292187, 0.5043133735937876, 0.4409641159623258, 0.5132932877043713, 0.5414228172848863]",0.3849900905921568,"[0.41110038706252316, 0.4148978769168902, 0.3344696491039502, 0.3788357713644593, 0.38564676851296115]",0.3677469728923283,"[0.4241723144102173, 0.45261683076938053, 0.0, 0.49259333471899813, 0.46935238456304584]",0.9035463846471133,"[0.9062096962507021, 0.9056904092438934, 0.8943579243013247, 0.906597779741214, 0.9048761136984325]"
1,imdb,target3,gross,0.5097837950779842,"[0.5025900025900026, 0.5135477582846004, 0.4951392538097741, 0.509083402146986, 0.5285585585585585]",0.5231474650758661,"[0.5018265216435949, 0.5165497448979591, 0.5209518323853409, 0.5207547169811321, 0.5556545094713033]",0.5158118053290741,"[0.501227295041728, 0.5143343832358424, 0.5076542446265656, 0.5141254673867885, 0.5417176363544457]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7508978639245507,"[0.7376522914497597, 0.7640421841909141, 0.7452314580151774, 0.7462740612520348, 0.7612893247148675]"
2,imdb,target2,content_rating,0.7191311265475056,"[0.7358523461212327, 0.72373687664042, 0.6922328986501944, 0.7075374692300502, 0.7362960420956303]",0.722079572580804,"[0.7309760886605459, 0.7142273741086294, 0.701689043222224, 0.7209194334803808, 0.7425859234322398]",0.7197219719660909,"[0.7331817647289404, 0.7181815995575044, 0.6957052225351563, 0.7125541125541126, 0.7389871604547411]",0.7177302707293359,"[0.7252177709904642, 0.7049098334369864, 0.6993357034653418, 0.7184264206869247, 0.7407616250669623]",0.722079572580804,"[0.7309760886605459, 0.7142273741086294, 0.701689043222224, 0.7209194334803808, 0.7425859234322398]"
3,mushroom,target1,Class,0.595882606092028,"[0.6003597719027147, 0.5843525388355336, 0.599434458905509, 0.5875673539344075, 0.6076989068819757]",0.7305986678906163,"[0.7271252807463732, 0.7277427965143762, 0.733069469226185, 0.7310307723991935, 0.7340250205669535]",0.620400080597417,"[0.6225574302363608, 0.6064659255417527, 0.6230063565545682, 0.6119129404832097, 0.6380577501711934]",0.6508080237464638,"[0.6474471947441685, 0.6369248563524276, 0.6521898884787721, 0.6583072887240095, 0.6591708904329416]",0.8919340703016161,"[0.8915180321031544, 0.8902127143640878, 0.8923158882036386, 0.8912116733888128, 0.8944120434483867]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.7403126847379494,"[0.7372848290282351, 0.7359317939744369, 0.7425339570310943, 0.7438271604938271, 0.7419856831621537]",0.8722726359170251,"[0.8715087437544611, 0.8766431036611221, 0.8682811887945027, 0.8749550773388535, 0.8699750660361859]",0.7368930793170534,"[0.7317099750897259, 0.7367897854196331, 0.7371640069619171, 0.7426589070935296, 0.7361427220204608]",0.8350429372943198,"[0.8324140172412899, 0.8401240505361001, 0.8294681779005152, 0.8397071650338257, 0.8335012757598684]",0.9504899464511946,"[0.9486136160961306, 0.9515006535843105, 0.9509156579872079, 0.9510487022335926, 0.9503711023547307]"
6,census,target1,income,0.38834786504366836,"[0.39161803559917907, 0.38703332707854826, 0.38793306309345715, 0.3906221342071225, 0.3845327652400345]",0.4805392131837647,"[0.5125488776828185, 0.47885164278353115, 0.45896353160724007, 0.5007948890829728, 0.45153712476226093]",0.38345972650011595,"[0.3890135743097199, 0.37734820025883903, 0.3813320096648233, 0.38805695139782775, 0.38154789686937]",0.35050961547648657,"[0.37896567666658876, 0.3538589253811753, 0.3078447782799839, 0.39452099469170504, 0.3173577023629801]",0.9475979009363963,"[0.9490209590677917, 0.9478016004779678, 0.9472781819445075, 0.9474620418424112, 0.9464267213493034]"
7,census,target3,workclass,0.7184963074189501,"[0.7237362560785214, 0.7278031073729103, 0.7158429083156547, 0.7107056614317402, 0.7143936038959235]",0.7309413005821555,"[0.7426055092254789, 0.7353750485746708, 0.7173019256509063, 0.7322622273841786, 0.727161792075543]",0.7238354608371276,"[0.7317096539526358, 0.731384409535031, 0.7165637913570486, 0.7194590462251176, 0.7200604031158051]",0.7219188203693094,"[0.7365473678689543, 0.7247168621843849, 0.7037222186391645, 0.7259011691823566, 0.7187064839716871]",0.7309413005821555,"[0.7426055092254789, 0.7353750485746708, 0.7173019256509063, 0.7322622273841786, 0.727161792075543]"
8,census,target2,marital-status,0.26716743189164166,"[0.2964553052753392, 0.24667065398482604, 0.298886028644673, 0.2259683730895968, 0.2678567984637734]",0.2492723831685538,"[0.24404045279413733, 0.2251143019990101, 0.20724682220528173, 0.24950159055189083, 0.3204587482924489]",0.16535551229091244,"[0.16289409563402993, 0.16043180961320805, 0.17189933264818524, 0.16190917314345357, 0.16964315041568542]",0.0808248910871551,"[0.07677692060382421, 0.06831361582832376, 0.08559495287399962, 0.07098536045372758, 0.10245360567590027]",0.8806847484471412,"[0.879608425721216, 0.8816722662573557, 0.88113501993512, 0.8808156642608216, 0.8801923660611929]"
9,bank,target1,y,0.5417715163014234,"[0.49740627724498687, 0.5609728073535044, 0.5439655950875926, 0.5637031408308004, 0.5428097609902321]",0.540290986987127,"[0.49749347038503666, 0.5585786375105131, 0.5411559594251902, 0.5645865434001027, 0.5396403242147924]",0.5379709259226138,"[0.49553442811869775, 0.5567293719252869, 0.5382316313823163, 0.5636566332218507, 0.5357025649649172]",0.5294643455657273,"[0.4875654942816268, 0.5495621010801692, 0.5251997164706927, 0.5635446794338484, 0.5214497365622995]",0.540290986987127,"[0.49749347038503666, 0.5585786375105131, 0.5411559594251902, 0.5645865434001027, 0.5396403242147924]"
10,bank,target3,housing,0.7695895550893539,"[0.7470362330940057, 0.7852673796791444, 0.8283098591549296, 0.751650805981744, 0.7356834975369457]",0.7260316226499481,"[0.7242958066765715, 0.7561154187771563, 0.7371794871794872, 0.7288047676856859, 0.6837626329308399]",0.7442383808864493,"[0.7349072191154041, 0.7695123107557129, 0.7726403155075492, 0.7393384370937456, 0.7047936219598345]",0.6880392706978208,"[0.6858734317580901, 0.7298188620833096, 0.6979824404521128, 0.697544845432515, 0.6289767737630767]",0.7260316226499481,"[0.7242958066765715, 0.7561154187771563, 0.7371794871794872, 0.7288047676856859, 0.6837626329308399]"
11,bank,target2,loan,0.5048477831085302,"[0.5211053217024765, 0.4822952218430034, 0.4610544217687075, 0.5167823565591776, 0.5430015936692861]",0.500586414689265,"[0.5067961165048543, 0.4934850863422292, 0.4851289044743165, 0.5034180386542592, 0.5141039274706656]",0.48205076054554247,"[0.49110671936758893, 0.47561552371678956, 0.46660250681698406, 0.47635553874918596, 0.5005735140771637]",0.20651338922441737,"[0.23590435026776604, 0.196515964574917, 0.14756797017213558, 0.18785608040052962, 0.26472258070673865]",0.500586414689265,"[0.5067961165048543, 0.4934850863422292, 0.4851289044743165, 0.5034180386542592, 0.5141039274706656]"
