,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.1767090534597509,"[0.19049035674135112, 0.1848375100965552, 0.13829632802646297, 0.17808785114485273, 0.1918332212895326]",0.21184221559115293,"[0.24229416303558463, 0.2758776646465503, 0.11147252017611117, 0.17078464372922536, 0.2587820863682933]",0.13178936866559035,"[0.13990876697643614, 0.14211529722381405, 0.08381525306991146, 0.14015605191167138, 0.15295147414611873]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8703728582489028,"[0.8739603651626207, 0.8703293612240548, 0.8640587924109951, 0.8703286907896783, 0.8731870816571649]"
1,imdb,target3,gross,0.43398011980707984,"[0.3789315943747324, 0.36931063122923585, 0.3939085720743629, 0.45580629995298544, 0.5719435014040823]",0.4000003860726727,"[0.3806443638760712, 0.36952593537414963, 0.3953728370173039, 0.44084556254367574, 0.41361323155216284]",0.4047387933408121,"[0.37843725288333857, 0.3672069229298145, 0.39304774827162886, 0.4433608522827854, 0.4416411903364934]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7175652613137742,"[0.7150921246958671, 0.7188568005975623, 0.7220185552662669, 0.7071835192246353, 0.724675306784539]"
2,imdb,target2,content_rating,0.7248616228749628,"[0.748743208246585, 0.7132094406780884, 0.6993706846950518, 0.7224329556862183, 0.7405518250688705]",0.7479151912040181,"[0.7661174534927939, 0.7319212766625829, 0.7217959386151607, 0.7572266078476898, 0.7625146794018633]",0.7194364462033205,"[0.752061437158755, 0.7146116809323603, 0.683871815077489, 0.7149773020419787, 0.7316599958060193]",0.7443780642730456,"[0.765979243074578, 0.7316483241654687, 0.7147877815872833, 0.7523278632603861, 0.7571471092775126]",0.7479151912040181,"[0.7661174534927939, 0.7319212766625829, 0.7217959386151607, 0.7572266078476898, 0.7625146794018633]"
3,mushroom,target1,Class,0.5867868877451234,"[0.5979300664958244, 0.5675157454736812, 0.5850660950502393, 0.5756392257913865, 0.607783305914486]",0.7177729391805057,"[0.7214516796784012, 0.7107288576726427, 0.7171292149362274, 0.7133931634984266, 0.7261617801168304]",0.6213909018118381,"[0.6334841673116148, 0.6042484283561121, 0.6237321905926337, 0.6051761380339514, 0.6403135847648782]",0.6569605371549305,"[0.6649826916625222, 0.6425174404758982, 0.6556273721332863, 0.6505963289338244, 0.6710788525691215]",0.8885876615947419,"[0.8923471507202905, 0.8843359982365381, 0.8881860539602392, 0.8863289317073381, 0.8917401733493034]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.7388387474560631,"[0.7372848290282351, 0.7359317939744369, 0.738639667555816, 0.7410975044789927, 0.7412399422428352]",0.8700084027164623,"[0.8715087437544611, 0.8766431036611221, 0.8612810104460097, 0.8721772995610757, 0.8684318561596426]",0.7360321959187333,"[0.7317099750897259, 0.7367897854196331, 0.735098242143677, 0.7411722634535242, 0.7353907134871062]",0.8333305570875345,"[0.8324140172412899, 0.8401240505361001, 0.8245464198948907, 0.8373582801229755, 0.8322100176424156]",0.9502791709085662,"[0.9486136160961306, 0.9515006535843105, 0.9505815228914534, 0.9506072011298398, 0.9500928608410969]"
6,census,target1,income,0.06619784728337538,"[0.06631580611003114, 0.06519989699349772, 0.06699265724798113, 0.06568948523099424, 0.0667913908343727]",0.14091451772421168,"[0.14285714285714285, 0.13891365475618958, 0.1411125276789908, 0.141351943076081, 0.14033732025265422]",0.09007687908531439,"[0.09058233040099305, 0.08874624838434071, 0.09085312510125391, 0.08969544359302754, 0.09050724794695673]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.856524310881713,"[0.8571428571428571, 0.8559718929647671, 0.8565737710135247, 0.8565689549482728, 0.8563640783391434]"
7,census,target3,workclass,0.8603038646637235,"[0.8621994374036779, 0.8592613323596626, 0.8674753335575738, 0.8384700032824464, 0.8741132167152575]",0.5276751704899054,"[0.5442277282082717, 0.5259023262924337, 0.5256866767706203, 0.5166506844555625, 0.5259084367226389]",0.48522625487150517,"[0.5158577617441712, 0.48417210150669876, 0.4809207544744018, 0.46512516208397386, 0.4800554945482804]",0.23391247657891992,"[0.29943958525752484, 0.2294203476920081, 0.22758040824222897, 0.18518045994944304, 0.22794158175339446]",0.5276751704899054,"[0.5442277282082717, 0.5259023262924337, 0.5256866767706203, 0.5166506844555625, 0.5259084367226389]"
8,census,target2,marital-status,0.1108711079327102,"[0.017683556958248747, 0.13018724330888296, 0.13712003064938177, 0.1352120103136701, 0.13415269843336744]",0.14819555049719976,"[0.1536470395902019, 0.1458864181902981, 0.1478052645219845, 0.14591955405258877, 0.14771947613092545]",0.11370751854490505,"[0.02603112305548292, 0.13385178209483153, 0.13953289575114106, 0.1301288026846736, 0.13899298913839608]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8606347256886459,"[0.8575635110900656, 0.8607538942832275, 0.8633442528013855, 0.8599818190730079, 0.8615301511955428]"
9,bank,target1,y,0.5270768288532756,"[0.5247114205135195, 0.5296660769570987, 0.5349971193631173, 0.5428742943803184, 0.5031352330523235]",0.5268533936903278,"[0.5248230684977673, 0.5282064760302775, 0.5353021978021978, 0.5435606060606061, 0.5023746200607903]",0.5141469670114265,"[0.5245342471148924, 0.5176203786720109, 0.5342707471739729, 0.5366296140939597, 0.45767984800229633]",0.510600207080954,"[0.5246272985103196, 0.5151714258200828, 0.5352928745448248, 0.5418123347254159, 0.43609710180412664]",0.5268533936903278,"[0.5248230684977673, 0.5282064760302775, 0.5353021978021978, 0.5435606060606061, 0.5023746200607903]"
10,bank,target3,housing,0.8080367242792296,"[0.8202919358698253, 0.8386885576148267, 0.8512205387205387, 0.7780100334448161, 0.7519725557461406]",0.6390881806026398,"[0.6217519177708377, 0.6614374534892096, 0.6273656898656899, 0.6614612073722548, 0.6234246345152075]",0.6799211862658432,"[0.6658737024221454, 0.708012012012012, 0.6724780701754386, 0.6968809367552071, 0.6563612099644127]",0.5380319632190254,"[0.5015061756905728, 0.5767748080920195, 0.5113436456751212, 0.5851036825989012, 0.5154315040385119]",0.6390881806026398,"[0.6217519177708377, 0.6614374534892096, 0.6273656898656899, 0.6614612073722548, 0.6234246345152075]"
11,bank,target2,loan,0.5161442968048915,"[0.538536366357378, 0.5112678524489617, 0.49301691302098843, 0.5022771063233491, 0.5356232458737802]",0.5137678889243456,"[0.5388349514563107, 0.5126177394034537, 0.49035651665692576, 0.5020937723693629, 0.5249364647356752]",0.5129754355418766,"[0.5386825537668483, 0.5113720957114785, 0.4876083704331212, 0.5018985012322787, 0.5253156565656567]",0.3977981416972026,"[0.4436372683027519, 0.40936831531326107, 0.39172888944543977, 0.37087024513411837, 0.37338599029044195]",0.5137678889243456,"[0.5388349514563107, 0.5126177394034537, 0.49035651665692576, 0.5020937723693629, 0.5249364647356752]"
