,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4374502661950813,"[0.47738518301265465, 0.5069960976064228, 0.29896445026529517, 0.464527484656372, 0.43937811543466154]",0.42917705143680973,"[0.43970956859174654, 0.4808070911039222, 0.3279867195038254, 0.4177143552135834, 0.4796675227709711]",0.4135414801969877,"[0.4312791512777237, 0.4788797279860755, 0.3101044652230906, 0.40949161366567194, 0.4379524428323767]",0.1785737183937296,"[0.42751667222584394, 0.46535191974280404, 0.0, 0.0, 0.0]",0.9061213794463239,"[0.9033330466173005, 0.9069178624164191, 0.902390652516143, 0.909254518744567, 0.9087108169371892]"
1,imdb,target3,gross,0.5643166276477104,"[0.5910087596421434, 0.5848474474287553, 0.5806068776746228, 0.537404830862554, 0.5277152226304769]",0.5453753012674865,"[0.5480244102195322, 0.5731386198547216, 0.547818376073681, 0.5155771551997966, 0.5423179449897008]",0.5525560897782353,"[0.5651656707712962, 0.5779268131983977, 0.5604867086995102, 0.5245217861410622, 0.5346794700809104]",0.47101372967907107,"[0.48745689410514803, 0.5063751884837807, 0.48741234201697825, 0.4519886948821835, 0.4218355289072646]",0.7631169962387501,"[0.7671571839155767, 0.771800789433796, 0.7635832092824667, 0.7598527591185448, 0.7531910394433661]"
2,imdb,target2,content_rating,0.7431752761226105,"[0.780807376414071, 0.7415674603174602, 0.7080716346969954, 0.7223020201244335, 0.7631278890600924]",0.7483066893523628,"[0.7812628539941483, 0.737128137467408, 0.715763069882063, 0.7399872300905503, 0.7673921553276442]",0.7449810606999356,"[0.7810334165013968, 0.7391807396958483, 0.7112315520330292, 0.7283652556467621, 0.7650943396226415]",0.7455144442132783,"[0.7789498379958091, 0.7313530806378095, 0.7129328098352277, 0.7388596815201689, 0.7654768110773763]",0.7483066893523628,"[0.7812628539941483, 0.737128137467408, 0.715763069882063, 0.7399872300905503, 0.7673921553276442]"
3,mushroom,target1,Class,0.36112088296585604,"[0.3706854012894795, 0.34907297688470046, 0.37261276958177675, 0.34142082472948004, 0.3718124423438433]",0.40535030496844915,"[0.3998169491804863, 0.4047130015620601, 0.4222581340909661, 0.3832097921889843, 0.41675364781974883]",0.377328133241631,"[0.38242198084014917, 0.3686444328122636, 0.3917127858605069, 0.3554586379042437, 0.3884028287909915]",0.30317828138624975,"[0.31353123377823144, 0.289316032904442, 0.31243972192251024, 0.2931146177127144, 0.3074898006133508]",0.816052964641756,"[0.8204738295005788, 0.8132558837157152, 0.8162896810407604, 0.8144428728285491, 0.8158025561231766]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.5014541359060228,"[0.5234022363684905, 0.4800984250936035, 0.4910002255019716, 0.5215129974941967, 0.49125679507185177]",0.49550078758283006,"[0.5139054559254503, 0.4884711077051682, 0.489798479409069, 0.5061509522509869, 0.4791779426234757]",0.4960953053829179,"[0.5169929368726863, 0.4823398838483289, 0.4892608997966565, 0.5099022744129097, 0.48198053198400787]",0.35583925552949347,"[0.4015828200658078, 0.31584393123037574, 0.3291026043631842, 0.3872327484748542, 0.3454341735132457]",0.9032373408960783,"[0.9043466276809281, 0.902291664813261, 0.9036376118319006, 0.9035084656705958, 0.9024023344837061]"
6,census,target1,income,0.38388498212640915,"[0.37660762388833563, 0.3835484481722415, 0.3866812878740009, 0.3762148614421202, 0.3963726892553476]",0.39919640270212486,"[0.39005669014986305, 0.3998149253842171, 0.40722015451472343, 0.3943965985496692, 0.40449364491215173]",0.3887080629818893,"[0.3803357236170422, 0.38936494516077896, 0.39327111363466605, 0.3814607105271811, 0.39910782196977823]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.957623144335608,"[0.9565895683131628, 0.9580219600308869, 0.957945850038091, 0.9563621977246888, 0.9591961455712104]"
7,census,target3,workclass,0.7373442263081262,"[0.7309354631759003, 0.7439532357291491, 0.7369454921669409, 0.740805715127412, 0.7340812253412289]",0.7380700772421089,"[0.7314111959641523, 0.7448649156444382, 0.7358216354794286, 0.7434304178206617, 0.734822221301864]",0.7377005823540393,"[0.7311725009594885, 0.7444064382963258, 0.7363791427308881, 0.7420951274067965, 0.7344497023766978]",0.7263633150059259,"[0.7191346079431448, 0.7333311146594634, 0.7235245494783918, 0.7325198740332296, 0.7233064289153996]",0.7380700772421089,"[0.7314111959641523, 0.7448649156444382, 0.7358216354794286, 0.7434304178206617, 0.734822221301864]"
8,census,target2,marital-status,0.20562933981889583,"[0.20539176475839768, 0.2022199470338177, 0.21161171438405071, 0.19897924240541134, 0.20994403051280175]",0.21462122835609376,"[0.21479896379780833, 0.21050246865642533, 0.22128271698312882, 0.20670413610925184, 0.21981785623385433]",0.20838602708664927,"[0.20798565382145023, 0.2048593042349269, 0.21422816688815316, 0.20121605213103533, 0.2136409583576808]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8783765734517968,"[0.8774081997705984, 0.8768929500287904, 0.8813119671508886, 0.8766583166416807, 0.8796114336670257]"
9,bank,target1,y,0.4934132030036403,"[0.508656330749354, 0.465730319366941, 0.4922027080801454, 0.5078002463235681, 0.49267641049819266]",0.49341510571082203,"[0.5084674361782795, 0.4657169890664424, 0.49233939137785293, 0.5079288649203904, 0.4926228470111449]",0.492829879730518,"[0.5075017001020061, 0.4657224317115792, 0.4916937950346436, 0.5071522248864043, 0.49207924691795657]",0.49025943622231083,"[0.5018291590218259, 0.46466841591997027, 0.48552591941906265, 0.5067596487005493, 0.492514038050146]",0.49341510571082203,"[0.5084674361782795, 0.4657169890664424, 0.49233939137785293, 0.5079288649203904, 0.4926228470111449]"
