,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.1293286671812635,"[0.16462080079916613, 0.14789084307300676, 0.08869626555568857, 0.125407406993915, 0.12002801948454123]",0.2533923697404793,"[0.34641887689419193, 0.3075830326916904, 0.16946451296725185, 0.19993726017730337, 0.24355816597195906]",0.08893863021049689,"[0.12383545025083735, 0.10090581889101626, 0.06920715756393134, 0.07805084647249781, 0.07269387787420166]",0.07944874555875986,"[0.19622039070447458, 0.2010233370893247, 0.0, 0.0, 0.0]",0.8598390291300811,"[0.8616497719975197, 0.8574604626567587, 0.8603127575874858, 0.860282206462411, 0.8594899469462302]"
1,imdb,target3,gross,0.4015097420308059,"[0.3873506831850559, 0.3873871930392263, 0.4199672609515676, 0.39769838083768233, 0.41514519214049733]",0.45287144808211605,"[0.4242611513952978, 0.42980442176870753, 0.4620683034535724, 0.426764500349406, 0.5214588634435963]",0.4208996055478294,"[0.4006679541565566, 0.4041915782706525, 0.4378914671652924, 0.4113701121870696, 0.4503769159595757]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7321442783548964,"[0.7205273374783557, 0.7362382788260726, 0.7438561821530484, 0.7130325852792813, 0.7470670080377243]"
2,imdb,target2,content_rating,0.6367060776266522,"[0.6545985772357723, 0.6304885905130031, 0.6144217988480284, 0.6235995949110703, 0.660421826625387]",0.6359075039521029,"[0.6511202862220704, 0.6208965538906166, 0.6157126626234177, 0.6295399515738499, 0.6622680654505598]",0.57258945913032,"[0.5947973933331545, 0.5497592295345104, 0.5541881058760907, 0.5551338164597833, 0.6090687504480607]",0.6026432763212621,"[0.61958475031504, 0.5750877986779344, 0.5854650790505488, 0.5966005392134929, 0.6364782143492947]",0.6359075039521029,"[0.6511202862220704, 0.6208965538906166, 0.6157126626234177, 0.6295399515738499, 0.6622680654505598]"
3,mushroom,target1,Class,0.6356963579947398,"[0.6363025448731694, 0.6296680994149291, 0.6349145907869561, 0.6278584740644176, 0.6497380808342266]",0.7297056343457659,"[0.7296190774775712, 0.7230649267091865, 0.7295864166164948, 0.7305709824657193, 0.7356867684598573]",0.588278611748461,"[0.5954318149410714, 0.571210133051944, 0.5906840076894049, 0.5765826940341959, 0.6074844090256886]",0.5586035808596153,"[0.5732329682163022, 0.5304331162573909, 0.5728654534408351, 0.5545009889324308, 0.5619853774511172]",0.8914627933926891,"[0.8910913438927305, 0.8879861004879696, 0.8908007601868212, 0.890609101792719, 0.8968266606032053]"
4,mushroom,target3,habitat,0.9833123830047038,"[0.9796380090497738, 0.9897727272727272, 0.9782890526013297, 0.9777313057005748, 0.9911308203991132]",0.9890942650496056,"[0.9872340425531915, 0.9935530085959885, 0.9851618139057272, 0.9853618762515153, 0.9941605839416059]",0.9860023296586192,"[0.9831418730588516, 0.9915891122834057, 0.981439468665746, 0.9812523247781497, 0.9925888695069429]",0.9890388927286802,"[0.9871515005845775, 0.9935320916769509, 0.9850820090950553, 0.985285428026342, 0.9941434342604751]",0.9890942650496056,"[0.9872340425531915, 0.9935530085959885, 0.9851618139057272, 0.9853618762515153, 0.9941605839416059]"
5,mushroom,target2,population,0.6775231823189173,"[0.6826224306695955, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6731687019410001]",0.8439442903922583,"[0.8450990364025696, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8409895587898091]",0.6963358828964382,"[0.6960061685537484, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.692588771413888]",0.8032508558022509,"[0.8034038952084858, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.8002056990337731]",0.9327260508044948,"[0.9329562653552029, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9317981699774182]"
6,census,target1,income,0.2212079016589663,"[0.22879682768946008, 0.23979847773602952, 0.24647993195720558, 0.13297737528865916, 0.25798689562347715]",0.2638432153920144,"[0.20358052977786342, 0.2969826883213176, 0.28411137087024313, 0.24726900264336876, 0.287272485347279]",0.1282618674286627,"[0.08012362937885377, 0.17278840133323264, 0.1611436041336677, 0.05438322103080146, 0.17287048126675783]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8770976004423886,"[0.8636133970733464, 0.8874635295794185, 0.8851644092760154, 0.8622042013234344, 0.8870424649597279]"
7,census,target3,workclass,0.7148985938615252,"[0.7476563414499756, 0.6796990734117443, 0.7321001608745836, 0.687596739924627, 0.7274406536466955]",0.5781645062038541,"[0.6272871854710109, 0.5520337285944054, 0.5760403064416035, 0.5619849707654586, 0.5734763397467921]",0.5778861006053624,"[0.6452263718078279, 0.5413527569893334, 0.5753655673868553, 0.5567086862244406, 0.570777120618355]",0.42373957871989865,"[0.5345141825617143, 0.36185190379148724, 0.4181149666927135, 0.39168961652969364, 0.4125272240238842]",0.5781645062038541,"[0.6272871854710109, 0.5520337285944054, 0.5760403064416035, 0.5619849707654586, 0.5734763397467921]"
8,census,target2,marital-status,0.14723742522129948,"[0.12842198068793317, 0.138944477591019, 0.12371930260569475, 0.1887165504834685, 0.15638481473838192]",0.16647538212231394,"[0.16379593517893526, 0.14987907332890796, 0.15986085706748016, 0.2018347022112565, 0.15700634282498976]",0.14189777976675044,"[0.1398275630467771, 0.1396023150580235, 0.13739978806516112, 0.15051691213025234, 0.14214232053353817]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8623787202021751,"[0.8620609590250494, 0.8620370989282838, 0.8625252363700856, 0.8635459227570174, 0.861724383930439]"
9,bank,target1,y,0.5369655574931999,"[0.5760836385836385, 0.5047403615652206, 0.5308330556098233, 0.5407471931862176, 0.5324235385210995]",0.5221713249425232,"[0.5315001263796445, 0.502764928511354, 0.5283495350803042, 0.5270287621982537, 0.5212132725430598]",0.4865353602551985,"[0.46521423753833624, 0.4541012028278582, 0.5238167843325174, 0.5017639570831061, 0.48778061949417445]",0.4263741438192249,"[0.37042772434536664, 0.38490220268918623, 0.5077172821030118, 0.4386228467738948, 0.43020066318466493]",0.5221713249425232,"[0.5315001263796445, 0.502764928511354, 0.5283495350803042, 0.5270287621982537, 0.5212132725430598]"
