,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.20679001988734874,"[0.2213709217832936, 0.21041404560463953, 0.2184199240871416, 0.19727497665575008, 0.1864702313059188]",0.29845072733744576,"[0.2947207502529631, 0.30283203239395257, 0.32686848047468864, 0.34092964666289766, 0.2269027269027269]",0.2023954838900134,"[0.2195592843207268, 0.21014911141457526, 0.21872647978504883, 0.19015484412181052, 0.17338769980790572]",0.05737973608274692,"[0.0, 0.2868986804137346, 0.0, 0.0, 0.0]",0.8739798015368756,"[0.8789269110929572, 0.873320660676281, 0.8745324566632463, 0.871525146243339, 0.8715938330085546]"
1,imdb,target3,gross,0.5393498688317977,"[0.56517094017094, 0.5714611872146119, 0.5827767898307318, 0.40069195036244093, 0.5766484765802637]",0.3705408767318402,"[0.37590115059627255, 0.3751118773780699, 0.39490401318168766, 0.34481290896385236, 0.36197443353931896]",0.3810546112095443,"[0.39203281699205067, 0.38689323541584314, 0.41862936368290776, 0.3378183589625383, 0.3698992809943818]",0.12618942317378806,"[0.15693765159373751, 0.12695530348483874, 0.14656043969352894, 0.08690992465081596, 0.11358379644601926]",0.6875141176623998,"[0.6925657100395681, 0.6891365645718225, 0.6990343491896359, 0.680484901483433, 0.6763490630275387]"
2,imdb,target2,content_rating,0.7375430187292796,"[0.7622790247586679, 0.7267654476670871, 0.7056647940074907, 0.7376984126984127, 0.7553074145147398]",0.7412032339201429,"[0.7587290746676394, 0.7259604812615839, 0.7108943687891056, 0.7458663637268235, 0.7645658811555625]",0.7390132956845402,"[0.7603968905035353, 0.7263565342585381, 0.7079726741431054, 0.7413266303816446, 0.7590137491358784]",0.7377427900742636,"[0.7546643497641589, 0.7209978530216457, 0.706976642825054, 0.7423697235171335, 0.7637053812433261]",0.7412032339201429,"[0.7587290746676394, 0.7259604812615839, 0.7108943687891056, 0.7458663637268235, 0.7645658811555625]"
3,mushroom,target1,Class,0.44966130943799276,"[0.4594450689118104, 0.43303339164255467, 0.46308241505147874, 0.42668711527901393, 0.466058556305106]",0.5167149807773638,"[0.5163458522674905, 0.5183351191827222, 0.5366284715556163, 0.4919706012900627, 0.5202948595909268]",0.47204462477651166,"[0.47851647499894295, 0.4612037381575094, 0.488293657900138, 0.44546108079449875, 0.4867481720314694]",0.44871490603747777,"[0.4558376722573341, 0.4364408245967105, 0.4673477264635832, 0.42653525724342084, 0.4574130496263401]",0.8446424206834727,"[0.8489942199230861, 0.837599178790788, 0.8470703084937604, 0.8438878841773492, 0.8456605120323797]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.5525079560741284,"[0.565099635230604, 0.5531137903035162, 0.5590634896147708, 0.5539119894903018, 0.5313508757314495]",0.5544896595584021,"[0.5691752583639447, 0.568552075892646, 0.5548595028547315, 0.5574432909823575, 0.5224181696983304]",0.549930087713148,"[0.5653689813897623, 0.5549529923635613, 0.554089148775093, 0.5512800707958703, 0.5239592452414533]",0.45351309222906105,"[0.48601799091421866, 0.4635050271892925, 0.45038560268317335, 0.4572861408194457, 0.4103706995391754]",0.9092014445461787,"[0.9098657200128368, 0.9094396502983728, 0.9113584885478544, 0.9082878376589952, 0.9070555262128343]"
6,census,target1,income,0.21915632487036846,"[0.21919483524616382, 0.2208118470212599, 0.21239491463260798, 0.21977104034834907, 0.22360898710346175]",0.22068505164545918,"[0.21650763577971938, 0.2232895410859583, 0.2205283834789449, 0.24121249944777284, 0.2018871984349004]",0.18165234757400278,"[0.1791310580547619, 0.1865316734804723, 0.17542864275410827, 0.17978991554259943, 0.187380448038072]",0.16746956416467534,"[0.19627356715030614, 0.20478834534761656, 0.20650002389782213, 0.22978588442763204, 0.0]",0.8789530695732954,"[0.8785820749867357, 0.8790996814957763, 0.8778251253820493, 0.8790142198550709, 0.8802442461468457]"
7,census,target3,workclass,0.7314449305907071,"[0.7472396394114045, 0.7401191848989983, 0.7246862758165298, 0.7262186942670306, 0.718960858559573]",0.6043215608611879,"[0.6100409538417407, 0.6032333024736066, 0.6008485583840327, 0.6060707585097829, 0.6014142310967765]",0.6163385801863351,"[0.6235108352098873, 0.6160196841030757, 0.6114250537337311, 0.6191181761181838, 0.6116191517667979]",0.4892752177925841,"[0.49748166095021346, 0.48370192514310684, 0.4834183153693683, 0.4948136268620037, 0.4869605606382283]",0.6043215608611879,"[0.6100409538417407, 0.6032333024736066, 0.6008485583840327, 0.6060707585097829, 0.6014142310967765]"
8,census,target2,marital-status,0.15919694020273792,"[0.16507911469019673, 0.17043532010001572, 0.14923410810537066, 0.1496963433836387, 0.16153981473446777]",0.15159684241228574,"[0.15378103364102508, 0.15162454606941012, 0.14805307252940264, 0.14944030512426631, 0.15508525469732462]",0.14562486796893542,"[0.14855285559410353, 0.1463285530823904, 0.14135713518340828, 0.14262181245332736, 0.14926398353144749]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8602726148637784,"[0.8597480380590683, 0.859662937863166, 0.861061061543766, 0.8605774453930886, 0.8603135914598024]"
9,bank,target1,y,0.5025008207783972,"[0.5140609729184401, 0.4746974697469747, 0.5220499659561095, 0.5291666666666667, 0.472529028603795]",0.5025929936711744,"[0.5140913303563905, 0.4746110176619008, 0.5222421808960271, 0.5296610169491525, 0.4723594224924012]",0.5016748619251269,"[0.5140423360850825, 0.473877224921743, 0.5212887470951987, 0.528604118993135, 0.4705618825304756]",0.5021944128616933,"[0.5133240289352151, 0.4745410779384301, 0.522223770953062, 0.5288298563329727, 0.47205333014878653]",0.5025929936711744,"[0.5140913303563905, 0.4746110176619008, 0.5222421808960271, 0.5296610169491525, 0.4723594224924012]"
