,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.3759228493893987,"[0.4031092118206455, 0.4132940141868713, 0.32490886848644684, 0.3707586256206358, 0.36754352683239383]",0.5071398409062797,"[0.5254807373286015, 0.5070762132397324, 0.44484025558433415, 0.5153038088288165, 0.5429981895499137]",0.3888656843514055,"[0.4168812648936505, 0.4210028243671865, 0.34132499948456063, 0.3801702560370433, 0.38494907697458663]",0.36955042159272994,"[0.4274008204911567, 0.4547945266739806, 0.0, 0.49419595723527904, 0.4713608035632333]",0.90473488599439,"[0.9077577564321123, 0.907296714688285, 0.8956549674669577, 0.9077819312936077, 0.9051830600909877]"
1,imdb,target3,gross,0.5135887200367042,"[0.5064987588207402, 0.5253491901266685, 0.5014996119885065, 0.509083402146986, 0.5255126371006199]",0.5341917047554894,"[0.5113436607339046, 0.5379995748299319, 0.5364557083543332, 0.5207547169811321, 0.5644048628781454]",0.5232315530840949,"[0.5081960983462709, 0.5311898183036088, 0.5183890368901253, 0.5141254673867885, 0.5442573444936812]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7518116859239831,"[0.7386142924117608, 0.7638516008424503, 0.7490155809848038, 0.7462740612520348, 0.7613028941288656]"
2,imdb,target2,content_rating,0.7114914792669768,"[0.7321934069947951, 0.7067941542288557, 0.68869920993228, 0.7026812792941826, 0.7270893458847706]",0.7207656387394497,"[0.7368084066091842, 0.7089184179939056, 0.7033292794162359, 0.7194475770340641, 0.7353245126438581]",0.7145529488199858,"[0.7342398140946236, 0.7078010859799211, 0.6922739404762133, 0.7081249938018783, 0.7303249097472925]",0.7187745496490713,"[0.7346380972491748, 0.7044863436487058, 0.7027937993137866, 0.7179934615068067, 0.7339610465268825]",0.7207656387394497,"[0.7368084066091842, 0.7089184179939056, 0.7033292794162359, 0.7194475770340641, 0.7353245126438581]"
3,mushroom,target1,Class,0.6191284893127664,"[0.627122124660158, 0.6071748557668017, 0.6357592366361091, 0.6005540222940943, 0.6250322072066689]",0.7393989926691618,"[0.7380894269202202, 0.7357900570432939, 0.7425712112829578, 0.7369254230306862, 0.7436188450686507]",0.6126977254768884,"[0.6146783372471861, 0.6007362518312277, 0.6133417692459425, 0.5994010711670522, 0.6353311978930333]",0.6200139623307716,"[0.6170542470739752, 0.61203265577645, 0.617739313517538, 0.6164178691978712, 0.6368257260880236]",0.895103297650623,"[0.8944614782892412, 0.8932192617402802, 0.8958716561193114, 0.8927727488081034, 0.8991913432961796]"
4,mushroom,target3,habitat,0.9901983998599745,"[0.9840182648401826, 0.9897727272727272, 0.9898648648648649, 0.9895833333333333, 0.9977528089887641]",0.9938611978068488,"[0.9900709219858156, 0.9935530085959885, 0.9935158501440922, 0.9936260623229463, 0.9985401459854015]",0.9919487513942489,"[0.9868650237004634, 0.9915891122834057, 0.9916173118473841, 0.9915294294181641, 0.998142879721827]",0.9938385224987112,"[0.9900211330934462, 0.9935320916769509, 0.9934946906190211, 0.9936056182640537, 0.9985390788400837]",0.9938611978068488,"[0.9900709219858156, 0.9935530085959885, 0.9935158501440922, 0.9936260623229463, 0.9985401459854015]"
5,mushroom,target2,population,0.7386580453994215,"[0.7372848290282351, 0.7359317939744369, 0.7342607603384547, 0.7438271604938271, 0.7419856831621537]",0.8697207662303239,"[0.8715087437544611, 0.8766431036611221, 0.8555218403609969, 0.8749550773388535, 0.8699750660361859]",0.7356790310464832,"[0.7317099750897259, 0.7367897854196331, 0.7310937656090669, 0.7426589070935296, 0.7361427220204608]",0.8329244476166865,"[0.8324140172412899, 0.8401240505361001, 0.8188757295123484, 0.8397071650338257, 0.8335012757598684]",0.9503056058178588,"[0.9486136160961306, 0.9515006535843105, 0.9499939548205294, 0.9510487022335926, 0.9503711023547307]"
6,census,target1,income,0.43003162263697375,"[0.4273036318257736, 0.42095839554176867, 0.4382783820676333, 0.4369853385784345, 0.4266323651712588]",0.4664088496907374,"[0.47347007741521185, 0.4648099103164865, 0.46749123038678747, 0.4760998752037846, 0.45017315513141665]",0.4140788458408209,"[0.42000436876330915, 0.40903629574561334, 0.41287225713777476, 0.4196916976194501, 0.408789609937957]",0.2922395045741769,"[0.2741235978761944, 0.28675811332823986, 0.283872488147512, 0.330824027848944, 0.2856192956699943]",0.9566610037016323,"[0.9578177175969175, 0.9560852196633348, 0.9566453786103623, 0.9574071078461504, 0.9553495947913964]"
7,census,target3,workclass,0.7546308579846731,"[0.7580389343547238, 0.7508481116066901, 0.7519108834955632, 0.7521386451143188, 0.7602177153520695]",0.7406909823515733,"[0.7460894112113637, 0.7445560956601638, 0.7295340077110679, 0.7393187210260381, 0.7439566761492327]",0.7469855110360197,"[0.7516325464960915, 0.7475832226765876, 0.7391908850109508, 0.7452335410834441, 0.7512873599130248]",0.7252215620976517,"[0.7321198037099528, 0.731121875443946, 0.7102456008767759, 0.7237777245715026, 0.7288428058860807]",0.7406909823515733,"[0.7460894112113637, 0.7445560956601638, 0.7295340077110679, 0.7393187210260381, 0.7439566761492327]"
8,census,target2,marital-status,0.36281206350419437,"[0.33155121198463916, 0.33822846225082115, 0.3921388088297685, 0.3419544742979158, 0.41018736015782714]",0.2574402318745772,"[0.31821571392755593, 0.2000227292370287, 0.2095169790902018, 0.23079421487131882, 0.32865152224678074]",0.1715871391343172,"[0.16799424683368763, 0.16465341640105227, 0.17187400608260897, 0.17514468760441404, 0.17826933874982304]",0.02546619812088192,"[0.0, 0.0, 0.05766316004643602, 0.0, 0.0696678305579736]",0.8793402452464726,"[0.8778088747364191, 0.8784493052312337, 0.8790681724593118, 0.880288954948495, 0.8810859188569031]"
9,bank,target1,y,0.5347675144123561,"[0.49741125493028165, 0.5521191560553955, 0.5256192660550458, 0.5747176560205782, 0.5239702390004797]",0.5324713658779316,"[0.49754612857022495, 0.547161480235492, 0.5236052409129333, 0.5724191063174114, 0.5216248733535968]",0.5282469168383763,"[0.4940069527401581, 0.5404431321037376, 0.5190844679531132, 0.5725781735236602, 0.515121857871212]",0.5141305036989601,"[0.4828772556393783, 0.5250255310384633, 0.5031179201630369, 0.5631268027055321, 0.49650500894839017]",0.5324713658779316,"[0.49754612857022495, 0.547161480235492, 0.5236052409129333, 0.5724191063174114, 0.5216248733535968]"
