,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.19012061891850635,"[0.1774365355898457, 0.18036496377890926, 0.23624541539210764, 0.16968779669274262, 0.18686838313892656]",0.21076721111310492,"[0.24281126802572883, 0.2815497821967404, 0.10977305767656478, 0.16185315533493982, 0.25784879233155095]",0.13555745906022781,"[0.14813937811391636, 0.1627414946154244, 0.08298867559754844, 0.13043604381323678, 0.15348170316101314]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8715040974851366,"[0.8757320702631686, 0.8738616547698097, 0.8644230249452906, 0.8682210095102283, 0.8752827279371856]"
1,imdb,target3,gross,0.44594684536521934,"[0.41140265630061545, 0.4559228650137741, 0.39687945739818936, 0.35959595959595964, 0.6059332885175581]",0.4030858204911377,"[0.4491595253790375, 0.40295493197278914, 0.3953728370173039, 0.3652690426275332, 0.402672765459025]",0.40604404533417016,"[0.4289556904510923, 0.4107534420775507, 0.39418695993715636, 0.36048265460030166, 0.4358414796047498]",0.03132173431541422,"[0.0, 0.0, 0.0, 0.0, 0.1566086715770711]",0.711268224686039,"[0.7313814826197875, 0.6984581147671277, 0.7220082471781285, 0.6996306144617451, 0.7048626644034064]"
2,imdb,target2,content_rating,0.7174550493770113,"[0.7398874516449649, 0.7038292894716068, 0.6916070957724196, 0.7183183528127961, 0.7336330571832693]",0.7396743802274741,"[0.760366625016492, 0.723062545157541, 0.709314141236338, 0.7521642508872599, 0.7534643388397401]",0.7007828075580738,"[0.7331993943629164, 0.6894538084023618, 0.6613456442934473, 0.7027851458885942, 0.7171300448430493]",0.7312691883044782,"[0.7561694420751536, 0.7164522344359856, 0.6952622585065055, 0.743742344530191, 0.7447196619745554]",0.7396743802274741,"[0.760366625016492, 0.723062545157541, 0.709314141236338, 0.7521642508872599, 0.7534643388397401]"
3,mushroom,target1,Class,0.5988929822933133,"[0.6073542737784998, 0.5839909029689938, 0.6032162827627607, 0.5840537680857316, 0.6158496838705805]",0.7301436146700928,"[0.7302305511450021, 0.7261835898340538, 0.7317035114867916, 0.7268835150940415, 0.7357169057905751]",0.6138376909955523,"[0.6144714623162107, 0.6025851529523883, 0.6160941097257477, 0.5986819215362188, 0.6373558084471962]",0.6326185735280688,"[0.6246262585400719, 0.6275599479095422, 0.6320153451993392, 0.6279787547411078, 0.6509125612502833]",0.8923425313223085,"[0.892020887793671, 0.8901548276132906, 0.8932639912900848, 0.8897092541452003, 0.8965636957692958]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.6229967706174195,"[0.6273527454828661, 0.6096199773088645, 0.6240866930636412, 0.6302251142911718, 0.6236993229405534]",0.6198358589773942,"[0.6358266946579819, 0.6050699512692378, 0.6199402254119816, 0.6287144611193507, 0.6096279624284194]",0.6172292759709154,"[0.6310651045951259, 0.5933577164183409, 0.6185054631260479, 0.6288849192853548, 0.6143331764297075]",0.5574195991007531,"[0.585201613926407, 0.4988464410232562, 0.5618621258206529, 0.5765924137718632, 0.564595400961586]",0.9252053761802062,"[0.9262929184035608, 0.9207781322979108, 0.9227140079908792, 0.9291242645405534, 0.9271175576681268]"
6,census,target1,income,0.09790756411012674,"[0.10454364227253846, 0.0897378383152283, 0.10101746804576164, 0.09849747318176183, 0.09574139873534347]",0.14873679818024876,"[0.15402590969657642, 0.13836948887191408, 0.15161248849429873, 0.15249337750238867, 0.14718272633606594]",0.03706328576024968,"[0.04491007111540967, 0.02513567493239277, 0.04109715050733458, 0.04559946084066472, 0.02857407140544663]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8616588979825893,"[0.8637518156013212, 0.8589831691166402, 0.8626503436710975, 0.863068975581254, 0.8598401859426341]"
7,census,target3,workclass,0.7824255498479413,"[0.8346558146925371, 0.7686798758653617, 0.7708859378076024, 0.7385979319134399, 0.7993081889607654]",0.5212127230829471,"[0.561843942124069, 0.5114304819622938, 0.5082677410139752, 0.5120177293348025, 0.5125037209795948]",0.47274131166213307,"[0.5478504585556621, 0.45665586760487814, 0.4470995012090902, 0.457549182555558, 0.4545515483854768]",0.19596188499189898,"[0.35785262877634205, 0.15854301880217903, 0.13464102888352003, 0.165695673557109, 0.1630770749403447]",0.5212127230829471,"[0.561843942124069, 0.5114304819622938, 0.5082677410139752, 0.5120177293348025, 0.5125037209795948]"
8,census,target2,marital-status,0.13325235396812857,"[0.13533334444759348, 0.17097025703583082, 0.12433827254305976, 0.11810442548147466, 0.11751547033268418]",0.1438795066863827,"[0.1443798165920102, 0.14489092997978292, 0.14357638166110662, 0.1431461399727147, 0.14340426522629915]",0.1234408638375916,"[0.1244773761016079, 0.12573105660854708, 0.12293320928453608, 0.1219437142813431, 0.12211896291192392]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8573522209811542,"[0.8573170518695614, 0.8575946697103065, 0.8572305715425156, 0.857158667829763, 0.8574601439536238]"
9,bank,target1,y,0.527470260542973,"[0.5349355369040408, 0.5391624701828783, 0.5158706677937447, 0.5357349005614735, 0.5116477272727273]",0.5273680799099952,"[0.5340171876316455, 0.5388351555929352, 0.5158706677937447, 0.5364342578325629, 0.5116831306990881]",0.5251637690327409,"[0.53301404853129, 0.5386782374741174, 0.511326860841424, 0.5311828182789404, 0.5116168800379327]",0.5246298016390007,"[0.5269707823106029, 0.5362588845447261, 0.5135937394119446, 0.5357051140164326, 0.510620487911298]",0.5273680799099952,"[0.5340171876316455, 0.5388351555929352, 0.5158706677937447, 0.5364342578325629, 0.5116831306990881]"
