,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4537575275736935,"[0.5634203202812225, 0.47181005447401986, 0.3313559581838806, 0.43540992404340534, 0.4667913808859393]",0.4261302741629853,"[0.46718993363338596, 0.46124391854421126, 0.315881966132328, 0.4382421388943464, 0.448093413610655]",0.43543171852463197,"[0.5036195436866872, 0.46491911110237016, 0.31893189408027994, 0.43570468475747043, 0.4539833589963522]",0.1731546439486851,"[0.42822487030398537, 0.4375483494394401, 0.0, 0.0, 0.0]",0.9108484104953136,"[0.9114822433149501, 0.9079414940235863, 0.9107137796341445, 0.9126438151351354, 0.9114607203687518]"
1,imdb,target3,gross,0.5863963822921402,"[0.5812543693198841, 0.5611330178759201, 0.5827243941054684, 0.5985748058088484, 0.6082953243505801]",0.5903326063835058,"[0.6023858392760831, 0.5677115761558861, 0.6096443642243966, 0.5598024267835588, 0.6121188254776041]",0.5870817114785813,"[0.5911997202319783, 0.5642874353675748, 0.5943962134956692, 0.5767057591392719, 0.6088194291584123]",0.5105553674454335,"[0.5304468881013432, 0.4798891419302412, 0.5215281465147108, 0.4588798260749193, 0.5620328346059531]",0.771853627434189,"[0.7773818193465964, 0.7616016291617554, 0.779769751739325, 0.7560078433793559, 0.7845070935439118]"
2,imdb,target2,content_rating,0.7473180263375996,"[0.7619627951895882, 0.744451450189155, 0.7445384101323829, 0.7356492397755916, 0.7499882364012799]",0.7489312265996725,"[0.7652482324545404, 0.7435837024471461, 0.7459354146997168, 0.7403272081992769, 0.7495615751976825]",0.748069873990409,"[0.7635010603431656, 0.7440109514031485, 0.7452215451816541, 0.7378425581781949, 0.7497732548458819]",0.7451839386419861,"[0.7632539527436218, 0.739325761911481, 0.7418512313314022, 0.7355978402360575, 0.745890906987368]",0.7489312265996725,"[0.7652482324545404, 0.7435837024471461, 0.7459354146997168, 0.7403272081992769, 0.7495615751976825]"
3,mushroom,target1,Class,0.30389516771804054,"[0.31078623335114375, 0.3015401380000851, 0.3257194291964283, 0.28843029025094846, 0.29299974779159726]",0.31782795811370235,"[0.3161511257985452, 0.32048238104566673, 0.34219841249534416, 0.3072093234883933, 0.3030985477405624]",0.3096144319607386,"[0.31332443109776725, 0.3095002090966096, 0.3330723635529321, 0.29551238899888016, 0.2966627670575039]",0.21369772802128595,"[0.2187655434168296, 0.21543819877205916, 0.24126669746368684, 0.20228578662496258, 0.19073241382889147]",0.8073040851515,"[0.81037555038046, 0.8063023760137166, 0.8092589027557539, 0.8058398242049317, 0.8047437724026381]"
4,mushroom,target3,habitat,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5,mushroom,target2,population,0.4587776529993949,"[0.46567323683025313, 0.4397162525897671, 0.45302641977782226, 0.48106400448201053, 0.45440835131712176]",0.4552043116977934,"[0.4630965903386695, 0.4452578488308301, 0.453389326792436, 0.47196234278960714, 0.4423154497374245]",0.45348401275583017,"[0.4614054126461939, 0.44010037553156334, 0.4513375351727366, 0.4708946555650122, 0.44368208486364485]",0.238677794598371,"[0.2312314739471084, 0.20303999980291917, 0.2624412557510514, 0.2520725219333982, 0.2446037215573777]",0.8974402862102832,"[0.8965200774532621, 0.8972213766864111, 0.897836023630577, 0.8985474110357293, 0.8970765422454363]"
6,census,target1,income,0.39382335956115255,"[0.38372062616739633, 0.39646581963927574, 0.39465193412774674, 0.4041115852595224, 0.3901668326118216]",0.3945211729997109,"[0.3886885192591155, 0.39750402407407365, 0.3941276300780454, 0.40524429097262665, 0.3870414006146934]",0.3940222456651159,"[0.3859343888999925, 0.3969320284276221, 0.3941369243332214, 0.4046209915707483, 0.3884868950939953]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9617636120770128,"[0.9610981265499665, 0.9612139968497578, 0.9623108496421077, 0.9627249487388138, 0.9614701386044177]"
7,census,target3,workclass,0.7452700477388043,"[0.7397082976857989, 0.7440994605870394, 0.74555535021253, 0.746281623802634, 0.7507055064060193]",0.7489791072814043,"[0.7419531789047715, 0.7511926518215701, 0.7499204192822936, 0.7490399753814387, 0.752789311016947]",0.7470680412555645,"[0.7408131895709535, 0.7474841937510467, 0.7476736322155924, 0.7476362797599192, 0.7517329109803103]",0.739145296781153,"[0.7312772345057021, 0.7418479127078562, 0.7405166409021995, 0.7387171103457691, 0.7433675854442386]",0.7489791072814043,"[0.7419531789047715, 0.7511926518215701, 0.7499204192822936, 0.7490399753814387, 0.752789311016947]"
8,census,target2,marital-status,0.22211487292272292,"[0.22698987850181604, 0.22609796855669081, 0.22199276897745931, 0.21277422245129202, 0.22271952612635643]",0.2269333499259601,"[0.23336244441630818, 0.23053821501306387, 0.22766686364388497, 0.21528133925621712, 0.2278178873003262]",0.22423536320212162,"[0.22988574267368858, 0.2280952075897878, 0.22457394292336424, 0.2139054078372131, 0.2247165149865545]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8821021630707353,"[0.8829431749261206, 0.8820909937264124, 0.8827717299379394, 0.8810670095445996, 0.8816379072186044]"
9,bank,target1,y,0.5073699032427633,"[0.5080390407724196, 0.49960194835803695, 0.5112837728084899, 0.5003784693019344, 0.5175462849729362]",0.5072953941514315,"[0.5080672339708484, 0.4996005046257359, 0.5110101437024513, 0.5003852080123267, 0.5174138804457953]",0.5068405746542293,"[0.5079449751021534, 0.49930649326813414, 0.5101508143870146, 0.4994865388483649, 0.5173140516654797]",0.5047227896582458,"[0.5075883849038924, 0.4995582573445029, 0.503096917974797, 0.4994432784877972, 0.5139271095802395]",0.5072953941514315,"[0.5080672339708484, 0.4996005046257359, 0.5110101437024513, 0.5003852080123267, 0.5174138804457953]"
