,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.550703414987692,"[0.5438910385919256, 0.5444460608934293, 0.5580540858318636, 0.56617514506225, 0.540950744558992]",0.5907612843581437,"[0.6319430295040052, 0.6020791897267381, 0.5711453618715878, 0.5681691125087351, 0.5804697281796519]",0.5640639209211351,"[0.5766776939178436, 0.5649083123706959, 0.5621893962366004, 0.5630415839045343, 0.5535026181760013]",0.5497007829722007,"[0.5839495282835706, 0.5750632175317718, 0.5177831814968551, 0.5271992204394431, 0.5445087671093626]",0.78620346435522,"[0.8092252027309815, 0.7981748102068237, 0.7884238782187363, 0.7660279165418666, 0.769165514077692]"
1,imdb,target3,gross,0.3778995141683271,"[0.45503176405431545, 0.4082980468786723, 0.26821501750181387, 0.3377185929946026, 0.4202341494122316]",0.40006224715012434,"[0.4569648629653882, 0.4752268985005651, 0.30123213452923914, 0.3914189384249588, 0.37546840133047027]",0.3704956779627263,"[0.4357417149077746, 0.4286480949484579, 0.2791128143900596, 0.35709632861341234, 0.3518794369539271]",0.17445952549626229,"[0.42175338233053794, 0.45054424515077357, 0.0, 0.0, 0.0]",0.8987311912459501,"[0.9024063017495128, 0.9024699394637166, 0.8940567516502872, 0.8950957809602594, 0.8996271824059748]"
2,imdb,target2,content_rating,0.716891097681535,"[0.7368452380952382, 0.7045454545454546, 0.6895487505243603, 0.70647770196174, 0.7470383432808827]",0.7297345519758481,"[0.7470450365150445, 0.7176986146451796, 0.7024611544062345, 0.7248250356562407, 0.7566429186565411]",0.7209558196051541,"[0.7404860625295044, 0.708067144102156, 0.6933125162633358, 0.7121387283236994, 0.7507746468070746]",0.7289593158333487,"[0.746459462482052, 0.7173286289341909, 0.7014091846971997, 0.72380796721146, 0.7557913358418408]",0.7297345519758481,"[0.7470450365150445, 0.7176986146451796, 0.7024611544062345, 0.7248250356562407, 0.7566429186565411]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.3931907634354467,"[0.40045220991257535, 0.36505501626078435, 0.4265322173219101, 0.36505710537126657, 0.4088572683106968]",0.4326937125768423,"[0.43242982249459616, 0.39303252461646365, 0.484448897472616, 0.40583795568128495, 0.4477193626192508]",0.4080805476676209,"[0.41338969104385676, 0.3761468324537062, 0.44831691462351303, 0.37865132328980433, 0.42389797692722436]",0.3583683664445695,"[0.3614371488757101, 0.3212486718198259, 0.40944429198449717, 0.32896935450545417, 0.37074236503736024]",0.8270762945656355,"[0.8292214380782137, 0.8225604207994924, 0.8341223685214847, 0.8221541885821684, 0.8273230568468183]"
5,mushroom,target2,population,0.5857578400962449,"[0.5947436332966368, 0.5868946345606104, 0.5826244361430203, 0.5869749878887505, 0.5775515085922067]",0.6166677842546818,"[0.6262191201313049, 0.6316182851522759, 0.610487909356618, 0.6135774152225565, 0.6014361914106535]",0.5936653936491914,"[0.6027901007076222, 0.5986745947950705, 0.5902044594018803, 0.5945185506889422, 0.5821392626524412]",0.5736766966065724,"[0.5843661399341665, 0.5909883060612741, 0.568951795319833, 0.5723298171765427, 0.5517474245410458]",0.9201689832932072,"[0.9199236840342419, 0.921254323190364, 0.9207148955235009, 0.9196750553988963, 0.919276958319033]"
6,census,target1,income,0.711246380662005,"[0.7143244858904987, 0.7152270900102891, 0.7135018347404563, 0.7042468662091769, 0.7089316264596043]",0.7104251169803815,"[0.712096358787027, 0.7194036032650731, 0.7083671369058729, 0.7038099208830916, 0.7084485650608429]",0.7107966368265732,"[0.7131902745653746, 0.7172481851171042, 0.710828054611488, 0.7040275882460179, 0.7086890815928815]",0.6949242984260462,"[0.6966009226038907, 0.7060253078237972, 0.69125045086288, 0.6872296529267575, 0.6935151579129059]",0.7104251169803815,"[0.712096358787027, 0.7194036032650731, 0.7083671369058729, 0.7038099208830916, 0.7084485650608429]"
7,census,target3,workclass,0.3514457306231281,"[0.34561074649113344, 0.34668635116189533, 0.35065191069818225, 0.35472964014147224, 0.3595500046229575]",0.35462519981787805,"[0.35239161436921956, 0.34843813535200685, 0.35681173007042694, 0.3571978012213189, 0.35828671807641804]",0.34910911769914443,"[0.3432582870616169, 0.3445023243507676, 0.3490316007294673, 0.35279279510749084, 0.35596058124637947]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.942346505768487,"[0.9391688527781926, 0.9424851682402637, 0.9428006810780857, 0.9433409611237203, 0.9439368656221732]"
8,census,target2,marital-status,0.18272537534201172,"[0.18623312927118316, 0.18150024014293947, 0.18315704027098256, 0.18102235320932616, 0.1817141138156273]",0.19572589418278677,"[0.20097016137073648, 0.19416033270987815, 0.19421194955475243, 0.1946812011921744, 0.19460582608639232]",0.18522558272428735,"[0.1894671067603397, 0.18381409281107994, 0.18481136464999795, 0.18369932104462644, 0.18433602835539267]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8755282403294086,"[0.8769109176420924, 0.8754006539650201, 0.8762723690374864, 0.8744348717122365, 0.8746223892902073]"
9,bank,target1,y,0.6942869499284772,"[0.7107486631016042, 0.6910299003322259, 0.6709828146036272, 0.7008896681602702, 0.6977837034446581]",0.707124989428783,"[0.7389860828962129, 0.7098086756127422, 0.6647588522588523, 0.7048449398521135, 0.7172263965239936]",0.7001097619783156,"[0.7235645363986851, 0.6996552295896489, 0.6677742154862527, 0.7028326630529813, 0.7067221653640101]",0.6730822133360599,"[0.7123508122367584, 0.6800671275551639, 0.6109584668946395, 0.6726071641806534, 0.689427495813084]",0.707124989428783,"[0.7389860828962129, 0.7098086756127422, 0.6647588522588523, 0.7048449398521135, 0.7172263965239936]"
