,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.42669734097353873,"[0.4265658412517496, 0.4357809281473404, 0.42861375795408935, 0.42263177832747134, 0.4198943991870429]",0.583971394443757,"[0.5769251513153952, 0.5904963680387408, 0.591359407055778, 0.560942760942761, 0.6001332848661093]",0.24995284994475914,"[0.22243858606629985, 0.26001469693050355, 0.2486013785061689, 0.27701406060825645, 0.24169552761256696]",0.4273826715521659,"[0.39051071845166657, 0.43661389394270017, 0.4289954783678238, 0.45258565135976725, 0.4282076156388717]",0.7041008064550788,"[0.7013891039757855, 0.7106839029531825, 0.7058091308949472, 0.7049980625604708, 0.6976238318910079]"
1,imdb,target3,gross,0.1351159939533077,"[0.16908387188035073, 0.15152228699394388, 0.12193722497474731, 0.0953148689964898, 0.1377217169210068]",0.2429603932638753,"[0.2813779573277122, 0.2896359751620957, 0.21545556473018027, 0.203934899874233, 0.2243975692251554]",0.057413548645041154,"[0.06806388727969927, 0.06472711710214947, 0.05464722257876296, 0.053793284161423524, 0.04583623210317058]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8586554492084447,"[0.860955553412989, 0.8599926724836904, 0.8591887103462075, 0.8557852324272793, 0.8573550773720575]"
2,imdb,target2,content_rating,0.613720886988645,"[0.6270909703787975, 0.596828007518797, 0.617039586919105, 0.6024762426900585, 0.6251696274364669]",0.5855399372187365,"[0.5936352841654314, 0.5647284264756699, 0.5903170056488134, 0.5836968058642078, 0.5953221639395601]",0.47975101196736125,"[0.49637901305525906, 0.45062612463736185, 0.4843034663178548, 0.4685328575762391, 0.4989135982500912]",0.4958999412922093,"[0.5064408094751021, 0.4566719875153233, 0.504258481170798, 0.49956032278730195, 0.5125681055125211]",0.5855399372187365,"[0.5936352841654314, 0.5647284264756699, 0.5903170056488134, 0.5836968058642078, 0.5953221639395601]"
3,mushroom,target1,Class,0.9940659316656941,"[0.9941724941724941, 0.9969678250704075, 0.9913367478774455, 0.9934329483509812, 0.9944196428571428]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]",0.9949436837926889,"[0.9952898082130057, 0.9971866083554493, 0.9925394339485492, 0.9943399064171122, 0.9953626620293287]",0.9958544580638373,"[0.9964475909040272, 0.9974072051918286, 0.9937997189310885, 0.9952740946644141, 0.996343680627828]",0.9958591491143223,"[0.9964539007092199, 0.9974072424361284, 0.9938073470469376, 0.9952768904158211, 0.9963503649635037]"
4,mushroom,target3,habitat,0.6354049736644114,"[0.6427337042934592, 0.6241596904159576, 0.6349145907869561, 0.6247369645519306, 0.6504799182737534]",0.7298931866732591,"[0.7303446556533663, 0.7225614020364776, 0.7295864166164948, 0.7308679301310881, 0.7361055289288689]",0.5886269576733872,"[0.5953562139153262, 0.5709177265571622, 0.5906840076894049, 0.5778696627012306, 0.6083071775038125]",0.5598808889864093,"[0.5717274872389684, 0.5301267728369841, 0.5728654534408351, 0.5598097467621831, 0.564874984653076]",0.891552768755008,"[0.8913768977019237, 0.8877438524259539, 0.8908007601868212, 0.8907934506349139, 0.8970488828254274]"
5,mushroom,target2,population,0.6770747576649127,"[0.6808287035472734, 0.6711722607343003, 0.6746290053489096, 0.6864292013101537, 0.6723146173839262]",0.8431188623701728,"[0.8418627904478772, 0.8449457621478297, 0.8405940104223927, 0.8487453999194986, 0.8394463489132659]",0.6960554559439693,"[0.6944307408966738, 0.6934676178182109, 0.6962868400290668, 0.7042489734621497, 0.691843107513745]",0.8026412266010198,"[0.800782593802235, 0.8050552047389566, 0.7977922819410671, 0.8106100301813037, 0.7989660223415361]",0.9326351854519676,"[0.932452740682494, 0.9320874328921364, 0.9319580329892071, 0.9351577922322155, 0.9315199284637844]"
6,census,target1,income,0.7448492256861027,"[0.7471329430146547, 0.7393113703223154, 0.7461907180413627, 0.7442485305406779, 0.7473625665115027]",0.6264113483545743,"[0.6273607904126692, 0.6244681841919446, 0.6232139402689404, 0.6282329233548746, 0.6287809035444434]",0.6443682584628597,"[0.6452951238072668, 0.6427710461449646, 0.6402828818054221, 0.6469698539984552, 0.6465223865581899]",0.5334245275432808,"[0.5348267948314194, 0.5307705617537212, 0.5264237248038597, 0.5372640227262987, 0.5378375336011052]",0.6264113483545743,"[0.6273607904126692, 0.6244681841919446, 0.6232139402689404, 0.6282329233548746, 0.6287809035444434]"
7,census,target3,workclass,0.2178887933319929,"[0.22224036410005296, 0.20144422623241623, 0.22031251905343205, 0.21617126627814368, 0.22927559099591951]",0.27647091271685614,"[0.30475005234325014, 0.26104260092495646, 0.26631591746938216, 0.27475048616840236, 0.27549550667828954]",0.16613241666292158,"[0.15983401108155487, 0.156219097080912, 0.17335419032200822, 0.17238886648021795, 0.1688659183499148]",0.02541310105365994,"[0.1270655052682997, 0.0, 0.0, 0.0, 0.0]",0.8848275138725963,"[0.8839262223860181, 0.88150874591064, 0.8859846534463092, 0.8865296372486382, 0.8861883103713766]"
8,census,target2,marital-status,0.16863574616820828,"[0.17071075537520963, 0.17562323606513117, 0.1678207902523536, 0.18041393085719523, 0.14861001829115175]",0.16164826117131761,"[0.15152169475071364, 0.14235963936282228, 0.18300322911751674, 0.15494599467541464, 0.17641074795012063]",0.058141391031316283,"[0.08473470474141635, 0.05423129812223237, 0.051695816104873914, 0.041000688078497174, 0.05904444810956162]",0.04017305150768683,"[0.0, 0.0, 0.06648955583969356, 0.04491243361505619, 0.0894632680836844]",0.8577443091368699,"[0.8578434932982004, 0.8580800223684826, 0.8575691037106828, 0.8578754432563765, 0.8573534830506073]"
9,bank,target1,y,0.6895024550094211,"[0.6746653995406668, 0.6825579483807331, 0.7532818532818533, 0.6698270261490986, 0.6671800476947536]",0.6917384925267964,"[0.7006155058973348, 0.6866072928919509, 0.7252747252747253, 0.6846374572343008, 0.6615574813356699]",0.6899553439956623,"[0.686259025270758, 0.6845441595441595, 0.7380563124432333, 0.6766330343599203, 0.6642841883602405]",0.6515675766430452,"[0.6631503234373725, 0.6462018862829617, 0.6894017154567613, 0.650316367958743, 0.6087675900793879]",0.6917384925267964,"[0.7006155058973348, 0.6866072928919509, 0.7252747252747253, 0.6846374572343008, 0.6615574813356699]"
10,bank,target3,housing,0.5265546301533709,"[0.5283237560402246, 0.502616483848244, 0.5418738078430784, 0.5363338788870704, 0.5236252241482366]",0.519570463630209,"[0.5182723902603421, 0.5013666947014298, 0.5294590025359256, 0.5320685670261942, 0.516685663627153]",0.4889682028625758,"[0.4817457036555838, 0.44355761747066097, 0.5035390552197778, 0.5269387034092916, 0.4890599345575649]",0.43616249254541534,"[0.42403612952670505, 0.3626542188120848, 0.45406029591299707, 0.5007698233965914, 0.4392919950786981]",0.519570463630209,"[0.5182723902603421, 0.5013666947014298, 0.5294590025359256, 0.5320685670261942, 0.516685663627153]"
11,bank,target2,loan,0.5017146035908938,"[0.5122152175269958, 0.5090946672178586, 0.49663425579655945, 0.472301127704968, 0.5183277497080874]",0.5034455236490534,"[0.5184466019417476, 0.5151098901098902, 0.49405805571790373, 0.4593414459556192, 0.530271624520106]",0.4829912747000785,"[0.502021800281294, 0.4906455275752656, 0.4755711088749043, 0.4556683964216357, 0.49104954034729315]",0.471553574092447,"[0.48302312514908324, 0.4902903378454601, 0.45385834990593305, 0.4065057905696336, 0.5240902669921249]",0.5034455236490534,"[0.5184466019417476, 0.5151098901098902, 0.49405805571790373, 0.4593414459556192, 0.530271624520106]"
12,intention,target1,Revenue,0.6011084166046737,"[0.6047869512380374, 0.6009851567302289, 0.6028818066062467, 0.5941232273512599, 0.6027649410975959]",0.6661844502493077,"[0.6517429253806388, 0.6573737358172694, 0.6775181385586857, 0.676327515327928, 0.6679599361620164]",0.6002943698106561,"[0.6147334375096332, 0.6069375933439942, 0.5992793667733662, 0.5803478486015777, 0.6001736028247089]",0.6610707152610175,"[0.6357085460324101, 0.6495773093500353, 0.6768812537951626, 0.676327213672376, 0.6668592534551038]",0.6661844502493077,"[0.6517429253806388, 0.6573737358172694, 0.6775181385586857, 0.676327515327928, 0.6679599361620164]"
13,intention,target3,SpecialDay,0.5016252266757212,"[0.5112784739615843, 0.49218822154671504, 0.5032990471634174, 0.5000949150343507, 0.5012654756725383]",0.5021244331417458,"[0.5156866866124339, 0.4881965427694249, 0.5048199471338268, 0.500145034006466, 0.5017739551865776]",0.49552910802796085,"[0.5081263240783334, 0.48402779267778084, 0.497137459749871, 0.4922114402451482, 0.49614252338867093]",0.42138863168052865,"[0.44068510799194427, 0.39073277709713294, 0.43105479224842713, 0.4224525618240677, 0.42201791924107124]",0.5021244331417458,"[0.5156866866124339, 0.4881965427694249, 0.5048199471338268, 0.500145034006466, 0.5017739551865776]"
14,intention,target2,VisitorType,0.25634608964607386,"[0.2465487057898356, 0.26124797001186834, 0.24907589634353053, 0.2565795229573254, 0.2682783531278094]",0.456042574732238,"[0.4359768079213226, 0.451819349545739, 0.4633846989779495, 0.45534432779198436, 0.4736876894241944]",0.2756449115349921,"[0.2663312742031801, 0.28524138056917214, 0.26749073619188013, 0.2637883032878612, 0.2953728634228669]",0.27157750624298055,"[0.23315704421573505, 0.3121836794800142, 0.2307707046310081, 0.2356325227680125, 0.34614358012013297]",0.948466692690042,"[0.9492660391550695, 0.9468686320573009, 0.9461172997409403, 0.9478603814972354, 0.9522211109996638]"
15,anuran,target1,Family,0.7666504864844569,"[0.8372189462146986, 0.7436463552932396, 0.8003876994324002, 0.7301054751999465, 0.7218939562819995]",0.8962111392303186,"[0.9225204395190437, 0.8802086856312553, 0.8755004103752921, 0.8986341733450361, 0.9041919872809661]",0.8011834541301877,"[0.8582827005627891, 0.7837162977550945, 0.8118371202425098, 0.779032294127592, 0.7730488579629525]",0.8924709210824029,"[0.9198188165431581, 0.8760655216791917, 0.8704880064149478, 0.8955615482822534, 0.9004207124924636]",0.9623700471696474,"[0.967213414598819, 0.959271289416426, 0.9620012527673164, 0.9636255584410578, 0.9597387206246177]"
16,anuran,target3,Species,0.8321828919990159,"[0.8508925261143018, 0.8118961862872597, 0.8791864528038886, 0.7929065070290673, 0.826032787760562]",0.8465418522312037,"[0.8492009515269636, 0.8395812488077627, 0.8600852151878771, 0.8324836300896022, 0.8513582155438126]",0.8287180000045659,"[0.8441352385156279, 0.8124773438177435, 0.8587361260689971, 0.7986260722228544, 0.8296152193976065]",0.8382838051059753,"[0.8386686345863249, 0.8322454231966075, 0.8504474993977574, 0.8245834000838952, 0.8454740682652911]",0.9907057836864519,"[0.9916628626966304, 0.9900187861487962, 0.9915204165787028, 0.9899296861409713, 0.9903971668671586]"
17,anuran,target2,Genus,0.7016870029388362,"[0.7109028330389466, 0.6721983560402954, 0.7399665958338287, 0.6651741866104149, 0.7201930431706958]",0.7847009477723214,"[0.7847115980312419, 0.7891451052493141, 0.8002199783499091, 0.7814004125745329, 0.7680276446566084]",0.7044617354554404,"[0.7162316404064044, 0.6942261031958015, 0.7326674785589371, 0.6943760651166494, 0.6848073899994094]",0.7707420007037459,"[0.7696153933781239, 0.7758628879494007, 0.7867452688972607, 0.7691028266081373, 0.7523836266858068]",0.971510418815179,"[0.9763803834766562, 0.9747900946260442, 0.9766990008448999, 0.9761884551442794, 0.9534941599840153]"
18,telco,target1,Churn,0.6692765371668953,"[0.6465289801302663, 0.6964976277723406, 0.6840416201157109, 0.6572136546926463, 0.6621008031235122]",0.7151953958812889,"[0.7048697266002115, 0.7299449638136469, 0.7415292826296547, 0.6947248825718294, 0.7049081237911026]",0.6317369694746875,"[0.5954769139036045, 0.6613989916579597, 0.6645402832723784, 0.6236494689281326, 0.6136191896113621]",0.6992283558702778,"[0.6847021927423121, 0.7130714717328243, 0.7323349781347739, 0.6819540355883816, 0.6840791011530972]",0.7151953958812889,"[0.7048697266002115, 0.7299449638136469, 0.7415292826296547, 0.6947248825718294, 0.7049081237911026]"
19,telco,target3,PaymentMethod,0.39256136257008906,"[0.4063387460160457, 0.38701971621818954, 0.41978557420711676, 0.3789069876229417, 0.37075578878615156]",0.40232624072637213,"[0.4049236485387748, 0.3983360538995213, 0.4179409381715219, 0.40268731820642933, 0.38774324481561323]",0.3774101855846756,"[0.3852535209286849, 0.3812610752921781, 0.38800970257792766, 0.36199158660022396, 0.37053504252436353]",0.2931994101209431,"[0.33554177221976633, 0.31817894284600234, 0.3141881667589904, 0.20464073541390193, 0.29344743336605406]",0.8074356437657884,"[0.8062189658998187, 0.806506586289409, 0.8107535247823439, 0.8080768875999172, 0.8056222542574527]"
20,telco,target2,Contract,0.5930371732092243,"[0.6005722785666235, 0.5700095175939522, 0.5963102133389042, 0.5964233405093621, 0.6018705160372798]",0.6120538469571858,"[0.6223505472144311, 0.5902534581254325, 0.607668846601653, 0.6174603038533591, 0.622536078991053]",0.5932242958814556,"[0.6014934302119689, 0.5722685811693725, 0.5933340013179396, 0.5965806992045849, 0.602444767503412]",0.5822332064849796,"[0.5908033340330577, 0.5586958457694434, 0.5787499445192981, 0.5884529855185834, 0.5944639225845159]",0.8334319813735608,"[0.8345493218242496, 0.8244866838527343, 0.8330646669226978, 0.8383594418415864, 0.8366997924265359]"
21,paris,target1,category,0.43674999999999997,"[0.436, 0.43725, 0.4385, 0.43425, 0.43775]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.46623830373604536,"[0.4658119658119658, 0.46652440650840227, 0.4672349493873202, 0.46481134599946483, 0.46680885097307384]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]"
22,paris,target3,hasStorageRoom,0.5053583627367751,"[0.5178923767264596, 0.48636225699288615, 0.50935249780613, 0.49465167746487904, 0.5185330046935207]",0.5053639462704791,"[0.51790871027057, 0.4863825097703517, 0.5093383906280008, 0.494662953938972, 0.5185271667445006]",0.5051939986730746,"[0.5178259351625937, 0.4862399089539079, 0.5089170069741786, 0.4945142281732745, 0.5184729141014182]",0.5050624924142328,"[0.5179003380482625, 0.4859881712985359, 0.5088991043855372, 0.4940767611634863, 0.5184480871753429]",0.5053639462704791,"[0.51790871027057, 0.4863825097703517, 0.5093383906280008, 0.494662953938972, 0.5185271667445006]"
