,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4685490194140063,"[0.4453831155325371, 0.476104920563676, 0.4918480741146403, 0.48458537153505704, 0.4448236153241209]",0.5381043184778578,"[0.5238571442839736, 0.5360760405857258, 0.5897514199196751, 0.5068261228638588, 0.5340108647360556]",0.48105668869944773,"[0.45945301982890013, 0.48946890228149154, 0.5090710418898073, 0.4821429790554214, 0.46514750044161807]",0.5062628892421335,"[0.5000699049302071, 0.5103570255183488, 0.573915515144226, 0.47127523556958617, 0.4756967650482996]",0.7316006262319086,"[0.7249888353355608, 0.7322820353632565, 0.7586669520544217, 0.7179264433302612, 0.7241388650760423]"
1,imdb,target3,gross,0.18915275822986674,"[0.18775004785720067, 0.18642256841167062, 0.18466417858069833, 0.18463271273421647, 0.20229428356554774]",0.21716125321450425,"[0.18167444166218674, 0.22873703956973354, 0.18440448718634245, 0.198949962510475, 0.2920403351437834]",0.1840467215718502,"[0.1763546223823899, 0.1830851131834381, 0.17588631647365965, 0.18112087313011746, 0.20378668268964592]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8734680095799099,"[0.8759458696550881, 0.8725777193861679, 0.874574978525306, 0.8694825597471411, 0.8747589205858463]"
2,imdb,target2,content_rating,0.7091454897648047,"[0.7342935079105292, 0.7001368506871651, 0.6725730071033938, 0.7019900497512438, 0.7367340333716916]",0.7296660796638612,"[0.7499747770680865, 0.7159237269500205, 0.6924397113184299, 0.7322962618992338, 0.7576959210835357]",0.7087032638074696,"[0.7375379814404204, 0.7026291115028316, 0.6669774411054692, 0.7000469410107965, 0.7363248439778307]",0.7287601660768088,"[0.7499602243218614, 0.7159203979122022, 0.690863756578055, 0.7307628857369896, 0.756293565834936]",0.7296660796638612,"[0.7499747770680865, 0.7159237269500205, 0.6924397113184299, 0.7322962618992338, 0.7576959210835357]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.47472797537936195,"[0.47730060631511195, 0.4598909622717633, 0.49886837477140017, 0.4560993355170797, 0.4814805980214545]",0.5461764497094149,"[0.549320726570992, 0.5254463336624043, 0.5859093866948977, 0.529401382466254, 0.5408044191525264]",0.49579522808765464,"[0.4986260864238085, 0.47830426554168937, 0.5251651093316049, 0.4742005479510146, 0.502680131190156]",0.47606073214629585,"[0.4756596933305523, 0.4603774018897569, 0.5170642191908861, 0.4571308656949982, 0.47007148062528575]",0.8568301240777692,"[0.8551235210236233, 0.8555314648009088, 0.8606741333919361, 0.8557843996280301, 0.8570371015443472]"
5,mushroom,target2,population,0.6137002565927043,"[0.6181339200857667, 0.61189446684344, 0.6154197102658372, 0.615910582658285, 0.6071426031101931]",0.6824780461211601,"[0.6892050161279232, 0.6950660089487061, 0.6769282090199437, 0.6829467542803059, 0.6682442422289219]",0.633126081055815,"[0.6371255458754317, 0.6335664286705477, 0.6329301365824126, 0.635983342541487, 0.6260249516091966]",0.6407954739675319,"[0.6425092638876682, 0.6521021869620022, 0.6360704996225273, 0.6472978522225198, 0.6259975671429421]",0.9245121130800535,"[0.9244609639623572, 0.9245489453239221, 0.9256655210465042, 0.9240644532046082, 0.9238206818628765]"
6,census,target1,income,0.6858148165776147,"[0.6850577468351563, 0.6979604304357528, 0.6739379282577849, 0.6876762245131696, 0.6844417528462097]",0.6275831014205276,"[0.6279341324515705, 0.6344298669949343, 0.6201394533702712, 0.6325190347141567, 0.6228930195717055]",0.6416221093698489,"[0.6417614639975434, 0.6503964828142819, 0.6327184658980125, 0.6469511088373845, 0.636283025302022]",0.5591556774096891,"[0.5605696109229671, 0.566857177785572, 0.5496778574231325, 0.5681726399928185, 0.5505011009239549]",0.6275831014205276,"[0.6279341324515705, 0.6344298669949343, 0.6201394533702712, 0.6325190347141567, 0.6228930195717055]"
7,census,target3,workclass,0.22187408743897624,"[0.21870429060115984, 0.2217868848438495, 0.21925331926230132, 0.22660429779983643, 0.22302164468773397]",0.2212113783338971,"[0.24763437321174533, 0.21548070493622648, 0.2054637582694673, 0.2385740784754872, 0.1989039767765593]",0.1937211141431135,"[0.1902250630850951, 0.19642649149754474, 0.19074055670989384, 0.1983038681606676, 0.19290959126236626]",0.08475312228086089,"[0.2212342996197436, 0.0, 0.0, 0.20253131178456088, 0.0]",0.8826715884469607,"[0.8823488169920201, 0.8822171826758289, 0.8821504860924217, 0.8828479401233224, 0.8837935163512106]"
8,census,target2,marital-status,0.15510773950959236,"[0.15741213225798462, 0.15719834343932, 0.15222598737834345, 0.15489467990979008, 0.15380755456252357]",0.15989637589678876,"[0.164520682587381, 0.16286268730450906, 0.15323237171024015, 0.15946871438042473, 0.1593974235013888]",0.1394684017535673,"[0.1427678877694639, 0.14233550742466103, 0.13439341234573973, 0.13732611285098817, 0.1405190883769838]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.863718005522325,"[0.8643294499206331, 0.8667145916975373, 0.863333640407942, 0.8627040605062187, 0.8615082850792944]"
9,bank,target1,y,0.7023009946852122,"[0.6737043373251485, 0.7074392998306042, 0.7162211981566821, 0.7339629783169013, 0.680177159796725]",0.7688137788710255,"[0.7616809678299628, 0.7822094725976427, 0.768543956043956, 0.7865136298421808, 0.7451208680413857]",0.7268561572312937,"[0.7032911635499436, 0.7345401070329438, 0.7377132671250317, 0.7554267170587885, 0.7033095313897606]",0.7580710069771338,"[0.7497005253953839, 0.7748724405561208, 0.755019830901775, 0.7779235134808555, 0.7328387245515339]",0.7688137788710255,"[0.7616809678299628, 0.7822094725976427, 0.768543956043956, 0.7865136298421808, 0.7451208680413857]"
10,bank,target3,housing,0.48609930361144454,"[0.5026467069671914, 0.5052481568346988, 0.49633317528054366, 0.4817766186934544, 0.444491860281334]",0.4860870146457996,"[0.5026329092594153, 0.5052460050462573, 0.49632290786136934, 0.48183102208525935, 0.44440222897669707]",0.4856582763361823,"[0.5025323371135844, 0.5032349452638358, 0.49629531936219884, 0.4817922443238899, 0.4444365356174026]",0.4832559473977618,"[0.4999789362822445, 0.5041876778204102, 0.4947740418551282, 0.4750899859798051, 0.44224909505122084]",0.4860870146457996,"[0.5026329092594153, 0.5052460050462573, 0.49632290786136934, 0.48183102208525935, 0.44440222897669707]"
