,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.532063137557906,"[0.4642817954754584, 0.5575503364948343, 0.5524590846289886, 0.5495905190783305, 0.5364339521119182]",0.6111140731318585,"[0.6080134735622541, 0.6421323720166033, 0.6136001946467187, 0.5876500857632934, 0.6041742396704229]",0.5526402635221359,"[0.4916861306663911, 0.5767236206934699, 0.5768732361919023, 0.5598022679267894, 0.5581160621321265]",0.580718400975024,"[0.5908968866110569, 0.6335427955677911, 0.5637530299535756, 0.5542885809325544, 0.561110711810142]",0.7703904923397551,"[0.7560880180582988, 0.790773762627084, 0.777047137315328, 0.7643931630715772, 0.7636503806264875]"
1,imdb,target3,gross,0.3184691892681764,"[0.3505511318192309, 0.34619907128840716, 0.27616020660447615, 0.3007274042761524, 0.31870813235261564]",0.4186078084895368,"[0.463905968532194, 0.4119203035851835, 0.3499017517702594, 0.4227893843832405, 0.4445216341768066]",0.3379753593136895,"[0.3652328996866812, 0.3647701940435061, 0.29230765054573765, 0.32484525516295804, 0.34272079712956455]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.903907074368627,"[0.9058175510955522, 0.9042088892093395, 0.8990078960640109, 0.9077818105194099, 0.9027192249548232]"
2,imdb,target2,content_rating,0.7174511986953516,"[0.7263431013431014, 0.7025485561607234, 0.7146412406091054, 0.7025222672064777, 0.7412008281573499]",0.7169902082089739,"[0.7301883570946287, 0.6857506361323156, 0.7208237986270023, 0.7073990845467512, 0.7407891646441713]",0.7165353738131262,"[0.7280800457008327, 0.6915199425080847, 0.7173265219242231, 0.7047569898814899, 0.7409933690510005]",0.7105870993222536,"[0.7276322856511389, 0.6696814783482876, 0.7175473098524098, 0.7012602199252573, 0.7368142028341745]",0.7169902082089739,"[0.7301883570946287, 0.6857506361323156, 0.7208237986270023, 0.7073990845467512, 0.7407891646441713]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.6484923615544607,"[0.6554582457489905, 0.6200576599337625, 0.6611607064614583, 0.6450029327868414, 0.6607822628412506]",0.7372655716107845,"[0.7411488339845219, 0.7279965569645112, 0.7414076284436634, 0.7348879501511081, 0.740886888510118]",0.5971604009151921,"[0.6074226167788869, 0.5789947182774626, 0.6041476516684064, 0.5787104293051482, 0.6165265885460562]",0.5702472576764435,"[0.5887174916851898, 0.5511672260675043, 0.588829895021044, 0.5488102358490603, 0.5737114397594191]",0.8949226276755041,"[0.8953830080877582, 0.8911217334534188, 0.8956481545505465, 0.8927793471253295, 0.8996808951604679]"
5,mushroom,target2,population,0.7406772194407194,"[0.7372848290282351, 0.7359317939744369, 0.7443566305449442, 0.7438271604938271, 0.7419856831621537]",0.8728017364461256,"[0.8715087437544611, 0.8766431036611221, 0.8709266914400052, 0.8749550773388535, 0.8699750660361859]",0.7371714860314007,"[0.7317099750897259, 0.7367897854196331, 0.7385560405336543, 0.7426589070935296, 0.7361427220204608]",0.835485920154295,"[0.8324140172412899, 0.8401240505361001, 0.8316830922003916, 0.8397071650338257, 0.8335012757598684]",0.9505330684865545,"[0.9486136160961306, 0.9515006535843105, 0.9511312681640082, 0.9510487022335926, 0.9503711023547307]"
6,census,target1,income,0.7601149958745982,"[0.7619828429378301, 0.7720093201187584, 0.7461534299550322, 0.7583778802516797, 0.7620515061096902]",0.7359427053010735,"[0.7420382030528041, 0.7390795520814013, 0.7305715613194738, 0.7293225924933242, 0.7387016175583644]",0.746281450624528,"[0.7508515824071127, 0.7527490387500045, 0.7375851980108961, 0.7414555328022465, 0.7487659011523802]",0.7171372686520293,"[0.7254517398162363, 0.7181309085249629, 0.7133927193705895, 0.7077616159354403, 0.7209493596129171]",0.7359427053010735,"[0.7420382030528041, 0.7390795520814013, 0.7305715613194738, 0.7293225924933242, 0.7387016175583644]"
7,census,target3,workclass,0.3382383215887118,"[0.3546168742268941, 0.32644836572850044, 0.32464997693516284, 0.33410001083174373, 0.35137638022125767]",0.38206466838217645,"[0.3856858500528836, 0.37454902682153246, 0.38461125880673175, 0.3832554311850694, 0.38222177504466515]",0.2927031580854673,"[0.2956496995969014, 0.28505996285605306, 0.2953806318471854, 0.2920972544744765, 0.29532824165272037]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.9487646280037769,"[0.9486709894906362, 0.9469039020621632, 0.9515887489073354, 0.9476910800594557, 0.9489684194992937]"
8,census,target2,marital-status,0.26253580852085556,"[0.25122162484964905, 0.25121176424933966, 0.24744518446398317, 0.28064400983683724, 0.2821564592044687]",0.2707039049349085,"[0.2639163274296478, 0.24881563335953355, 0.23788551689973397, 0.24627927588905493, 0.35662277109657214]",0.21299613921490387,"[0.2080446291778113, 0.20152447386655242, 0.2146694452929732, 0.2145472878292402, 0.22619485990794216]",0.16361876339739898,"[0.17915474055292907, 0.14596244137174244, 0.14120309643112058, 0.15638036208459785, 0.19539317654660487]",0.8822627267669508,"[0.8806869402438842, 0.8835068961588133, 0.8829986773089253, 0.8811021395244144, 0.8830189805987164]"
9,bank,target1,y,0.7435145830343037,"[0.7289637107455043, 0.7422527134088062, 0.7524396838066791, 0.7576538898814358, 0.7362629173290938]",0.7535007658150237,"[0.7358782329219854, 0.7737955205607701, 0.7493894993894994, 0.780123606665931, 0.7283169695369325]",0.7479933320397011,"[0.7323476702508961, 0.7564463461321923, 0.7509005175976814, 0.7680903579752965, 0.7321817682424391]",0.7304721128628456,"[0.7051423086078868, 0.7590346915720113, 0.723887438772786, 0.7665619745252125, 0.6977341508363314]",0.7535007658150237,"[0.7358782329219854, 0.7737955205607701, 0.7493894993894994, 0.780123606665931, 0.7283169695369325]"
