,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.5424894409821421,"[0.5200444444444444, 0.5726002218370788, 0.5483319063341673, 0.5597067015671667, 0.511763930727853]",0.6046289350121972,"[0.5743690197958491, 0.6294848235904532, 0.6371046962658782, 0.6123499142367067, 0.569836221172099]",0.5672299292808013,"[0.5422467599902508, 0.5966101082591354, 0.5821411167255987, 0.5816121950209188, 0.533539466408103]",0.5572928866866673,"[0.5264879414854399, 0.5679948182869632, 0.6031155030144354, 0.5654255428718036, 0.5234406277746952]",0.7773940300337597,"[0.7705691238987882, 0.7888137514085635, 0.7964684054581075, 0.7741751126479467, 0.7569437567553926]"
1,imdb,target3,gross,0.4129592325558503,"[0.4937991975904749, 0.4170457600147565, 0.3141615581593854, 0.42876043164967725, 0.41102921536495746]",0.3679018416592202,"[0.4149798724203486, 0.41292009940636343, 0.2997895888283937, 0.34502456532867154, 0.3667950823123237]",0.37646299162038477,"[0.4345096354633407, 0.41035897649619224, 0.30245947110931265, 0.36236094778530203, 0.37262592724777605]",0.14598145659506004,"[0.37974176006446336, 0.3501655229108368, 0.0, 0.0, 0.0]",0.9031680465184306,"[0.9022619973367672, 0.9040689601090016, 0.8977740804057001, 0.9050167591709654, 0.9067184355697188]"
2,imdb,target2,content_rating,0.7379594332759118,"[0.7383454106280194, 0.7460749237491366, 0.7321093571265156, 0.712871516668985, 0.7603959582069026]",0.7477571826317282,"[0.7450582455704651, 0.7490104608425219, 0.7435270678977772, 0.7284155361703539, 0.7727746026775228]",0.7416659526276117,"[0.7411433149211412, 0.7474625059766009, 0.7364719869802072, 0.7184027604639334, 0.764849194796176]",0.7462203083889706,"[0.7436261146381041, 0.7461142388735228, 0.7422286238616317, 0.7266663938118045, 0.7724661707597896]",0.7477571826317282,"[0.7450582455704651, 0.7490104608425219, 0.7435270678977772, 0.7284155361703539, 0.7727746026775228]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.357652316950533,"[0.36179790206124623, 0.33538903935975733, 0.37967856500396296, 0.34573199393071813, 0.3656640843969802]",0.37758854793882884,"[0.37345698538897865, 0.34858292231652516, 0.4064330294231547, 0.37295013117044934, 0.38651967139503657]",0.3656573998915219,"[0.3669935700485885, 0.34113966517438515, 0.3908470501955043, 0.3557929459922715, 0.37351376804686015]",0.2844109515539411,"[0.2821902912744934, 0.25265598033794856, 0.31167333102807293, 0.27995657958714165, 0.29557857554204875]",0.8219379661706363,"[0.8241677606322174, 0.8199751607270952, 0.8262788434823789, 0.8192735851438148, 0.8199944808676755]"
5,mushroom,target2,population,0.5870683854898775,"[0.5969205328583044, 0.5832611872482562, 0.5814840500744357, 0.5873688260589782, 0.5863073312094128]",0.6197494785162053,"[0.6301267065453621, 0.63023253958578, 0.6100559843248777, 0.6163791859797352, 0.6119529761452717]",0.5950686616525052,"[0.6042065027097, 0.59648321654742, 0.5890301778248667, 0.5955232709994943, 0.5901001401810446]",0.5787351194847634,"[0.5917251377219315, 0.5879174060290712, 0.5680665931884893, 0.5761239330317175, 0.5698425274526072]",0.9201397745421541,"[0.9197135639989913, 0.9197883612277669, 0.9208230709407625, 0.919439639451013, 0.9209342370922373]"
6,census,target1,income,0.7204347579691147,"[0.7216712943457129, 0.7185360811807002, 0.7207240034667813, 0.7239303179081685, 0.7173120929442109]",0.7225763372657857,"[0.7261739890315586, 0.7239012703445689, 0.7165590852051185, 0.7273767334742944, 0.7188706082733878]",0.7214436258927773,"[0.7238427281149996, 0.721109990464605, 0.7185746996664448, 0.7256093797921688, 0.7180813314256683]",0.7095800419897318,"[0.7146073372335057, 0.7114121021666532, 0.7009389992667022, 0.7150339714861605, 0.7059077997956373]",0.7225763372657857,"[0.7261739890315586, 0.7239012703445689, 0.7165590852051185, 0.7273767334742944, 0.7188706082733878]"
7,census,target3,workclass,0.3739140628571624,"[0.3704206965474688, 0.37189453283801416, 0.3782344549496058, 0.3758080267705671, 0.37321260318015603]",0.3622046972483246,"[0.362821876761112, 0.3675062224755591, 0.3669266003135774, 0.35897250070722136, 0.35479628598415347]",0.3651828710343706,"[0.3629393948629666, 0.36721936728741195, 0.36951149049121107, 0.36509850464925203, 0.36114559788101114]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.949855318308493,"[0.948877876070372, 0.9499737462191218, 0.9507130114845452, 0.9496376734895575, 0.9500742842788686]"
8,census,target2,marital-status,0.20211104746853406,"[0.19618950651283887, 0.20284461940919662, 0.2055368404687228, 0.20194627602621323, 0.20403799492569877]",0.21643626359152765,"[0.2087114619778671, 0.22061468138563353, 0.21861151069065907, 0.2161574899676102, 0.21808617393586835]",0.20696801378893706,"[0.2003366628096924, 0.20864606995096951, 0.21033451112515775, 0.20697274214334732, 0.2085500829155182]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8793297436632619,"[0.8783131350665473, 0.8793693800739257, 0.8806373041986746, 0.8774289025390224, 0.8808999964381391]"
9,bank,target1,y,0.7183574319405043,"[0.760931899641577, 0.7327020202020202, 0.7059014869888476, 0.6898946360153256, 0.7023571168547507]",0.7358618579633166,"[0.7648797792668507, 0.7654535852317738, 0.7254273504273505, 0.7100430416068867, 0.7135055332837218]",0.726363930016984,"[0.7628852794474996, 0.7472930658794665, 0.7149446494464944, 0.6990180932680474, 0.707678562043412]",0.7110242226546001,"[0.7412610035901236, 0.7495827871891971, 0.6979824404521128, 0.683479997324856, 0.682814884716711]",0.7358618579633166,"[0.7648797792668507, 0.7654535852317738, 0.7254273504273505, 0.7100430416068867, 0.7135055332837218]"
10,bank,target3,housing,0.5086983664483126,"[0.5103476951903745, 0.5279744485351962, 0.5196989934897613, 0.5060341937646664, 0.47943650126156434]",0.5087403234530715,"[0.5103525992080209, 0.5280382674516401, 0.51979078613694, 0.5061633281972265, 0.47935663627152986]",0.5080016508573078,"[0.5103488032345439, 0.527938408716857, 0.5196338561826293, 0.5027713212944752, 0.4793158648580335]",0.5080266660266928,"[0.5091628200478374, 0.5277417494182719, 0.5188948852553951, 0.5060835181143207, 0.47825035729763876]",0.5087403234530715,"[0.5103525992080209, 0.5280382674516401, 0.51979078613694, 0.5061633281972265, 0.47935663627152986]"
11,bank,target2,loan,0.5108643247778616,"[0.5039919386094102, 0.5119830508474577, 0.5320452124511776, 0.5099871593665288, 0.49631426261473344]",0.5145395383679021,"[0.5048543689320388, 0.5138736263736263, 0.5468861614390544, 0.5112741589119542, 0.4958093761828374]",0.5100917295084239,"[0.5024576271186441, 0.5119281045751634, 0.5310121724348773, 0.5098181574010735, 0.4952425860123609]",0.43080872418045546,"[0.41905323990111143, 0.417508307478051, 0.4930848516763208, 0.4251405090061352, 0.3992567128406588]",0.5145395383679021,"[0.5048543689320388, 0.5138736263736263, 0.5468861614390544, 0.5112741589119542, 0.4958093761828374]"
12,intention,target1,Revenue,0.7157026532584118,"[0.7039338417568317, 0.7124238150980164, 0.7224293496765407, 0.6954524255396103, 0.7442738342210593]",0.7408272053168179,"[0.7197472620712411, 0.7390794900637421, 0.753283938555067, 0.7230362874101911, 0.768989048483848]",0.726825550788029,"[0.7112549612549612, 0.7241508638078149, 0.7358579889512498, 0.707445082129428, 0.7554188577966912]",0.724021166372814,"[0.6970243216374861, 0.7229045069262144, 0.7397456179130939, 0.7028478432196583, 0.7575835421676177]",0.7408272053168179,"[0.7197472620712411, 0.7390794900637421, 0.753283938555067, 0.7230362874101911, 0.768989048483848]"
13,intention,target3,SpecialDay,0.6060288290057907,"[0.6231525660421273, 0.5955853875542995, 0.6152298076786802, 0.5849815359250333, 0.6111948478288136]",0.640188695278168,"[0.648276586801177, 0.6385159937869356, 0.6578593360385873, 0.6178062403978742, 0.6384853193662661]",0.616467120992268,"[0.6329184903274617, 0.6068211582979869, 0.627845751046192, 0.5937997612520064, 0.6209504440376924]",0.6079398614533288,"[0.6125011259222222, 0.6086480505413945, 0.6345107741605464, 0.5806293609602883, 0.6034099956821924]",0.640188695278168,"[0.648276586801177, 0.6385159937869356, 0.6578593360385873, 0.6178062403978742, 0.6384853193662661]"
14,intention,target2,VisitorType,0.26753008509413634,"[0.27100045366726944, 0.26514548752523515, 0.27147113146180724, 0.2461273942515434, 0.2839059585648266]",0.33810655042480664,"[0.3425339497177912, 0.32959388870776357, 0.3523656977558, 0.29915275449995, 0.3668864614427286]",0.2896790423874843,"[0.2943191503605578, 0.28569054208969324, 0.2964461198823904, 0.2619132003046153, 0.310026199300165]",0.24396172463936097,"[0.24004045953738823, 0.24400530565498985, 0.27058172823525845, 0.19413253967369204, 0.27104859009547644]",0.9156711661289203,"[0.9152320568922567, 0.9116697175353932, 0.9186627243841349, 0.9155013363494291, 0.9172899954833874]"
15,anuran,target1,Family,0.8995676668145455,"[0.903617348398276, 0.903644654998703, 0.9175099084638558, 0.8758083917580155, 0.8972580304538774]",0.92825935527423,"[0.9264022086025641, 0.9026693091620424, 0.9195772878060262, 0.9297421175256042, 0.9629058532749128]",0.9116128032617082,"[0.9144019152759771, 0.9030203217162178, 0.9177632660013197, 0.8980160294932493, 0.9248624838217768]",0.9262964415513043,"[0.9243617445451058, 0.8994788003014453, 0.9160435148379071, 0.9290758548390271, 0.9625222932330356]",0.9819598954289323,"[0.9839378687951097, 0.9802248324887483, 0.9839761058770287, 0.9807263330976055, 0.9809343368861687]"
16,anuran,target3,Species,0.8811532622721263,"[0.9035623811150775, 0.8712644405074702, 0.8904186978009543, 0.8558602017904489, 0.88466059014668]",0.8985348709210692,"[0.8896087221121578, 0.9198389903307211, 0.910029299239041, 0.8860412319071326, 0.8871561110162938]",0.8875823606026015,"[0.8947827350282148, 0.891450124291447, 0.8994167903221418, 0.867920404952448, 0.884341748418756]",0.8945285358158319,"[0.8841920061930392, 0.9181819861739203, 0.9089148288249399, 0.8823573877611532, 0.8789964701261073]",0.9939699920442286,"[0.9950299214758909, 0.9939570316877597, 0.9937207357633842, 0.9935201305755463, 0.9936221407185627]"
17,anuran,target2,Genus,0.8610044876062524,"[0.8540873296415895, 0.866103214994005, 0.8599136369406415, 0.8315044476242062, 0.8934138088308196]",0.8959734266387359,"[0.8873179438051577, 0.9278553876349319, 0.8889577780291669, 0.8686434044745417, 0.9070926192498808]",0.8757885882661697,"[0.8692483488242609, 0.8938209581711407, 0.8737111379457915, 0.8467115924964215, 0.8954509038932338]",0.8917390215157696,"[0.8819464260976876, 0.9264562790821853, 0.8844920986144696, 0.862350958065975, 0.90344934571853]",0.9917290250036276,"[0.9914350227706565, 0.9921957965754846, 0.9914530302237414, 0.9912056956700264, 0.992355579778229]"
18,telco,target1,Churn,0.6644305472967155,"[0.6615350769482646, 0.703885520970948, 0.6568718029021818, 0.6474208300550748, 0.6524395056071078]",0.670437070881363,"[0.681976420817231, 0.6999184021346195, 0.6605263368737598, 0.6523999064641413, 0.6573642881170634]",0.66682657632015,"[0.6693474433958757, 0.7017983923018247, 0.6586045719738439, 0.6496725362758842, 0.6547099376533214]",0.6553995669025838,"[0.6699596769534759, 0.6877684850604885, 0.6417556580355932, 0.6373081473655818, 0.6402058670977797]",0.670437070881363,"[0.681976420817231, 0.6999184021346195, 0.6605263368737598, 0.6523999064641413, 0.6573642881170634]"
19,telco,target3,PaymentMethod,0.3418923227892917,"[0.3424234598195953, 0.360055633315421, 0.33349718169548787, 0.3461438373902052, 0.3273415017257493]",0.33723321493331493,"[0.3359366411678416, 0.35526863167798833, 0.3301754029387609, 0.34434319792991425, 0.3204422009520694]",0.3383194995271158,"[0.3375864495527492, 0.35680982527520283, 0.3305685724637231, 0.3446956278491281, 0.32193702249477596]",0.3305559434842478,"[0.3313602226351678, 0.35020643648052685, 0.3223043982287363, 0.3358895802881607, 0.3130190797886475]",0.7812497079875084,"[0.7798620310100668, 0.7864217991550384, 0.778040815054639, 0.7850361861547511, 0.7768877085630468]"
