,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.4562396886514891,"[0.4223892759646335, 0.47595638619966646, 0.4850981398058045, 0.46346887581947344, 0.43428576546786773]",0.5473147096248926,"[0.5301512155170691, 0.5511169722126138, 0.5946088983012273, 0.5338637951845498, 0.5268326669090028]",0.46741283584604537,"[0.4337040003880443, 0.4864505639237251, 0.4979540979995319, 0.47138740683348274, 0.447568110085443]",0.5293844703163144,"[0.514623753967386, 0.5349043450839143, 0.5865582397357937, 0.5195537076795127, 0.4912823051149653]",0.7317533235632109,"[0.7255756585696046, 0.732246602586981, 0.7569878359388914, 0.7274711738735234, 0.7164853468470538]"
1,imdb,target3,gross,0.20227896164071005,"[0.2288049148163851, 0.21244673693653285, 0.19260319724644132, 0.187441394307134, 0.19009856489705698]",0.1990795608720201,"[0.21058073692439935, 0.2092137220806721, 0.18985955750086234, 0.1849101387446556, 0.20083364910951115]",0.19606768365935878,"[0.21402681510089053, 0.206619690466262, 0.18540702263298042, 0.18405466383342958, 0.1902302262632314]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8753300250874092,"[0.876644566844769, 0.8753266845567238, 0.880394541179062, 0.8721838988493149, 0.8721004340071764]"
2,imdb,target2,content_rating,0.7199785060035004,"[0.7420433436532508, 0.7125151481767104, 0.6793691451990632, 0.7107771423504898, 0.7551877506379876]",0.7383532518221412,"[0.7578676145315131, 0.727240599378004, 0.6961002384343346, 0.7365501343328137, 0.7740076724340406]",0.7235618308890438,"[0.7456200669696245, 0.7160968701317093, 0.681515084332418, 0.7154725882387061, 0.7591045447727613]",0.7382879342197508,"[0.7578558978645733, 0.7271152835464707, 0.6960501174127456, 0.7365497646050981, 0.7738686076698668]",0.7383532518221412,"[0.7578676145315131, 0.727240599378004, 0.6961002384343346, 0.7365501343328137, 0.7740076724340406]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.437553722666009,"[0.4361939847255302, 0.43386988138677696, 0.4731048827462762, 0.41164870942008597, 0.43295115505137544]",0.45267805291692065,"[0.44693067254146146, 0.4517424101661847, 0.4952048572267838, 0.43105893007728996, 0.4384533945728835]",0.44340451875734554,"[0.44108305097531314, 0.4413315842991792, 0.48232692445890174, 0.41858866557992974, 0.433692368473404]",0.4030735066427521,"[0.3965326363126237, 0.40358190334968924, 0.45125292739948886, 0.37908110984328885, 0.38491895630867007]",0.8458754134206806,"[0.8459904079293422, 0.8463996685111334, 0.8517422197655545, 0.8414662450003502, 0.8437785258970232]"
5,mushroom,target2,population,0.6196409353115601,"[0.627494281218972, 0.605764133926389, 0.6173632906484029, 0.6359326561349398, 0.6116503146290969]",0.6968895640320488,"[0.7056531708920173, 0.685005358116388, 0.6900030101122914, 0.7218480282052656, 0.6819382528342816]",0.6403728015225593,"[0.6463793733848809, 0.6274125861637915, 0.6374833335953779, 0.6592307752717192, 0.6313579391970267]",0.6553759296430212,"[0.6648042320390875, 0.642695574251604, 0.6482534014846544, 0.6895490370489259, 0.6315774033908338]",0.9258506992816452,"[0.9267156713456007, 0.9229152290093773, 0.9257921157275507, 0.9282736152512147, 0.9255568650744825]"
6,census,target1,income,0.636962648480706,"[0.6407212350518156, 0.6415684380746925, 0.6329655038560421, 0.6401170910693504, 0.62944097435163]",0.6375855212627451,"[0.6433784459412812, 0.6423610016083762, 0.6307387102163354, 0.6418965226282299, 0.6295529259195026]",0.6372486496404335,"[0.6419935796162632, 0.6419601490449758, 0.6318100812232821, 0.6409826039952811, 0.6294968343223653]",0.6112809804690303,"[0.6202319035915894, 0.6157716153468462, 0.6011340621238733, 0.6167141862247527, 0.6025531350580899]",0.6375855212627451,"[0.6433784459412812, 0.6423610016083762, 0.6307387102163354, 0.6418965226282299, 0.6295529259195026]"
7,census,target3,workclass,0.21279286933703961,"[0.19267562728758852, 0.1959073481278705, 0.20263995936794843, 0.1980363497643657, 0.27470506213742485]",0.17866556341576673,"[0.23159946235953308, 0.1599341574465397, 0.16911432506818508, 0.1670388787505644, 0.16564099345401137]",0.1599249567055516,"[0.16027004079770404, 0.15618246950982012, 0.1630752017406548, 0.15850866014798498, 0.1615884113315941]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8740982899088683,"[0.8750831877037692, 0.871655792033644, 0.8747804961076178, 0.874649760834895, 0.8743222128644159]"
8,census,target2,marital-status,0.15733598620341444,"[0.15833131002705336, 0.15792887310045778, 0.15515865439222895, 0.15733333959616333, 0.15792775390116875]",0.16198745368002376,"[0.16506293352894366, 0.16087380575587445, 0.15869117831622015, 0.1602274525471486, 0.16508189825193184]",0.13212943016143236,"[0.1338559096139264, 0.13228817116155578, 0.1292990274158716, 0.13071554135669725, 0.13448850125911085]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8635447843902089,"[0.863489252719548, 0.8656673791885928, 0.8624138682345651, 0.863150416880044, 0.8630030049282942]"
9,bank,target1,y,0.6970241832207836,"[0.6717966256269949, 0.7005762711864407, 0.7203305436926671, 0.7093875502008031, 0.6830299253970125]",0.7775995391938249,"[0.7741578484582032, 0.7840819070024245, 0.7926587301587302, 0.7761946804988411, 0.7609045298509254]",0.7247006858616669,"[0.7036313736819299, 0.7290475134855539, 0.7479594777568122, 0.7339168697215585, 0.7089481946624804]",0.7700815841484466,"[0.7658456184073528, 0.7782110909647121, 0.7846914939903075, 0.7689768922184332, 0.7526828251614275]",0.7775995391938249,"[0.7741578484582032, 0.7840819070024245, 0.7926587301587302, 0.7761946804988411, 0.7609045298509254]"
