,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds
0,imdb,target1,imdb_score,0.40233695854355744,"[0.3714874192830105, 0.40457766235431797, 0.4100698306760599, 0.4435272384348073, 0.38202264196959157]",0.5626536619991612,"[0.5100337588142466, 0.5563573734578577, 0.5436275130488611, 0.6347786036465282, 0.5684710610283129]",0.38261523223672345,"[0.35179937357925567, 0.3891654641654642, 0.3894227907249384, 0.4500964815042903, 0.3325920512096686]",0.4280769296940024,"[0.272053094674034, 0.34805820114926245, 0.37024426791238013, 0.6147766139636014, 0.5352524707707345]",0.7234782436970685,"[0.7132148462638281, 0.7230294281607478, 0.7225764507691698, 0.7627031187970982, 0.6958673744944988]"
1,imdb,target3,gross,0.15034187698935314,"[0.1376408307316411, 0.1492582078952919, 0.15555226239873546, 0.16094956582677095, 0.1483085180943264]",0.16079684811696313,"[0.15416536985164436, 0.16786100247015234, 0.14833191341052548, 0.16768206477067235, 0.16594389008182112]",0.1141186202639265,"[0.09943958038331902, 0.1260093801545032, 0.08558894092924275, 0.1297043191453129, 0.12985088070725456]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8689947886252064,"[0.8639763973253582, 0.8733805729578493, 0.8609570789931512, 0.8736172985848553, 0.8730425952648175]"
2,imdb,target2,content_rating,0.7608233583169816,"[0.8214765100671141, 0.7059306752153878, 0.8315436241610739, 0.6681272314183707, 0.7770387507229612]",0.552058523020043,"[0.5055762081784386, 0.5403590613514277, 0.5039525691699605, 0.6804039934989552, 0.5300007829014327]",0.4712611568791779,"[0.40236928104575165, 0.48537361381398075, 0.40655177325167347, 0.6054577464788733, 0.45655336980561056]",0.2818820870772224,"[0.10560500157131444, 0.312088009451181, 0.08891084489487741, 0.6500522384395391, 0.2527543410292]",0.552058523020043,"[0.5055762081784386, 0.5403590613514277, 0.5039525691699605, 0.6804039934989552, 0.5300007829014327]"
3,mushroom,target1,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4,mushroom,target3,habitat,0.5642351868293318,"[0.5714013209829396, 0.5614880797681314, 0.5731642622324437, 0.537280508921478, 0.5778417622416671]",0.623991709080441,"[0.6131670514055131, 0.6052254218991575, 0.651976910573769, 0.6161951616688459, 0.6333939998549187]",0.5774565169821695,"[0.5877898139381987, 0.5673867641495819, 0.5957098687686752, 0.554061759753618, 0.5823343783007738]",0.5691624463223514,"[0.5825343190857257, 0.5457008302122083, 0.5993192219733882, 0.5466105675090209, 0.571647292831414]",0.8819130834433799,"[0.8848447132075651, 0.8808251755460225, 0.8836955293668008, 0.8776148125442568, 0.882585186552255]"
5,mushroom,target2,population,0.736150007940789,"[0.7356935665019688, 0.7359317939744369, 0.7326316506983565, 0.7359993123045333, 0.7404937162246498]",0.8666005255688173,"[0.8682724977997686, 0.8766431036611221, 0.8541310032960024, 0.8670673768040941, 0.8668886462830995]",0.7343340917163665,"[0.7301235858289988, 0.7367897854196331, 0.731302737998457, 0.7388182147151251, 0.7346361346196186]",0.8305229924195124,"[0.8296980632273863, 0.8401240505361001, 0.81845455514589, 0.833429629662437, 0.8309086635257487]",0.9498067650976063,"[0.9481100914234216, 0.9515006535843105, 0.9497190821842519, 0.9498893789685847, 0.949814619327463]"
6,census,target1,income,0.7140964959701196,"[0.7236212680436793, 0.7090877297049001, 0.7047744743084414, 0.7086233789837295, 0.724375628809848]",0.623794258541633,"[0.6260293762020346, 0.6217139936744687, 0.6199778101398048, 0.6236714414763195, 0.6275786712155372]",0.6398692662610307,"[0.642690730005484, 0.6379739846188839, 0.6348205326895757, 0.6397574573939334, 0.6441036265972763]",0.5386432029353345,"[0.5399106984822772, 0.5355871008748924, 0.5343468932218746, 0.5402705684903075, 0.5431007536073211]",0.623794258541633,"[0.6260293762020346, 0.6217139936744687, 0.6199778101398048, 0.6236714414763195, 0.6275786712155372]"
7,census,target3,workclass,0.06653223478597804,"[0.06631580611003114, 0.06584167022268582, 0.06729568694387812, 0.06599971551846759, 0.06720829513482755]",0.14285714285714285,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.090782380902154,"[0.09058233040099305, 0.09013901660626386, 0.09149217331514091, 0.09028701151289119, 0.09141137267548102]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8571428571428571,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]"
8,census,target2,marital-status,0.11197587724970563,"[0.11810025646141731, 0.138399412386962, 0.02868159112383147, 0.13639389676935626, 0.13830422950696117]",0.16060498405020027,"[0.17282739244228612, 0.15390050475741215, 0.15077612062030332, 0.16159708782094212, 0.16392381461005762]",0.05871376657382197,"[0.023051291274406492, 0.041566874937773876, 0.03650491579153813, 0.04486733561560331, 0.14757841524978807]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8585127169468798,"[0.8572672320230276, 0.8579433316514954, 0.8574486028716236, 0.8578715833540933, 0.8620328348341593]"
9,bank,target1,y,0.7438053813743385,"[0.7121177648343647, 0.7401940880298847, 0.766659309127028, 0.7512398743593982, 0.7488158705210171]",0.7847141365643224,"[0.7826779054607198, 0.7840098902945483, 0.8073107448107448, 0.768358900783578, 0.7812132414720214]",0.7612746288496641,"[0.7398231808024871, 0.7590643274853801, 0.7847617810782572, 0.7593188329252093, 0.7634050219569868]",0.7719725353033886,"[0.7703063945085865, 0.7723589818912464, 0.7972977867044162, 0.7522324498029751, 0.7676670636097187]",0.7847141365643224,"[0.7826779054607198, 0.7840098902945483, 0.8073107448107448, 0.768358900783578, 0.7812132414720214]"
10,bank,target3,housing,0.5353875955911546,"[0.5675201015658062, 0.5302817841880342, 0.5040503208338378, 0.5503175262626863, 0.5247682451054082]",0.533395073892857,"[0.5672129075743534, 0.5286059714045417, 0.5038884192730346, 0.5453582434514638, 0.5219098277608916]",0.51682830525776,"[0.5630335725134867, 0.517070234537525, 0.4915024329461124, 0.5146892013019463, 0.4978460849897299]",0.5153568121688061,"[0.5645239913056185, 0.5140682737494057, 0.49164619019307065, 0.5154478890050347, 0.49109771659090107]",0.533395073892857,"[0.5672129075743534, 0.5286059714045417, 0.5038884192730346, 0.5453582434514638, 0.5219098277608916]"
11,bank,target2,loan,0.5062343744572686,"[0.538136041468317, 0.5023252110208632, 0.5112373737373738, 0.482137797134911, 0.49733544892487824]",0.5107467813275146,"[0.5611650485436893, 0.5042974882260597, 0.5231183843106695, 0.46954187544738724, 0.4956111101097673]",0.42863975862101783,"[0.4071591019325911, 0.4550145677204244, 0.4506666666666667, 0.42892543566430447, 0.40143302112110246]",0.49980887330541124,"[0.5220557261125806, 0.5012543136673965, 0.5228298799836179, 0.467635426279103, 0.48526902048435827]",0.5107467813275146,"[0.5611650485436893, 0.5042974882260597, 0.5231183843106695, 0.46954187544738724, 0.4956111101097673]"
12,intention,target1,Revenue,0.7966279677684007,"[0.7788190674472142, 0.7810575316304607, 0.8140380549682875, 0.7949400019136041, 0.8142851828824377]",0.7244300126757061,"[0.6956964368953904, 0.7267728092207653, 0.7399627277497332, 0.7427331501403815, 0.7169849393722598]",0.7519052781160098,"[0.7255461547402744, 0.7490452306898439, 0.769059501043734, 0.7647843842919784, 0.7510911198142188]",0.6853191206968244,"[0.6441092564801602, 0.6917679682240243, 0.7060504944101291, 0.7118839601987418, 0.6727839241710667]",0.7244300126757061,"[0.6956964368953904, 0.7267728092207653, 0.7399627277497332, 0.7427331501403815, 0.7169849393722598]"
