,dataset,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
0,imdb,imdb_score,0.5877902989552756,"[0.5713983267725695, 0.579141355538871, 0.6013198171337706, 0.5816793289015512, 0.6054126664296157]",0.5919542971054311,"[0.6102782105830887, 0.5731386198547216, 0.6252074121338064, 0.552204434279906, 0.5989428086756331]",0.5886512885316049,"[0.5887515012041071, 0.5757529385643613, 0.6117440868796407, 0.5657419769569302, 0.6012659390529853]",0.5167614162915095,"[0.5290963568257528, 0.5063751884837807, 0.5416735024775581, 0.46250086242134614, 0.5441611712491101]",0.7730396148930412,"[0.7771691811317568, 0.766609378231102, 0.7911015044719276, 0.7511277232275764, 0.7791902874028432]",DecisionTreeClassifier
3,mushroom,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",DecisionTreeClassifier
6,census,income,0.7453816087357539,"[0.7420139123913021, 0.7419053370648598, 0.7459812383288672, 0.748481141197892, 0.7485264146958484]",0.7482563185976897,"[0.7435755871201271, 0.7468932589314587, 0.750141625594047, 0.7502914519987691, 0.7503796693440463]",0.746785115347065,"[0.7427863926948717, 0.7443186064871901, 0.7480032475438134, 0.7493758958515571, 0.7494414341578928]",0.7381467657021614,"[0.7328726400693594, 0.7366222100359258, 0.7407052675172483, 0.739851655795758, 0.7406820550925162]",0.7482563185976897,"[0.7435755871201271, 0.7468932589314587, 0.750141625594047, 0.7502914519987691, 0.7503796693440463]",DecisionTreeClassifier
9,bank,y,0.704754051155329,"[0.6979287537711766, 0.6806818181818182, 0.684198080400612, 0.7476185114288931, 0.7133430919941448]",0.7103053204845348,"[0.7068766865771202, 0.7061118179417625, 0.668421855921856, 0.7426994812934555, 0.7274167606884797]",0.7070043290076857,"[0.7022569766149057, 0.6919052447023633, 0.67573706687566, 0.7451177100053504, 0.7200046468401486]",0.6754296837666276,"[0.6676160326381969, 0.6773082231684241, 0.6133685688238363, 0.7180489574286141, 0.7008066367740662]",0.7103053204845348,"[0.7068766865771202, 0.7061118179417625, 0.668421855921856, 0.7426994812934555, 0.7274167606884797]",DecisionTreeClassifier
12,intention,Revenue,0.7308124059768237,"[0.7185845428705643, 0.7438443922322769, 0.7322947571782008, 0.713596714427825, 0.7457416231752515]",0.7333646038077639,"[0.7156875068742832, 0.7422794325366864, 0.7436602280275949, 0.7267976713496722, 0.7383981802505823]",0.7319365550662178,"[0.7171178545443042, 0.7430572396297797, 0.7377187148902866, 0.719826571767419, 0.7419623944992992]",0.7104635824497517,"[0.6873027154789766, 0.7206272724570568, 0.7246801733805811, 0.7036789267203684, 0.7160288242117756]",0.7333646038077639,"[0.7156875068742832, 0.7422794325366864, 0.7436602280275949, 0.7267976713496722, 0.7383981802505823]",DecisionTreeClassifier
15,anuran,Family,0.8783272752270379,"[0.8663595524062555, 0.9053324935021949, 0.9249224042500226, 0.8425915966923013, 0.8524303292844156]",0.901033516352142,"[0.8942705225418938, 0.9217996865331379, 0.9039900341711377, 0.9055468618231236, 0.8795604766914171]",0.8876686909966949,"[0.8783135900793597, 0.9133750085177803, 0.9140769363171466, 0.8677783560037804, 0.8647995640654076]",0.8973317669099344,"[0.8905171715190203, 0.9202566973194906, 0.9008964576712354, 0.9005813467740817, 0.8744071612658446]",0.980440334131653,"[0.9812563274098007, 0.9807360397797449, 0.9809155330868462, 0.982094807088662, 0.9771989632932109]",DecisionTreeClassifier
18,telco,Churn,0.6459781496916654,"[0.6411702358605014, 0.65834520201098, 0.6526004801551187, 0.6242506952312288, 0.6535241352004983]",0.6500648254133955,"[0.6592920481497171, 0.6574802482318445, 0.6509132377409284, 0.6226488948534944, 0.6599896980909932]",0.647474990737274,"[0.6478880466220358, 0.6579051512951681, 0.6517364169549058, 0.6234190815324164, 0.6564262572818438]",0.6311889095401797,"[0.6444634179088641, 0.642474761332763, 0.6270616666451357, 0.5977856207592371, 0.6441590810548987]",0.6500648254133955,"[0.6592920481497171, 0.6574802482318445, 0.6509132377409284, 0.6226488948534944, 0.6599896980909932]",DecisionTreeClassifier
21,paris,category,0.7087245742390611,"[0.7070925480483499, 0.7102565940366973, 0.7045497370539767, 0.7246999731514283, 0.6970240189048534]",0.7059206531801859,"[0.7146287270642202, 0.7138319221683876, 0.693719813480917, 0.7070163802368928, 0.7004064229505114]",0.707122257997591,"[0.7107460058477699, 0.7120191354814447, 0.6988939410439097, 0.7152613103902287, 0.698690897224602]",0.6701149610447581,"[0.6840477072312637, 0.681674316654255, 0.651456680142074, 0.6692686798371706, 0.6641274213590268]",0.7059206531801859,"[0.7146287270642202, 0.7138319221683876, 0.693719813480917, 0.7070163802368928, 0.7004064229505114]",DecisionTreeClassifier
24,smoking,smoking,0.6591018405556908,"[0.6569742265894991, 0.6609078766165857, 0.6569683444573475, 0.667701837533117, 0.6529569175819044]",0.6592762864452821,"[0.6574757827710358, 0.6605247614582255, 0.6572562428103168, 0.6687074298625866, 0.652417215324246]",0.6591809959170778,"[0.657219042914861, 0.6607131776380162, 0.6571104115802393, 0.6681831489540877, 0.6526791984981849]",0.6531322984818229,"[0.6514628452464565, 0.6537987212455127, 0.6508424066439162, 0.6634342078782325, 0.6461233113949965]",0.6592762864452821,"[0.6574757827710358, 0.6605247614582255, 0.6572562428103168, 0.6687074298625866, 0.652417215324246]",DecisionTreeClassifier
27,flight,satisfaction,0.9327585032676804,"[0.9310821661294717, 0.934159026243473, 0.9330309162004877, 0.9304051524647934, 0.9351152553001754]",0.93321112066914,"[0.9324220667059895, 0.9342958318962257, 0.9333740180493776, 0.9307647693671693, 0.9351989173269379]",0.9329767259625608,"[0.9317167172615577, 0.9342270991995447, 0.9332002467739923, 0.9305826258526566, 0.9351569407250528]",0.9331847514918912,"[0.932417408164025, 0.9342595437124441, 0.9333461866769732, 0.93073244975667, 0.9351681691493435]",0.93321112066914,"[0.9324220667059895, 0.9342958318962257, 0.9333740180493776, 0.9307647693671693, 0.9351989173269379]",DecisionTreeClassifier
0,imdb,imdb_score,0.5180230742874112,"[0.48711177372504605, 0.5460014247582508, 0.5135794216676569, 0.5095670505256816, 0.5338557007604208]",0.6359646954094906,"[0.6430232616208226, 0.6304248818171336, 0.61900884103272, 0.6103328886347754, 0.677033603942001]",0.4382296900119131,"[0.4152419261212554, 0.45898673929789807, 0.4303416947793847, 0.42369164970185996, 0.46288644015916747]",0.5984291057160931,"[0.6014817753232704, 0.5984567743891716, 0.5831906239839273, 0.5698289876549899, 0.6391873672291066]",0.7481394755361274,"[0.7546158309779664, 0.7569876780069237, 0.7279301791753922, 0.7401541380983377, 0.761009551422017]",GaussianNB
3,mushroom,Class,0.9949637148408076,"[0.9941724941724941, 0.998123574814352, 0.9913367478774455, 0.9934329483509812, 0.9977528089887641]",0.9964403717943464,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.9952768904158211, 0.9985401459854015]",0.9956871206229692,"[0.9952898082130057, 0.998123574814352, 0.9925394339485492, 0.9943399064171122, 0.998142879721827]",0.9964367919014396,"[0.9964475909040272, 0.9981234761675846, 0.9937997189310885, 0.9952740946644141, 0.9985390788400837]",0.9964403717943464,"[0.9964539007092199, 0.998123574814352, 0.9938073470469376, 0.9952768904158211, 0.9985401459854015]",GaussianNB
6,census,income,0.731200296386806,"[0.737877210612865, 0.7197657176609792, 0.737281911504893, 0.7225214408233276, 0.7385552013319647]",0.6276410981433306,"[0.6291277984070273, 0.6244955450278513, 0.6265386639504509, 0.6274930760296613, 0.6305504073016621]",0.645183611469832,"[0.6469927956726023, 0.6417794268076018, 0.6439676501492472, 0.6449361678584766, 0.6482420168612323]",0.5404779347915705,"[0.5414204626087725, 0.5374452927140655, 0.5362245105070393, 0.5429979550946975, 0.5443014530332775]",0.6276410981433306,"[0.6291277984070273, 0.6244955450278513, 0.6265386639504509, 0.6274930760296613, 0.6305504073016621]",GaussianNB
9,bank,y,0.6818580292693384,"[0.649721269296741, 0.6852177491768932, 0.7252851711026616, 0.6782682359726754, 0.6707977207977208]",0.7235464622689248,"[0.7117279645856706, 0.7376791415608421, 0.7773199023199022, 0.7183092373910165, 0.672696065487193]",0.698055059257509,"[0.6718577238057758, 0.7054908224450787, 0.7469057153258098, 0.6942833963234858, 0.6717376383873952]",0.6998476737861198,"[0.6869115134474244, 0.721582149131423, 0.7648941659230282, 0.699014710108937, 0.6268358303197864]",0.7235464622689248,"[0.7117279645856706, 0.7376791415608421, 0.7773199023199022, 0.7183092373910165, 0.672696065487193]",GaussianNB
12,intention,Revenue,0.6882482562575042,"[0.6801835220616946, 0.6807972502416947, 0.6953376623376624, 0.6817208762031198, 0.7032019704433498]",0.724109893230934,"[0.7114758627552651, 0.7170837378204438, 0.7429836668967104, 0.7230050613388653, 0.7260011373433859]",0.7026290716271826,"[0.6931414018727264, 0.6952574661339006, 0.7135128129250998, 0.6979564632000544, 0.7132772140041316]",0.7079779738193123,"[0.6918929903552342, 0.7006194258716182, 0.732121465570889, 0.7066784882443606, 0.7085774990544592]",0.724109893230934,"[0.7114758627552651, 0.7170837378204438, 0.7429836668967104, 0.7230050613388653, 0.7260011373433859]",GaussianNB
15,anuran,Family,0.70187000800772,"[0.7323559327102025, 0.6870241104172862, 0.752421991138469, 0.6538415769972434, 0.6837064287753993]",0.8680643247179635,"[0.882792712810179, 0.854115798761164, 0.8514709239317129, 0.8735319481750052, 0.8784102399117566]",0.7371351016522361,"[0.7628979906867525, 0.725662354643782, 0.7630487491459532, 0.7026074343033841, 0.7314589794813081]",0.8640289065867643,"[0.8782023336732067, 0.849940333474544, 0.8473616647000408, 0.8701361257526107, 0.8745040753334192]",0.941571230357338,"[0.9411615405911168, 0.9376981369664307, 0.944435081434271, 0.9433781598620302, 0.9411832329328412]",GaussianNB
18,telco,Churn,0.6598777736432908,"[0.6438316237637016, 0.6789972492287817, 0.6678741513831188, 0.6530062026008658, 0.6556796412399861]",0.693079712502939,"[0.6919864784251342, 0.6945842746143471, 0.7123828574633383, 0.6785060696638809, 0.6879388823479943]",0.5865522280291113,"[0.5605656388949632, 0.6037462859568354, 0.606811511179168, 0.5818287758962788, 0.5798089282183112]",0.6589656108672088,"[0.654762141484111, 0.6572496955365594, 0.6841745144886417, 0.6458082229602242, 0.6528334798665081]",0.693079712502939,"[0.6919864784251342, 0.6945842746143471, 0.7123828574633383, 0.6785060696638809, 0.6879388823479943]",GaussianNB
21,paris,category,0.4367499999999999,"[0.436, 0.43725, 0.4385, 0.43425, 0.43775]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.4662383037360453,"[0.4658119658119658, 0.46652440650840227, 0.4672349493873202, 0.46481134599946483, 0.46680885097307384]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",GaussianNB
24,smoking,smoking,0.709123952234321,"[0.7166295082662917, 0.7075795964818048, 0.7074518058311154, 0.7047169576735408, 0.7092418929188522]",0.7243074138792568,"[0.7326050941213039, 0.7232628084906867, 0.7236048043078689, 0.7199963273594719, 0.7220680351169526]",0.6975821279027408,"[0.7054390151990955, 0.6954794681331617, 0.6973572306840771, 0.6931371697962401, 0.6964977557011293]",0.7189266954353094,"[0.7271617155133189, 0.7176597638251152, 0.7189570294274313, 0.7147351776604864, 0.7161197907501953]",0.7243074138792568,"[0.7326050941213039, 0.7232628084906867, 0.7236048043078689, 0.7199963273594719, 0.7220680351169526]",GaussianNB
27,flight,satisfaction,0.8474612287455745,"[0.8455489956395614, 0.845087132032208, 0.8499510750790469, 0.8478748999724055, 0.84884404100465]",0.8469148975126675,"[0.8449434937631752, 0.8442608984585833, 0.8493470157687965, 0.8476674146601771, 0.848355664912605]",0.8471797516017748,"[0.8452373459236151, 0.844657984071136, 0.8496401102809034, 0.8477701168043603, 0.8485932009288593]",0.8466029430589481,"[0.8446096333446167, 0.8438865557628275, 0.849039057476984, 0.8473935539199015, 0.8480859147904111]",0.8469148975126675,"[0.8449434937631752, 0.8442608984585833, 0.8493470157687965, 0.8476674146601771, 0.848355664912605]",GaussianNB
0,imdb,imdb_score,0.6185011983070577,"[0.6425518925518926, 0.6729049500937325, 0.6478014014317238, 0.5800305411955897, 0.5492172062623499]",0.3989851479645531,"[0.4029281776232996, 0.3942557001614205, 0.43184840728170726, 0.3951686678101772, 0.370724786946161]",0.4251121652927501,"[0.4342978428346386, 0.4181150386301346, 0.47212498107582485, 0.4176655805657689, 0.3833573833573834]",0.1982048278778069,"[0.18912103347323694, 0.1929589733157952, 0.26954014985261476, 0.2144534793019461, 0.12495050344544167]",0.6938069067875882,"[0.6939965342552025, 0.6941581560714014, 0.7089456473767841, 0.6924307680548503, 0.6795034281797023]",KNeighborsClassifier
3,mushroom,Class,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",KNeighborsClassifier
6,census,income,0.6822288905540198,"[0.6878835595887973, 0.6824232099601579, 0.6755505002151936, 0.6851489166456759, 0.6801382663602749]",0.6256452661648303,"[0.6290404904177198, 0.6269831427852115, 0.6174799487287266, 0.629198705540169, 0.6255240433523244]",0.6392731406716118,"[0.6431894106965705, 0.6410998384347691, 0.6301223044587224, 0.6433889000829041, 0.638565249685093]",0.5568262665693593,"[0.5614736910417183, 0.5588033963590304, 0.5428965595402744, 0.5625335025441525, 0.5584241833616213]",0.6256452661648303,"[0.6290404904177198, 0.6269831427852115, 0.6174799487287266, 0.629198705540169, 0.6255240433523244]",KNeighborsClassifier
9,bank,y,0.7521595070105748,"[0.7566375832629703, 0.7356951871657753, 0.7513590649633053, 0.7893163357400722, 0.7277893639207508]",0.7169605153841312,"[0.7488250811073043, 0.7116090933096478, 0.6881868131868132, 0.7264209248427326, 0.709760664474158]",0.7317207660407322,"[0.7526477832512315, 0.7226334587060275, 0.7131585054537015, 0.7519803905830343, 0.7181836922096663]",0.6770398997186122,"[0.7198030920419697, 0.6730416722176047, 0.6323589960440983, 0.6882750519815628, 0.6717206863078254]",0.7169605153841312,"[0.7488250811073043, 0.7116090933096478, 0.6881868131868132, 0.7264209248427326, 0.709760664474158]",KNeighborsClassifier
12,intention,Revenue,0.745110452567309,"[0.7345079365079366, 0.7311743612729718, 0.76396861227561, 0.7486399730919407, 0.7472613796880856]",0.6344888146246326,"[0.6209055460406747, 0.6284798732350237, 0.6586849254167281, 0.6384991663996611, 0.6258745620310752]",0.6636023160625134,"[0.6486762987091612, 0.6557030256801424, 0.690350095927625, 0.6691705087171833, 0.6541116512784557]",0.5418467970215662,"[0.5168861620476394, 0.5336990601078903, 0.5842394651762338, 0.5485867040413197, 0.5258225937347478]",0.6344888146246326,"[0.6209055460406747, 0.6284798732350237, 0.6586849254167281, 0.6384991663996611, 0.6258745620310752]",KNeighborsClassifier
15,anuran,Family,0.9846325802519365,"[0.9918773482471754, 0.9865126661946346, 0.9930654056125424, 0.956792119430846, 0.9949153617744841]",0.9529797960787894,"[0.9620921979443612, 0.9444366482219132, 0.9591577776645028, 0.9279937243359426, 0.9712186322272268]",0.967674466110774,"[0.9760605955317676, 0.9635743392406184, 0.974728085992421, 0.9414937942273693, 0.9825155155616945]",0.950505660802697,"[0.9609360267421896, 0.942112308830543, 0.9572406552467161, 0.9217285981836517, 0.9705107150103852]",0.9944228625146369,"[0.9939961919385695, 0.9928358237967199, 0.9952166107812378, 0.9954049258081921, 0.9946607602484647]",KNeighborsClassifier
