,dataset,target,avg_precision,avg_recall,avg_specificity,avg_f1,avg_geometric_mean
0,anuran,target1,0.70187000800772,0.8680643247179635,0.941571230357338,0.7371351016522361,0.8640289065867643
1,anuran,target2,0.7476054652678317,0.7992488279782588,0.9768843704874876,0.7481047017392137,0.7749282331110198
2,anuran,target3,0.8218534252854137,0.8255411863879754,0.9900670092574464,0.810947250310182,0.8089176362940134
3,bank,target1,0.6818580292693384,0.7235464622689248,0.7235464622689248,0.698055059257509,0.6998476737861198
4,bank,target2,0.4816898704871281,0.4750562214815148,0.4750562214815148,0.3755118074955259,0.4448535375611971
5,bank,target3,0.5166327875093408,0.507044900600055,0.507044900600055,0.4374894317313137,0.3285251820079813
6,census,target1,0.731200296386806,0.6276410981433306,0.6276410981433306,0.645183611469832,0.5404779347915705
7,census,target2,0.2271610704535496,0.2358741020908007,0.8905007183813428,0.1959561011834298,0.0
8,census,target3,0.1701935412462299,0.1771160952821109,0.8625102510536609,0.146380531693344,0.0
9,flight,target1,0.8474612287455745,0.8469148975126675,0.8469148975126675,0.8471797516017748,0.8466029430589481
10,flight,target2,0.7558638431892085,0.842080906313942,0.842080906313942,0.7829815501177506,0.8420468873319807
11,flight,target3,0.5032197901479912,0.5420816663077906,0.8478293438331223,0.5216337515843545,0.0
12,imdb,target1,0.5180230742874112,0.6359646954094906,0.7481394755361274,0.4382296900119131,0.5984291057160931
13,imdb,target2,0.1375926270351026,0.2382473395552752,0.8614436912918684,0.1103657424497207,0.0301117531608639
14,imdb,target3,0.7151712974403948,0.6593304271404238,0.6593304271404238,0.6423136980255825,0.5972756849528693
15,intention,target1,0.6882482562575042,0.724109893230934,0.724109893230934,0.7026290716271826,0.7079779738193123
16,intention,target2,0.5740053120532735,0.6533184117643838,0.6533184117643838,0.5024525544070287,0.6402291349904923
17,intention,target3,0.2622737378382669,0.4539193826970657,0.9512990456861964,0.2834308887516565,0.273229606366063
18,mushroom,target1,0.9949637148408076,0.9964403717943464,0.9964403717943464,0.9956871206229692,0.9964367919014396
19,mushroom,target2,0.6356963579947398,0.7297056343457659,0.8914627933926891,0.588278611748461,0.5586035808596153
20,mushroom,target3,0.6775231823189173,0.8439442903922583,0.9327260508044948,0.6963358828964382,0.8032508558022509
21,paris,target1,0.4367499999999999,0.5,0.5,0.4662383037360453,0.0
22,paris,target2,0.5043109621580945,0.5041787740071474,0.5041787740071474,0.5015064262276596,0.5000043336553535
23,paris,target3,0.5051787684397064,0.5052381931353073,0.5052381931353073,0.5022248700664852,0.4995208648524016
24,smoking,target1,0.709123952234321,0.7243074138792568,0.7243074138792568,0.6975821279027408,0.7189266954353094
25,smoking,target2,0.5388858147730857,0.5335364356719975,0.5335364356719975,0.5224413187775294,0.4928428469236878
26,smoking,target3,0.5359679526503485,0.532380064840883,0.532380064840883,0.5330474699180769,0.4426820483944382
27,telco,target1,0.6598777736432908,0.693079712502939,0.693079712502939,0.5865522280291113,0.6589656108672088
28,telco,target2,0.5849576881811773,0.5921416348382547,0.8270744325783352,0.5857281966107143,0.5624302946143678
29,telco,target3,0.371118947688637,0.3605294649893289,0.7921118809018989,0.280692000469081,0.057199110437155
30,anuran,target1,0.70187000800772,0.8680643247179635,0.941571230357338,0.7371351016522361,0.8640289065867643
31,anuran,target2,0.7476054652678317,0.7992488279782588,0.9768843704874876,0.7481047017392137,0.7749282331110198
32,anuran,target3,0.8218534252854137,0.8255411863879754,0.9900670092574464,0.810947250310182,0.8089176362940134
33,bank,target1,0.6818580292693384,0.7235464622689248,0.7235464622689248,0.698055059257509,0.6998476737861198
34,bank,target2,0.4816898704871281,0.4750562214815148,0.4750562214815148,0.3755118074955259,0.4448535375611971
35,bank,target3,0.5166327875093408,0.507044900600055,0.507044900600055,0.4374894317313137,0.3285251820079813
36,census,target1,0.731200296386806,0.6276410981433306,0.6276410981433306,0.645183611469832,0.5404779347915705
37,census,target2,0.2271610704535496,0.2358741020908007,0.8905007183813428,0.1959561011834298,0.0
